date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-24, Director,"Tucson, AZ",Current Employee ,Work Hard-Play Hard-Learn and Grow,Work Hard-Play Hard-Learn and Grow,0,"Employees are encouraged to be innovative without fear of failure. We support each other by collaborating, openly sharing (even when not asked), and propping each other up when required as we all understand that we are works in process. We actively work to minimize bureaucracy. There are many company organized activities: breakfast and lunch meetings, weekly happy hour with beer on tap in the breakroom, yoga, exercise groups, etc. I've been here for over five years and have decades of experience but still learn something new each day. We have a team of brilliant scientists, operation and administrative staff which continually humble me. I'm so grateful to work with such talent and dedication. The instrument that we developed is revolutionary and will save patient lives - I like to think I play a part in that.","If you want a job where you show up to ""do your time"" or don't want to take responsibility for the success of the company, this isn't the place for you. We are all expected to act like owners and this sometimes means taking on something outside the job description. If this doesn't energize you, it won't be a good fit.",Continue to promote the spirit of community even while the company grows.,5.0,4.0,5.0,4.0,3.0,4.0
2019-04-22, Clinical Implementation,"Boston, MA",Current Employee ,Amazing Company with a Life Saving Product,Amazing Company with a Life Saving Product,0,"I have been with Accelerate for over two years and never regretted for one moment leaving traditional healthcare to join this team. The CEO and others in leadership roles are approachable, transparent and committed to saving lives. Having come from a very tightly controlled company this was a bit of an adjustment to be part of a collaborative and friendly supportive team. It's exciting to be in early with the only product on the market that provides really fast organism identification AND antimicrobial sensitivity test results in <7 yrs (while standard of care is anywhere from 2-4 days).",I am a remote worker and travel often but wish I was in Tucson more to interact with my co-workers more. But the Monday morning and Friday afternoon staff meetings where they review goals and projects keeps us connected and feeling like we are part of the culture.,Keep up the great transparency and commitment to saving patient's lives.,5.0,5.0,5.0,5.0,5.0,
2019-04-22,,"Tucson, AZ",Former Employee ,A golden opportunity forged in the crucible of disrupting clinical microbiology,A golden opportunity forged in the crucible of disrupting clinical microbiology,0,"Meaningful work, weekly targeted activities that company aligns and rallies around. Opportunities abound and self-directed individuals can thrive. Fun atmosphere, crazy talented employees. Responsive and friendly IT staff makes life easier for all. Transparent, motivational CEO. Passionate leadership. Everyone contributes to goals and objectives (no hiding). Bias for action.",Talent management is self driven and relatively informal. Need to rethink how people's contributions and abilities are recognized/challenged. Poor communication as it relates to organizational changes.,"Invest time and energy in people development. People are greatest asset, make sure they are cared for and continuously challenged. Put a greater emphasis on strategy and communication of org changes, realizing that poor communication can demoralize individuals. Never lose sight of focus of improving patient outcomes and role that everyone in org plays in this honorable effort.",5.0,4.0,4.0,5.0,5.0,5.0
2019-04-19,,"Tucson, AZ",Current Employee ,A place experienced people appreciate working at,A place experienced people appreciate working at,0,You are given the ability to make decisions and suggestions that can be implemented quickly. There is a definite lack of being bogged down with endless meetings and committees before a decision is made. The company empowers and trusts you to do the job you were hired to perform until proven differently. The atmosphere is one of camaraderie and transparency. You are free to speak and your voice is heard. I am appreciated for my contributions.,It can be off putting to work in a transparent company. If you are not used to working in an environment with minimal policies and open conversations it can be a little difficult to get used to at first.,,5.0,5.0,5.0,4.0,4.0,5.0
2019-04-16, Commercial Development Director,,Current Employee ,Life-Saving Technology,Life-Saving Technology,0,"Accelerate Diagnostics is a game-changer that has created life-saving, break-through diagnostics for patients with severe infections.",Brand new technology can take longer to gain acceptance.,,5.0,3.0,5.0,5.0,5.0,5.0
2019-04-17, Commercial Sales Representative,,Current Employee ,Groundbreaking company and technology!,Groundbreaking company and technology!,0,"A transparent and ethical company who cares about it employees and the customers they serve.
Provides many opportunities to grow and truly contribute to the company.","Not really a con, but you must be self-motivated and willing to work hard and and be creative.",,5.0,4.0,5.0,5.0,4.0,5.0
2019-04-16, Commercial Development Director,"Oceanside, CA",Current Employee ,"The best company, culture, experience and product","The best company, culture, experience and product",0,"Best innovative product that saves lives. Everyone who works at Accelerate are putting their heart and soul into their work. From my experience in 12 years, Accelerate has the best marketing team that I have ever worked for. From top down, the WHY behind what we do is strong and practiced daily. I work with top experts in the field. There is no ego anywhere to be found. It feels like a family and we are all treated like family. At Accelerate, we truly have the customers' best interest in mind. The culture of having fun, working hard to save lives and celebrate when we have small wins is refreshing. For the first time in my life I work with enthusiasm and excitement with a sense of purpose. I don't ever want to retire as long as AXDX stays true to hits core values.","I really can't think of any. Coming from a giant company where problems took forever to get fixed and management was less transparent, AXDX is a sanctuary to work at.",I am very happy with the style of management at AXDX.,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-16, Microbiologist,,Current Employee ,Great Company of Doers,Great Company of Doers,0,"Fantastic level of energy from everyone working here. Everyone has the same goal and even when you may not see eye to eye with someone you know that deep down their intentions are for the betterment of the company. There is plenty of room for personal and professional growth here, and there is a HUGE emphasis on employees growing into bigger and better things within the company.","Very fast paced. You need to be someone who is willing to adapt and take on responsibilities to really thrive here.

Often times plans change immediately, it can sometimes be hard to stay on track if you aren't on top of your workload and your needs from other people/departments.","Please listen when people ask for help (more resources/time/team members), the ""get it done at all costs"" vibe is great but sometimes reality is cast aside by those in management positions, that in my opinion is what causes some people to burn out.",4.0,3.0,5.0,5.0,4.0,4.0
2019-02-20,,"Tucson, AZ",Current Employee ,Great technology / Medium place to work,Great technology / Medium place to work,0,"The technology is top notch. The teams involved in developing the diagnostics are very smart, hardworking and collaborative. There are many others working in the office with outstanding talent and dedication. A good place to try something innovative.","As a place to work, it's not as fantastic as the management keeps telling us it is. Be prepared to be talked over a lot if you're female. People in management roles consistently take credit for other people's work. There are too many managers and too many exceptions to what is supposed to be the culture. Many of the leadership individuals aren't really contributing, but have a history with others at the company. In short, they are myopic when they could be nimble.","Remember that diversity is strength. Telling others that ""you'll never work somewhere like this"" presumes you know everywhere we've worked. Listen more. Listen better.",3.0,2.0,4.0,3.0,4.0,2.0
2018-08-08, Operations,"Tucson, AZ",Current Employee ,AXDX Review,AXDX Review,0,"Fantastic Company Mission: To establish Global Leadership in Clinical Microbiology. Revolutionize the Lab,and dramatically improve the patient outcomes",constantly dealing with an unknown since we are pioneering the use of a new instrument/technology,Take care of employees. Do not lose sight of the 'startup' mentality and the excitement associated with creating something new.,5.0,2.0,4.0,3.0,3.0,3.0
