date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-28, Service,,Former Employee ,Great place,Great place,0,"Environment, people, fast-pace, learning, location",I had no reservations about the experience.,,5.0,,,,,
2019-02-04,,,Former Employee ,Good place to work,Good place to work,0,Team oriented & great perks,Offices are below ground and its cold in Chicago,,4.0,,,,,
2018-12-19,,,Former Employee ,Toxic Atmosphere,Toxic Atmosphere,0,"Free admission to Chicago Museums, Nice view of the city.","Too much toxicity in the workplace and trust and communications between departments is lacking. The powers that be lord over their departments like a fiefdom from Medieval times. Human resources allowed too much inappropriate behavior over the years by employees and there is little chance of change until a major revamp of the department, starting at the top of the department. Plus, do not expect much advancement either. They are more likely to hire from outside than promote from within, unless you are a favorite of a VP or the president. It may be a non-profit, but smaller museums in the Chicagoland area pay better than this multi-million dollar institution.",Stop worrying about VPs and hiring from outside. Promote from within and invest in your current employees. Your turnover rate is higher than most non-profit museums in the Chicagoland area.,1.0,2.0,2.0,1.0,2.0,1.0
2018-11-06, Event Operations Associate,,Former Employee ,Great place to work!,Great place to work!,0,"Everyone gets the same staff benefits - part time, full time, etc. Health insurance might be the only exception?

Some perks include discounted Adler After Dark tickets ($5 for staff + guests instead of normal $20), free admission to the museum on days off, etc. 401k plans, PT sick days (per city ordinance). Other miscellaneous perks too.

GREAT employee onboarding process with HR - they're speedy, efficient, and are really helpful and nice. Part-time employees aren't treated like they're less than full-timers","Can be annoying to get to/from when there are other events on the museum campus, but it's a fair trade-off.",,4.0,5.0,5.0,4.0,5.0,4.0
2018-08-02,,"Chicago, IL",Former Employee ,No hope on the horizon,No hope on the horizon,0,"- it's a space museum! how cool is that?
- the view is incredible to see even when it's frozen outside.
- the people who work, for the most part, there are genuine, kind, and super nerdy which makes the environment fun","- unless you are in a science field (which there are few jobs) you will never move up or get a raise besides a small percentage each year. Dead end job.
- also, the CEO has favorites. and they change. when you are no longer a favorite you might as well leave. when you are a favorite you move from volunteer to VP in a matter of five years.
- unrealistic expectations. you're expected to work 60-70 hours for pay below the museum average but just be grateful you work for the Adler.
- the Adler does not plan ahead for anything. As much as you try to plan out ahead of time, they refuse to work as a cohesive team and plan an exhibition, event, or even a gala and it's detailed out in advance. this brings so much stress across all departments.
- you will end up taking on extra work with no job title change or compensation. And apparently should be grateful for it.
- the benefits are sad. the insurance costs so much it hurts.
- some director and VP levels take advantage of working from home - yet you can never get a hold of them strangely when they're supposedly doing so. and no one does anything about it.
- the gossip is the worst and brings morale down. And some of the gossips come from the top.",You need to take a hard look at how you treat your employees. Other businesses (NPOs and museums in the Chicago area even!) help their employees out in small ways. Having to live off of the gossip train isn't useful. There's no reason to get out of bed in the morning for a lot of people anymore - which stinks for what should be such an amazing institution. You're becoming a place that people don't want to work for which is why certain departments aren't getting good applicants in the pool any longer. You need to get with the times.,1.0,2.0,1.0,1.0,1.0,2.0
2018-07-18, Exhibit Maintenance,"Chicago, IL",Former Employee ,Disappointing Workplace Experience/Harrassment,Disappointing Workplace Experience/Harrassment,0,"Interesting place to learn while you work. Most of the staff are pleasant and personable. Lots of information presented in unique and creative ways, including interactive exhibits.","The old, gray bearded guy from exhibits who used to smoke that ridiculous pipe* made me remove a layer of thermal under-clothing that I was wearing. I had to remove that layer in front of my coworkers in exhibit maintenance, exposing my naked torso and bare legs before I was let go while I was absent with pneumonia. The incident was never addressed.
*Clue - Someone had previously made him a character painting of him with that pipe.",Check your departmental leadership. That man shouldn't be working for you anymore.,1.0,2.0,1.0,1.0,1.0,1.0
2018-03-13,,,Former Employee ,"Fun place to work, but...","Fun place to work, but...",0,"Fun job and fun people to work with. Hectic when it's busy, but kept me on my toes.",Very boring when it's slow. Not much room for upward mobility.,Lower management seemed fair and supportive. Should allow for promotions more than seeking external candidates.,3.0,,,,,
2017-11-21, Manager,,Former Employee ,Look Elsewhere,Look Elsewhere,0,Some great people and good mission.,"Bad leadership, no investment in staff, high staff turnover, low compensation.",Invest in your employees. Pay wages comparable to other museums/nonprofit institutions in Chicago.,2.0,3.0,2.0,1.0,2.0,1.0
2017-11-08,,,Former Employee ,Needs a Comprehensive Strategic Plan,Needs a Comprehensive Strategic Plan,0,Small number of staff make it easy to get to know everyone.,Lack of clear vision and strategic plan make it difficult for departments to work together to complete projects.,Invest in employee training to help foster an environment of trust and excitement for the mission.,3.0,3.0,2.0,2.0,3.0,1.0
2017-09-24,,,Former Employee ,Fun place,Fun place,0,"Good atmosphere, smart people. Nice",would be more cohesive with other museums,,3.0,,,,,
2017-07-16, Intern,"Chicago, IL",Current Employee ,Intern,Intern,0,It's a lovely place to work with a lot of awesome people around. They're respectful and great. You'll have access to a lot of great resources.,"Sometimes it takes awhile for work to be done, and if you need someone in a different department to do something for you you'll need to remind them a lot.","Keep everyone on their toes, to keep everything in a timely manner.",5.0,5.0,5.0,5.0,4.0,5.0
2017-06-08,,,Former Employee ,Customer focused,Customer focused,0,"Friendly staff
Providing accurate physics/engineering concepts through science activities which leaves you in no position to be bored
Good hours","Pay is bad
Lack of diversity",Tickets are confusing to museum customers,4.0,4.0,4.0,2.0,3.0,3.0
2017-06-09, Guest Service Representative,,Current Employee ,"Great for support staff, terrible on the floor","Great for support staff, terrible on the floor",0,"-Cool environment
-Adler supports great things
-Great immediate supervisors","-Terrible wage (minimum)

-No organization between departments, very chaotic in crowded times

-No inter departmental upward mobility (applied for a job within the planetarium that I was over qualified for in an attempt to stay with the museum, resume was completely ignored by HR until position was filled.)",-Pay more attention (and money) to the staff on the floor,3.0,3.0,4.0,1.0,1.0,3.0
2017-05-09,,,Current Employee ,Floor Staff is continuing to evolve,Floor Staff is continuing to evolve,0,Interactions with guests on the floor are top notch,Communication and collaboration between departments is really bad. Right hand doesn't know what the left hand is doing.,Pay floor staff a competitive wage or you'll continue to lose staff to other institutions,4.0,4.0,4.0,3.0,2.0,3.0
2016-11-12,,"Chicago, IL",Former Employee ,getting there,getting there,0,They are trying to build and are getting better. Most of the executive leadership is good. It's a good place to work for those in the programs/education/citizen science field. They have more freedoms to work in a fun environment.,There is no collaboration between different departments in the administration area. Each department silo's itself and does their own thing. Departments almost act as their own separate little companies. Those that work in the administration area don't enjoy the same benefit as those in the programs/marketing departments. Administration employees are stretched and are often doing the work of others.,Administration teams should be more collaborative.,3.0,4.0,2.0,4.0,4.0,2.0
2016-10-07,,,Former Employee ,Low morale,Low morale,0,"Awesome view of city
Cool programs and people","Lack of communication and collaboration between departments
Poor leadership",Find a way to make employees feel more valued.,3.0,5.0,3.0,2.0,3.0,3.0
2016-07-04,,,Former Employee ,A bit of a mess,A bit of a mess,0,"Great people to work with
Fun place to work","Back office staff was very cold and unfriendly
Poor management of staff",,4.0,4.0,1.0,1.0,2.0,1.0
2016-07-25,,"Chicago, IL",Former Employee ,Museum Guard,Museum Guard,0,"Accessible using the cta, and great view of the city. If you are passionate about space and solar system, then you will like this job.",Standing for long periods of time in a very vintage style space museum. You will find yourself bored a lot and depressed in a building with very little lighting. Plus the pay is disappointing.,Management needs to do a better job of motivating their workers. A lot of i found it extremely difficult to get and go to work.,1.0,2.0,2.0,1.0,1.0,2.0
2016-05-14,,,Former Employee ,n/a,n/a,0,The Staff's Dedication to the Mission of the Organization,The Institution's lack of Strategic Plan,,4.0,,,,,
2016-02-29, Guest Host,"Chicago, IL",Current Employee ,"Ok, but still needs work","Ok, but still needs work",0,"Friendly staff, flexible hours, helpful people",Management still needs work and communication can be terrible. Understaffed,,3.0,3.0,3.0,2.0,2.0,3.0
