date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-21,,,Former Employee ,Sales,Sales,0,"Great Pay,employee benefits are great too",Long hours leaves little time for family.,,5.0,3.0,5.0,4.0,4.0,3.0
2019-04-25, Account Manager,"Chico, CA",Current Employee ,Account Manager Intern,Account Manager Intern,0,"You get to work a lot of ambitious people. Through the 32 online training, you do learn a lot about insurance.",No guidance. No training. Lack of communication from upward management. All commission based. No base pay.,Establish a more structured internship. Introduce a training program. Allow the ability for advancement.,2.0,3.0,3.0,4.0,1.0,4.0
2019-04-08,,"Crown Point, IN",Current Employee ,Fantastic company,Fantastic company,0,"Flexible hours, bonuses are huge, you get out what you put in.",Not for those who are not self motivated.,None,4.0,5.0,4.0,4.0,3.0,3.0
2019-04-18, Distr,,Current Employee ,Decent early career opportunity,Decent early career opportunity,0,"good environment, good people and atmosphere",upper management isn't the most supportive,,3.0,4.0,3.0,2.0,4.0,2.0
2019-03-15, Customer Service Specialist II,"Columbia, SC",Former Employee ,Loved it.,Loved it.,0,"Employees are celebrated and shown that they are appreciated, at least in our department. I only left because of a schedule conflict.",None in my honest opinion.,,5.0,5.0,5.0,5.0,5.0,4.0
2019-04-06,,,Former Employee ,Too much for too little pay,Too much for too little pay,0,It's a job for the moment....do not get complacent.,Employee Appreciation week is great.,,1.0,,,,,
2019-02-28, Insurance Producer,"Frederick, MD",Former Employee ,"High potential, huge risk (insurance producer/sales)","High potential, huge risk (insurance producer/sales)",0,"Commission package is generous if you're able to keep up. Aflac is a great company, they genuinely care about their customers, and want to help people.","As an insurance producer you are responsible for finding all of your own business entirely. It's B2B soliciting and cold calling - 150 cold calls per appointment, 40 doors walked through per appointment are the statistics. If you can get one appointment per day then you'll do great, but you MUST have a drive to succeed and a passion for sales. If you can't manage yourself, and can't make one appointment per day then you will fail, and it is 100% commission as a 1099 employee. No benefits. Either you can enjoy B2B sales and soliciting or you can't, there is no in between with the job. If you can't, then you won't make money. If you're on the fence and need a guaranteed paycheck then find a W-2 position elsewhere. I have it a shot because I liked the idea, I liked the idea of being my own boss. I just couldn't bring myself to ever cold call, I hated it once I started trying it, and door to door was better but I just didn't have the drive for it. Just know what you're getting in to. You can absolutely succeed if you have the drive and the passion, but it's a hard road your first two years.","Feedback I've had from a business owner who used to have aflac: it was impossible to get a hold of the rep and there was no support, it made it seem like all we cared about was the initial money. I think you'd do much better off having dedicated W-2 account servicers, who specialize in account retention. I know a lot of that goes to the more seasoned sales producers, but it's very hard to get a new producer started and keep them onboard long enough to get to that point, meanwhile accounts fall off the books.",2.0,5.0,5.0,5.0,2.0,5.0
2019-02-21,,,Current Employee ,Claims Specialist,Claims Specialist,0,"We have great benefits, 401K is important to me as well as PTO",Management can sometimes seem uncaring,,5.0,,,,,
2019-03-23, Account Representative,"Chattanooga, TN",Former Employee ,Don't waste your time with this company.,Don't waste your time with this company.,0,"I cannot think of one, thanks.",It's a terrible job I wouldn't recommend it to anyone.,Just get all new management.,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25, Sales Associate,,Current Employee ,My career with Aflac provides me the opportunity to have an income while still having time to take care of my family.,My career with Aflac provides me the opportunity to have an income while still having time to take care of my family.,0,"Flexible schedules, excellent compensation, great coworkers",This job may not be a good fit for people who have a hard time with communication or who are not self disciplined.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-25,,"Columbus, GA",Current Employee ,Great Company,Great Company,0,The company provides great benefits to their employees.,The company is slow to change with the industry.,,4.0,4.0,3.0,3.0,3.0,2.0
