date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-19, Part Time Courier,"Irvine, CA",Former Employee ,I miss working at Alto,I miss working at Alto,0,I was hired when Irvine area opened up so I was one of their first couriers and I really miss it. I loved being able to choose my own schedule. And driving was enjoyable for me personally. This was one of the few companies I felt respected and valued at and I've had 4 other jobs that all made me feel belittled or ignored. Jill was easy to talk to and took employee disputes into consideration. They also gave us free drinks and snacks to take with us on our drive which made it hard to ever feel upset or mistreated. The dispatchers helped minimize problems on the job as well. I think you get paid for your drive home too which is more than fair. Better than UBER or LYFT by a long shot but unlike these companies they don't hire everyone.,"I left the company because of school and I think they might have raised wages and even improved working conditions for employees. When I was working there, we had to drive all the way to LA which during traffic could turn out to be a 4 hour trip there and back. A lot of employees complained about this but I think they opened up a new office so you don't have to do that anymore.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-16,,,Former Employee ,"Great people, lots of growing pains","Great people, lots of growing pains",0,"Alto hires some of the best, most empathetic and hardworking people I've ever worked with.","Alto has had issues with growing responsibly. Management does not communicate well/at all, and they started cutting corners with taking care of employees when the new HQ launched (promising things that never appeared, cutting vacation and sick time, etc.). Wages tend to be lower than other tech companies, but management doesn't recognize that when it's pointed out to them. They started firing a lot of people while I was there and never communicated to the team why or did anything to make people less afraid for their jobs. The culture has really gone downhill fast in spite of the great people.",,3.0,4.0,2.0,2.0,2.0,
2019-04-12,,,Current Employee ,a company that needs a lot of change.........,a company that needs a lot of change.........,0,"Good mission and values. helps patients, not its own people.","No senior leadership, morale is very low, tons of changes, no consistency, no real culture, bad internal comm's, and lots of attrition.",,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-18, Patient Care Specialist,,Current Employee ,Lost it's way,Lost it's way,0,"- great co workers
- catered lunches
- decent starting pay

Alto pays well for the type of work, however there is very little room for advancement of pay, so you start off more or less at your maximum pay scale. Everyone who works here on the front lines is amazing, you will meet some fantastic people. Catered lunches and snacks are a plus, but aren't what they used to be.","- long hours
- patient care is being moved out of state, despite what company leaders say
- little recognition for good work
- micro management
- terrible company culture

Alto was once a place where everyone seemed valued and heard. Ever since they opened their second office it seems like the staff located in San Francisco, who work in patient care and pharmacy operations have been forgotten about. Benefits have been changed with little notice. Pay increases have been pushed out so far that they dont even seem real anymore, with finally very few people getting any sort of increase, despite positive yearly reviews. Company culture is now if you speak up or share your opinion you will be fired. Very long hours that include weekends and holidays. At times there are not enough delivery couriers to make an urgent delivery so someone in patient care has to do it.","Be honest with the SF staff and let them know if their jobs are at risk or not. Culture here is getting worse and little seems to be done to fix it. Transparency goes a long way, we can tell you are trying but it seems like one step forward, two steps back at times. You are losing staff who helped build Alto because of these things.",1.0,3.0,1.0,1.0,3.0,1.0
2019-01-27,,,Current Employee ,"Really strong team, growing like crazy, making a real impact on people's lives, and actually lives its values!","Really strong team, growing like crazy, making a real impact on people's lives, and actually lives its values!",0,"- Strong, diverse, and passionate team from tech and healthcare
- Core values that people actually believe in and embody: Patients Come First, Leave No Patient Behind, Start With Empathy, Focus On Impact, Think Rigorously, Be Humble
- Prioritize Diversity & Inclusion: 40% of leadership team is female, 40% of tech team is female
- Everybody at the company actually cares about helping people, and you can feel that passion at work everyday!
- Company is growing really quickly (revenue has been doubling every ~6 months)
- Really tough and interesting challenges to work on, rebuilding the way the pharmacy industry works from the ground up
- Fast growth enables opportunity for personal growth - if you are good, you can get opportunities to take on a bigger and bigger role very quickly!","The company has had some growing pains as it has scaled from ~80 to ~220 employees over the last year, and has expanded from just SF to offices in LA, OC, and Denver. It takes time to build infrastructure to support that kind of growth, and in certain areas the growth has outpaced the infrastructure to support it. But it's clearly catching up, especially in operations and customer support, where the biggest changes have happed in the last few months with the opening of the Denver operations office. This type of expansion is always a hard things for startups, and many other fast growing startups have had similar growing pains when opening their second support office. It just takes time.",Keep working hard and living your core values. Keep putting effort into building out the infrastructure to support the company's growth. And keep hiring amazing people that share our values!,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-25, Product,"San Francisco, CA",Current Employee ,"Team is passionate, company is growing and having positive impact on patients!","Team is passionate, company is growing and having positive impact on patients!",0,"I've been a patient of Alto and joined Alto a year ago. I love the company's mission to redesign the pharmacy experience and I enjoy seeing the patient testimonials flying in throughout the day. The team is fun, humble and has strong values (e.g. patients come first). The new hire on-boarding was amazing and I've been impressed by the care and quality of people, all coming together from across health care and tech. I feel lucky to come to work at a company with both solid business and social impact.","The company is growing fast and located in multiple locations, so there have been growing pains and it is harder to communicate across teams. I'm happy to see the company has been hiring more experienced managers and structure on the operations team.",More communication of goals and timelines across teams so we can all stay more motivated and united. Create more career development opportunities and tracks across different functions.,5.0,5.0,5.0,4.0,4.0,5.0
2019-01-20,,"San Francisco, CA",Current Employee ,"Amazing team, incredible growth, and making a real impact in healthcare","Amazing team, incredible growth, and making a real impact in healthcare",0,"-Can see the immediate impact Alto has on patients every day
-Great technical, operational, and clinical challenges to solve
-Rare growth trajectory for a healthcare startup
-Diverse team from both healthcare and tech
-Great culture where the team actually lives and demonstrates the values
-Hardest working founders and team around, but everyone somehow is still able to take vacations and time off. Great teamwork!","-Growing very fast while trying to solve very hard problems creates some growing pains (if it were easy it would have been done already)
-A few reviews call out issues in patient care (customer support). It has been a challenge for our patient app, internal systems, and communications to keep up with the growth (and expansion to Denver), but the team has made tremendous progress and we are close to closing the gaps soon","All other pharmacy startups have failed or were saved by acquisition. Kudos to you for doing it the right way by focusing on patients, connecting the other key stakeholders through technology (providers, payors, pharmacists), and building the software from the ground up. Keep it up and continue to stay true to Alto's values!",5.0,5.0,5.0,5.0,5.0,5.0
2019-01-08,,,Current Employee ,I Love Working at Alto Pharmacy!,I Love Working at Alto Pharmacy!,0,"An incredible culture of empathetic, humble, and hard-working people who are all here to improve the lives of our patients. It doesn't' matter what role or level you are, everyone is here to make an impact and that has created a very exciting and passionate working environment.

Opportunity to take on projects or tasks outside the scope of your role to gain skills in other areas.

Fast-moving environment. You're never bored! There are always things to do. You can really feel like you are making an impact at this company and with our patients.",It can be hard to work at a startup. There are growing pains and a lack of structure since everything is new and starting from the ground up. BUT that can also be really exciting if you look at it as an opportunity rather than a roadblock.,Keep on thinking about your people. Your people are your patients. You are all are so hardworking and dedicated and I really appreciate working with all of you.,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-01,,,Former Employee ,They delete negative reviews with good points.,They delete negative reviews with good points.,0,"The people you’ll meet while working at Alto are going to be the best people you’ll ever meet. They did a good job, at least in SF, of hiring great people who cared a lot about patients and pharmacy. I never went to Denver so cannot speak on that.

Working in ops isn’t a bad call center job as long as that’s what you’re looking for. Patient Care is salaried and Pharmacy Ops is paid higher than market rate.","They’ve deleted at least one negative review, based on observation. The negative reviews point out genuine flaws- the positives just copy/paste from the values from the website.

“Growing pains” are one thing, but in the span of one year, we went from fully paid lunch and insurance to paying for insurance and full catered lunch 3 days a week. The building got broken into. My department was created, then smushed into another department. I went through three different managers. Perhaps that’s expected from a startup?

At one point, four members of the 15+ patient care team were handling the department with >60% of the patients, and when those people asked for help from other departments, they were given people with no care experience in other departments who had just started at Alto. Crying is normal, expected even.

Plenty of genuinely qualified people have been let go. They won’t give us more information as to why, so we draw the conclusions we can. It’s seemingly because they challenged leadership and asked questions like, “why are we moving to denver when we don’t have the processes in place to make it work?” and “can I go to the bathroom without being harassed by my manager on slack?” If it’s not because of that? Well, no explanations were given, and people are scared of stepping out of line just in case.

I’ve heard things about training in denver- people who travel to denver from SF to train (groups of 5+) aren’t given resources they need and are working on the fly. Instead of going home to relax after training large starting groups, the training personnel live in one AirBnB for the duration of their stay.","Transparency. If the goal is to start a call center, tell your staff that. If you’re letting someone go because of a genuine reason, let your staff know so they don’t fear for their jobs.

Also, hire managers and leads from outside the company.",1.0,1.0,4.0,2.0,3.0,1.0
2018-12-05,,,Current Employee ,great company in the health space,great company in the health space,0,"hard work is recognized, management is transparent, welcoming, open to ideas, motivates you on 1-1s (consistent and fair) and really cares and pushes you to be better, raised a nice series C","its a job, like any other job its work","keep it up, lets make this an awesome company for patients and employees",5.0,4.0,5.0,5.0,5.0,5.0
2018-12-07,,"San Francisco, CA",Former Employee ,They sold themselves well but it was all a lie,They sold themselves well but it was all a lie,0,"Free catered lunches daily and free snacks
Amazing co workers who care about helping patients
Monthly happy hours and Christmas party
Above market pay and good benefits","They sold themselves as a different company who actually cares about their employees but it was all a lie
Lack of communication amongst departments especially within customer support.
Terrible management with no experience, I constantly complained about the lack of support my manager gave me and nothing
was ever done
I was verbally attacked by a co worker during my first month of work and nothing was done. Also when I started, they didn’t even have a HR department to handle disciplining employees

They do not have basic things in place such secured doors and many other policies that moat companies at their level have
Favoritism is rampant, I was overlooked for a position I was more than qualified for and was given a list of things I was doing wrong by someone who wasn’t even my manager.

People were fired left and right and everyone is scared to loose their job and it is never addressed","Get better managers who are trained and have experience managing employees and stop just picking favorites. Start listening to your employees about why they are unhappy and do something about it. Start giving employees positive feedback instead of negative, everyone works really hard and is not appreciated for it!",1.0,,,,,
2018-11-19,,,Current Employee ,"Alto is trying, but not hard enough or in the right ways","Alto is trying, but not hard enough or in the right ways",0,"- Grateful for daily lunch, also grateful that unnecessary snacks are not abundant but I know that might annoy others.
- Everyone on my team is an inspiration: hardworking, committed, and caring people.","- Terrible communication across the company; 99% of company announcements are in various Slack channels you have to keep tabs on to know what is going on.
- Slack is used as a tool in passive aggression (eg instead of delivering ""feedback"" in person, it is sent on Slack outside of work hours and in a tone that would not be used in person) and surveillance of employee communications and behavior (eg screenshots of private convos sent to others regularly, cc someone's manager when you want to be sure their actions are being monitored, etc.).
- Coworkers seem genuinely unhappy and uninspired for the most part and I have heard more than one person say that the only thing keeping them at Alto is the loyalty they feel to their team (not the mission, the patients, or their managers).
- Horrible work-life balance and you feel self conscious about working anything less than 10 hour days. Could not imagine having a family and working here.
- ""Unlimited"" vacation policy is not actually unlimited; it's a ""recommended 15 days.""
- Total benefits package is weak and not competitive.","- Be more transparent. About everything, but especially when coworkers leave or are let go (which feels very frequent), about changes in organizational structure, changes in company policies, and how the company is doing compared to its competitors.
- Either provide much more support to mid- and senior-level managers who are extremely unqualified and inexperienced, or hire new managers to lead and hold your teams together.
- Show appreciation for employees that extends beyond boba tea and other sugary junk food (suggestions include kind and encouraging words and public recognition for a job well done, even if it's just within the team).",1.0,1.0,1.0,1.0,1.0,1.0
2018-11-17,,,Current Employee ,Bamboozled,Bamboozled,0,There are daily catered lunches,"Alto is portrayed as an inviting and open work environment but it’s all a facade.

Hard work will not be recognized or rewarded. Employees are not respected by management. Raises are non-existent and promotions are based on favoritism.

Challenging management, good or bad, will get you fired. The office is quite empty now. In order to survive here, you must keep your head down and lay low.",,1.0,3.0,1.0,1.0,1.0,1.0
2018-10-19,,,Former Employee ,Disappointing,Disappointing,0,"The people are kind and great to work with.

Food.

Ambitious goals.","Micromanagement across many departments, even for extremely repetitive and mind-numbing tasks.

Unfulfilling work.

Extremely inefficient systems.

Strange atmosphere of surveillance.

High turnover (and firing) rate.

Low employee satisfaction.

Lack of transferrable skills to other companies.",,2.0,,,,,
