date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-22, Program Manager,"Arlington, VA",Current Employee ,Great place to work!!,Great place to work!!,0,"Room for growth if you demonstrate you can handle it!
Great support from the top down
Very flexible, no micro-managing!
Great benefits!",None to report at this time,Take the time to speak with all employees when you can!,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-26, Analyst,"Havelock, NC",Current Employee ,Great work environment,Great work environment,0,Great flexibility and stability. Yearly company profit sharing (bonuses).,Significant raises may be hard to come by.,Provide routes for lower level employees to gain knowledge and experience for promotion.,4.0,5.0,5.0,3.0,3.0,5.0
2018-04-24, Logistician II,"Oklahoma City, OK",Current Employee ,Logistician II,Logistician II,0,"Very relaxed, flexible and professional.",Sitting behind computer all day.,I love the people and atmoshpere but I need a job where I can be more active.,4.0,5.0,5.0,2.0,3.0,4.0
2017-02-10,,"Orange Park, FL",Current Employee ,Growing Firm,Growing Firm,0,"Great management
Family friendly
Stable in its niche","You have to make your job interesting because it will not be interesting by itself. On the plus side, it is entrepreneurial enough where you get to do it.",,5.0,5.0,5.0,5.0,4.0,5.0
2017-01-10, Senior Logistics Manager,,Current Employee ,"Operations Logistics Manager, Senior","Operations Logistics Manager, Senior",0,Great Team and work ethic!,My office is in Lexington park,Keep doing all the great things you do!,5.0,5.0,5.0,5.0,5.0,5.0
2016-12-29, IT Program Manager,"Jacksonville, FL",Current Employee ,"Great place to work. Great culture, leadership, benefits, and organizational camadarie.","Great place to work. Great culture, leadership, benefits, and organizational camadarie.",0,"Work environment is very relaxing and accommodating. Benefits are excellent.
Leadership consistently acknowledges the employees are the key assets to its success.",I have no cons at this time. All my experiences with the company has been positive. As the company continue to grow so does the culture. No negative feedback at this time.,N/A,5.0,5.0,5.0,4.0,5.0,4.0
2016-11-15, Engineering Intern,"Jacksonville, FL",Former Intern ,Engineering Intern,Engineering Intern,0,The atmosphere is very relaxed. There are not any strict deadlines. There hasn't been any reductions in benefits since before 2013.,"The work is very boring. Like very, very boring. It is combing through rows and rows on a spreadsheet to find specific info. Repeat ad nauseam.",Management is honestly great. They are very laid back and very helpful during my internship. Upper management is very receptive and open to meeting with anyone.,4.0,5.0,4.0,4.0,4.0,5.0
2016-10-14,,,Current Employee ,Engineering Intern,Engineering Intern,0,"-Friendly work environment with good benefits.
-Very established in its niche and regularly rewarded the Navair contracts they bid on.
-Good vacation and holiday benefits","-Pay offered is just average at best.
-If you want to travel or crave any sort of excitement this job may not be for you.",,4.0,,,,,
2016-07-22,,,Current Employee ,Not Bad,Not Bad,0,"Fair benefits, great people and decent working environment. Small bonus at end of year. Very pro Military as expected for a Government Contractor.","0 potential to move up in the Company. Good old boy network firmly in place. Pay raises, forget it. Very typical Government Contractor.",Recognize your good workers. An occasional decent payraise would be nice instead of a few pennies an hour.,3.0,4.0,3.0,2.0,3.0,4.0
2016-05-15,,"Virginia Beach, VA",Former Employee ,Body shop,Body shop,0,"Competitive salary and benefits, and friendly coworkers, they make an effort to provide the tools you need to do your job.","Sue to size, they tend to be a body shop - if a contract ends, they generally do not have available comparable positions. If the win a contract, they will offer positions to incumbents, but not always at the rate they were previously getting.","You expect loyalty from your employees, but you are not always loyal to your employees. You need to offer more training opportunities so employees will have an opportunity to grow.",3.0,4.0,3.0,2.0,3.0,3.0
