date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-15,,,Current Employee ,Great Friendly People and Atmosphere,Great Friendly People and Atmosphere,0,Great overall experience at lab,Nothing negative I can say about the lab,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-28,,"Lemont, IL",Current Employee ,Half and Half,Half and Half,0,"Argonne has wonderful benefits. I am proud to work here because of all of the important research they do which benefits the environment, etc.","Some managers/supervisors have no experience managing people and it shows.
Management plays favorites and employees are promoted depending on who yu know instead of experience.","Treat your employees equally. Follow the CORE VALUES.
Don't allow overtime for employees who don't work hard during regular hours.",4.0,3.0,3.0,2.0,4.0,3.0
2019-01-28, Staff,,Former Employee ,Slow-moving big ship,Slow-moving big ship,0,"Great benefits, passionate colleagues, interesting work environment","Slow moving, old fashioned, projects sit for years with little progress. Lack of investment in mission support departments. People stay for a short amount of time or for decades with little in between",,3.0,3.0,3.0,3.0,5.0,3.0
2019-01-07, Postdoctoral Associate,,Current Employee ,A nice place to work,A nice place to work,0,Professional. Decent pay compared to university.,Universities have more interesting events,,5.0,4.0,5.0,5.0,5.0,5.0
2019-01-16,,"Lemont, IL",Former Employee ,Should be better than in is,Should be better than in is,0,Some of the best science in the world takes place here; world-class facilities. People generally good minded and focused. Great global recognition.,"Senior management and leadership teams spend too much time shuffling deck chairs, reorganizing departments, promoting folks with poor leadership skills, and allowing short term thinking to guide their strategy. Everything is a crisis. Too many fiefdoms. And if you cross an age-barrier, you are suddenly part of the problem needing to be solved.",Lead people and get out of their way. Decouple age from lack of motivation. Enable the scientists. Hold leaders accountable. Stop focusing on reorgs and turning over staff. Stop being ageist. Let people do their jobs.,3.0,3.0,2.0,4.0,4.0,1.0
2018-12-22,,,Current Employee ,World class science in action,World class science in action,0,"- world class science happens here. Strong collaboration with scientists and engineers
- Leadership is informed, communicative and engaged. Very aware of the close knit community of employees and works hard to engage with teams despite being very hierarchical.
- Range of work is very broad and across the spectrum.
- Family friendly environment and expectation is you have a life outside the lab.
- People are nice, laid back and do not play politics
- Depends on where you work, the range of projects can be downright spectacular and trail blazing.
- Campus is large and offers plenty of outdoor walking, trails and other activities
- Pay is ok, perhaps below industry levels but benefits are good","- Far away from the City. Lab is pretty much in the middle of a forest away from most things. Getting here can get cumbersome. Traffic on I-55 can be killing in both directions.
- Bureaucracy defines everything here. Tons of paperwork to get anything done which means sometimes the place is a graveyard of great ideas.
- Nothing moves fast. See above.
- Pay is lower than industry scale. Most people are here for the science and mission. It sort of compensates by offering good benefits.
- Most positions have no room to grow. People stay on in their positions forever and leave only when they retire. Can get frustrating for young and ambitious achievers.
- This is not intentional, but diversity is some what lacking in leadership and across the lab.
- Science and scientists drive everything at the lab, everything else resolves around supporting the science and can sometimes be relegated to the background.
- some of the facilities are truly truly ancient from WW2 era...",Keep doing what you do and take your staff along. You are doing great to keep Argonne the great family friendly facility. Please identify career growth opportunities and frameworks for growth so people know where they can reach.,5.0,5.0,4.0,3.0,4.0,4.0
2019-01-09, EM Specialist,"Chicago, IL",Current Employee ,Emergency Management advise,Emergency Management advise,0,Fascinating science and research environment,"For EM / COOP.... outdated, unprofessional, unqualified",Your EM staff is unqualified,2.0,2.0,2.0,1.0,5.0,1.0
2018-12-19,,,Current Employee ,Good research place to balance life and science,Good research place to balance life and science,0,"Good benefits, low pressure, good life style, lots of freedom","Low productivity in science, scientists are old, lots of bureaucracy",,4.0,5.0,4.0,4.0,3.0,4.0
2018-11-12,,,Current Employee ,Anonymous,Anonymous,0,"The People, Salary/Benefits, Work/Life Balance, Mission Driven.","Struggle on how to develop its people. Decision making is slow, very higher-ed driven.","Continue to focus on employees, current and future. More resources needed in developing employees. More resources to hire the best people.",4.0,4.0,3.0,4.0,,
2018-10-24, Postdoctoral Associate,"Lemont, IL",Current Employee ,postdoctoral appointee,postdoctoral appointee,0,Very friendly environment and peoples are super nice.,Nothing can complain about. Or maybe the food from cafeteria should improve a little bit.,,5.0,5.0,5.0,5.0,5.0,5.0
