date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-28, Senior Mechanical Engineer,"Los Angeles, CA",Current Employee ,One of the rare great consultant companies,One of the rare great consultant companies,0,"Flexible schedule, steep learning curve, international mobility","Difficult promotions to leadership levels (much easier to get into leadership as direct hire, than as career progress). Almost no demotions whatsoever, which translates to lack of liability for mid level leaders.","Keep looking for ways to improve some things, and listen to your employees - they have a lot of constructive things to suggest.",5.0,4.0,5.0,4.0,4.0,2.0
2019-04-24, Energy Engineer,"Los Angeles, CA",Former Employee ,"Wonderful company with great mentors, interesting projects, and good culture","Wonderful company with great mentors, interesting projects, and good culture",0,"healthcare and benefits, smart people, interesting/exciting projects, great culture, supportive of learning/development, sponsor personal research projects",the base salary isn't that great and there's slow career growth in terms of promotions,,5.0,5.0,5.0,3.0,4.0,4.0
2019-04-25,,,Current Employee ,Senior Engineering Technician At Arup Totonto,Senior Engineering Technician At Arup Totonto,0,"Competitive salary, and benefits,
Advanced design software","Remuneration between peers not transparent
Admin staff can be unhelpful at times",,4.0,3.0,4.0,4.0,3.0,4.0
2019-04-22,,,Current Employee ,Senior Engineer,Senior Engineer,0,Quality of work and learning experience,Usually lower salaries than competitors,,4.0,3.0,5.0,2.0,2.0,4.0
2019-04-01, Analyst,,Current Employee ,Bad experience,Bad experience,0,Diversity in the work place,"Management, salary, no learning opportunities",,1.0,3.0,1.0,1.0,1.0,1.0
2018-12-24, Electrical Engineer Intern,"Boston, MA",Former Employee ,Electrical Engineer Intern,Electrical Engineer Intern,0,"Interns are given lots of high-quality resources for learning technical standards, company initiatives, and professional software tools. I personally felt like I was able to help with real work that was being done. I also felt very supported in my passion for automation, and felt comfortable asking senior engineers for help developing time-saving tools. The environment brought out the best in me, socially and productively.",The commute into Boston can be tough if one lives far away.,"All of the initiatives to promote a healthy office, in my short span of time there, seemed to really have an effect of the quality of life of everyone working there.",5.0,5.0,5.0,5.0,,
2018-11-13, Project Administrator,"San Francisco, CA",Former Employee ,Project Administrator,Project Administrator,0,"Best medical and dental coverage possible, extremely intelligent teams of engineers, and interesting international projects. Good work / life balance, most admin are non-exempt and require no overtime.","Specifically for people working admin, it's a super dead-end job with no hope of any sort of advancement ESPECIALLY if you are a woman. The salaries are really bottom of the barrel compared to the rest of the industry. Witnessed several men in generic admin positions get promoted to different fields from graphic design to cost estimating. Definitely a weird cult ambiance at times, with a keen worship of Ove Arup and his ideologies. A two-tier system is often in place, with admin / support staff not invited or allowed to many team-building events.",,2.0,5.0,1.0,1.0,3.0,1.0
2018-10-30,,,Former Employee ,Great benefits,Great benefits,0,"Good benefits
Good hours
Great company values",Hiring the wrong people and keeping them too long,,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-06, Engineer,"Boston, MA",Former Employee ,Pick your manager wisely,Pick your manager wisely,0,"Pay/benefits are good, nice office (Boston), stable workload. International/diverse coworkers.","Hours are obscene. It's not uncommon for people to do endless 60-hour weeks. Enormous company means any problems you have will be treated via flowchart. If your managers are bad, they will stay bad. So many layers of management means more meetings, means less availability.",,2.0,2.0,2.0,3.0,4.0,1.0
2018-10-21, Engineer,"Seattle, WA",Current Employee ,Engineer,Engineer,0,"Get to work on some of the absolute coolest engineering projects around the world.
Global company, always someone to help you solve your obscure engineering challenge.
Lots of smart, interesting co-workers.
Company values are laid out clearly in the Key Speech, written by the original founder.
People actually really care about diversity and equality.
If you get on a good team and cool project, you can have a 6/5 experience working here.","Experiences will vary from office to office and project to project-- if you get put on a sinking project with a bad manager, it's more like 2/5 to work here.
People aren't held accountable, so you have managers messing up over and over, and no one is ever fired or demoted.
Deadline-driven work means you're always rushing from one fire drill to the next.
Career paths are unclear. Roles are poorly defined.
No recognition for going above and beyond.
You're part of a big, slow-moving machine (good luck getting IT to help fix your computer, or getting HR to talk to you).","If you want to engage your younger engineers, you need to hold people accountable, stop letting people get away with bad work, it sends a really bad message. Similarly, show some recognition when someone does a good job. If you don't recognize a job well done, it really doesn't make people want to bother to put in the effort the next time around.",4.0,4.0,5.0,4.0,4.0,2.0
