date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-18,,,Current Employee ,Superb organisation to work for. Would 100% recommend.,Superb organisation to work for. Would 100% recommend.,0,"The lists of pros is very long. Some highlights include the market proposition, the people, the culture and the working environments.",Nothing to really speak of. Moving at incredible pace which occasionally presents its own challenges,,5.0,,,,,
2019-02-19, Marketing Specialist,"Seattle, WA",Current Employee ,Avalara is A-mazing!,Avalara is A-mazing!,0,"Overall great culture! For a company with offices around the globe, Avalara puts a lot of effort into helping our teams work together to stay connected. Extremely smart and friendly people work here - we care about each other every bit as much as we care about our customers and it shows! We are encouraged to have fun, think outside the box to find innovative ways to contribute to Avalara's success. Avalara's software positions us as an industry leader in sales tax compliance - it's hard not to be proud of where we are today and the journey it took to get us here.

Recent improvements in benefits is a huge plus (401K match), moving to our fantastic new office in Pioneer Square consolidated 3 office buildings (to everyone's delight) and it was no surprise to me that we won Geekwire's Geekiest office award for 2018! We are finding ways to be active in our neighborhood and give back to the Seattle community.

My hard work over the last year was rewarded with a significant pay increase. But pay isn't everything. I feel appreciated every day and that my voice and contributions are valued. Flexible work schedules with opportunities to work from home as needed provide excellent work/life balance. We have a mentor/mentee program in place and new employees are assigned an ""Ava Buddy"" to help them onboard.

Our leaders are doing a much better job of communicating with our teams through monthly all-hands meetings. Questions are candid and answers are honest, which everyone appreciates.

Avalara is a great place to work. Can we improve? Always.","I've read some of the less favorable reviews and quite honestly, I'm surprised -- this has not been my experience. My advice to these folks is to speak up and make your voice heard. We are given every opportunity to do so. Be the change.",Continue along this course of improvement. Your efforts are appreciated! Thank you for listening to us and taking our suggestions to heart.,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-04, Efile Processor,"Durham, NC",Current Employee ,"Repetition, repetition, repetition.","Repetition, repetition, repetition.",0,Great pay for what could easily be outsourced or automated. Work itself is extremely repetitive. Not ideal if you plan on climbing the ladder quickly.,Job will probably be fully automated by 2023.,Relay to the recruiters that this is an eFiler position with zero necessity to have a business degree.,3.0,5.0,4.0,3.0,3.0,4.0
2019-03-21,,,Former Employee ,Where did you find management? From a garage sale?,Where did you find management? From a garage sale?,0,Orange is my favorite color,Upper management is running this place in the ground. Middle management were clueless,Leave,1.0,,,,,
2019-01-24, Inside Sales Representative,"Durham, NC",Current Employee ,Amazing,Amazing,0,Growing company.. plenty of room for advancement,"Growing pains, comes with change",,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-21,,"Seattle, WA",Current Employee ,Going in the right direction,Going in the right direction,0,"Company is growing up post-IPO and making good decisions
Management seems to be listening and responding to issues
Not a lot of red tape for getting things done—opportunity to make an impact and get recognized for it
Smart, authentic people to work with—you won’t find many tech bros here
It’s a good time to be in the tax industry and Avalara is positioned well
Good work/life balance","Cross-team communication and processes are lacking
May be trying to do too much at once",Focus!,5.0,5.0,4.0,5.0,4.0,4.0
2019-01-08, Tax Analyst,,Current Employee ,Good place to work at,Good place to work at,0,Office has great people and decent management,"Once in a while have to work weekends, but we get days off to compensate.",,4.0,,,,,
2018-12-08, Director of Engineering,"Seattle, WA",Current Employee ,Fun place to do challenging work,Fun place to do challenging work,0,"Growing (recent IPO)
Lots of market opportunity
Lots of internal opportunity
Got everything they need to be another very successful Seattle tech company","Growing pains
Dysfunctional processes
Needs some C-level adjustments (they're working on it)","Get real about what counts as ""really important"" or ""urgent""",4.0,4.0,4.0,5.0,4.0,3.0
2018-11-19, Marketing Manager,"Seattle, WA",Current Employee ,A great place to learn and grow,A great place to learn and grow,0,"In the four years I’ve been working in the marketing department, I’ve seen continual efforts for improvement in employee satisfaction. (Keep in mind the experience at any company will vary drastically based on the team and the level of employee writing the review. Lots of disgruntled ex employees here whose perspectives are drastically different than what I’ve experienced.) Some pros: Recognition and growth opportunities for top performing employees. Flexible remote work opportunities. Great culture and lots of fun and talented co-workers who support each other. Good pay compared to all my past employers. I absolutely love working for Avalara. I feel so lucky and definitely glad I made the move here originally.","Change is a constant, so for those who don’t enjoy adapting to change it can be hard. There are still some challenges with cross team communication and collaboration that the leadership teams are aware of and trying to overcome. Some complicated processes that still can be streamlined to save time - on-boarding and training new employees probably takes longer than it should.",Stay in the know. Skip level meetings are great to be sure you’re getting the full picture of the challenges and needs of all the teams. Keep finding ways to promote from within whenever possible to keep long time employees around. Don’t ever lose the core Avalarian culture that has made us so successful!,5.0,5.0,5.0,4.0,5.0,4.0
2018-12-13, Partner Sales Manager,"Durham, NC",Current Employee ,What once was a great place to work is no more,What once was a great place to work is no more,0,Not many anymore. The software is great.,"Seeing new upper management come in and fire a majority of my co workers is concerning. Directors seem to care more about themselves rather than their team. Quota being increased next year after being extremely successful this year, seems like I’m being punished for overachieving. Poor benefits, culture is deteriorating. Career growth is almost non existent internally, they prefer to hire outside.",Start over. Rethink strategy. Put your employees first.,1.0,2.0,2.0,1.0,3.0,1.0
2018-11-08,,,Current Employee ,Full Time employee for 7 years,Full Time employee for 7 years,0,Amazing people to work with,Compensation is still Kitsap County wages even though we moved to Seattle,,4.0,3.0,5.0,4.0,3.0,3.0
2018-11-11, Customer Account Manager,,Current Employee ,Good pay in exchange for the chaos,Good pay in exchange for the chaos,0,"Great industry, vision, and C-suite. Compensation is decent (currently). Product is great and fills a need. Parental leave, Employee Stock Purchase Program are good","Pure chaos and overworked is an understatement. You will see Jr and Sr people working late or on the weekends just to keep up. The happiest people are the ones who are checked out and don't care. Comp plans change every 6 months, and quotas/commissions change every quarter. Part of compensation is on metrics that are difficult to measure, or ensure accuracy. Employee morale is very low (in Seattle) in the loyalty department despite actionable verbatim feedback on how things can improve.","Your vision and passion is getting lost in middle management. People were promoted into positions they are not qualified for, and it ends up hurting the organization. You have folks that want to improve the organization and customer experience, but are shut down because it could look the management team above look bad.",3.0,2.0,2.0,2.0,4.0,5.0
2018-11-30, Tax Analyst Contractor,"Durham, NC",Former Employee ,Terrible management,Terrible management,0,Modern building/decor. Good view. Free food occasionally. Flexible,"A lot of miscommunication or should i say NO communication at all.
Not good for contractors/temps. Treat you like not part of the company and you're working there like a machine.
Micromangement to the maximum level.
A lot of gossip gang and people do not know how to mind their own business.
No feedback or one on one progress review even after requesting.
Does not listen to temps, just do your work and go home.
Expects to go wayyy above and beyond but no appreciation
Favoritism and sexism.",Be open to critics and not take it personally!!!!! Listen to your employees and give me feedback often. Be involved with even bottom level employee. Be approachable and connect to personal level!!,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-01,,,Current Employee ,Love my job!,Love my job!,0,This company has a great culture and energy! The communication is good and always improving. It seems the company listens to employee feedback and makes changes.,The low 401K match really needs improved.,Keep listening and improving! I'm so proud to be part of the team.,5.0,5.0,5.0,4.0,4.0,5.0
2018-09-24, Director,"Seattle, WA",Current Employee ,Mixed,Mixed,0,Dynamic. Energetic. Casual. Fun.,Dysfunctional leadership. Short term focused. Complex customer experience.,Operational competence lacking,3.0,3.0,2.0,4.0,4.0,1.0
2018-10-19,,,Former Employee ,"Bad culture, low pay","Bad culture, low pay",0,"Some great coworkers, overall hours weren't bad.","Bad senior management, dysfunctional culture, low pay and little advancement opportunity.",,1.0,2.0,2.0,1.0,2.0,1.0
2018-08-17, Sales,"Seattle, WA",Former Employee ,Good place to work,Good place to work,0,Great team and location of office,Hectic pace. Constant shifting of revenue goals,None,4.0,4.0,4.0,4.0,4.0,3.0
2018-08-15, Engineer,"Seattle, WA",Current Employee ,Going places,Going places,0,"Constantly moving up, constantly changing",Constantly changing without fixing previous issues. There is so much potential but the forward thinking is so fast that the current issues get swept; which makes moving forward that much harder.,,4.0,3.0,4.0,2.0,3.0,3.0
2018-08-02,,"South Seattle, WA",Former Employee ,Great company to work for,Great company to work for,0,"Company has the potential and ability to be the leader in tax compliance, and they are pretty much there. Lots of new content. It was challenging but extremely rewarding. I read the bad reviews from other people and I just don't understand why they would say, disgruntled employees maybe? It's a fun environment but you have to perform.","it's a growing company, so there are areas where they are weak (retirement benefits, bonuses, etc.). Overall, I didn't see anything wrong with this company.",invest in your employees and increase your 401K matching.,5.0,4.0,5.0,5.0,5.0,4.0
2018-07-18,,,Current Employee ,Leadership,Leadership,0,Avalara is an unbelievable place to work. The culture is fantastic and the people I work beside are some of the best in the business. The company has invested in new leadership and building out our channel team which has had such a positive impact on our momentum. Highly recommend Avalara to people seeking employment and customers who are looking to solve problems!,Operations team needs support.,Please invest in our operations department so they are more equipped to handle the growth of our organization!,5.0,5.0,5.0,5.0,4.0,5.0
2018-07-18, Partner Sales Manager,"Durham, NC",Current Employee ,Partner Sales Manager,Partner Sales Manager,0,I love working at Avalara. I enjoy telling people about Avalara and my job and the people that work here. The culture is uplifting and I have never met a single negative employee. Obviously the products and services that Avalara offers are world class and second to none.,It was a little more difficult to get ramped up than anticipated but I'm firing on all cylinders now and the support is great. I enjoy working with my managers.,,5.0,5.0,5.0,5.0,5.0,5.0
