date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-13, Talent Advocate,"New York, NY",Current Employee ,Amazing Company to Work For,Amazing Company to Work For,0,"So far I have nothing but great things to say about Averity. They care about their employees, they take the time to train and provide continuous feedback on areas that need improvement and what you have been doing well on.

-They want you to strive to be better everyday. All around great environment

- Just moved to new office, space is amazing and company is growing!",Dont have any. Keep up the great work all around.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-03,,,Current Employee ,"Awesome People, Awesome Environment!","Awesome People, Awesome Environment!",0,"Working at Averity is truly a rare find in today's job market. Everyone is intelligent and has a great time at work. There is no such thing as the Sunday Scaries when the weekend is over, as employees want to come to work. The team environment is fantastic and there is always someone who is willing to help with any situation that may arise. There is no micro-management, which is great, and you are encouraged to take the lead with your work. Growth professionally and personally is an important part of the culture at Averity.",None that I can think of!,"The road ahead is bright, keep up the good work!",5.0,5.0,5.0,5.0,5.0,5.0
2018-11-20,,,Current Employee ,Amazingly Helplul,Amazingly Helplul,0,The people at Averity were great. I have spoken to many recruiters over the years and these people were one of the few that actually gave me consistent updates and checked in on me to make sure I was doing well at my new position. It was a pleasure to work with them.,Unable to think of any cons,,5.0,,,,,
2018-11-13, Talent Acquisition Specialist,"New York, NY",Current Employee ,Talent Advocate,Talent Advocate,0,"After coming from another recruitment organization Averity was a breath of fresh air. Here they treat both candidates, clients and employees with a huge level of respect and care. They are not a numbers game nor a burn & churn. The work environment is collaborative with everyone helping each other out. Work/life balance is great",-Need more diverse snacks,Keep up the great work. Everyday I look forward to coming to the office.,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-08, Manager,"New York, NY",Current Employee ,Simply the Best,Simply the Best,0,"Great People who are intelligent, driven, and caring. This is an environment that is like no other staffing agency I've ever been a part of. Great work life balance, great leadership, and a pursuit of legendary service to the clients and candidates that trust us.",You will be challenged every day to do your very best. (not really a con but a challenge),"After being a part of many staffing firms, Averity has the right approach. True teamwork will end up in better results for everyone. There is a better way to do this job than how people tend to pereive recruiters The Averity Difference is that way. Honesty, Transparency, Caring, and Professionalism.",5.0,5.0,5.0,5.0,5.0,5.0
2017-12-19, Talent Advocate,"New York, NY",Current Employee ,The best company I've ever worked for,The best company I've ever worked for,0,"It's an incredible place to work, and it starts with the culture. It's not just the insane vacation policy, opportunity to hit the gym during lunch every day, the cool music, standing desks, fridge stocked with beer, or the free massages. Everybody here legitimately wants everyone else to be successful, and we collaborate extensively to nurture each other's growth.

Coming from other recruitment agencies, I can say with confidence that things are done differently and better than the competition. We're niche focused and we work with great companies while interacting with smart, interested candidates. We hold ourselves to a standard and close deals without over-relying on KPIs. Most importantly, our work/life balance is unheard of. Where most recruitment agencies pressure recruiters to grind it out until exhaustion, we believe in having lives outside of work and working smart.

Joining Averity is the best decision that you'll ever make. Seriously.","It's still recruiting at the end of the day, which means plenty of ups and downs. You have to have a sales mentality and thick skin to be successful in this industry.",Keep on keepin on!,5.0,5.0,5.0,5.0,5.0,5.0
2017-06-08, Talent Advocate,"New York, NY",Current Employee ,"Smart, fun people who focus on service","Smart, fun people who focus on service",0,"There are so many good things to say about working here. I've worked in other recruiting firms and what they were lacking in, Averity excels. Everyone genuinely cares about their clients and candidates, and we do whatever it takes to provide exceptional service. Internally, everyone is always helpful, and it's great to be in a team environment. The office is in a good location, there's a stocked fridge, and it's a fun yet productive atmosphere. It's also a great work-life balance, which is hard to find in the staffing industry.","This is not really a con, but there is always work to be done. If you don't have anything to do, then you're not doing enough. It's important to push yourself in order to be successful.",Wine in the fridge!,5.0,5.0,5.0,5.0,5.0,5.0
2017-05-09, Talent Advocate,"New York, NY",Current Employee ,Work Life Balance!,Work Life Balance!,0,"Averity truly values the importance of work life balance. Expect to work hard and play hard in an environment that encourages long hours but also unlimited, flexible vacation time, lunchtime gym runs, and well deserved happy hours. The team environment is ideal for recruiting, ensuring that everyone works together to place candidates and fulfill client's expectations; think more collaboration, less internal competition. Success breeds success, and teamwork at Averity is everything. You're never left out on your own-- everyone is equally passionate and hardworking. The current team is diverse, with varying backgrounds and specialties, which creates a well-rounded group constantly innovating in the job space.","None. Amazing place to work, and work hard!",A wine of the month club would be nice :),5.0,5.0,5.0,5.0,5.0,5.0
2017-04-03,,"New York, NY",Current Employee ,"Professional, Intelligent and Successful","Professional, Intelligent and Successful",0,"Averity is truly a special place to work. I am surrounded by professional, intelligent and successful people.

The reason Averity is so successful in this line of business is simple - we listen to the needs our clients and candidates, we care and ultimately, we deliver.

We love what we do and nothing feels better than getting a candidate into his/her dream job or finding talent to our add to our client's team.",My colleagues make me laugh too much,,5.0,5.0,5.0,5.0,5.0,5.0
2017-03-31,,"New York, NY",Current Employee ,A great place to be,A great place to be,0,"The people there are incredible. They are smart, articulate and extremely intelligent. This is definitely not a standard recruiting firm in NYC. Everyone that interacts with this company are treated with respect and treated like a human being. You feel important.

All of this comes through in the external communication with the people they interact with daily. Averity makes people feel like a name, not a number.

The work environment is casual, comfortable, and 100% flexible. Take lunch when you're hungry, go to the gym when you want to, leave when you're work is finished, take a vacation anytime you want for as long as you'd like. This is probably why the employees also go above and beyond to deliver a superior level of service. No one there gets the Sunday night demons or a case of the Mondays. People look forward to coming to work.

They volunteer their time at the NYC Food Bank and Habitat for Humanity. They have team building events and read books that talk about customer service and building relationships for life.

All anyone in the recruiting business seems to talk about is the ""potential"" for income. People there are compensated extremely well, but Averity is so much more than that. It really is a different place to be.

Oh yea, tie all this together with an innovative and tope tier technical environment. No wonder people at Averity love what they do and the people they work with.",There really isn't a downside. There isn't beer on tap.,Pioneering change in this industry isn't easy. Keep doing what you set out to do. It's working!,5.0,5.0,5.0,5.0,5.0,5.0
