date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-09,,,Current Employee ,Great Company to work for!,Great Company to work for!,0,I think this company has a bright future. The management is very focused on success and moving to the right direction. Everyone supportive and I see growth opportunity.,would love to have more company events outside work,,5.0,4.0,4.0,5.0,4.0,5.0
2018-11-08,,,Current Employee ,Company provides good opportunities for those striving for development,Company provides good opportunities for those striving for development,0,Stability; corporate culture; clear communication with top management; opportunities for professional and career development.,office infrastructure needs improvement,,4.0,3.0,4.0,4.0,4.0,3.0
2018-11-07,,"New York, NY",Former Employee ,Thank you guys,Thank you guys,0,"Hi all, I’ve been working for this company a couple of years on manager’s position.
From my point of view, it is a great company for all the categories of employee.
If you are junior, you have a real chance to grow with the company, and grow rapidly.
But, my personal confidence, it is a really good company for senior guys, who got bored in the large corporations,
It is a real chance to remember, what the real business is and to feel you alive.",Slightly shifted the work-life balance,,4.0,3.0,5.0,5.0,4.0,5.0
2018-11-06,,"New York, NY",Current Employee ,Great company,Great company,0,"great culture, opportunity, and market position.",nothing negative. in the period of rapid growth need to keep more focus on customers and employees.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-18,,"New York, NY",Former Employee ,RUN RUN RUN RUN RUN,RUN RUN RUN RUN RUN,0,Being in a small team you develop relationships with anyone that does not directly engage with senior management. The culture does in itself does not seem to support collaboration so the small teams on the customer service side support and help one another.,"Benefits are awful... Company encourages ""throw your co-worker under the bus"" environment ... be prepared to be spoken down too and belittled on a daily basis. Reminded me of a daycare for adults ... Do not waste your time. There is no room for growth, no one respects your opinion and they favor those that do as they say and bring no innovation to an already broken work environment.",,1.0,1.0,1.0,1.0,1.0,1.0
2016-11-03, Regional Sales Manager,"New York, NY",Current Employee ,Regional Sales Manager,Regional Sales Manager,0,Great environment to work in.,Not being able to grow with in the company,Take care of your employees.,5.0,3.0,3.0,2.0,3.0,3.0
2015-05-16,,,Former Employee ,Really like my team and the work,Really like my team and the work,0,"I have worked for B2B Soft for about 2 years. The company overall is a good company. It is awesome experience, I learned a lot.",Best company i can say. feeling good working with them,,5.0,4.0,4.0,5.0,4.0,3.0
2015-05-08,,,Former Employee ,Experience at B2B Soft,Experience at B2B Soft,0,"I had pleasure working with bright, driven individuals. The atmosphere in the office was great, people were friendly. There were monthly office party during work hours. Company has been growing a lot, so there is a lot of room for growth.","Nothing really to mention, i had a pleasant experience overall.",,5.0,5.0,5.0,5.0,5.0,5.0
2015-02-09,,,Current Employee ,Great company,Great company,0,"Flexibility, ability to move up within the company, good work-life balance, exposure to new technology, good salary","No real complaints, you will have to wear many hats at times but I enjoy this part.",,5.0,5.0,4.0,5.0,4.0,5.0
2015-01-14,,,Former Employee ,Look elsewhere,Look elsewhere,0,"Good location, convenient to train","Poor leadership, lack of long term vision, constantly changing focus, culture is very poor, unprofessional environment with mediocre benefits",,2.0,2.0,1.0,1.0,2.0,1.0
2014-11-19,,"New York, NY",Current Employee ,"Company of Energy, Success and Achievements","Company of Energy, Success and Achievements",0,"I have worked for B2B Soft for three years. I can say that I have learned a lot, made many friends and grew personally and professionally. The management team is great, location of the office couldn't be better.",I wish I get more information on business development and financials of the company at least on quarterly basis.,Would be great to have a policy in place to work at least one day a week from home.,5.0,5.0,4.0,4.0,4.0,5.0
2014-07-15,,,Former Employee ,Good experience and potential,Good experience and potential,0,"Great Company to work for, consistently growing at a rapid pace. The company continually works on new products. The environment and people are great to work with. Highly suggest working here.","no company is perfect, they all have their pros and cons, overall no major complaints, just a lot to learn.",,5.0,5.0,4.0,5.0,4.0,5.0
2014-07-10,,"New York, NY",Former Employee ,Good Jumping Off Point for My Career,Good Jumping Off Point for My Career,0,I came into B2B Soft with little sales experience but grew to a sales manager in just a few years. I was mentored and trained and given good feedback on my performance. My salary grew during that time as well. My team enjoys working with each other and we work hard and have fun,I was unable to keep growing within the company and reached my potential here so had to move on. I think as the company grows there will be more opportunity for internal growth.,,4.0,4.0,4.0,4.0,4.0,4.0
2014-06-26, Sales Employee,"New York, NY",Former Employee ,"Unorganized, Executives are never present, looks like a fire sale","Unorganized, Executives are never present, looks like a fire sale",0,Great location with great views,"Coming from a former Sales employee, there is no training process, no room for advancement, no growth opportunities, expected to make 100 calls a day without receiving any kind of training. During the interview process they over promise and under deliver.",Hire a CEO or sell the company,1.0,2.0,2.0,1.0,1.0,1.0
