date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-26, Sales,"Princeton, NJ",Current Employee ,Negative Reviews on Sales and Marketing a Joke,Negative Reviews on Sales and Marketing a Joke,0,The market space is read hot and the company is very well positioned for growth. Territories and comp plans are solid with a chance to make decent money. Good sales leadership with people who care about your success.,Important for product to catch up to some of the demands in the market. This is a fast paced business that is demanding. If you are not up for that then this isn't probably the place for you. But the rewards are solid.,"Some of the reviews about charge backs and comments about marketing are laughable. As for charge backs that is common in any sales organization. For marketing the changes that were made over the last 18 months have made a huge difference in the business. The folks that were in those roles previously were not competent and were asked to leave. In fact they were probably there too long.

Leadership is solid and will continue to steer the company through it's next round of growth. Great place great people. For sales and marketing professionals you couldn't ask for a better place to grow your career.",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-31, Regional Sales Manager,"New York, NY",Current Employee ,Love This Place! Great people and strong outlook for the future.,Love This Place! Great people and strong outlook for the future.,0,"Great Company with Solid Comp and Benefits. Leaders truly care about their people. It’s hard work, but very rewarding if you put in the time.","As a sales person, it takes time to ramp up. Some people don’t do the work and fail.",Keep the pedal on the gas! We’re the industry leader and need to stay that way!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-27, Desktop Support Specialist,"Lawrenceville, NJ",Current Employee ,"New Job, Great Place!","New Job, Great Place!",0,"Every complaint that I had with previous jobs have been resolved here! Open PTO, paid medical, very open communication between departments, relaxed and caring culture. One of the best work environments to work in",None that I have seen so far!,"Keep up the awesome work, continue to leave communication channels open to all!",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-18,,,Current Employee ,Great Company for High Performers,Great Company for High Performers,0,"Awesome benefits, True to the culture, Good work life balance, Great mid management, Top performers are allowed to thrive","Lower end of the pay scale, Some of the bureaucracy gets in the way","There are times when management is crippled by fear, and their solution is to add more process. This often times makes the issue worse. We must lead boldly, and take more calculated risks.",5.0,5.0,5.0,5.0,3.0,5.0
2019-03-06, Director of Digital Marketing,"Chicago, IL",Current Employee ,Fantastic Place to Work,Fantastic Place to Work,0,"1. Company is growing and bringing in top level talent.
2. You can truly make a difference.
3. The company and leadership is always thinking about how to be better",1. The only con - which is really a pro - is that we're growing at a fast pace - need top level talent to apply.,Keep bringing in top level talent - it makes a big difference in the long term picture.,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-27,,,Former Employee ,Cheap Compensation,Cheap Compensation,0,A lot of the people who work there are decent people.,"Upper management is disconnected from the woes of the boots on the ground.

Cheap in terms of compensation.

Awful HR department. Vindictive and Combative.

""Unlimited PTO"" is really not unlimited. There is pressure not to take off.","Pay your employees a fair amount. Change ""unlimited PTO"" to 5-6 weeks paid vacation.",2.0,2.0,3.0,2.0,1.0,1.0
2019-02-03, EAdoption Manager,"Chicago, IL",Current Employee ,Helping customers adopt electronic billing and payments,Helping customers adopt electronic billing and payments,0,"Great Culture, Great People, Great product. Billtrust is a fast moving technology company where better is the only option.",Long commute. Leadership changes.,,4.0,,,,,
2019-02-01,,"Lawrenceville, NJ",Current Employee ,Employee Centric Culture,Employee Centric Culture,0,"-you have the opportunity to make an impact
-company invests in their employees
-great on boarding and training programs
-transparent leadership team
-relaxed flexible company culture
-state of the art faculties
-company benefits like open PTO, equity and free medical/dental","- work life balance can be rough at times due to thin teams
-there are many front line managers that need more training or should not be managing people",,5.0,4.0,5.0,5.0,4.0,4.0
2019-02-07, Sales Representative,"Lawrenceville, NJ",Current Employee ,Sales Culture,Sales Culture,0,"Great leadership
Great benefits
Great People","Many many sales reps are getting commissions taken back after a deal has been sold for a couple years due to ""assumptions"" in our pricing model. Very poor sales ops structure...if you want top talent to flock towards your technology you have to treat them well. Sales is the foundation to any growing company and the environment I'm currently in isn't sales friendly. Its nerve racking closing a deal here.",Please don't have the someone in payroll reach out via email during work hours and say we need to take back thousands of dollars in commissions. Not healthy for anyone personally or professionally. This has happened to several of the top sales folks in our org.,2.0,5.0,1.0,3.0,5.0,2.0
2019-02-17, National Account Executive,,Former Employee ,SALES PROFESSIONALS stay far far away!!!,SALES PROFESSIONALS stay far far away!!!,0,To be honest I don’t have any pros to speak of.,"Absolutely HORRIBLE experience, poor leadership, poor comp plan, sales team is looked down upon from all levels of leadership. Company cannot deliver on implementations and charge back the sales reps, over promise under deliver at the sales reps expense. Literally a sweat shop for a sales rep, if you’re strategic not the place for you. This is a glorified inside sales job!!","Winning all these “great places to work” awards are great and all, but survey your sales team and take notes on how to include the sales team as a great place to work.",1.0,1.0,1.0,1.0,1.0,1.0
2019-01-14,,,Former Employee ,An average work place,An average work place,0,"Open PTO, benefits, open space office","Tech debt, old technology, bosses more than leaders, poor advancement opportunities, not open to change despite ""no sacred cows"" value",,2.0,4.0,2.0,2.0,4.0,2.0
2019-01-29,,,Current Employee ,DONT WASTE YOUR YEARS HERE,DONT WASTE YOUR YEARS HERE,0,Nothing. Life is too short. Don't waste your time here. Seriously,"-there is no fairness when it comes to pay. YOU WILL GET SCREWED. unless you're white
-everyone is out for themselves
-this place is cheap when it comes to raises
-they are misguided in allocating the funds to where it really matters. Who cares about having touched faucets. Apply that money towards the people!",,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-28,,,Former Employee ,Operations,Operations,0,Great health benefits and PTO policy,"Runs on skeleton crew, promotes ""family first"" but that's only in corporate office",listen and respect your people,2.0,1.0,2.0,2.0,4.0,1.0
2018-11-28,,"Lawrenceville, NJ",Current Employee ,N/A,N/A,0,"-Fantastic culture
-Great work-life balance
-Really feels like a family environment
-Pay is decent
-Company really values its employees
-Open PTO","Genuinely, I do not believe there are any cons to this great company",Keep doing what you're doing,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-30, Sales,,Current Employee ,"small company with ""Big"" bureaucracy","small company with ""Big"" bureaucracy",0,"people in general
open PTO","lack of cohesive leadership
company with many sacred cows
no loyalty to hardworking employees
the new president","unclear how new management is helping the company progress, once a good company built on cultural values has lost it's direction and purpose",1.0,2.0,2.0,1.0,2.0,1.0
2018-09-17, Marketing,"Lawrenceville, NJ",Former Employee ,Politics Caused the Demise of Billtrust Marketing,Politics Caused the Demise of Billtrust Marketing,0,"Once upon a time from 2016-2017, there was great leadership in Billtrust Marketing, and the culture was top notch. Cut to today : complete 180 degree change, with no end in sight....","The Executive team fired that great leadership I mentioned, along with many other good people. Those of us left got zero strategic direction or leadership and then were blamed for the lack of results.

Oh, and the nasty Director running the show in the meantime is a hazard to the company - no leadership AND no results. But evidently, top grade behind-smooching skills.","Perhaps you should have a plan when making huge, sweeping changes to a department, instead of creating chaos and keeping it that way for literally YEARS. Unless you don't care at all about Marketing....in which case, put everyone there out of their misery and don't have a Marketing team. Just don't blame them - what has happened to Marketing is entirely the fault of leadership.

You think you have a lazy team, I was there - and these people are great. It's all on you Billtrust leadership.",2.0,3.0,2.0,2.0,3.0,2.0
2018-09-16,,,Current Employee ,Great Company,Great Company,0,Great company for both learning and career development. The most important thing is that you get to learn on the job which and develop new skills while you're at it.,- no cons as of yet.,,5.0,5.0,5.0,4.0,4.0,5.0
2018-08-02,,"Denver, CO",Former Employee ,Great Culture,Great Culture,0,"- everyone who works here seems to love the culture
- give outlets for work/life balance
- executives and leaders show a lot of care to employees",- not much to say,,5.0,4.0,5.0,,,
2018-08-30,,"Princeton, NJ",Current Employee ,Goes downhill from ground zero.,Goes downhill from ground zero.,0,"Parking spaces exist.
Filtered water.
They say happy birthday on your birthday.","Horrible management with no direction.
Cliques everywhere keep winners away.
Declining revenue.
Location isn't close to anywhere.
Politics at all levels.
Don't believe any good reviews, smart people know not to be here and leave quickly. NJ has limited opportunity which is why high caliber people with integrity don't work here.",Admit the many mistakes you've made and open your eyes to good people vs be threatened by them.,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-26,,"Hamilton, NJ",Current Employee ,RSE,RSE,0,growing company with lots of opportunities,growing company that needs leadership alignment,,4.0,5.0,5.0,3.0,3.0,4.0
