date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-05-03,,,Former Employee ,Lovely company,Lovely company,0,Excellent office with lots of snacks. Great environment.,Sometimes too chill in the office.,,5.0,5.0,5.0,5.0,4.0,4.0
2019-03-25, Associate Producer,"New York, NY",Current Employee ,Good with the potential to be Great,Good with the potential to be Great,0,"Atmosphere to be creative
Chill work environment
in-touch with the current culture if sports
will certainly surpass ESPN at some point","Can be very ""clicky""
Promotions are based off how you fit in more so than your merit","Bleacher is amazing and it's only a matter of time before they are looked at universally as the leader in sports. However, there's always room to improve and I believe making a more adamant effort to groom the people inside the building would help a lot",4.0,5.0,5.0,5.0,4.0,4.0
2019-02-02,,,Current Employee ,Potential,Potential,0,Culture is improving. Most are doing the best with what they are given.,no clear vision on advancement,leadership needs to acknowledge people and departments that continue to work hard behind the scenes.,3.0,3.0,3.0,3.0,3.0,3.0
2018-11-01,,,Former Employee ,Coordinator,Coordinator,0,"Lots of perks, team outings","Management is hard to communicate with, hiring process for team members takes months",listen to team members,3.0,,,,,
2018-09-20,,"San Francisco, CA",Current Employee ,Fun Media Company,Fun Media Company,0,"The people are what makes this company awesome. There are some genuine connections and friendships forged here. Benefits for FT employees are competitive and office is great (Bar, snacks, etc); lots of fun events to get involved in (softball team, Happy hours, etc). CEO is super friendly and approachable.","At times a little clique-y but if you put yourself out there everyone welcomes you. Some positions offer more flexibility than others in terms of working from home, but that is the name of the game when covering sports.",,4.0,,,,,
2018-08-10, Content Programmer,"San Francisco, CA",Current Employee ,Content Progammer,Content Progammer,0,"Great people, cool culture, get to dive into sports all day.",Terrible upward mobility and management. Almost impossible to move up within programming and extremely underpaid,Give people a career route.,3.0,2.0,4.0,1.0,3.0,2.0
2018-06-22,,,Former Employee ,Content Programmer,Content Programmer,0,"Fun environment, good benefits and perks",Difficult to move up within programming,,4.0,,,,,
2018-04-03,,,Former Employee ,Review of Content Roles,Review of Content Roles,0,Great work environment. Everyone tries to help others succeed.,Everyone in content is extremely underpaid for the type of work they do.,,3.0,,,,,
2018-02-13,,,Former Employee ,"Great, until it suddenly wasn't","Great, until it suddenly wasn't",0,"-Fun, casual workplace environment
-Decent pay/benefits
-Positive relationships fostered between co-workers","-Goals and strategies changed almost constantly and were hard to follow
-Management mostly opaque regarding performance
-Superiors untrustworthy of capable employees
-Little room for upward mobility
-Cult-like atmosphere in office, implicitly forcing employees to believe B/R is flawless and the end-all, be-all in sports media.","Stop playing favorites. Be transparent with employees. Treat and value employees as individuals, not just paychecks.",2.0,4.0,3.0,2.0,4.0,2.0
2017-10-06,,,Current Employee ,"Almost a dream job, but lacks direction","Almost a dream job, but lacks direction",0,"You essentially get paid to watch and write about sports. What's better than that? I've also been able to interview superstar athletes, cover professional sporting events and even once played basketball with some former pros. There used to be a stigma abut writing for B/R--I've been around long enough to know how suspect some of the content was--but at this point, it's an established, mostly respected journalism brand.","The goalposts are rarely stationary. I don't think B/R has figured out what it wants to be. Sometimes, hard-hitting reporting seems to be the focus. The next minute, they're trying to be comedians. And you're never really coached on whatever they want, even though it's constantly changing. You also work on annual contracts--at least, everyone in my position did--and it's hard to get a good sense on where you stand. Even if yours is renewed every year, there are still some tense moments every 12 months.",Invest more into your homegrown employees. And figure out which direction you want to take.,4.0,5.0,4.0,3.0,3.0,2.0
2017-06-13,,,Former Employee ,Time of my life,Time of my life,0,"- Really cool and amazing people.
- It's Sports!!!",- More corporate than you would expect,keep it up,5.0,,,,,
2017-06-14, Senior Manager,"New York, NY",Current Employee ,Great place for,Great place for,0,A truly creative sports media company.,Still finding its voice in the sports media world.,,4.0,4.0,4.0,4.0,5.0,3.0
2017-05-30,,,Former Employee ,Producer,Producer,0,"Young, progressive, cutting edge of sports media.",Management is wildly inexperienced and develop little or no career path.,Truly understand where your employees want to go in their careers and help them get there -- that's what good managers do.,3.0,3.0,4.0,2.0,4.0,2.0
2017-05-17,,,Former Employee ,Analyst,Analyst,0,great place great environment great team,none absolute greatest place ever,keep it up,3.0,3.0,3.0,3.0,3.0,3.0
2017-04-24, Copy Editor,"San Francisco, CA",Former Employee ,Copy editor,Copy editor,0,"They have a good benefits package and lots of PTO. A lot of positions also have the option of working remotely, which allows for more flexibility.","Career advancement can be difficult. Between a lack of upward positions, the number of internal people going for those positions and hires outside of the company, it's hard to move up in rank.",,4.0,4.0,4.0,2.0,4.0,
2017-04-19,,,Former Employee ,Featured Columnist Review,Featured Columnist Review,0,Great opportunity to get exposure to your work and cover various sports/teams. Excellent chance to jump into the sports blogging world and work with different editors to get a lot of positive feedback and develop your own style of writing.,Very tough to progress as they made a lot of outside hires and did not promote much from within.,,4.0,,,,,
2017-04-30, Featured Columnist,"New York, NY",Former Employee ,"Good for Exposure, Little Growth Opportunity","Good for Exposure, Little Growth Opportunity",0,"Gave me my start, and having the freedom to write whatever I wanted helped me grow tremendously.",You're just a number to them.,Take better care of the young writers at the bottom who are grinding away creating your content for free.,3.0,5.0,3.0,2.0,1.0,3.0
2017-03-19,,,Current Employee ,Content Programmer,Content Programmer,0,"Fun people, great benefits, really cool if you're passionate about sports.","Culture's a bit odd, a lot of infighting and weirdness going on in upper management. Not a ton of opportunities for people.",Be patient,4.0,5.0,3.0,3.0,5.0,2.0
2017-03-21,,,Current Employee ,Team Stream Programmer,Team Stream Programmer,0,Awesome people and office atmosphere,Terrible hours and ability to climb the ladder,,3.0,,,,,
2017-01-04, Social Content Producer,"South Bend, IN",Former Employee ,Did Not Pay What they Promised,Did Not Pay What they Promised,0,"Bleacher Report has a lot of very young producers. This means there is a lot of fun and creativity happening. In my position I had the opportunity to be as creative as I could be, and the company supported any good ideas my team came up with.","When I was verbally offered this temporary position, I was repeatedly told I would receive $35,000. In the end, they paid me much less and deny ever verbally offering me more. As someone who relocated for them and spent 5 months away from my family, this was infuriating.","When someone moves to South Bend for 5 months for you, pay them fairly. I asked about payment very clearly prior to accepting the position. I wouldn't have accepted this position for what I ultimately was paid.",1.0,4.0,5.0,4.0,4.0,4.0
2016-12-01, Worker,"San Francisco, CA",Former Employee ,"Free Food, Some People Are Nice...Big Divide","Free Food, Some People Are Nice...Big Divide",0,"Tons of free snacks
Free catered food every so often or holidays
Good location
Casual
No drug screening
Flexible hours
Happy hour on Friday's
Video and other games
Some people are genuine","Catty divide between Turner and Bleacher Report employees
Very low pay compared to other SF tech companies
No private quiet space to work in or to get away, unless you take a conference room for yourself
Some employees are very young, entitled and have major attitude
Feels like there is no real direction from management
Very poor internal communication
Messy office space in general",Pay me for my advise.,2.0,3.0,1.0,1.0,1.0,2.0
2016-07-04,,,Former Employee ,Mostly Excellent,Mostly Excellent,0,"I worked at B/R for several years and found many opportunities for advancement and new projects.

I loved my coworkers and thought B/R did a great job of fostering community, though what I saw as a tight-knit group of coworkers/friends could certainly be perceived by newer employees as cliquish.","Sports media is a competitive industry, and the salary/hours can feel pretty rough in an expensive place like San Francisco.

Things steadily changed after the Turner purchase. It's by no means bad now, it's just more corporate and less of an adventure than when I joined.",,4.0,4.0,4.0,4.0,3.0,4.0
2016-07-12,,,Former Employee ,Old school media company buys startup,Old school media company buys startup,0,"Great environment, working in sports is fun.",Quite obvious who came from Turner and who came from B/R.,"Bring on new hires with well rounded skill-sets, don't just look for specialized employees with your narrow mindset.",3.0,,,,,
2016-07-09,,"New York, NY",Former Employee ,Felt like Hamster,Felt like Hamster,0,Learned about SEO. Was challenging and learned to be a fast editor. Got to a lot of experience with editing online material.,"Mentor / guidance was impersonal. The pace required for editing was quite demanding, and a lot of times felt like was being used for free labor without much mentoring.",Make a more personal connection with your interns and offer better guidance on how to edit beyond how fast they should be editing their material. Think more big picture.,2.0,,,,,
2016-05-19, Featured Columnist,"Chicago, IL",Former Employee ,Featured Columnist,Featured Columnist,0,"I was able to write when I chose and about what topics I desired, besides the teams and/or sports that I was assigned. They were quite flexible and understanding about other commitments/due dates.",Sometimes it's hard to get an answer about questions. It's also difficult to move up and become paid.,None,4.0,5.0,5.0,2.0,1.0,3.0
