date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-26, Runner,"Linden, NJ",Former Employee ,Working there was OK,Working there was OK,0,Flexible Hours and Shifts there's AM And PM,"Short breaks , breaks are too short",Extend breaks,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-05, Production Supervisor,"Arlington, TX",Current Employee ,Pretty Average,Pretty Average,0,Takes care of their associates. Promotes from within.,Salary is below average for management.,Communication.,3.0,4.0,4.0,3.0,3.0,3.0
2019-04-01, Maintenance Technician,"Arlington, TX",Current Employee ,Good company that is going through restructuring,Good company that is going through restructuring,0,"Easy work
Laid back management team
Somewhat flexible hours
overtime opportunities
Great amount of days off","40 degree working environment
company is still unstable
layoffs tend to happen yearly",Senior management needs to find a way to stabilize and increase order volume at the Arlington facility. Also they need to look into sustainable lean manufacturing concepts to assist in proper workforce planning.,3.0,4.0,2.0,2.0,3.0,1.0
2019-03-13, Production Worker,"Linden, NJ",Former Employee ,Working at Blue Apron,Working at Blue Apron,0,Good pay and work environment,"Very cold and long hours overnight, too many missing ingredients.",Communication needs to be better and needs to give employees more encouragement.,4.0,3.0,5.0,3.0,3.0,4.0
2019-03-13, Customer Service Associate,"New York, NY",Former Employee ,"Not the best, but not the all time worse","Not the best, but not the all time worse",0,"Great working environment
Amazing co workers
bagel fridays","They don't tell you when you're no longer needed
phoney managment",care a little more about your employees situations before making brash decisisons.,3.0,4.0,5.0,2.0,4.0,2.0
2019-03-06, Supervisor,"Arlington, TX",Current Employee ,Lack of organization,Lack of organization,0,Rapid growth for motivated individual.,No one is ever on the same page.,Uniformity,3.0,5.0,3.0,4.0,3.0,3.0
2019-03-06, Corporate Trainer,,Current Employee ,"Great coworkers, tough corporate environment","Great coworkers, tough corporate environment",0,"Most of the people I work with in my department are open-minded, considerate, and hardworking. The environment also allows a lot of opportunities to see how a medium-sized company works, and to build skills.","The company at large seems to be deeply mismanaged, and as a result has a high turnover rate. Several rounds of layoffs, and departments don't seem to communicated shared visions or responsibilities very well.",,3.0,4.0,1.0,2.0,3.0,2.0
2019-03-26, Supervisor,"Richmond, CA",Former Employee ,"Better off at plated, good eggs or home chef","Better off at plated, good eggs or home chef",0,Some of the employees are the best you will ever find at a company,"Growth is only available if you are favored by upper management. Rock the boat and you are put in the dog house.
Communication between upper management to lower management is horrible.
You are asked to do a higher role constantly and not get paid for it, or get anything for it. Then once the role is over they throw you back to your regular role and tell you, you don't meet their expectations at the end of the year.","Appreciate the good people you have, or you Will eventually lose them all.",1.0,1.0,2.0,1.0,2.0,
2019-02-07, Associate,"Linden, NJ",Current Employee ,Okay,Okay,0,"""3 to 4 days off"", overtime, 3 breaks, good pay.","If you want to become a supervisor just go somewhere else, long hours, really cold, supervisors are incompetent and don't care about you",,3.0,3.0,3.0,2.0,3.0,2.0
2019-02-18, Quality Assurance,"Linden, NJ",Former Employee ,Not very appreciated,Not very appreciated,0,"Weekly Farmer's Market.
At least 3 days free.
The Quality department supervisors are very comprehensive and supporting.","General management does not care about employees.
Not enough internal communication.
HR department does not know how to make decisions fairly.
Exploiting and stressful environment.
Way too much Required Time Off, can't make enough hours weekly.
Coworkers are too aggressive, the workplace is not very safe.
Supervisors and managers are not very professional.","Improve communication to satisfy employee needs.
Take workers personal lives into consideration before making sudden schedule changes.
Hire employees with better qualifications and a better background.
Actually care about drug screening tests before hiring.",2.0,2.0,1.0,1.0,2.0,1.0
2019-02-03, Maintenance Supervisor,"Arlington, TX",Current Employee ,Young company with posible growth,Young company with posible growth,0,They hire within all the time so you can advance fast,Is a very slow moving company growth takes for ever,,4.0,4.0,3.0,2.0,3.0,3.0
