date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-06-14, Housing Advocate,"New York, NY",Current Employee ,Housing Advocate,Housing Advocate,0,Amazing experience gaining compassion for the chronically street homeless,horrible commute from brooklyn to manhattan,n/a,5.0,5.0,5.0,5.0,5.0,5.0
2018-07-31,,,Former Employee ,Rent Admin,Rent Admin,0,Good Benefits and the boat ride,Overwork employees and unexperienced upper management,More support from managerial staff,2.0,2.0,1.0,1.0,1.0,1.0
2018-04-08, Intake and Eligibility,"New York, NY",Former Employee ,It’s not worth it,It’s not worth it,0,The people you work with depending on the team you’re on are pretty cool. That’s the only pro I think they have.,"Where to even start... upper management doesn’t care about you at all and behind your back they’re all throwing you under the bus with HPD. Keep all emails cause they’ll blame you for everything unless you can prove them wrong. So many conversations where I’ve heard the assistant director and directors saying to blame the staff for not doing the correct thing that they tell you to do and they Refuse to take responsibility for anything. Pay isn’t worth the work load, they start about 36k a year and only give between 1-3% raise with no bonuses. They’re don’t make it easy to want to stay. This is just a little bit compared to what it’s truly like working at this place.",Learn to take responsibility and don’t blame the staff for your mistakes.,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-07, Housing Advocate,"Brooklyn, NY",Current Employee ,OUTREACH,OUTREACH,0,If this is you first experience working with street homeless people. If you have the right team it's a great learning experience.,Management in my building show ALOT of favoritism.,Stop showing FAVORTISM!!,1.0,1.0,1.0,1.0,1.0,1.0
2017-12-06,,,Former Employee ,It's ok,It's ok,0,Good if your passionate about the homeless population,Pay Rate Stays THE same. No raise,,3.0,,,,,
2018-01-07,,"New York, NY",Current Employee ,Management very poor,Management very poor,0,stay away from this company,senior management is very poor and they cover for each other and hire family,stop cover up of your Administration,1.0,2.0,1.0,2.0,2.0,1.0
2017-10-31, Building Engineer/Maintenance,"New York, NY",Current Employee ,Housing homeless,Housing homeless,0,Breaking ground is a great company that is doing a good job in placing former homeless veterans and regular civilians in permanent affordable housing this company is doing there part in trying to better people lives and they're well being as well,The salaries can be a little better but it's a non profit so take it for what it is,Try to be more connected with residents to try and benefit them in improving there lives,4.0,4.0,4.0,4.0,3.0,3.0
2017-10-15, Intake & Eligibility Specialist,"New York, NY",Current Employee ,Intake & Eligibility Specialist,Intake & Eligibility Specialist,0,Helping people attain affordable housing in newly constructed luxury buildings,With the merge of two roles sometimes the workload becomes difficult when adhering to deadlines,Pay rate doesn't fit the workload or expectations. Also starting salary should depend on experience although it states that in job postings experience isn't considered everyone in the same title starts at the same pay rate,3.0,1.0,1.0,5.0,1.0,1.0
2017-09-26,,,Current Employee ,88,88,0,This is a great company,Managers seem to favor certain people,,3.0,,,,,
2017-10-19,,"New York, NY",Former Employee ,CORPERATE OFFICE,CORPERATE OFFICE,0,"Honest not much there - I was able to work early and leave early ( 8+ hours daily)
Team members were good and most were helpful - but honest most were older woman (i am male) these ladies were viscous to each other at times.
But all in all everyone helped each other.","Management was horrible on both floors 5th and 12th - FAVORITISM WAS OPEN AND RAMPANT- President or CEO of Company hires her Brother who worked in total different job before hand.. Honest - no communication at all between depts.
They wanted the work of 5 to be done by 3 people and did not care at all if you worked thru lunch into the nite. Mangers being hired with no knowledge of the position - the manager leaving would not even recommend the guy who was replacing him after trying to train the person for couple weeks. But was told he has friends up stairs. Very nasty people in charge of 5th floor nasty and rude and arrogant.",nothing that would be taken serious.,1.0,2.0,1.0,1.0,1.0,1.0
