date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-04-25,,,Current Employee ,Great Place to Learn + Grow,Great Place to Learn + Grow,0,"-Company focuses on building employees with wide skill sets, allowing people to learn new areas and grow quickly
-Org. structure is fairly flat, allowing for meaningful interaction with senior staff + partners
-Partners + senior staff regularly hold office hours + Q&As to explain decisions and answer questions
-Hard Work + Success are recognized and well compensated
-Benefits + PTO are generous
-Staff is friendly and works across teams","-Partners and Senior Management are great, but some directors could use development
-Large portion of staff haven't held other jobs outside of BPI, sometimes leading to a lack of external perspective",-Continue with current initiatives to make communication more transparent. They're working.,5.0,4.0,5.0,4.0,5.0,5.0
2019-02-27, Fellow,,Current Employee ,At the intersection...,At the intersection...,0,Every top name client goes through BPI in some way.,some interesting personalities work her.e,"Creating more transparency about pay and opportunities will attract more, diverse top talent from outside the DC area.",4.0,,,,,
2017-03-16, Marketing Fellow,"Washington, DC",Former Employee ,Awesome place to be a fellow at,Awesome place to be a fellow at,0,Surrounded by great and amazingly smart people.,"Can be disorganized, but really it's based on how busy the office is",,5.0,5.0,5.0,5.0,5.0,5.0
2017-03-10,,,Former Employee ,A Place to Grow,A Place to Grow,0,"BPI is very committed to employee training
Cool clients
Great team",Disconnect between senior leadership and everyone else,Senior leadership could seek to improve its transparency,4.0,4.0,5.0,4.0,3.0,4.0
2017-03-09,,,Current Employee ,"Start-up feel, aims to change communications and advertising","Start-up feel, aims to change communications and advertising",0,"-Great opportunities for individuals to grow and be recognized for contributions
-Work with some of the smartest people in the industry
-Work for a mix of political, non-profit and corporate clients
-Focus on training and developing skills, especially in paid Fellowship program
-Unique perspective on ad/comms industry
-Business outlook stability and greater company growth expectations compared similar DC firms","-Start-up feel and fast growth creates at times has created growing pains
-Long hours at times for client needs/elections (not a surprise in this industry)","-Keep existing focus on training for skills development
-Expand management and professional skills training for team members at all levels",5.0,4.0,5.0,5.0,4.0,4.0
2017-03-26,,,Former Employee ,Poor Management,Poor Management,0,"good health insurance, will make some lasting connections, will learn a lot of new skills","long hours and no work life balance, no clear organization to company structure, favoritism, too many interns, poor upper management, routinely lay off staff",,1.0,1.0,2.0,1.0,1.0,1.0
2017-02-21,,,Current Employee ,Great place to learn about the industry,Great place to learn about the industry,0,Fantastic working environment. Great colleagues doing cutting edge work.,"Long hours. Turnover is high, but relative to the industry.",,4.0,2.0,4.0,3.0,3.0,4.0
2017-01-23,,,Current Employee ,Problems run deep,Problems run deep,0,"- Salaries are highly competitive
- Benefits and perks are very good
- If you can ingratiate yourself with the right people early on, you might do well.","Because BPI has grown so rapidly in a short period of time, it still operates much like a startup. As a result:

- New employee onboarding is poor.
- Employee training is spotty.
- Job descriptions and promotion paths are amorphous.
- Team structures are ill-defined.
- Promotions feel arbitrary.
- Cliquishness and favoritism run rampant and have a disproportionate impact on professional advancement.
- Senior staff are highly insular and often fail to communicate vital information to junior staff.","Professionalize:

- Establish standard onboarding and training procedures.
- Build out clear team structures, job descriptions, and paths of advancement.
- Stop prioritizing personal relationships over professional performance.
- Work to reduce cliquishness and favoritism
- Foster transparency and facilitate internal communication, especially from senior staff down.",2.0,2.0,1.0,1.0,4.0,1.0
2016-12-22, Associate,"Washington, DC",Former Employee ,"Start-up feel, junior staff like family but weird relationship with senior staff","Start-up feel, junior staff like family but weird relationship with senior staff",0,"-If you're competent, you'll be recognized for it.
-Best friends I've ever met, feels like a family.
-A lot of latitude given to you on projects if you show you deserve it.
-Access to smartest and most committed people.","-Will work you to the bone.
-Relationship with Senior staff can be very difficult to navigate through.
-Obvious favoritism.
-Constant feeling that you're not smart enough.
-Can be very competitive environment.",,3.0,2.0,4.0,4.0,3.0,2.0
2016-12-21,,,Former Employee ,Good Place to Begin a Career--Bad Place to Grow,Good Place to Begin a Career--Bad Place to Grow,0,"-Started out as a Fellow at BPI and learned an immense amount in my first few months. Their fellowship training program gave me the tools and skills that I need to succeed as an associate and beyond
-Social culture makes it easy to befriend people in the office, although it can be clicky at times
-Strong CEO with good intentions and relationships with employees
-Great healthcare and benefits, with sickdays and work from home days that do not dock from your vacation","-Despite what BPI claims, the fellowship is not a clear path to employment and as they have recently downsized, it is even less likely that a fellow will be hired. After three months, you will likely get an extension and end up doing associate level work with half of the salary and no benefits instead of being hired as an associate
-The fun/social culture has its downside: People are blatantly favored for being social while the quiet people who work hard are often overlooked. It can be a very loud and distracting work environment
-Your team (pod) may be great but also may also be disorganized: Some pods have their processes, job descriptions, and roles down well while others are disorganized, leading to overworked employees and poor deliverables to clients. This is also a reflection on their generally inexperienced and young management","-Please listen people's feedback. It gets frustrating to voice the same complaints over and over again, only for them to be overlooked. You have lost talented individuals in the past two months due to this issue.
-Consider investing less in client teams and more on the media teams, as we are a media buying firm.
-Please stop removing the bad glassdoor reviews--they are not fraudulent and it only makes the management look shady.",2.0,2.0,1.0,2.0,4.0,2.0
