date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-09-29, Patent Analyst,"Evanston, IL",Former Employee ,Analyst Review,Analyst Review,0,"Easy going and fun. Workday goes by quickly. Pretty stress-free, no one breathing down back. This is a job that requires you to actually work, I think a lot of the people who haven't enjoyed working at Cardinal are people looking for a job that pays them to sit there, this isn't that job. Workforce seems generally younger, office crowd is enjoyable to be around. Free wifi for streaming music all day. Burger joint nearby has good food.","Not much to complain about, if you are looking for a gig that is going to change the world, this place probably isn't for you.",,5.0,5.0,4.0,4.0,5.0,5.0
2019-04-12, Client Operations Associate,"Evanston, IL",Former Employee ,Task Masters,Task Masters,0,The best reason i can give for working there is they are at least responsive to family emergencies and the need to be off if necessary,It’s a production environment so you’re treated like a number and graded only on the numbers.,,2.0,4.0,1.0,1.0,3.0,3.0
2019-03-06, Patent Search Analyst,"Evanston, IL",Former Employee ,Good place to work,Good place to work,0,"Flexible hours, easy access to the office so you can work as early or late as you want, high-independence to get work done on our own. Good people to work with that are willing to help you.","Paid by case. As a result, some cases are harder than others and take longer than other cases without the additional pay.",,4.0,5.0,4.0,2.0,5.0,4.0
2018-12-21,,,Current Employee ,Patent Analyst,Patent Analyst,0,"flexible hours/job, choice of cases","depends on your relationship with your manager, pretty much have to self-teach yourself, so be ready to fall a lot at the start before you start to run.",more training and much more clear training materials,4.0,,,,,
2018-10-09,,"Evanston, IL",Current Employee ,Patent Analyst,Patent Analyst,0,You can work from home,I can't think of any,,4.0,4.0,4.0,,,
2018-06-28,,"Evanston, IL",Former Employee ,Analyst,Analyst,0,Work time flexibility. Can work from home.,"Not many opportunity to directly communicate with management, mainly remote",Listen to the voice of employee.,3.0,3.0,3.0,3.0,3.0,3.0
2018-02-14, Patent Engineer,,Former Employee ,Recommend,Recommend,0,Happy people. Flexible Flexible Flexible.,"Not much really, I liked going to work there.",,4.0,5.0,5.0,4.0,4.0,5.0
2018-01-15,,,Former Employee ,Analyst,Analyst,0,Flexible hours. Okay insurance. Interesting work. Ability to work from home.,"High standards for work product, so you cannot phone it in.",,4.0,4.0,4.0,3.0,4.0,4.0
2018-01-30,,,Former Employee ,Reception is literal hell,Reception is literal hell,0,You'll never be emotionally attached to the job. Want a job that you couldn't care less about? Do this.,Just....don't do it. Don't do reception. Work in another part of the company.,,1.0,,,,,
2018-01-12, Patent Analyst,,Former Employee ,Avoid if you can help it,Avoid if you can help it,0,"Low key and depending on supervisor, can be very flexible with regards to schedule.","The office is filthy. I have never seen so many stains on a carpet, and so much grime in the office. There was also no clear expectation as to when I would transition from a being part-time employee to a full-time employee, or how that would happen. Low rates for completing each project.",,1.0,,,,,
2017-10-07,,,Former Employee ,Out of touch,Out of touch,0,"Parking in building. Right in downtown Evanston. 4 weeks vacation promised in the 2nd year of employment, although one gets a statement in writing that the company reserves the right to take that benefit away at any point in time.","Out of touch with reality on many levels. Assessments were made and communicated to management, but any sound advice was completely disregarded and ignored. The larger question is of course whether or not patents intrinsically are for the better good or not, which is quite controversial. And it has been for centuries now. If anyone is considering working for Cardinal, be prepared to just collect a pay check and maybe, depending on the department, not have to put in long hours, and maybe get to work from home some or all of the time, and hopefully it is a big enough one.","Probably just dissolve the business or try to find a buyer, if revenues are shrinking. Otherwise... whatever...",2.0,3.0,1.0,1.0,2.0,1.0
2017-09-14,,,Current Employee ,Intellectual Property legal services,Intellectual Property legal services,0,There is a remote worker program.,"Salaries are far below market value, work load can be very high. Employees are taken advantage of, financially.",,3.0,2.0,3.0,3.0,1.0,3.0
2017-09-26,,,Former Employee ,Try to Avoid,Try to Avoid,0,"-Tends to hire emerging young professionals
-Gives corporate experience if needed","-Management does not manage, will only speak to you if you do something wrong
-There is no accountability for the higher-ups
-High turn over
-Expects overtime work with no compensation or acknowledgement",Work on work culture by creating more opportunities for company bonding to increase company loyalty,2.0,2.0,2.0,3.0,1.0,1.0
2017-09-08,,,Current Employee ,Client Operations Associate,Client Operations Associate,0,Evanston is a beautiful town to work in.,There's a degree of soulless in the company,,3.0,,,,,
2017-07-05,,"Evanston, IL",Former Employee ,Toxic and Dysfunctional,Toxic and Dysfunctional,0,"Convenient location, 35 hour work week",Constant in-fighting in Management. Pay is a slap in the face. HR is the worst. No matter how hard you work you will never get ahead. Minimal training. Hostile work environment. Lots of finger pointing rather than resolving issues. Hierarchy within the company. High turnover rate.,"Invest in good employees. Paying recent grads $23,000 a year is not a way to retain employees. Be more transparent.",2.0,4.0,1.0,1.0,1.0,2.0
2017-05-10,,,Former Employee ,Former Employee,Former Employee,0,"paid on time, although the pay is not great or competitive in the slightest.","The moral is very low at this company. Proper management, training, evaluation is lacking. No real room for growth. This is not a company I would recommend working for to anyone!",,1.0,3.0,1.0,1.0,1.0,1.0
2017-03-09,,,Current Employee ,remote analyst,remote analyst,0,"apparently can make a lot of money if you're good, apparently",too many expectations. pay will not feel fair for the amount of work put in,,1.0,,,,,
2016-11-10, Account Executive,"Evanston, IL",Former Employee ,Sales Team,Sales Team,0,"The team of people at Cardinal is great. This position served as a great platform for me to jump to the next level from. Out team leader was a great person, he was always taking into account everyone's needs professionally and personally...FLEXIBILITY! I left this job because I moved out-of-state to be with my family which enabled me to look for, find, and secure a new position with an office more local to me. My experience at Cardinal has proven to be a definite big time plus when it came to my professional growth.","Office space is brand new, but a bit tight on space. Was a bit further from my home than ideal, but the transportation reimbursement was a nice perk.",miss u guys!,5.0,5.0,5.0,4.0,4.0,5.0
2016-10-25, Patent Analyst,"Evanston, IL",Current Employee ,"I like my job, I think it is fun","I like my job, I think it is fun",0,"Flexible, Production based. Very engaging work for problem solvers. I like the challenge that each case brings. I also like the relationship I have with the Project Managers and other analysts - the team oriented atmosphere seems to promote hard work and generates a lot of fun and laughs. I am excited to go to work every day which is something I have not said about some other jobs I've had. Number one best thing about this job is the flexibility, can't beat it.","Takes time to get up to speed. Standards are high but not unreasonable. Work requires a lot of critical thinking and can be exhausting at times, but the compensation makes this worth my time and energy.","We have a summer picnic and winter holiday party, but a few more out of the office social events would be nice.",5.0,5.0,5.0,4.0,4.0,5.0
2016-10-23, Patent Analyst,"Evanston, IL",Former Employee ,Patent analyst,Patent analyst,0,Nice view out the window. HR was prompt regarding insurance & various other paperwork. Might make sense if you were attending law school/planning on becoming a patent attorney.,"They don't actually have time to train anyone, since they can't slow done the continuous flow of cases from their contracts. Most of their new hires have never worked with IP before, and are either students fresh out of college or various professionals who were laid off or otherwise had a falling out from their main careers...in other words, people with no long-term career plans. The result is a disorganized workflow and high turnover rate. It seems a matter of routine for people to just walk out, and they continuously interview for replacements. There is a disconnect between HR, the admins and the actual attorneys you work with. CEO Frank seems like a solid professional but as an analyst you won't interact with him at all. There is no real advancement, no such thing as a ""senior analyst"", you can just make more money by doing more cases but there is a limit to how many you can feasibly do in a given week. HR will promise you the moon in terms of flexibility and payout on eventual higher-value cases, but reality is quite different when you actually work with the attorneys and administrators. If you go in full-time there is a minimum number of cases you are expected to do, which becomes clear well after you join, and if you have a deficit they'll expect you to make it up by taking on more cases per week. There are no transferable skills to learn here beyond some specialized database searching. This is NOT an introduction to the world of IP or patent prosecution.

In short, this is a dead-end career move for anyone with a STEM background. If you're in law school or plan to be a patent attorney then maybe it is worth a few months, but after that you can leave and they won't bat an eye when you do and simply replace you with some newly-graduated engineering major with 0 work experience. If you put in 40-50 hours a week you might make between 50-65k annually, if you're lucky. If you're unemployed with bills looming that might seem tempting but this is not a long-term option. There is a small minority of analysts with backgrounds in law who make more, which is natural since they don't require as much training to prepare the required legal documents.","Instead of hiring a multitude of inexperienced analysts that fumble around half-trained and organized around your arbitrary queue system, hire a good 6-8 and actually invest in training them in precedent cases and various legal scenarios that might play out when they address claims. They might be inclined to stay longer and the quality of their work will probably improve.",2.0,2.0,1.0,1.0,1.0,1.0
2016-09-08, Senior Analyst,,Current Employee ,Patent Analyst,Patent Analyst,0,"Been here for 7 years, enjoy what I do. Good relationships with others. Solid pay.",Work is challenging. Work from home can get lonely.,,5.0,5.0,5.0,4.0,4.0,5.0
2016-10-13,,,Former Employee ,Hard No.,Hard No.,0,"the president cares a lot, generally a good group of coworkers, the views from the office windows.","Office environment is terrible, and everyone either hates or fears HR. Office hasn't been remodeled since it was acquired and isn't high functioning or cohesive. Compensation isn't competitive.",Provide outlets for employee concerns to be addressed without retaliation. Invest in your people and your space and they might actually care about investing back in you.,1.0,3.0,1.0,3.0,1.0,2.0
2016-08-29, Senior Systems Administrator,"Evanston, IL",Former Employee ,Senior Systems Administrator,Senior Systems Administrator,0,"Active Environment, Nice colleagues.",small to medium business.,,4.0,4.0,4.0,3.0,4.0,4.0
2016-07-17,,,Current Employee ,Client Operations Associate,Client Operations Associate,0,"The company allows some employees to work remotely. Some supervisory individuals are very knowledgeable, considerate and talented.",The president does not seem to recognize that the employees are human beings. The pay is practically minimum wage.,,2.0,3.0,3.0,1.0,1.0,
2016-07-23, Client Operations Associate,"Chicago, IL",Former Employee ,Associate,Associate,0,"Al's beef is across the street. Absolutely no pros other than the location and being near the metra. Convenient to walk to and from restaurants, as well. Right in the heart of Evanston.","Terrible management, unprofessional, belittles employees in front of others. Absolutely would not recommend this company to anyone. Pay is beyond terrible for the amount of work expected to do, as well as, the hours expected to work",Get a new job because being in management is something I've asked myself everyday how the management at Cardinal got to the positions they did.,1.0,1.0,1.0,1.0,1.0,1.0
