date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-13, Lead Architect/Developer,"New York, NY",Current Employee ,A meaningful place to work,A meaningful place to work,0,"Meaningful place to work, Great people, Exciting dynamic work environment.",Client base expansion makes it challenging sometimes to keep up with requirements,Hire more people,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-12, Vice President Health Solutions,"New York, NY",Current Employee ,Making a difference in the lives of people with diabetes,Making a difference in the lives of people with diabetes,0,"When you listen to the calls that our Certified Diabetes Educators make to patients struggling with their diabetes, it truly demonstrates our value and purpose.","Like every company, there is the need to prioritize process improvements and technology enhancements.",Keep growing and moving the company forward,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-04,,,Former Employee ,"Honest review from a human perspective, not a disgruntled ex-employee","Honest review from a human perspective, not a disgruntled ex-employee",0,"Great mission/concept and always needed in the never-ending health dilemma that is diabetes. CDEs are worth their weight in gold and will continue to be needed in excess as the diabetes health crisis continues along with the explosion of technology used to treat diabetes, Type 1 and Type 2.","If you are even considering for one second putting your career, family and health on the line for this disorganized ""start-up"" that is going down faster than anyone wants to admit, then please stop reading this and move on to the next job opportunity. This company is the biggest contradiction to the Core Values it claims to live by than anything in the business world I have ever seen. Their incompetent lack of efficiencies and respect is quite frankly disgusting. The inefficient and hostile work environment includes being under a microscope 24 hours a day 7 days a week. It never ends and it will never be good-enough. There is no trust, and no adoption of new ideas. Be prepared to be on video calls ALL DAY long and into the evening. You must be an extremely amiable and agreeable individual with no bright ideas to be welcomed here. There is not an ounce of work-life balance, whether you have a child or a sick relative or get diagnosed with a life-threatening illness, it can't get any colder at this place. For a company that prides itself on caring about the physical and mental health of it's patients, it will run your own health right into the ground.
It is just really too bad that the leadership is full of unequipped egos that are constantly stepping on each other that this organization will never get their act together, and they've about run out of time.
Please note that this review is not from a ""disgruntled"" ex-employee... which is what they will tell you (also, make note of the generic nature of the positive reviews here) this is from a human who would honestly feel terrible for anyone else to go through what dozens of us have that have been let go in the last year!",Advice to the Board of Directors: Wake-up,1.0,1.0,1.0,2.0,1.0,
2019-03-12, Communications Director,"New York, NY",Current Employee ,Feel good kinda gig!,Feel good kinda gig!,0,"Nice people, excellent benefits, great mission.","This is a young company. If you are not keen to building out your own systems or processes, then this would not be the place for you. On the other hand, if you don't mind starting at the beginning, and building your own infrastructure, you will have landed in the right place.",Keep the momentum going!,4.0,4.0,5.0,4.0,4.0,5.0
2019-03-29,,,Former Employee ,Micromanagement by the CEO,Micromanagement by the CEO,0,Great hard working colleagues. Great and important mission.,"The CEO micromanages everyone in the company. It’s is not only annoying, it is also inefficient and ineffective. Check the turnover rates of employees and you have proof of this problem. Ask anyone in the company (in confidence) what they think of the CEO’s management style, and you will learn the truth of the dysfunctional nature of the company. Changing the company name won’t change the way the company works.","Since the CEO can’t be replaced, please get some outside help. This company has a lot of potential, but the CEO needs outside coaching of the company will fail.",1.0,2.0,2.0,2.0,1.0,1.0
2019-02-11, Diabetes Educator,"New York, NY",Former Employee ,"Logistical problems with technology wasted a lot of time otherwise, I enjoyed the job","Logistical problems with technology wasted a lot of time otherwise, I enjoyed the job",0,Phenomenal qualified managers and Supportive employees are part of this company. There was definitely a team spirit although we all worked remotely and I enjoyed the talking heads meetings we had weekly.,Technology difficulties made the job frustrating when I blocked off my work hours and spent 1.5 hours logging in or reporting a problem to IT almost every day. There were no problems with any employees or managers. They were all professional and all worked their tails off. I couldn't continue to barely make any money because of system problems.,"Thoroughly test new computer systems before making employees use them. I have a feeling this has improved in recent months, however. Be sure that the Spanish-speaking and English-speaking lists are divided before handing them to the English-speaking CDEs. It shouldn't be a requirement to filter out non-English speakers when the CDE is paid to onboard and educate clients. This is a waste of time for the employee and makes it too difficult to reach their goals. The mission of the company is excellent. The staff is excellent. The CEO is passionate and positive and an inspiration. The frustration with technology lasted far too long.",4.0,3.0,5.0,4.0,2.0,5.0
2018-09-25,,"New York, NY",Current Employee ,Exciting and fast growing company,Exciting and fast growing company,0,"Unlimited PTO
Opportunity to work alongside Senior level execs
You learn a lot, there is great opportunity to grow and develop professionally and
personally and you become involved in some exciting projects along the way.
The employees are great and will always jump in to support.
Opportunities to advance","Like every startup environment, it requires hard work and can involve managing multiple projects at once.",,5.0,4.0,5.0,5.0,5.0,5.0
2018-09-06,,,Current Employee ,A company dedicated to making a difference !,A company dedicated to making a difference !,0,"Dedication to improving the lives of patients with diabetes and other chronic diseases. Committed, compassionate, hard working team to work with! Company that demonstrates and lives the core values on a daily basis. Supporting behavior change and keeping the patient the center of all we do!
Exciting growth and opportunity!",(Not necessarily cons) Fast paced environment! Must be willing to go the extra mile when needed!,,5.0,4.0,5.0,5.0,4.0,5.0
2018-09-06,,,Current Employee ,Changing the face of healthcare,Changing the face of healthcare,0,"Culture - mission based employees who truly care about patients
Environment - fast paced and fun - days go quickly
Growing - double digit growth with a lot of opportunity for advancement",Not a 9-5 - need to put in the hours to get results,Thank you for the support and opportunity,5.0,3.0,5.0,5.0,5.0,5.0
2018-09-19, Operations,"New York, NY",Current Employee ,"Imagine a garbage fire and a complete lack of ethics, you get Fit4D","Imagine a garbage fire and a complete lack of ethics, you get Fit4D",0,IF you want to be lied to all the time this your place.,"Lying, terrible management, bad everything the experience was super scary. No job security. Mico management, everything negative you can think of, is here. IF you have a family definitely don't work here.",Get some outside help. Hire more proven executives.,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-19,,,Current Employee ,CDE,CDE,0,flexibility- ability to work several different shifts/hours that suit your schedule,Many non-paid hours in learning and prepping to be on the phone. Obscure reimbursement system. Tedious work through Novo Nordisk.,,2.0,5.0,4.0,2.0,4.0,
2018-08-04,,,Current Employee ,Dynamic Company With a Mission and Vision To Make A Difference,Dynamic Company With a Mission and Vision To Make A Difference,0,"- Great company culture
- Patient-Centered programs with positive clinical outcomes
- Results-focused
- High energy
- Supportive leadership
- Entire team lives the Fit4D Core Values","- Start-ups require hard work and long hours; if you're not familiar with a start-up environment, this may not be for you",,5.0,4.0,5.0,5.0,5.0,5.0
2018-07-19, TSM,"New York, NY",Current Employee ,Patient first mentality driving wonderful technological solutions,Patient first mentality driving wonderful technological solutions,0,"-Welcoming and thriving environment with team members dedicated to finding solutions to ensure that patients get the coaching they need

-Incredible drive, positivity, and internal cooperation as being a central point of the culture that is no doubt ensuring ongoing success

-Mentors are more than willing to spend the time to pass on their understandings to ensure continued development of current and future projects

-Everyone has a can-do attitude most importantly",-Can't see any issues! Mostly everyone is focused. No drama.,Keep inspiring!,5.0,5.0,5.0,5.0,5.0,5.0
