date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-16, Housekeeper,"Durango, CO",Current Employee ,Jobs,Jobs,0,I like working at the hospital.,Some of the people that work there are not very nice to you.,,5.0,5.0,5.0,5.0,3.0,5.0
2019-04-09,,"Denver, CO",Current Employee ,Great company overall,Great company overall,0,"Employee wellness program, great culture, good benefits package with discounts for good health","Restructuring/changes, high turnover in some areas",,4.0,4.0,5.0,3.0,4.0,4.0
2019-03-27, CDI,"Denver, CO",Current Employee ,"Overall, Good Company","Overall, Good Company",0,Big organization. Growth and change opportunity,Lower pay. Big organizational structure changes going on.,,4.0,3.0,4.0,5.0,4.0,4.0
2019-03-25, Client Desktop Support,"Lakewood, CO",Current Employee ,"Rough start, Awesome Management","Rough start, Awesome Management",0,"-Management has been down-to-earth. I have never felt like I was being talked down to.
-Good pay and benefits are decent.","-Some hospitals are very neglected - there is a drastic difference between operations and overall employee satisfaction between locations.
-No training or on-boarding process set by IT. I was thrown into working with no training and with no one able to train me. Luckily with prior hospital experience, this posed barely any issue but if it was someone new to the IT industry, they would've felt so lost they would've quit.","-Stick to HR policies and Centura Health company values posted on intranet and website.
-Management should work to align employee satisfaction so that employees feel the same across all hospitals and clinics. I worked at a hospital that was extremely neglected and not only did you feel like you were working in a building no one cared about, everyone else felt the same way too because they had bad attitudes.",4.0,5.0,2.0,1.0,4.0,5.0
2019-04-04, Operations Supervisor,"Pueblo, CO",Former Employee ,Supervisor,Supervisor,0,Allowed to do job with minimum supervision,Lacks good on the job training for positions,Take time to properly train staff for the best results your seeking,3.0,3.0,3.0,3.0,4.0,1.0
2019-04-03,,,Current Employee ,Social worker,Social worker,0,"Great team members, very hard working.","Administration is ignorant of the work it takes to get tasks done. They keep adding more tasks. Everyday you feel you failed, there is always so much still not done.","Listen to the employees, actually try to meet their needs. Admin always starts programs or work and abandons or changes direction when things start to work, rather than try to enhance it.",2.0,2.0,2.0,2.0,3.0,1.0
2019-04-02,,,Current Employee ,Client technology/Information Technology department is a nightmare,Client technology/Information Technology department is a nightmare,0,Good people and unique experience,Client information Director is impossible to work under,Do better at organizing and find leaders that can do so,2.0,3.0,3.0,3.0,3.0,2.0
2019-03-29, Preoperative Scheduler,,Current Employee ,My opinion,My opinion,0,Great pto and benefits offered. Flexible with work schedule.,"No room for growth, not enough pay, too many changed in management.",,3.0,3.0,5.0,,,
2019-04-13, Clinical Nutrition Assistant,,Current Employee ,Company promises one thing but never follows through,Company promises one thing but never follows through,0,Big company with lots to offer,HR isn’t willing to help if you have a problem that several people reported about one person. Company does follow through.,Need a restructure,1.0,3.0,3.0,1.0,2.0,1.0
2019-04-09,,,Current Employee ,Upheaval and turmoil,Upheaval and turmoil,0,Going to be honest there aren’t many now.,Instead of paying off the deadweight they are making leadership reapply to the jobs they’ve been doing for years. Of course not all of these leaders should stay but it makes the ones that stay compete against each other and ultimately impacts teamwork in the group.,,1.0,1.0,1.0,2.0,1.0,1.0
2019-03-03, Medical Coder,"Colorado Springs, CO",Former Employee ,Pretty Good Place to Work,Pretty Good Place to Work,0,"Great benefits and pay is not horrible. Not great, but not horrible.",Management treats you like your just another cog in the wheel and doesn't care about a work/family balance,,4.0,3.0,3.0,4.0,3.0,3.0
2019-02-23, Certified Pharmacy Technician,"Broomfield, CO",Current Employee ,great company,great company,0,I am enjoying working at centura health,not a best salary increment,,4.0,3.0,,,,
2019-03-08,,,Former Employee ,Un qualified Supervisors put in positions .,Un qualified Supervisors put in positions .,0,Benefits are ok . Salary .,Unqualified person put as Supervisor not qualified .,"H.R. and management ,Needs to be more involved in cleaning up departments and providing positive support to staff.",2.0,2.0,2.0,1.0,2.0,2.0
2019-02-21,,,Former Employee ,Great place,Great place,0,"Room for advancement, great Nurses","Management, staff to patient ratios",,4.0,,,,,
2019-02-27, PSR,,Former Employee ,Last Resort,Last Resort,0,"Pay, benefits is the reason I stayed with Centura.","Lack of support,Revenue is more important than quality of patient care",,2.0,3.0,2.0,2.0,4.0,2.0
2019-02-04, Registered Nurse,"Westminster, CO",Current Employee ,Centura encourages you to grow within the organization,Centura encourages you to grow within the organization,0,Bigger healthcare organization with opportunities to grow and move around,Slightly lower than average pay,,4.0,3.0,4.0,4.0,4.0,3.0
2019-02-03, Medical Assistant,,Current Employee ,Centura,Centura,0,Pay is higher than average,"Management style is all over the board, some are fantastic some have no idea what they are doing.",,5.0,4.0,5.0,3.0,,
