date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-12, Product Manager,,Current Employee ,Great company,Great company,0,good benefits and great company to work for,No cons to work for this comany,,5.0,,,,,
2019-01-07,,,Former Employee ,Sales,Sales,0,Best Sales engineers in the business,Management can be over bearing at times,,3.0,2.0,3.0,4.0,3.0,3.0
2018-08-09,,"Spokane, WA",Former Employee ,High Turnover,High Turnover,0,If you do your job they leave you alone,My manager changed over and over again.,,2.0,1.0,1.0,2.0,2.0,1.0
2018-04-25,,"Spokane, WA",Former Employee ,Great Place to Learn and Get Experience,Great Place to Learn and Get Experience,0,The people you work directly with are wonderful. There is a wealth of knowledge inside the organization.,The pay is below the standard for the area and it seems the comp plans change every year to benefit the company rather than the employees,,3.0,2.0,1.0,3.0,3.0,1.0
2018-05-07,,,Former Employee ,Fear based company,Fear based company,0,"Some good people, but doesn't help the destruction of everything else.",1 word - Junkermier. Anyone that has worked here knows the meaning,"Learn how to be leaders, not mob bosses",1.0,1.0,1.0,1.0,1.0,1.0
2017-08-31,,,Former Employee ,Inside Sales,Inside Sales,0,Nice group of people.,"Low pay, no insurance",I have none.,4.0,5.0,3.0,,,
2017-09-15, Account Manager,"Seattle, WA",Former Employee ,ok but really an uptight fear based culture,ok but really an uptight fear based culture,0,They have a couple very large SLED clients that keep them afloat so there is a decent team of skilled technical resources,"pay is low comparably in the region
management is indecisive
VP seems afraid of the President
President has anger management and people relation skills
office is a dour office park cubicle environment in a bad part of town
leadership has no real vision or inspiration
High turnover..can't keep sales staff
Comp plan keeps changing",try the upbeat and happy vs scared sheep environment...it's really weird there,1.0,2.0,2.0,2.0,2.0,1.0
2017-06-27,,,Current Employee ,Stable Company With Solid Regional Success,Stable Company With Solid Regional Success,0,"Heavy work loads can be expected with this company. The company is based in the Northwest, and has had growth year over year, since its inception. There is an open door management style; bring your issues to management; ask for your growth opportunities; and ask for the rewards you expect for a job well done. There is tremendous opportunity here for hard working people who are passionate about excellence.","The company has growing pains - processes do not necessarily translate to function, and performance expectations have created a CYA mentality when expectations are not met. Company moral has taken some hits, and some key players have moved on. Be part of the solution and stick it out.","Keep eyes open to staff moral, declines in excellence, declines in enthusiasm. Good people have left, and continue to migrate - growing pains and growth expectations do not need to drive good people away. A supportive, team environment will harbor lengthy tenure, loyalty and excellence, more than a race to the finish line.",4.0,2.0,3.0,4.0,3.0,4.0
2017-03-10,,,Former Employee ,Work environment,Work environment,0,People here are great to work with. Management was okay at best to deal with.,Lack of dedicated training route/path. You are left to fend for yourself.,Good luck with everything,3.0,3.0,4.0,3.0,4.0,3.0
2017-02-22,,"Renton, WA",Current Employee ,Account Executive,Account Executive,0,"Great people, solid delivery and support.",Really tough to make the comp plan work.,,3.0,4.0,4.0,4.0,3.0,3.0
