date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-06-03,,,Current Employee ,Sales,Sales,0,"Great family values, and a place to be",nothing yet! Will let you know,,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-27,,,Current Employee ,Sinking Ship,Sinking Ship,0,Great people at the ground level,"CEO is a ""numbers guy"" who is in the process of taking over from his father. That should tell you all you need to know.",Good luck,2.0,3.0,5.0,4.0,3.0,1.0
2017-08-03,,"Wheeling, IL",Former Employee ,"Overall, A Good Experience","Overall, A Good Experience",0,"The people are really great. The company does nice things for you like shirts, meals, etc.",Takes too long for things to happen. Some of the people who have been there forever are just coasting.,Get more involved with your people and actually learn what they are doing. Don't just take them for granted.,4.0,3.0,4.0,3.0,3.0,3.0
2016-07-22, Technical and Design,,Former Intern ,"I was an intern in the apparel team. I learned a lot about production, and everyone was so nice and helpful!","I was an intern in the apparel team. I learned a lot about production, and everyone was so nice and helpful!",0,Everything I learned here was a great learning experience. Internships like this are very rare in the Chicago area! It helped me through interviews and get a job right away in the fashion industry after I graduated!,No cons. I miss the place very much.,,5.0,5.0,5.0,4.0,3.0,5.0
2016-05-09,,,Former Employee ,Warehouse,Warehouse,0,"Easy work, safety is always put first, time goes by fairly quick, not much past related skills needed, inventory is easy to memorize","Both upper and warehouse management can be very condescending, everything needs to be done a certain way or else you get yelled at","Be a little more understanding of the workers' situations, don't talk down to anyone for little things, respect the longer tenured workers a little more because they've put up with a lot over the years",3.0,,,,,
2016-01-20,,"Wheeling, IL",Current Employee ,Growing company with family values,Growing company with family values,0,The company is a growing and dynamic company in what can be a slow to change industry. The company also operates with values (integrity driven customer first attitude) in how it's works with its customers employees and partners.,"A challenge & opportunity: educating the americanpublic about what we can do for athletes, teams and leagues.",Keep up the aggressive efforts to grow and change!,5.0,4.0,5.0,4.0,4.0,4.0
2016-01-20, Customer Service,"Wheeling, IL",Current Employee ,Best Career Move Ever!,Best Career Move Ever!,0,"I've been with the company a year now and its the best career move I've ever made. The CEO and Management staff are very friendly. It's a very energetic company with many opportunities to advance. If you love sports and want a great career, this is definitely the company to do it with.",Must like pizza... there's tons of it! :),Keep doing what your doing... it's working!,5.0,4.0,5.0,5.0,4.0,4.0
2016-01-20, Vice President,"Wheeling, IL",Current Employee ,Exciting,Exciting,0,"I've been with Champro for ten years now and it has been fast-paced and fun. I've been promoted several times during which time the company has tripled in size. We are encouraged to continuously find ways to improve, which has been a fun challenge for me.",Some former employees have blamed others when they couldn't keep pace with the change. It's disappointing to hear people take their frustrations out on others.,Thanks for picking up such a big chunk of the health care tab!,5.0,4.0,5.0,5.0,5.0,5.0
2016-01-20, Territory Sales Manager,"Chicago, IL",Current Employee ,Great Mid-Size Company,Great Mid-Size Company,0,"Working for a family owned company allows me to work directly with upper management/owners on a daily bases. Suggestions, comments and feedback are encouraged. Your voice matters.",Commute. Perhaps adding Metra passes as an employee benefit?!?!,Continue taking care of your people and evolving with the industry.,4.0,3.0,5.0,3.0,4.0,5.0
2010-06-07,,"Wheeling, IL",Current Employee ,Great place to work,Great place to work,0,Mid sized company in an industry with very large companies but very professional in their approach,Requires high energy people and commitment to excellence,Push employees to get the most from them. Keep pushing to surpass larger much competitors and grow market share with national accounts.,5.0,4.0,5.0,5.0,5.0,
