date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-28,,"San Francisco, CA",Former Employee ,Good place to work at,Good place to work at,0,Good environment and staff members,The commute is pretty far if you don't live in San Francisco,,5.0,5.0,5.0,5.0,5.0,
2018-01-25,,,Former Employee ,strong of China culture,strong of China culture,0,"very china traditional job ideal, if you likely in this kind environment, you will be having a good time","I'm different culture, so is unacceptable to me",,2.0,1.0,2.0,1.0,1.0,1.0
2018-01-08,,,Current Employee ,this company is just so so,this company is just so so,0,i think company Insurance is good,company instruction is sucks in here,,3.0,3.0,3.0,3.0,3.0,3.0
2017-11-27, Customer Support,"Los Angeles, CA",Former Employee ,More work needed to be considered a global airline,More work needed to be considered a global airline,0,"set hour not much overtime needed, company paid benefits after 90 days","too chinese centric higher managers are rotating in from china but english ability much to be desired, flight benefit is a joke but on par with other mainland chinese carriers way below industry standard, not very much training conducted leave more questions than answers, coworkers friendly but again very chinese mentality sometimes hard to communicate your point across, pay can be better",be more globalized by improvising some program to raise staff's english level and induct changes to fit in with overseas branches,2.0,3.0,2.0,2.0,2.0,2.0
2017-05-08,,,Former Employee ,Assistant Manager in bilateral cooperatopn,Assistant Manager in bilateral cooperatopn,0,Good work-life balance and job security,Office politics with complicated relationships,Need to put an effort to team building and motivation,4.0,5.0,3.0,4.0,5.0,3.0
2017-05-16,,,Current Employee ,benefits,benefits,0,2 free tickets and one 1/10 ticket,low salary compare to other airlines,,3.0,3.0,4.0,4.0,3.0,4.0
2016-12-06, Senior Accountant,"Los Angeles, CA",Current Employee ,Accounting,Accounting,0,"Good benefit, big airline in Asia.","Too busy, stressful, more role",,4.0,4.0,4.0,4.0,4.0,4.0
2016-06-09,,,Current Employee ,Sales,Sales,0,Stable and will not lay off employee,do not value employee potential,,3.0,4.0,2.0,3.0,3.0,3.0
2016-05-07,,,Former Employee ,Not really bad...,Not really bad...,0,"4 star airlines cares safety , excellent flying network worldwide, so your co-workers will be globally;

good office location;

the company provided opportunities to work with different positions;

some colleagues will be sent to China for training","Salary is lower than the market.

Benefit is.. so so.

This is a China government-owned company in which frequent changing policies in china will, the-more or less, influence the local office for making decision/operations.",,3.0,2.0,5.0,3.0,2.0,2.0
2015-08-07,,"Los Angeles, CA",Current Employee ,Airport Service Supervisor,Airport Service Supervisor,0,Good company. Good service. Good management.,Payment is fair. But the new management team is changing. Developing in North America. Good opportunity.,,4.0,4.0,4.0,4.0,4.0,5.0
