date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-23,,,Current Employee ,Great place to work.,Great place to work.,0,"- Exciting industry
- Great work/life balance and flexibility
- Transparency (frequent Q&A with leadership, quarterly business updates, etc.)
- Communication & Collaboration made really easy with cloud-based solutions
- Unlimited PTO, comprehensive benefits (medical, dental, etc.)
- Big emphasis on promoting your personal growth. If you express an interest in a subject, you are encouraged to learn about it
- Leaders trust their employees
- Fun offices (some are dog friendly)
- Relaxed environment without sacrificing hard work
- Individuality is respected and valued
- Colleagues across the globe","- Colleagues travel for projects a lot, so sometimes it can seem like people are coming and going
- Growing pains that come with every org growing at this rate, but leadership is working hard to implement processes that help the org scale",Love how you make everyone feel part of the business through clear and transparent communication,5.0,5.0,5.0,4.0,4.0,4.0
2019-04-22,,,Former Employee ,Not quite as advertised,Not quite as advertised,0,"Unlimited time off
Quarterly events were fun but not sure how long they will continue for the leadership was beating around the bush about it
Some interesting projects","New people fundamentala seemed rushed new levels were all over the place
Finance and expense operations need work should be better for a consulting company where majority of us have to travel on a weekly basis and are the bread and butter of the organization
vision is all over the place
Leadership is disconnected",Not sure,2.0,,,,,
2019-03-19,,,Current Employee ,miss the old Cloudreach,miss the old Cloudreach,0,still some great people here (though seems like they are getting pushed to the background for new blood though which is a shame).,"used to be fresh and bold, now just feels like we are trying to be every other giant boring corporation. too by the book. new people from big corps with no understanding of what made cloudreach special seem to be the only ones with a say on anything anymore which is a shame.","pretty sure you can grow in size as a business and still be creative and bold in how you run things. do we need to model everything we do after what you've seen at the big corps youve worked at? its all so vanilla. we have smart people with fresh ideas, shame we are trying so hard just to be like everyone else. company used to be very authentic, can we get back to that?",3.0,3.0,3.0,3.0,2.0,2.0
2019-04-18,,,Former Employee ,Leadership woes,Leadership woes,0,They value tech talent and are willing to invest in tech training,"The leadership team does not know how to lead. There are many biases and disriminatory practices by cetain 'leaders'. Instead of addressing the issues, these people continue to get reassigned to newly created positions with goofy titles and fake responsibilities.",Get rid of fakers in leadership roles. Listen to your valued employees when they express concerns about lack of direction. These intelligent and talented people are in high demand - pay attention to them or they will be gone.,1.0,3.0,2.0,1.0,3.0,1.0
2019-04-18, Cloud Architect,"Atlanta, GA",Former Employee ,"Beware, not cloudy as defined or as you think.","Beware, not cloudy as defined or as you think.",0,None. Googling for solutions is their tool. They know how to use the search engine well.,"Mere certification does not help. This, they fail to understand. The Cloud Architects and the Lead Cloud Architect I worked with might know only about AWS cloud., but, they lack to have a whole Application knowledge, Application Integration knowledge, Data structures, etc.. and will not be able to help for refactoring Applications. All young folks with certifications and they think they know everything. This is wrong. They lack manners, rude and unformattted behaviour.","Define ""Cloudy"" well and implement it or reflect upon it really. Talking one thing and doing one thing is ridiculous. Hire really experienced folks and not just young folks who lack manners and just manage to get some certifications and think they know it all. Very arrogant and poor manners and such consultants are a disgrace to the Software Engineering world.",1.0,3.0,1.0,1.0,3.0,2.0
2019-03-18, Csd,,Former Employee ,The growing pains are still...growing,The growing pains are still...growing,0,"Flexible work arrangements, snacks/beer at offices, worked with some smart folks on engagements. After a few projects under your belt you can leave for better comp to a more stable company. Some unique projects (but need to be lucky to get staffed on one). TGIF was a nice touch.","Upon the acquisition of Relus there has been a huge uptick in staff aug projects. This has already caused burn out.

Internal promotions seems to be based on tenure, not talent. The tenured cloudreachers promoted to the “Leader” roles are protective of the company and not their people. It is apparent that most of the internal promotions to “Leaders” had never proved they can be a people manager and are now just winging it and learning on the fly. I know many CSDs (like myself) had left because their line manager never had their support.

- Expense payout never meets SLAs","Sales org needs more strategic direction on which opportunities to go after and not just the low hanging fruit (staff aug thrown from AWS).

If the company is going to grow quickly and hit revenue numbers - be competitive with salaries and bring in talent with consulting AND technical backgrounds.

 Hire more external, experienced managers to North America.",3.0,5.0,4.0,5.0,3.0,3.0
2019-03-03, Sales,,Former Employee ,Disheartening,Disheartening,0,Seemingly transparent goals shared regularly. Trying hard to put structure in place.,Several ‘leaders’ are far from just that and put on a very different front when in front of the company and the CEO. Expect constant changes to your role and compensation measurement; you’ll never know what to expect. Layers upon layers of management with few do actually do the work; burning good people out.,"Leadership 101: praise in public / criticize in private.
Allow line staff review the leadership; may give you eye-opening insight.",3.0,2.0,4.0,3.0,4.0,2.0
2019-02-15, Technical Architect,"Atlanta, GA",Current Employee ,"Good Company, Growing Trying To Find Their Way","Good Company, Growing Trying To Find Their Way",0,"Great culture, they try hard & great people",some confusion & growing pains. some people are in over their heads.,"create eneterprise ready offerings....too much of the solutioneering is done on the fly by talented people, which isnt scalable.",3.0,5.0,5.0,3.0,3.0,3.0
2018-12-16, AWS Partner Business Dev,"Remote, OR",Current Employee ,Great place to work!,Great place to work!,0,"Very similar company to Relus, we were recently acquired by CR",Still waiting on my compensation plan,Be a bit quicker on the income piece,4.0,4.0,4.0,5.0,3.0,4.0
2018-11-16, Cloud Architect,"Atlanta, GA",Current Employee ,CEO is Mr. Dreamy!!!!!!,CEO is Mr. Dreamy!!!!!!,0,"I just came back from our all company event in Cancun (on the beach?!?!?) in Mexico!! We have a new CEO and leadership team who gets it and they are working hard to make this company even more amazing. It goes without saying our that our new CEO is a handsome hunk, but he’s also crazy smart and has lived all over the world. But I sat with him at dinner in Cancun and he’s so down to earth and so friendly that he connects with all employees. For those who haven’t met him yet, you need to meet him to understand. I talk about our CEO because I believe you need to understand a company’s leaders to understand the company. And the leadership team is made up of inspirational people who I believe will steer this company in the right direction. Our best days are ahead so you should join now if you want to have a career high point.","We need to catch up. Many things are missing for a company our size, but it’s a chance to be a part of the solution.",We are supporting you as employees. Keep it up so I can keep telling all my friends that my company is better than theirs.,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-03, Cloud Systems Developer,,Current Employee ,Keeping everything Cloudy,Keeping everything Cloudy,0,"Super friendly and helpful people everywhere you go, the company's got some exciting future plans",Need to solidify the training process. More focus on hands-on training and less so on online courses or certifications.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-03,,,Current Employee ,"Immature Company, Lacking Real Depth of Opportunity","Immature Company, Lacking Real Depth of Opportunity",0,"I imagine this company would be great fun if you're in your 20's and looking to drink beer at work, play video games on the job, and work with very little supervision/accountability. There are some genuinely smart, talented technical people working here, though with the state of things it's hard to say how long they'll stay.","If you're looking to truly grow in your career, look elsewhere. Inexperienced and unqualified people sit in business-critical and leadership roles in the company, lacking any real training or guidance in how to effectively lead teams and grow their team members. Often times it feels like people are just ""winging it"" and learning as they go how to lead teams, often at the expense of their people.

All of the diversity and inclusion efforts are very shallow and surface level to give the company a good image and don't address the real, internal issues and work environment. Examples of official, company sponsored events include binge drinking on a party bus and an all-you-can drink company-wide kickoff event in Mexico. Are we the most innovative cloud computing company in the business, or a bunch of college kids on spring break? As if being a woman in a mainly male tech company isn't challenging enough, Cloudreach throws a bunch of alcohol into the mix and makes it even more inhospitable.","What this company really needs is to seriously mature and think about the type of environment it provides for it's employees, and what that message sends about who belongs here. Spend time training your leaders so they can invest in growing your people. Stop promoting and keeping unqualified people in leadership roles.",1.0,2.0,1.0,1.0,2.0,1.0
