date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-24, Intern ,"Atlanta, GA",Former Employee ,Great Internship Experience!,Great Internship Experience!,0,"- Friendly environment & culture
- Everybody was willing to make you succeed and help you out whenever you needed help
- The department and managers were genuine and love to see you succeed and grow!
- The internship program was an overall great experience and it allows you to open many new doors for opportunities!","- Lack of training to specialize the tool/software, but this is where reaching out to other coworkers & looking at other external resources play a major role for your success",,5.0,4.0,5.0,4.0,4.0,5.0
2019-04-28, Oracle Database Administrator,"Atlanta, GA",Current Employee ,Vision,Vision,0,"Motivating, life changer, Harmonious, Fun loving.","No downside, so far the company was doing so well",Keep the good work,4.0,,,,,
2019-04-26, Technical Support Specialist,"Dallas, TX",Current Employee ,"Excellent Company, good benefits, work/life balance","Excellent Company, good benefits, work/life balance",0,"Excellent company. Good benefits, work/life balance.","Management needs improvement, Supervisors need improvement",Management needs more mature supervisors. We are not in high school.,4.0,5.0,4.0,4.0,5.0,2.0
2019-04-10, Human Resources Director,"Atlanta, GA",Former Employee ,Great Company to build experience,Great Company to build experience,0,"Opportunity to get involved in projects and assignments that stretch your skills and abilities, very talented co-workers, financial stability and growth opportunities.","Periodic ""right-sizing's"" . They subscribe to the GE model of purging your bottom 20% via RIF's versus addressing performance issues....",Get out of meetings and get more connected w/ your employees...,5.0,5.0,4.0,4.0,4.0,3.0
2019-04-10, QA Analyst,"Macon, GA",Former Employee ,Great company culture,Great company culture,0,"Great work-life balance, many subsidiaries to move to within the Cox family of companies and company cares about the community (volunteer and other goodwill activities",With each leadership change comes a revamping of technology reporting structure and division strategy.,,4.0,5.0,4.0,4.0,4.0,3.0
2019-04-08, Senior Software Engineer,"Austin, TX",Current Employee ,Great company who values its employees,Great company who values its employees,0,"Work/life balance is great
Benefits cover really well
Good infrastructure - great tools and computers
Helpful coworkers
Great location","No free beer ;)
Seriously none so far",,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-07,,,Current Employee ,NA,NA,0,"Good work environment, smart people.",None that i can think of.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-02, Software Engineering Manager,"Atlanta, GA",Current Employee ,Great place to work with a great culture!,Great place to work with a great culture!,0,"- Competitive pay related to the market
- Great culture
- Beautiful campuses
- Open and honest leadership",- Growth by acquisition warrants a lot of change (good and bad),,5.0,5.0,5.0,5.0,5.0,4.0
2019-04-16, N/A,"Dallas, TX",Former Employee ,Poor management - high turnover in some departments.,Poor management - high turnover in some departments.,0,"Benefits, people you work with, time off huge plus.","Management is terrible. You have the ability to advance, but the raise is a joke.",Be respectful of your team and they will respect you.,2.0,1.0,3.0,4.0,4.0,2.0
2019-03-07,,"Atlanta, GA",Former Employee ,Buyer Beware and Proceed with Caution,Buyer Beware and Proceed with Caution,0,"- Good benefits structure.

- Flexibility with work/life balance.

- Revered and respected brands in the portfolio.

- You won’t get bored.

- Respect from dealers who know the company and brands.","- Cult-like, immature and fundamentally inept senior leadership

- Toxic working environment that is fostered from the top-down.

- A culture of incompetence that execs are invested in.

- But that impacts employees greatly.

- Political undertones that suffocate qualified talent and company progress.

- Still too many employees on some teams, meaning there will need to be more cuts in the future.

- Lack of innovation - with no concrete plan to fix it.

- No career pathing or growth whatsoever - teams and employees are shifted around at will without regard for what those teams or individuals may want to do.","Read this and understand that while these words may seem harsh, know that was written by someone who still believes in the inherent goodness of your employees and hopes for a better future for Cox Automotive.

You’ve probably heard great things about working at Cox, maybe even specifically Cox Automotive, and there was a time when that was true. There was a saying that employees were the “secret sauce” that made the company so wonderful. Great people, great customer service, great relationships with dealers and the biggest names in the automotive industry. What could go wrong? Unfortunately, years of rampant mismanagement, unqualified and immature leadership, no product innovation, rounds of layoffs and a resulting cult-like, toxic culture among senior leaders have drastically changed what life was once like at Cox Automotive.

To be fair, the industry has been under a lot of pressure from shifting consumer tastes, changing dealer demands, uncertainty around impacts from political policy and a digital revolution that upended the world as we knew it. Any one of these is not easy to manage, let alone all of them together and facing a company as large and complicated as Cox Automotive. However, the response to these trends and lack of fundamental understanding from those in positions of power have left the company and its employees badly bruised.

As the business struggled, employees:
- Suffered through multiple organizational restructures - often with thinly veiled threats from senior leaders about how easy it would be to eliminate their roles
- Watched friends and colleagues pack their desks through multiple rounds of layoffs
- Had their roles rewritten repeatedly, often expanding responsibilities and territories by 2x, 3x, 4x or more
- Were provided compensation adjustments that didn’t even keep pace with inflation
- Lost the opportunity for advancement because the organization was not just flattening, but imploding
- Were subject to political persecution, character assassination, personal smear campaigns and scapegoating

...and yet, the leadership at Cox Automotive decided that the those who remained were lucky to be there. For all of this, employee appreciation took place in the form of “pat on the back” webcasts from leaders and t-shirts with company logos.

The culture among senior leaders at Cox Auto is one of group think, toxic scheming, collective insecurity and frantic reaction, largely because those decision makers are so green and inexperienced.

Hiring, promotions, and advancing your career are all functions of who you know, not your contribution to the business or resume. Personal friendships and political alliances are prioritized regardless of work product or track record because a system of insider trading and behind-closed-doors decision making is the norm.

Put simply: leadership is inexperienced and immature, so maintaining power at any cost is always the first order of business. Positions of power are about all that the leaders at Cox Auto can tout - many are not authentically respected by their peers and pupils, and for good reason.

Executives have reorganized and realigned relentlessly, changed goals and tactics, combined functional areas, consolidated, and finally, made numerous “unicorn” hires from the outside: The person who is a “game changer,” and who will come to Cox and provide the “magic touch we’ve been missing.”

Here’s the funny thing about that: the company has hired a number of brilliant, capable people, but many of them last no longer than a few months. The reason? As much as execs say they want to rewrite the rule book and “disrupt” the culture and industry, such hires are met with closed doors and closed minds on day 1. Cox Auto doesn’t actually want to do anything differently - doing so would be a threat to the existing power structure.

New minds with fresh perspective are alarming to those who built the current system, so no progress will ever be made until there is a mass purge of tenured executives. Such hires have been made at multiple levels on multiple teams - and nearly all of them have checked out after getting a taste of the culture or being laid off as a “bad cultural fit.”

That process - the search, hiring and then failure of these “make everything better hires” - leads to the blatant marginalization of existing employees. Very often, tenured, experienced employees - the ones with good understanding about what can change and improve - are seen by senior management as part of the problem and generally dispensable. This is done to protect the existing system of alliances and friendships at higher levels - so that there is someone to blame for problems and falling short of goals.

A few years ago, senior leadership introduced a mantra they claimed to believe in and wanted employees to embrace as well: “Open, honest and direct.” It was launched right around the time that the business started falling apart, so it felt appropriate and appreciated. “Be open, honest and direct with your manager. Tell us what you think we don’t want to hear! There are no bad ideas!”

As it turned out, “open, honest and direct” was only the latest installment of Cox Automotive’s “do as I say, don’t do as I do,” culture. Employees who raised their hands with suggestions or constructive criticism were sidelined, alienated and ridiculed by senior management behind closed doors. Conversely, people managers were empowered to provide negative, harsh, often personal criticism of their teams. The policy, for all of its lip service from senior executives, turned into a way to belittle and devalue employees - but always with an underlying theme of how lucky they were to still be at Cox when so many weren’t.

Put simply, the current state of Cox Automotive is the result of widespread, systemic failures at the highest levels. At the middle to upper levels of the business, there is a fundamental lack of strategic understanding combined with a general attitude of distrust, self preservation, micromanagement and “protecting what’s ours.” Executives and senior management point fingers across teams, undermine one another, place blame and then pass this mentality onto their teams, undermining collaboration and reinforcing elementary levels of professional maturity. It’s toxic.

This created a work environment that breeds and rewards politics, backstabbing, gossip and alliances, while only inducing anxiety and loss of motivation on the people doing the work.“It’s not what you know, it’s who you know,” could have been written about Cox Automotive. Some managers even villainize members of their own teams to divert the focus from failed leadership decisions to “problem employees.” What happens once that employee is managed out? The focus shifts to someone else. The responsibility never lies with those in charge of actual business decisions - it’s always the fault of someone else.

Most unfortunate is the fact that HR is as much a part of the problem as senior leadership. At Cox Automotive, the HR team is ingrained in the oppressive “I’ll scratch your back if you scratch mine” culture and cannot be trusted. HR will tell employees they “can trust us” and that they are there to help, then proceed to have seemingly “open, honest and direct” conversations under the guise of confidentiality. However, extreme detail is relayed to managers and sometimes, HR takes liberties in adding their own colorful detail and assumptions when doing so.

The turnover has been so high - even at senior management levels - that the company stopped providing organizational announcements and business updates for fear that it would negatively impact morale.

Most of the truly smart, capable, hard working people have already left Cox Auto (through their own means or layoffs) or are interviewing with the intention to do so. They know there is not a future of innovation or opportunity until there are massive changes at the executive level. The people who remain and are planning to stay there are either 1) part of the political problem, 2) tied into the pension system and hoping to ride it out to retirement or 3) new to the company and haven’t figured it out yet.

I have noticed that many of the positive reviews on Glassdoor are posted by employees who have been with the company for less than a year. In my experience, this is still a honeymoon period and well before reality sets in, though I hope these individuals continue to have a positive experience.

Your best chance of a great career at Cox Automotive is being related to or personal friends with someone in senior leadership. This will earn you an immediate golden ticket with promotions and special status, exempting you from much of what I’ve written above.

To those looking to come to Cox Automotive, my advice would be to think twice, network and do your research. Your experience at the company will be heavily dependent on your team: Will you report to a leader who believes in and empowers you? Will you be given everything you were sold during the interview process? What are your personal expectations around career growth and the future - and would you be happy with 50% of that? I speak from experience by saying that the grass is not always greener - in fact, at Cox Automotive, it’s not really grass at all. It’s a swamp.",2.0,4.0,1.0,2.0,4.0,1.0
