date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-05-29,,"San Jose, CA",Current Employee ,Loving my job!,Loving my job!,0,"Long-established company that specializes in helping marketers --- LOVE THAT!
WONDERFUL co-workers, everyone is focused on helping each other and doing great things together.
Great vibe in the office, stress-free environment.
Flexible with awesome work/life balance.
Management is supportive and the company is growing.",I wish the benefits were better / less expensive.,"Keep heading in the direction you're moving. Continue to listen to your staff, add expertise, and grow your teams. Offer 401k matching and reevaluate your benefits costs.",5.0,5.0,5.0,4.0,3.0,5.0
2017-08-08, Program Manager,"San Jose, CA",Former Employee ,Consultant,Consultant,0,Contacted me regarding consulting assignment,"Little interaction after contract signing, little feedback on performance.",,4.0,4.0,3.0,4.0,3.0,4.0
2017-01-18,,"San Jose, CA",Former Employee ,Solid Team to Work With,Solid Team to Work With,0,The Crawford team provides solid support while you work under their umbrella.,May not have as many strong relationships due to restructures inside their clients.,,5.0,5.0,4.0,4.0,5.0,4.0
2016-10-24, Event Marketing Consultant,,Former Employee ,Event Manager,Event Manager,0,Good opportunities. Nice recruiters. Good support during project. Pleasant account director.,Not a lot of opportunity once project is over.,,3.0,3.0,2.0,2.0,2.0,2.0
2016-09-07,,"Campbell, CA",Current Employee ,Excellent benefit program,Excellent benefit program,0,"$10.00 Prescriptions
Low employee cost
Easy access to benefits and your policy and coverage online
Big choice in options
Easy to reach when you have questions
Very Knowledgeable Management when asking about benefits (pre and post hire)-Very important to me.
Can tell Crawford Group really cares about it's employees and their health and well being
Goes above and beyond to help you chose what is best fit for you and your needs","None at all, extremely happy with Crawford Group benefits and the affordable prices, benefits and support you receive around the benefits I have chosen.",Keep up the excellent work. I find the management staff to be easy to talk to and easy to reach should the need arise.,5.0,5.0,5.0,5.0,5.0,5.0
2016-08-26,,,Current Employee ,Good for some consultants,Good for some consultants,0,"Known for having good consultants
Offer some benefits (i.e. paid holidays, medical)
Provide some work-related presentations meant to inform, but no real benefit to skills","Complicated system for logging hours and benefits
More of an advocate for hiring company than for placed worker
Outsourced payroll and benefits",Make your consultants your priority,3.0,4.0,3.0,1.0,3.0,3.0
2015-11-17, Marketing Consultant,"San Jose, CA",Current Employee ,Phenomenal Experience - Great Company,Phenomenal Experience - Great Company,0,"Respect
Flexibility
Independence
Great Pay
Wonderful talented people
Great corporate culture","None
Must have ability to work and organize time independently
Have no negative feedback.
Very little training or introduction to duties or workings of client - company best suited for independent go-getters.",,5.0,5.0,5.0,5.0,5.0,5.0
2015-11-18, Office Assistant,"Campbell, CA",Former Employee ,Overall good company culture but a lot of communication breakdown,Overall good company culture but a lot of communication breakdown,0,The people here were very nice to work with when the communication was transparent. Nice location in the South Bay Area. Succinct documentation processes.,"The corporate-level employees were often difficult to get a hold of when a question needed answering. Also, the consultants could sometimes be very demanding yet do not give a lot of direction if they needed help completing a task.",Keep communication lines open and transparent. Understand that there are a lot of daily duties and piling on the special projects can be overwhelming.,3.0,3.0,4.0,4.0,4.0,2.0
2015-07-04, Digital Marketing Campaign Manager,"San Jose, CA",Current Employee ,Marketing Program Manager,Marketing Program Manager,0,flexibility and great work enviornment,none as there is great work family balance life,,5.0,,,,,
2015-07-03,,,Former Employee ,Marketing Consultant,Marketing Consultant,0,Worked with many different brands on projects. This was a great experience and allowed me to see what the culture is like inside other large enterprises.,Not many opportunities to stay once a project is over.,,3.0,4.0,3.0,3.0,3.0,3.0
2015-07-06, Marketing Contractor,"San Jose, CA",Current Employee ,Competing SV agencies pay you more and treat you better,Competing SV agencies pay you more and treat you better,0,"Offers contract work for a handful of high tech companies on their somewhat limited and concentrated client list

Based in SV.","Impersonal.

No loyalty once your contract work is completed.

Not competitive pay. The word on the street by both candidates and clients confirms/is widely known
They do not offer or give raises when requested and even after years!

Owner operated- owner and mgrs. money-driven and want their big margins.

 Not loyal to contractors. Lots of turnover.

Contractor has to pay for limited benefits.","Share your relatively large margin with your contractors who do the work.

Take the emotionality out of your management style.

Hire more men.",1.0,2.0,1.0,2.0,1.0,1.0
2015-05-11, Database Manager,"Campbell, CA",Current Employee ,"Excellent company to work for, awesome managers & staff","Excellent company to work for, awesome managers & staff",0,"Great group of people
awesome pay
pleasant working atmosphere
nice offices
extends extra care to consultants and clients
always available for help",I have had no negative experiences in all the years working for Crawford Group,Keep up the good work!,5.0,5.0,5.0,5.0,5.0,5.0
