date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-19, Marketing Manager,"New York, NY",Former Employee ,Marketing Manager,Marketing Manager,0,"The office designs important civic projects - affordable housing, healthcare, transportation, education and institutional. Open lectures and presentations of work in the office and of individual research created an open forum and team building. Office has a wide range of design opportunities. A wide range of experience and supportive leadership at the senior level.",Civic work can be a challenge in terms of finding opportunities design exploration.,,5.0,5.0,5.0,4.0,4.0,5.0
2018-12-19, Architect,"New York, NY",Current Employee ,If you want balance between life and work...,If you want balance between life and work...,0,Good people. Relatively good balance between life and work.,Small annual increase. Poor family insurance. Hard to transfer from one studio to another.,Management people have been putting effort to create a better office culture. But not sure how it actually works out well.,3.0,4.0,3.0,4.0,3.0,3.0
2018-11-07,,,Former Employee ,Depends on who you work with/under,Depends on who you work with/under,0,"-Hours are reasonable.
-Most people are genuinely good hearted and willing to help and share ideas.
-Company tries to stay organized and provide learning opportunities, such as Revit Rants and tutorials on various graphics software for employees at all levels","-Management capability between studios is extremely inconsistent.
-Certain PMs in the Housing Studio don't do much work in terms of architecture, client, or team management. Zero CA knowledge. Would never be able to find a job if they were to leave Dattner. Spends most of their time monitoring their colleagues to see who he/she can rat on in hopes of promoting his/her own self worth.
-Management in the Interiors studio is usually seen making personal calls or chatting about his/her personal life, and can be heard throughout the studio. I've never personally seen him/her perform work-related tasks. Not sure what value they serve to the firm.
-Principals need to identify and appreciate those who work hard and care about doing a good job, and recognize those who just talk and don't actually perform.",Do a management level purge. Only a handful of PMs care about the work they do and work hard to accomplish it. Principals need to learn leadership and management skills.,3.0,4.0,3.0,3.0,3.0,1.0
2018-08-04, Project Manager,"New York, NY",Former Employee ,"Great firm to work, learn, and live in.","Great firm to work, learn, and live in.",0,"I’ve been fortunate to work at Dattner for almost 9 years now and, while I’ve worked at other firms and in other places, Dattner in NYC is where I learned to be an architect. This is where I was taught how to meld design, construction, and code together to make great buildings.
I always had a great live-work balance while working here.",The success of the firm has made it very large in size. This can be a negative depending on what type of firm you're looking to work for.,,4.0,5.0,4.0,5.0,4.0,4.0
2018-05-02, Project Manager,"New York, NY",Current Employee ,Want to feel good about the work you do? Work here.,Want to feel good about the work you do? Work here.,0,"The firm's dedication to civic-minded, public projects; the people; ""studio"" office structure gives a small-firm feel within a larger firm; management open to ""grassroots"" initiatives by staff",weak communication to staff about firm management's decision process/reasoning,Recent Employee Survey and Town Hall Meeting are tremendous steps in the right direction! Action & follow-up are the next key steps.,4.0,,,,,
2018-04-24,,,Current Employee ,Good firm making a great impact on New York City,Good firm making a great impact on New York City,0,Meaningful projects which positively affect the communities and people of New York.,"The firm could be more flexible about work hours, or work from home opportunities.",,4.0,5.0,4.0,4.0,4.0,3.0
2018-04-21, Architect,"New York, NY",Former Employee ,Abandon hope,Abandon hope,0,"The location and the hours,","Check all design ambitions at the door. Pick your poison - cookie cutter housing, tedious healthcare, or bland institutional run by smug untalented insecure upper management.","The clients are good, the projects could be so much better if they were driven by ideas rather than convention. Designers leave because they have no voice or future and the work is dull.",1.0,5.0,1.0,1.0,1.0,1.0
2018-03-10, Entry Level Architectural Designer,"New York, NY",Current Employee ,Great learning opportunities here at Dattner,Great learning opportunities here at Dattner,0,Great firm to start your career.,Not much I can think of.,,5.0,4.0,4.0,5.0,4.0,4.0
2017-08-22,,,Former Employee ,Okay company,Okay company,0,The people are very nice,Bad management and no work life balance,,3.0,3.0,1.0,2.0,1.0,2.0
2017-06-22, Architect,"New York, NY",Former Employee ,Great Firm!,Great Firm!,0,Great firm with a lot of opportunities to work in all areas of design and construction. It's also nice that the projects are primarily in NYC and you can see the impact they have on the city. The firm also has a fairly relaxed atmosphere and a lot of great people to work with!,"The wages could be more competitive, however they aren't terrible. The projects are not the most glamours all the time but it's nice that they really help to impact the city in a positive way.","Better compensation and benefits would be really great, however I think this applies to the whole architectural industry not just Dattner.",5.0,5.0,5.0,5.0,4.0,5.0
