date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-08, Collections Specialist,"Niagara Falls, NY",Former Employee ,Great company to work for,Great company to work for,0,"Flexibility of schedule, great place to work, advancement potentials",None really to report. Great job,,5.0,3.0,5.0,4.0,5.0,5.0
2019-04-28, Premium Bartender,"Nashville, TN",Current Employee ,DNC at Bridgestone Arena needs improvement,DNC at Bridgestone Arena needs improvement,0,"50% off retail merchandise, experience concerts and hockey games, meet interesting high-end customers, great co-workers, learn how to better provide hospitality,","DNC managers for the premium bartenders showed obvious favoritism and unkindly belittled the intelligence of some employees openly. Training could be better explained throughout the season and during shifts, not just once a year.",Building a better communication between employees and HR department. It's difficult to report problems with management when Human Resources does not have an interest in employee relations.,3.0,3.0,3.0,3.0,3.0,2.0
2019-04-25, Porter,"Nashville, TN",Former Employee ,Pretty average if you have a second flexible part time,Pretty average if you have a second flexible part time,0,"Be in the building with all the concerts at the Bridgestone, events, games. You are in the building and feel the energy. Hectic, but a fun atmosphere. Money is decent for little to no experience.",Management and other workers can be a bit meh. Honestly the consistency of enforcement was missing when I worked there. But juli know some management has changed.,,3.0,4.0,2.0,2.0,3.0,1.0
2019-04-23, Shift Supervisor,"Amherst, NY",Current Employee ,Very grateful for this opportunity,Very grateful for this opportunity,0,"Love the business, love the discounts to visit hotels all over the country, free food, good people.",Hours(I work overnights and weekends),,4.0,4.0,3.0,4.0,3.0,2.0
2019-03-23, Catering Staff,"Frisco, TX",Former Employee ,Catering,Catering,0,"Working at the Ballpark, good pay and great tips.",Seasonal work during the summer...HOT,Na,3.0,3.0,3.0,3.0,3.0,3.0
2019-03-15,,"Los Angeles, CA",Former Employee ,ok job,ok job,0,nice/friendly co workers. lots of hrs during holiday season,management need improvement. no team leadership skills,,3.0,,,,,
2019-04-18, Front Desk Attendant,"Grand Canyon Village, AZ",Former Employee ,Stay away,Stay away,0,"Discount card for use at grand canyon general store

Cheap housing","Employees are not valued, you get insufficient training, housing is bad unless you have high status, company sometimes will under pay and you must fight to get it corrected. They also knowingly hire criminals and people fired by xanterra, the other concessionaire.",Do better,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-17, General Manager,"Buffalo, NY",Former Employee ,Horrible Company stay clear you will regret working here,Horrible Company stay clear you will regret working here,0,Good unit managers experienced great team,"Horrible Micromanagement, zero unit level decision making, Over analysis of everything, very political company cutthroat","Absolutely the worst company I have ever worked for in over 30 years in contracted management and food service mgmt bar none. The upper corp level managers micromanage every aspect of the unit and if you make a decision without informing them your in deep trouble

Horrible culture of mistrust and stifling innovative thinking at the unit level you must follow the script or you will find yourself in trouble.

This company is obsessed with analytics if you have ever heard the phrase paralysis by analysis it fits them to the tee. Everything has to be analyzed 20 times over and then for good measure we will analyze it a dozen more times decision making grinds to a halt while everything is over-analyzed.

I would recommend everyone to steer clear of this company you will regret ever taking a job with them

If I could rate upper mgmt zero starts I would their VP's are horrible absolutely micromanage every element of the operation you cannot make any decision without involving them directly.",1.0,1.0,1.0,3.0,3.0,1.0
2019-03-08, Warehouse Associate,"Harrison, NJ",Former Employee ,Great Place to Work,Great Place to Work,0,"Good Pay
A chance to meet start athletes","Work only when there is events
Labor entensive",,5.0,5.0,,,,
2019-04-07, Bartender,"Tampa, FL",Former Employee ,Pathetic Management,Pathetic Management,0,None. Pay wasn't even good.,"A mess from A to Z. Hired as a bartender (I have experience bartending full time in Manhattan NYC since 1980, raised a family on my one income doing it) and was told I didn't have enough experience. The job was not even bartending, it was serving food and coffee/barista with some drinks but not many.","Learn the bar business before you prerend you've got a bar. Hire trade bartenders to manage your bar, not phonies.",1.0,1.0,1.0,1.0,1.0,1.0
2019-03-02, Designated Player,"Orange City, FL",Former Employee ,Decent,Decent,0,"Yearly dollar raise
High entry level pay rate","Repetitive
Favoritism
Rude Customers
Stiffed on tips
Small drinks",,3.0,3.0,3.0,4.0,5.0,3.0
2019-04-03, Retail Sales Associate,"Baltimore, MD",Former Employee ,Awful Management and not a flexible job,Awful Management and not a flexible job,0,"Pay, free meal, discount team store","Scheduling, not flexible, management, mandatory meetings, pay for uniform, long hours,pay to park",When an employee sends you their days of availability listen to them and have it reflect on the schedule. Mandatory meetings are not necessary for a part time seasonal job. Having employees pay to park is an absolute joke.,1.0,1.0,2.0,2.0,3.0,1.0
2019-03-07, Catering Manager,"Baltimore, MD",Former Employee ,Poor Management,Poor Management,0,Fun atmosphere and lots of job opportunities worldwide.,Always understaffed in managers and are left working several positions for no additional pay. Very poor leadership and management. You have to figure everything out on your own. There are no procedures in place for anything but are expected to run everything perfectly.,Hire proper amount of managers and stop expecting each manager to perform multiple roles. Treat managers right and allow time off.,2.0,1.0,3.0,5.0,2.0,1.0
2019-02-21, Bartender,"Smyrna, GA",Current Employee ,Great Part-time job,Great Part-time job,0,The money for the time is good,The management controls your ability to make money,,4.0,4.0,4.0,1.0,3.0,4.0
2019-02-20, Service Express Agent,"Buffalo, NY",Former Employee ,Westin Buffalo GREAT place to work!,Westin Buffalo GREAT place to work!,0,"I wanted to work for DN since they are global. The Westin Buffalo was a great place to start since it is in the home of DN. Great people, amazing GM (very approachable) professional and spoiled me for other jobs elsewhere.",Low pay. Barely kept afloat in Buffalo which is a relatively cheap city to live in.,,4.0,3.0,4.0,4.0,2.0,4.0
2019-02-13, Cook/Dishwasher,"Niagara Falls, NY",Former Employee ,i wash dishes,i wash dishes,0,Interacting with new people. Learning new work techniques that can help me later on in life.,Having to deal with multiple things on a busy day,You now must work with your staff to achieve your department and your organizational goals,5.0,5.0,5.0,5.0,4.0,4.0
