date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-28, Internship,"Troy, MI",Current Employee ,Fun time,Fun time,0,it was really really cool,it was a lil boring at times,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-22,,,Former Employee ,Automotive Product Engineering,Automotive Product Engineering,0,Great coworkers and engineering methods,"Low margins and high demands from Government Motors, Volkswagens, Audiis, make high stress environment.",Don't source the low cost options and you'll save money with turnkey operations and lower expensive quality crisis.,4.0,,,,,
2019-03-20,,"Troy, MI",Former Employee ,Great work experience,Great work experience,0,"Pleasant work environment, trainings, helpful colleagues, good work-life balance, possibilities of professional growth",Nothing. Would be nice to have organic food options at the cafeteria.,,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-01, Technician,"Troy, MI",Current Employee ,Its just ok,Its just ok,0,"Lots of overtime hours
Low requirements for hire","Slow HR department
""Revolving door"" of employees",try to please your good employees who you want to stay,3.0,1.0,2.0,1.0,3.0,2.0
2019-02-25, Engineer,"Kokomo, IN",Former Employee ,Gain experience but not a long term career,Gain experience but not a long term career,0,"-pay and benefits
-kind coworkers
-manufacturing, testing, and development all on site, many learning opportunities","-HR is not helpful, hard to find, and unresponsive
-on-boarding does not provide any training on the system use required for day to day success
-management is only worried about the customer and the company stock price, does not care about employees
-too many administrative duties placed on engineers
-projects are not properly staffed from conception to finalization
-processes are not followed properly due to poor training of new employees
-purchasing system is broken and distant, difficult to meet immediate customer needs with sluggish bureaucracy","focus on your employees and lead them to success, have a backbone and stand up to overbearing customers, train your employees",2.0,1.0,1.0,3.0,4.0,2.0
2019-03-02, Sales Administrator,"Troy, MI",Former Employee ,Boss took my hard earned recognition and made it hers,Boss took my hard earned recognition and made it hers,0,There are none and think real hard before being a dependable and dedicated employee here.,Bad manager that wiped out an entire department,"A previous boss after 8 years of working daily supporting a team of 12 sales reps and directors gave the title to me of ""Advocate for the sales team""; a well earned recognition of excellent hard work and commitment over many years. When the new boss came and was there a month told me she did not think that title pertained to me and at the next team meeting she put up an organizational chart and that title was now under her name. This is one small example of what I went through on a daily basis.",1.0,1.0,1.0,1.0,1.0,1.0
2019-01-07,,,Former Employee ,Great Company,Great Company,0,I really enjoyed working at Delphi,None that I can think of,,5.0,,,,,
2019-01-02,,,Former Employee ,was a good job,was a good job,0,Work environment was pretty good,No room for advancement on the floor,,3.0,3.0,3.0,1.0,3.0,2.0
2018-12-31, Director,"Troy, MI",Former Employee ,"Previously Delphi Automotive Systems, Inc","Previously Delphi Automotive Systems, Inc",0,I enjoyed the people I worked with,They have always been challenged to be profitable on the long term.,,1.0,3.0,1.0,1.0,3.0,1.0
2018-11-09,,,Former Employee ,Purchasing Manager,Purchasing Manager,0,Very challenging and rewarding position,Too many meetings with no accomplishments,Develop more listening skills with employees,5.0,5.0,4.0,4.0,5.0,4.0
2018-11-14,,,Former Employee ,Commodity director,Commodity director,0,The Pay is better than average than most,"Overworked, non appreciated and the mgt is not good.",,2.0,3.0,2.0,3.0,4.0,2.0
2018-11-09,,,Former Employee ,Engineer,Engineer,0,Lots of learning opportunities within company,"Long working hours, poor bonus, no overtime",,3.0,1.0,3.0,4.0,2.0,3.0
2018-10-25, Electrification Systems Engineer,"Kokomo, IN",Current Employee ,Delphi Technologies,Delphi Technologies,0,"Very friendly and welcoming atmosphere, Lots of opportunities",Need better training and guidance for new employees,,4.0,4.0,5.0,5.0,4.0,4.0
2018-10-15, Systems Engineer,"Kokomo, IN",Current Employee ,"Good place to work, a bit old-fashioned","Good place to work, a bit old-fashioned",0,"People are experienced and friendly
Even though this is an old company, the work lifestyle felt like a start up","Few old fashioned processes that can't be avoided
Compensation increment is slow (2-6% per year)",,4.0,2.0,4.0,4.0,5.0,4.0
2018-10-22, Account Manager,"Troy, MI",Former Employee ,Good company,Good company,0,Good salary and generous benefits. Convenient office location.,Too many managers. Too many processes and procedures.,,3.0,4.0,3.0,3.0,4.0,2.0
2018-10-03, Manufacturing Test Development Engineer,"Kokomo, IN",Current Employee ,"Overall good company, having trouble dealing with distribution of resources after the recent split.","Overall good company, having trouble dealing with distribution of resources after the recent split.",0,"Casual work environment, friendly coworkers",Teams need to work together to solve issues rather than pass responsibility off to other groups.,"New hire training could improve, formal scheduled lessons would be helpful, instead of casual job shadowing.",3.0,3.0,4.0,4.0,3.0,3.0
2018-08-02,,,Current Employee ,Great company to start off a career,Great company to start off a career,0,"Very helpful senior engineers who will mentor you, rotation program for young engineers",Management sometimes seem directionless. They dont source the project properly.,Go out of your way to retain the senior talent. Adding contractors to jump in and take projects wont provide quality products,4.0,4.0,4.0,5.0,4.0,3.0
2018-06-25,,,Current Employee ,Service Operations Team Lead,Service Operations Team Lead,0,Great staff to work with.,Too many steps for urgent approvals leading to complications in customer relations,,3.0,,,,,
2018-05-30,,,Former Employee ,Technitian,Technitian,0,Good pay at end of week,No life too many hours,,4.0,3.0,5.0,5.0,,
2018-05-21,,,Current Employee ,Mechanical Engineer,Mechanical Engineer,0,Good compensation and benefits. The outlook of company is very good. There are a lot of opportunities.,No fancy amenities in office.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-14,,,Current Employee ,Delphi,Delphi,0,Great people and new technology,Little to no draw backs,No advice to give at this time,5.0,4.0,4.0,4.0,4.0,4.0
2018-04-30,,,Current Employee ,Product Engineer,Product Engineer,0,"Good pay, time off, professional facility.","Expensive healthcare, not very diligent about performance or salary reviews.",,3.0,,,,,
2019-04-17,,,Current Employee ,Great Place,Great Place,0,Fantastic rates of pay and pension,Shift work not suitable for all,,5.0,5.0,5.0,5.0,5.0,4.0
2019-04-27,,,Current Employee ,"Great team spirit, advanced engineering","Great team spirit, advanced engineering",0,"Team spirit, Advanced engineering & Respect","Slow internal process
Decision making could be leaner",,3.0,2.0,2.0,3.0,2.0,2.0
2019-04-01, Product Development Engineer,,Former Employee ,Nice people,Nice people,0,Good location and excellent lunches,Time keeping treated like children,,3.0,3.0,3.0,3.0,3.0,3.0
2019-03-16,,,Current Employee ,good place to work,good place to work,0,good technical work and great projects to work,carrer growth is not upto the mark,,4.0,4.0,3.0,4.0,3.0,3.0
