date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2014-01-06,,,Former Employee ,Great place to work - great environment,Great place to work - great environment,0,"Flexible working hours, great environment to work in, challenging and satisfying work",Increased opportunities for hourly employees,,5.0,5.0,5.0,4.0,5.0,5.0
2017-12-11,,,Former Employee ,Empowers lack of..,Empowers lack of..,0,The pay was great and benefits were nice.,NO diversity and lack of respect for employees.,,2.0,1.0,1.0,1.0,4.0,1.0
2016-08-25,,,Former Employee ,Empower,Empower,0,Coworkers were great. Great schedule. Weekends off. Overtime. Some prevailing wage jobs.,No compensated well enough to risk your life.,Pay the workers more. It is a dangerous job.,3.0,5.0,5.0,3.0,3.0,
2016-07-12,,,Current Employee ,Administrative Assistant,Administrative Assistant,0,"Great Staff lunches, and wonderful students",everything else about this job is horrible,,3.0,,,,,
2015-10-22,,"Overland Park, KS",Current Employee ,Email Specialist,Email Specialist,0,Good work environment with a collaborative group of employees. Competitive pay and decent benefits. Decent opportunity for career development here.,"Corporate environment, lack of defined vision amongst management to make impactful, quick decisions. Has a big company feel which makes it seem like things take a while to get done.","Strengthen leadership by hiring proven leaders. Define vision for the future and encourage employees to take ownership of their work, properly reward success.",4.0,4.0,3.0,4.0,3.0,3.0
2015-08-10, Chief Engineer,"China, TX",Current Employee ,Chief Engineer,Chief Engineer,0,"Friendly, good culture, flexibility and long term stay","Product profibility, new market, growth",New products,4.0,5.0,5.0,5.0,5.0,5.0
2015-07-20, Physician Assistant,"Phoenix, AZ",Current Employee ,Physician Assistant Emergency,Physician Assistant Emergency,0,Great co-workers and boss! Lots of autonomy but still access to some of the smartest physicians.,The only con I would say is being paid with RVU. Not sure how to keep track of that and don't know if I am getting paid correctly. Seems smaller than it should be but it is new to me.,Get more involved with mid-level providers. Offer online courses and CME like CEP does with their employees.,4.0,4.0,5.0,3.0,4.0,5.0
2015-06-29, Relationship Manager,"Greenwood Village, CO",Current Employee ,Relationship Manager,Relationship Manager,0,"Empower is becoming quite the progressive company, the amount of time and effort that they are putting into finding and being the ""best"" is evident.",Change is sometimes difficult to take. There has been a lot of natural turnover and the environment is perpetually shifting.,,4.0,2.0,3.0,3.0,2.0,2.0
2015-04-28,,,Former Employee ,material damage adjuster,material damage adjuster,0,"nice people to work with very helpful, always willing to answer questions to help you out","Micromanagement, not a nice place to work employees are definitely not happy there, you have to go through like 10 people to pay a check and customers are always fussing and cussing you out...all Spanish speakers and you stay on the translation line all day everyday",stop with the micromanagement if I'm 5 minutes late after a month of being 30 minutes early get over yourself,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-05, Manager,Espoo (Finland),Former Employee ,Lots of internal politics,Lots of internal politics,0,"Good people, good office, good location. Could be in a luck with a good project and supplier.","Lots of internal politics, decision-by-power",,3.0,3.0,3.0,2.0,3.0,2.0
2012-12-13, Distributor,"Baguio, Baguio (Philippines)",Current Employee ,"Profitable, educational and challenging","Profitable, educational and challenging",0,"An affiliate marketing type of business where you own your working hours and you get paid based on the commissions of your volume sales/group sales and rank. Products have high demand and is easy to sell. Has a very partial marketing system which means no one is taking advantage of someone. Honest to goodness, reliable, effective, affordable and legal.",Below satisfactory resolution of complicated costumer issues. Availability of products may sometimes be delayed. Complicated reporting system when the sales volume is very large. Costumers are hard to manage sometimes. May need to constantly attend seminars in order to grasp effective marketing.,,4.0,5.0,4.0,4.0,4.0,3.0
