date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-07, Recruiter,"Fort Mill, SC",Current Employee ,Recruiter,Recruiter,0,"Where do I begin...
-family oriented
-team spirited staff
-ZERO micro managing we are all treated as adults
- great unbeatable work life balance they want you to enjoy time off
-great growth in company and that doesn’t always have to mean a raise or promotion gaining remote working incentives was better than a raise in my opinion
-Excellent leadership if you ever have a opportunity to come across Sean, Drew or Holly they will for sure be memorable people due to there high skill set and rare leadership qualities",I couldn’t even make one up,Don’t change a thing,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-15, Data Migration Specialist,"Hillsboro, OR",Former Employee ,Great way to get your foot in the door - Unfortunately not good long term,Great way to get your foot in the door - Unfortunately not good long term,0,Normal business working hours. Weekends off. Hour long lunch. Helps get your foot in the door to other tech jobs in the area.,Terrible pay. Horrible benefits. Bad management. No support from anyone higher in the company. No Raises. Cut in pay should you choose to add benefits (including Holiday and PTO).,Pay your employees the market rate and give them benefits without having to take a cut in pay. Provide support to your workers as well and maybe your turn-over rate won't be so terrible.,1.0,4.0,1.0,1.0,1.0,1.0
2019-03-10, Safety Technician,,Former Employee ,"Decent company, just not a lot of room for advancement.","Decent company, just not a lot of room for advancement.",0,Pay was ok but never increased with cost of living,No raises or bonuses offered,,3.0,,,,,
2019-03-21, Account Manager,"Bellevue, WA",Former Employee ,Poor employer,Poor employer,0,"Maybe benefits , favoritism, vackrti","Poor management, lack of in touch",Playing favorites doesn’t work anymore,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-28, Desktop Support,"Baton Rouge, LA",Former Employee ,Desktop Support,Desktop Support,0,Great place to work. Money was good. The only reason for leaving was the contract company wasn't willing to bring me over as a FTE employee. After putting in 6+ years as a contractor I though it was well deserve.,More communication from time to time. I didn't need it personally but I know a few people who did. But as long as you have a good group of people surrounding you. You will do find.,,4.0,5.0,5.0,5.0,5.0,5.0
2018-10-17, IT Support Technician,,Current Employee ,Should receive higher compensation for the level of work,Should receive higher compensation for the level of work,0,"People I work with are good people overall
Team lead is awesome","The fact that benefits such as sick days, holiday pay reduce your compensation if you want them",,2.0,4.0,1.0,2.0,1.0,2.0
2018-04-07, Field Service Technician,"Honolulu, HI",Current Employee ,Great hiring source,Great hiring source,0,As a Compucom owned company they were a natural to place me in a position as a Compucom Field Service Engineer.,There is a disconnect between what the employees from both companies give as advice and it takes about an hour a week to get the expenses and work hours entered in their 5 different software systems. I would love to go back to a time clock!,Simplify and streamline.,5.0,4.0,4.0,3.0,4.0,4.0
2018-02-28, Recruiter,"Bellevue, WA",Former Employee ,Great and Expereinced Team,Great and Expereinced Team,0,"Great base salary, commission structure that encourages collaboration, experienced recruiting and sales team that is interested in your growth, nearly free soda, 24/7 employee gym, underrated view of downtown Bellevue, accessible by bus, progressive work from home policy, tangible growth plan for 2018 and beyond.","Internal software is a little unwieldy, but it's not that bad.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-02-06,,,Current Employee ,Less employee centric,Less employee centric,0,nothing that comes to mind,Usually tends to swindle % share on contracts. I would stay away if you looking for better salary.,,1.0,1.0,1.0,1.0,1.0,1.0
2017-12-15, Desktop Support Technician,"San Jose, CA",Current Employee ,% of cut for Contract Associate so HIGH.,% of cut for Contract Associate so HIGH.,0,Basic benefit. Education allowance and online training using company Intranet.,Raises totally forgotten. No annual review of your work performance.,Spread the love ($$$) outside of the corporate office with Contract Associates out in the field.,3.0,3.0,3.0,3.0,3.0,3.0
2018-01-09,,"Bellevue, WA",Former Employee ,Company losing value and good employees,Company losing value and good employees,0,Company used to be good 8 years ago where managers held people accountable,"Poor management on the director level, good employees have left, favoritism, hire young females, no performance reviews or increases, men make more than females",Treat your employees fairly and equally,1.0,1.0,1.0,1.0,1.0,1.0
2017-10-15,,,Current Employee ,Good experience,Good experience,0,"Great learning, flexibility and work life balance.",None really that I can think of.,,4.0,5.0,4.0,4.0,4.0,5.0
2017-09-07, Human Resources Assistant,"Bellevue, WA",Former Employee ,Great Company,Great Company,0,Great team and location for work.,"No annual increases for my department, hard to become a direct hire.",Consider annual increases for all associates.,4.0,5.0,5.0,3.0,3.0,3.0
2017-03-23,,,Current Employee ,Great environment,Great environment,0,Colleagues are wonderful to work with. Management is overall friendly yet effective and efficient. Company is full of integrity and professionalism as well as fun and lighthearted.,"Compensation and benefits could improve a little more, but it is understandable as a business needs profit.",,4.0,5.0,5.0,4.0,4.0,5.0
2017-01-05,,"Bellevue, WA",Current Employee ,Very Postive,Very Postive,0,"Solid recruiting and sales team. Work-life balance, Day 1 benefits for all employees including contractors. No micro managing, as you are treated as a partner and not just a number. What is more important to you the total package which includes a fair comp, above market benefits which includes costs that do not break your wallet and a place where it is not just a ""JOB"". That is what I hear everyone wants, is a place to hang their hat and enjoy their job, plus be able to make a great living. You cannot make everyone happy, but comes pretty close here at eXcell!","We can always ask for lower health costs, but their are rising in every company.",,5.0,5.0,5.0,5.0,5.0,5.0
2017-01-03,,"Bellevue, WA",Current Employee ,Great work-life balance and warm office environment,Great work-life balance and warm office environment,0,"Schedule flexibility, recognition, employees are empowered to make decisions, management truly cares about employees' best interests,",Nothing comes to mind at this time,,5.0,5.0,5.0,5.0,4.0,5.0
2016-09-29,,"Bellevue, WA",Current Employee ,Growth and Balance,Growth and Balance,0,"eXcell provides their employees with all the tools necessary to be successful in their job.
Great work environment. The atmosphere is competitive, but friendly.
Management is establishing a culture that is hard working, flexible and fun.",Health care costs are always challenging to manage.,Continue to hire quality people.,5.0,5.0,5.0,4.0,4.0,5.0
2016-09-14, Technical Recruiter,"Bellevue, WA",Current Employee ,Extraordinary Work Life Balance,Extraordinary Work Life Balance,0,eXcell has a management team that has a deep understanding of business need and employee retention and satisfaction. This is a delicate balance when you are working in a people to people business. Not everyone is going to be satisfied but they are fair and diligent. The work life balance is exceptional but only as long as they know the business is taken care of. Which really makes me want to work harder to succeed for them. It is nice to want to make your management team happy because they reciprocate the gesture.,"Because we are a large company with lots of over head, the rates could be better but because benefits are offered to all full time employees and contractors it does balance out. There aren't alot of contracting firms that offer benefits for all roles and are competitive with them.",I aspire to move up and hope the mentality stays the same when I grow within the company.,5.0,5.0,4.0,4.0,3.0,4.0
2016-09-12,,,Current Employee ,Excell cares about their employees,Excell cares about their employees,0,"Excell management truly cares about the employees and doing the right thing. I've witnessed this time and again, and am proud to be an employee.",Being part of a larger company (Excell is a division of CompuCom) can have its challenges as well as benefits. Sometimes policies and processes are not as flexible as they should be.,Continue to focus on our core business and listen to employees.,5.0,5.0,5.0,5.0,,
