date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-18,,"Costa Mesa, CA",Current Employee ,The best place I have ever worked!,The best place I have ever worked!,0,"The people I work with are all wonderful. Benefits include FTO, 401K, Health, Dental, Vision, along with Perks and Work and other perk programs. We regularly celebrate different cultures. Yoga classes are offered. Flexibility with working from home. This is the best job I have ever had.",I have no complaints about working for Experian.,,5.0,,,,,
2019-04-22, Senior Project Manager,"Los Angeles, CA",Current Employee ,12 years and counting,12 years and counting,0,"Good company, great benefits",Long hours / pay on low side,,5.0,4.0,4.0,3.0,4.0,4.0
2019-04-21, Software Developer,"Irvine, CA",Former Employee ,Great company,Great company,0,"- Competitive benefits
- Collaborative environment and engaged leadership team
- Interesting work and talented colleagues
- Fast paced and entrepreneurial but large, stable org","- Parking garage is running out of space
- Sometimes takes too long for approval",,4.0,,,,,
2019-04-20, Project Consultant,"Schaumburg, IL",Former Employee ,Get experience and move on,Get experience and move on,0,"Great team/co-workers
Great products that solve customer problems
Good for short term professional growth","Raises are limited
Layoffs are frequent and there is high job instability
Layoffs have impacted company culture",,3.0,3.0,2.0,3.0,4.0,2.0
2019-04-03, Account Executive,"Chicago, IL",Former Employee ,Traditional company. Solid if you are looking for stability.,Traditional company. Solid if you are looking for stability.,0,Great benefits and compensation. Managers who care.,Very conservative in business practices. Averse to risks limits innovation and ability to be creative in meeting the needs of the customer in a seamless and smooth way.,Take feedback from those in the field and implement change. Push the boundaries of the status quo. Reach for the stars and always try to wow the customer. Make it a pleasure to do business with experian as opposed to a strain.,3.0,5.0,2.0,2.0,4.0,3.0
2019-03-21, Software Engineering Intern,"Allen, TX",Former Employee ,"Relaxed, but boring atmosphere","Relaxed, but boring atmosphere",0,"Good Pay, Good workplace, Relaxed, Nice people","Boring, Not great for growth",Keep interns busy and have more team events.,4.0,5.0,4.0,4.0,5.0,4.0
2019-03-12, Customer Service Representative,"Allen, TX",Current Employee ,Good Benefits,Good Benefits,0,"12 week maternity leave
6 week paternity leave
120 paid vacation hours per year
40 sick hours
short and long term disability
paid volunteer time off
yearly bonuses and raises depending on your metrics and stats
401k
bcbs health insurance
they pay you more if you are bilingual","since working there they've had a random layoffs but they pay compensation if they lay you off.
There is always alot of changes and it can be hard to keep up but just like any other job, follow rules and policies and you'll be good. If you are positive about random changes then it shouldn't really affect you.
health insurance is a bit pricey",,5.0,4.0,4.0,3.0,3.0,4.0
2019-03-21, Senior Software Developer,"Franklin, TN",Former Employee ,Team matters,Team matters,0,"Great work life balance. You get lots of holidays, plenty of days off, and no one balks at working from home regardless of which team you are on. 401k match is great with immediate vesting and the health plans are affordable and have low deductibles/out of pocket maximums. The bonus structure is great and you can get spot bonuses for various achievements like acing a project or submitting a patent application.","The team you are on will make or break you, as some teams are using or close to using the latest and greatest technology while others are still using VB6, Access, and old .NET frameworks. You often have to change teams in order to move up and some managers have unrealistic expectations and timelines. Since the recent president of the Experian Health unit left, that unit became far more corporate and lost the family feel it kept wanting to maintain.",Upgrade the outdated technology by scheduling time and resources to do it. Have more consistent expectations across teams and try to regain that family feel.,3.0,5.0,2.0,3.0,4.0,2.0
2019-02-17, Senior Systems Administrator,"Allen, TX",Former Employee ,Sr. Sys admin,Sr. Sys admin,0,Top technology to learn and implement,Nothing to relate here at this time,,4.0,4.0,5.0,3.0,4.0,5.0
2019-02-27, IT Systems Architect,"Costa Mesa, CA",Current Employee ,"Job is satisfactory, Management changes direction daily.","Job is satisfactory, Management changes direction daily.",0,Decent salary and decent benefits.,"Work / life balance is poor, not enough people to handle workload. Management turns over and changes direction daily.",,2.0,1.0,1.0,2.0,3.0,1.0
2019-03-20,,"Allen, TX",Former Employee ,Poor management,Poor management,0,Nothing positive about this company,Low pay for the work that is expected.,,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-17, Consumer Service Representative,"Allen, TX",Current Employee ,Layoffs,Layoffs,0,"An opportunity to gain work experience, and to learn the ends and out of credit.",This company has been having layoffs and outsourcing jobs to foreign countries. Not a good place for someone who is looking to begin their career.,Minimize micro-managing. Fix technical issues promptly.,2.0,3.0,2.0,1.0,4.0,3.0
2019-02-14, Account Executive,"Schaumburg, IL",Former Employee ,not bad,not bad,0,The company is well branded,The pay is not great. You have to leave and go to a competitor then come back to get a decent pay raise.,,3.0,3.0,3.0,3.0,2.0,3.0
2019-01-30, Talent Acquisition,"Costa Mesa, CA",Current Employee ,"Innovative Company, Rewarding Career, Balanced Work/Life, Collaborative & Fun Culture","Innovative Company, Rewarding Career, Balanced Work/Life, Collaborative & Fun Culture",0,"You get what you put into your career at Experian. The opportunties are endless and you are surrounded by people that encourage you to be you and take charge of your path. Experian provides a great work/life balance, fantastic benefits & perks, fun, challenges, and a positive environment for all employees.",More team camaraderie in talent acquisition is needed,,5.0,5.0,5.0,5.0,5.0,5.0
