date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-08, Inbound Customer Service Representative,"Las Vegas, NV",Current Employee ,Good company,Good company,0,Team leaders are patient. Acceptable medical benefits. Steady work schedule. Relaxed work atmosphere. Friendly co- workers. Hard work is acknowledged and appreciated.,Challenging clients. Occasional system issues but always corrected in a timely manner.,,5.0,5.0,5.0,4.0,4.0,
2019-04-23, Manager,"New York, NY",Former Employee ,NO compromise,NO compromise,0,Has a great potential and good technology,"Projects ar done and abandond fast
Don't even think in working in other locations outside USA they will abandon the project and affect your carrier better wait for a formal anc compromissed Company",Don't play with the carrier of professionals they have families,1.0,3.0,1.0,1.0,3.0,1.0
2019-04-20,,"New York, NY",Current Employee ,Favoritism lies incompetency,Favoritism lies incompetency,0,nothing except some good folks,Favoritism lies and total mess,none,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-23,,,Former Employee ,Worst company ever,Worst company ever,0,Nothing to write here,"Company operates like a family business. No learning, no training, no management. HR team is a group of teenagers who know nothing and never of any help.",Please value good employees and get rid of the ones not working .,1.0,1.0,1.0,1.0,4.0,1.0
2018-10-10,,,Current Employee ,Avoid if you are not an entry level employee,Avoid if you are not an entry level employee,0,"* You get a paycheck
* You get to meet new employees on a weekly basis (turnover is incredibly high)
* You get to meet new c suite, and svps on a monthly/quarterly basis (again turnover is quite high)
* You get to work in a call center like office
* Management changes company strategy on a yearly basis
* No laptops, so you don't have to take your work home with you
* You can come in at 10 and leave at 5","* The company retention rate is terrible. Employees typically last 6-9 months
* In the past 4 years there has been 4 different CFO's, 3 CMO's, 3 CIO's, as well as 30 or so different SVP's-VP's joining and leaving the company. About 75% through terminations.
* CEO/Owner runs the company his way, doesn't allow much input. If you disagree with him you'll be let go
* Any complaints to HR falls on deaf ears
* Bonuses are not transparent, and take 4 months to get paid, raises and promotions are few and far between
* Company is incredibly siloed, legacy employees are very protective of the work and do not like collaborating
* HR/CEO frowns on staff socializing out side of work
* It is 2018 and staff still use desktop computers
* 2/3 of company is based in India",,1.0,4.0,1.0,1.0,1.0,1.0
2018-08-11,,,Former Employee ,Leadership IS the Problem,Leadership IS the Problem,0,"Great location, great leadership principles, aware of cultural improvement opportunities, smart seasoned subject matter expert employees","leaders that do not know how to organize their own time, who believe they need to tell people what to do and how to do it, lack of respect for the talent they hire",Replace the top management reporting to the owner they ARE the problem. Train the leaders in time management so that every day is not a fire fighting day,2.0,4.0,1.0,1.0,4.0,1.0
2018-06-26, Assistant Vice President,"New York, NY",Current Employee ,Great Culture and people,Great Culture and people,0,"I really like the people, the culture and it seems to be very non-political. Glad I joined and really like the growth rate of the firm - good opportunities.",Benefits in the US could be better,A WFH program that is formal and structured,4.0,4.0,5.0,5.0,4.0,5.0
2018-07-07,,,Current Employee ,Pathetic Management,Pathetic Management,0,"Good Co-Workers, Fast Pace Environment",Everything from the office space to Management and lack of their knowledge,,1.0,3.0,1.0,1.0,1.0,1.0
2018-05-23, Vice President,,Former Employee ,Not a good company,Not a good company,0,Centrally located in New York City,"Low salaries
No opportunities for growth
Lousy CEO and executive management",Replace CEO for someone else who knows how to manage a company,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-12, RANDOM,"New York, NY",Former Employee ,Random Employee,Random Employee,0,"The People and Coworkers

They have a have a good heart and are personable.

The holiday parties are sooo cool.","Had 5 different managers, 3 different roles and did not receive any merit increases or awards for going above and beyond job descriptions.

Too much politics.",Be fair to employees. Do not put a salary freeze or cap on employee salaries when their pay grades are wrong in the system. Use the data they bought and make sure employees are compensated fairly.,1.0,5.0,1.0,1.0,1.0,1.0
2018-03-18,,,Current Employee ,Upcoming Tech company,Upcoming Tech company,0,"A lot of growth opportunities for the company, and a lot of growth opportunities for the employees to become part of this growth story.",Changing work dynamics and organizational structure makes work life very difficult and challenging,,3.0,3.0,2.0,3.0,2.0,3.0
2018-03-06,,,Current Employee ,Data Scientist,Data Scientist,0,Learn a lot in terms of technology and lot of exposure,Bad management and office politics,,2.0,2.0,1.0,4.0,1.0,1.0
2018-02-08, Software Engineer,"New York, NY",Current Employee ,Avoid if you're a software engineer,Avoid if you're a software engineer,0,"- Decent benefits
- Some great people
- Good work/life balance","- 90% of software development is done in India. A select few are talented, but most are script kiddies at best
- Attempts to follow Agile, to the point that it's essentially waterfall sprints
- Extremely poor technology usage (doesn't follow TDD or use modern engineering practices/technology)
- Lots of politics and top down ""ideas"" outside of their expertise
- No work from home policy/very little PTO/almost no holidays
- Internet access is restricted to the point you feel like a child because even .edu sites are blocked","Figure out how to cut through the bureaucracy and eliminate the petty politics! Figure out shared KPIs across teams that are actually achievable. Use your data properly and accurately. Listen to experts in their fields instead of just people outside of their talent area who happen to have been at the company a long time. Get talented engineers in your HQ in NY and allow them to collaborate and work together rather than having them dictate projects to India. Upgrade your infrastructure and technology assets! You guys have potential, but it's a miserable environment for an engineer.",2.0,4.0,4.0,2.0,2.0,2.0
2017-12-02,,,Former Employee ,Great place to work!,Great place to work!,0,"Excellent company culture, awesome diversity and plenty of office activities to boost morale.",Could have more employee development programs set up.,,4.0,4.0,4.0,4.0,4.0,3.0
2017-12-08, SEM Specialist,"New York, NY",Current Employee ,SEM,SEM,0,"-Culture in FP is great! People are all friendly and willing to help.

- Vacation Policy and PTO is fair","-People don't respond to emails quickly.

- There is no proper Marketing Omnichannel for Branding.

- Projects gets done very slowly due to teams not properly communicating

- HR team is very slow at responding to your needs","Invest in your headquarter employees, help them grow and they will contribute more to the company. Treat your employees with respect. Make them feel like they are necessary assets not some replaceable objects.

Have one unified KPIs across different departments/teams",3.0,5.0,2.0,4.0,2.0,1.0
2017-10-16, Director of Technology,"New York, NY",Current Employee ,Internal feedback,Internal feedback,0,"Very fast growing company, a lot of opportunity to self-realize.",Sometime it's too much micromanagement from C-level executives.,Try to better follow the classical Agile Scrum approach and make your teams more self-organized.,4.0,2.0,3.0,4.0,4.0,3.0
2017-11-11, Marketing,"New York, NY",Current Employee ,I would give this place negative stars if I could,I would give this place negative stars if I could,0,HR does an ok job with employee engagement,"The CEO is a dictator who has stacked his c-suite with ""yes men"". VP level and down are smart but aren't allowed to execute any new strategies. The CEO only wants to try the same failing tactics over and over expecting new results. He is so focused on the granular metrics (I.e. measuring hour by hour) that he has no sight of the bigger picture.

This place is a sinking ship.",Bring in a CMO with real marketing experience and LET THEM MAKE CHANGES!,1.0,3.0,3.0,2.0,3.0,1.0
2017-09-26,,"New York, NY",Former Employee ,A bit disjointed,A bit disjointed,0,"The people who work at Fareportal are very kind, and the atmosphere is fairly relaxed on most days. While there are some problems, as there are in any company, I was able to strike some lasting relationships with many of my coworkers.","There is a lot of focus on data driven results, but I found that management was very interested in any metrics that would fit a particular narrative. Instead of utilizing the data as presented, there were times when findings that demonstrated one conclusion where disregarded or cherry-picked to fit whatever management ""felt"" was going on. There is a bit of art to reading data, but not nearly as much as what I felt was going on.

Additionally, Sam - the CEO - while a very kind man, and certainly very capable and smart, would also have certain ""feelings"" about particular strategies and objectives that may or may not be a) realistic or b) based in anything other than speculation or word of mouth. This led to a lot of employees working to simply please the CEO, rather than advocating for what was best for the company.","Trust in your employees to give you actionable recommendations, and don't feel so set in your own pre-conceived notions. Especially when regarding fields that may be just out of your comfort zone.

I would also recommend that Sam invest more time in the employees who seem to be bucking popular opinion, rather than those who always fall in line.",3.0,4.0,4.0,4.0,2.0,3.0
