date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-20,,"San Francisco, CA",Current Employee ,Just got $1 billion in funding and we're off to the races!,Just got $1 billion in funding and we're off to the races!,0,"Super fast growth company, big mission/vision (make global trade easier and more accessible for all + fix the user experience in global trade), massive TAM, data and tech at the core of our strategy, great, smart employees, offices across the globe, great leadership teams, truly transforming an antiquated industry.",Insane growth means that we can occasionally get ahead of our skis. And we need to continue to push for better internal communications to make sure we're all aligned.,"See above re: internal comms. And exec team, don't make Flexport a company run by employee consensus, listen to our input but we need you to make decisions and set the way. And then stick with it.",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-22, Director,,Current Employee ,Inspiring organization,Inspiring organization,0,"Flexport provides an environment that encourages their employees to actively participate in the growth of the organization through open dialogue and collaboration. Their commitment to D&I is commendable, and senior leadership is thoughtful and transparent with the entire organization. I have never been part of a team composed of so many intelligent and truly good people. I am so proud and grateful to be along for the journey.

Employees are well compensated, promoted often and benefits are fantastic.","Really none - we work hard, but it is worth it!",Please stay true to the culture you have created as we grow...nothing beats it!,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-11, Operations,"San Francisco, CA",Current Employee ,"Possibly good for a year, but most opportunities are the short end of the stick","Possibly good for a year, but most opportunities are the short end of the stick",0,"You'll make some good friends here. You won't be friends with everyone.

If you're breaking into tech, you can definitely get into operations if you say you're open minded, and express tons of enthusiasm to do whatever they want you to do.

If you're a bro, type A, and shamelessly dgaf but fake that you do, you might just prosper.

If you like beer, cheery people, and are good at blending into the walls and avoiding extra hours, you might set yourself up with a good situation.

If constantly checking your email and slack to provide updates about client cargo status makes you feel good and important, you have hit gold. Maybe it gets better after some time, but the fact that no one (secretly but obviously) does not want to do that, there's a healthy line of older operations folks trying to find their way out of that.","Operations grinds and sweats to keep clients happy.

Make sure you know what you are getting into.

Would definitely encourage finding a mentor who cares, but I think that's hard/close to impossible, as most are just trying to stay afloat.

Know you have other options. This place is well marketed. But things just seem off when people are scared to sit at lunch for more than 30 minutes. Maybe that's beautiful grind?

The people who have left after a year have done much better for themselves.",You're doing great!,3.0,2.0,3.0,2.0,3.0,2.0
2019-04-14,,,Current Employee ,Can’t retain female executives,Can’t retain female executives,0,Everything is true in other reviews. The work is interesting and the people are brilliant. The opportunity for growth is unlimited. You will get promoted every year if you are good,"Something is wrong at the top. For a few years now, the women at the top keep leaving.",Why can’t you keep women at the top?,1.0,4.0,5.0,5.0,5.0,1.0
2019-02-10, Senior Account Executive,"Seattle, WA",Current Employee ,"A Growing a World-Class, Customer Centric Business as it Scales","A Growing a World-Class, Customer Centric Business as it Scales",0,"I have gotten the opportunity to work with some of the smartest people I've ever met, who are also mobilized to act to take care of and delight our customers in an industry that isn't doing that right now. We are a team that aims to be the best counterparty in every transaction - for customers of course, but also vendors, suppliers, investors, regulators and - most relevant to this site, employees. Flexport has shown over and over that they are the best place I could possibly be and they do that by offering a great place to work, massive growth potential, competitive salary and fringe benefits and the ability to do some of the best work in my career. Off the charts awesome place to work if you are top talent.","If you are not top talent, this is probably not the place for you, at least at this point. The people here are extremely smart, talented, hard working and customer focused. If that's not you, that's fine, but Flexport may be a difficult environment.","Keep on making this a better company relentlessly. Complacency is our biggest enemy and the longer we avoid that the better. Mediocrity is the next biggest enemy. If we focus on every day as day 1, we'll keep them at bay for a long time to come.",5.0,5.0,5.0,5.0,5.0,5.0
2019-02-01,,,Current Employee ,Decentralized and encourages learning and development,Decentralized and encourages learning and development,0,"* Intersection of Logistics and Technology
* Great leadership and a supportive board
* Passionate People
* Intellectually curious and hyper-focused
* Freedom to adapt process
* Smart people from all backgrounds, because we don’t know the answer",Some are so career hungry it can become selfish. People Ops is young and is terrible with career negotiations. Commercial Ops is slow and cannot figure out bonus structures and incentives until it's 2 months late,"Continue moving people quickly when they've performed and trust them. Figure out commercial ops, it's a mess. Pay the people. We will win with tech, pay them the highest in the bay and we will win.",5.0,5.0,5.0,4.0,3.0,5.0
2019-01-06, Global Account Executive,,Current Employee ,Best sales environment I’ve ever encountered.,Best sales environment I’ve ever encountered.,0,"1) People: Your coworkers are very driven, talented and interesting. They make you better just by being around them. Everyone is helpful and wants you to be successful. There are activities and events to give you opportunities to socialize with co workers.

2) Growth: You get to learn about an entirely new industry and will have a deeper understanding about how the world works. This industry is going through a transformation and you are getting in on the ground floor. If you love learning and are curious this is the place for you.

3) Work Life Balance: You actually get to use your unlimited vacation and not just for short trips but multi-week trips.

I feel a little sorry for my co workers who have joined Flexport right out of school because it is going to be very hard to top this work experience.","Change: This is not a con as much as a warning. During the interview process you will hear that things change fast and you need to be okay with that. Really make sure that you are good with change because things change often.

Variation In Experience: My experience has be awesome, but experience varies significantly between business units and offices.

Transparency: This is continually getting better, but one area where it needs to improve is the comp plans for each sale market segment and managers. No visibility into how managers are compensated.","Set the correct expectations with employees during the interview process, do not promises things far out into the future like promotions within a year. That may have been true at the time but we are growing so fast that we cannot make promises that far out.

Continue to figure out the real reason customers are buying, it is clear that people don’t know.

Continue to drive transparency, diversity and inclusion.

Continue to drive standards in the squads.

You are focused on all the right things, just need to execute on them.",5.0,5.0,5.0,5.0,5.0,5.0
2018-12-19,,,Current Employee ,Rewarding Work - Smart People,Rewarding Work - Smart People,0,Most people are really smart and care about doing a good job,People don't clean up after themselves and leave messes behind.,,5.0,4.0,5.0,5.0,4.0,5.0
2018-12-12,,"San Francisco, CA",Current Employee ,A great opportunity to grow with an industry changing company,A great opportunity to grow with an industry changing company,0,"Flexport is an emerging leader in a space that has traditionally been led by companies with 100+ years of experience. It has seen an immense amount of growth in the last few years and is currently in a hyper growth stage.

I joined this company to be apart of something big. There is opportunity to craft and develop the processes that will guide Flexport in 2, 5, and 10 years from now. Teams are still small enough to make a large amount of impact while also being stable enough that you're not having to do the work for 3+ folks.

Other pros:
- Work flexibility (wfh when you need too)
- The people working here are truly inspirational and amazing. The value of working with folks bought into the same idea as you is very underrated
- Dog friendly! Frustrating day? Pet a dog!
- Solve problems that effect an entire global industry
- Healthy lunches and snacks (although the peanut m&ms kill me in the best way)
- Employee resource groups that the company actually supports
- Diversity is not perfect here but they aren't afraid to admit their failings and openly discuss the strategy to fix the black hole of the problem
- Inclusion is another work in progress and while I see a lot of failings, I also see a lot of drive at all levels to fix
- Overall has great benefits","Being in a hyper growth stage means that things don't scale at the rate they need too. This is a growth pain all growing companies experience.

No time off at the Holidays which is an industry standard in tech

In my experience, this isn't the place to join if you want to be best friends with your team. My team is fairly silo'd and is not all that interested in building deeper relationships. Its okay for me, just an adjustment. Wish we would eat lunch together once in awhile!",Continue to invest in ERGs and D&I strategies.,5.0,4.0,5.0,5.0,4.0,5.0
2018-11-26,,"Los Angeles, CA",Current Employee ,Unbelievable people tackling and global challenge!,Unbelievable people tackling and global challenge!,0,"At Flexport we have undertaken the unbelievable challenge of improving the user experience when it comes to global trade, this alone is a massive PRO. The nuances, complexities, and varying levels of demand on everyone's time makes for whatever role at Flexport to be moving at lightspeed. The exposure and opportunities for impact on teams both near and far are unprecedented in these industries, logistics & tech!","The job is demanding, the problems are real and impact global commerce on a wide spectrum. There is a lot of pressure to execute and exceed client expectations, and this in itself can create a challenging opportunity for someone not necessarily prepared for the challenge. We do a lot to tackle these challenges head-on with a 2 week onboarding program at our home offices followed by a refresher program that is followed for the next 4-6 weeks based on office. We are humble in knowing that this program/process is a work in progress and one that needs constant fedback and development.",,5.0,4.0,5.0,5.0,4.0,5.0
