date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-06, Statistician,,Current Employee ,Great Place to Work (SCHARP),Great Place to Work (SCHARP),0,"This review is for the Statistical Center for HIV and AIDS Research and Prevention (SCHARP), which is a organization within Fred Hutch.

- Brilliant staff, faculty, and investigators. You'll work with some investigators and faculty who are literally among the best in the world in their field.

- Great atmosphere. People are generally friendly, supportive, and professional.

- You'll have the opportunity to work on some really neat studies and projects.

- The Fred Hutch campus is really pretty with a lot of areas to take a break inside and outside.

- Flexible work schedules with the possibility to work from home a day or two a week.

- Great health insurance and sick leave allowance.

- Lower level managers are generally supportive and respond well to new ideas.

- The organization is making a genuine effort to streamline inefficient processes.

- You are allowed to work mostly independently.

- Excellent work-life balance. Rare that you have to work more than 40 hours a week.","- The cafeteria food is very healthy but also not very good. It's also overpriced.

- No on campus gym or recreational areas.

- Some projects are mind numbingly boring, and there are a lot of processes that are currently delegated to statisticians hat should be delegated to nonstatisticians.

- The pay is what you would expect for a non-profit.

- Initial vacation time is only 2 weeks. This is not competitive with the private sector for which 3 weeks is fairly standard.

- Vertical advancement is limited.

- The organizations efforts to implement new regulatory standards has created more bureaucracy, making it harder for people to do their jobs.","Continue on the path you've set, but try a little harder to get feedback from specific groups on ways that their experience can be improved.",5.0,5.0,5.0,3.0,4.0,5.0
2019-04-25, Research Technician,"Seattle, WA",Former Employee ,Great Place to work,Great Place to work,0,"I love the Hutch. Great people, gorgeous place, and lots of great seminars. Beer hour was fun.",I left because the pay was too low. I found something with better pay.,,5.0,5.0,5.0,5.0,2.0,5.0
2019-04-22,,"Seattle, WA",Former Employee ,Great culture at the Hutch!,Great culture at the Hutch!,0,"people, benefits, flexible hours, career growth opportunities","nonprofit, so pay isn't as high as other places in seattle",,5.0,,,,,
2019-04-22, Research Associate,,Current Employee ,great place to work,great place to work,0,"Great benefits if you are part of the ""faculty"", not as good (still good) if you are classified as ""staff"". Great, smart people to work with. Relaxed atmosphere",Difficult to grow out of a given post. Salaries can be low considering how expensive Seattle is.,Certain benefits (like Paid maternity leave) should be a most in a company like the Hutch.,5.0,5.0,5.0,1.0,3.0,4.0
2019-04-15, Systems Specialist,,Current Employee ,Great place to work and science!,Great place to work and science!,0,Great place to work and science!,Currently none at the moment.,,4.0,4.0,5.0,3.0,4.0,4.0
2019-04-13, Senior Project Manager,"Seattle, WA",Current Employee ,Great People,Great People,0,"Fantastic people, relaxed culture, great science & research.",Salary and benefits are not competitive for Seattle. Opportunities for advancement can be limited.,,4.0,3.0,5.0,2.0,2.0,5.0
2019-04-03, Program Manager,,Former Employee ,Great place,Great place,0,"Excellent mission
Good work life balance
Positive work environment","Expensive cafeteria
Challenging commute (traffic)
Lower compensation than private industry",,4.0,,,,,
2019-04-17, Outreach Specialist,"Seattle, WA",Current Employee ,What you see is what you get,What you see is what you get,0,Access to various ongoing trainings and presentations through Fred Hutch.,No room for growth. Maybe one person has gotten another position directly from this position.,More room for advancement for marginalized individuals from impacted communities.,3.0,3.0,4.0,1.0,1.0,2.0
2019-03-30, Data Scientist,,Former Employee ,"Lot's of smart people with a mission, but can be a black hole ....","Lot's of smart people with a mission, but can be a black hole ....",0,"There are a lot of smart people here, with very benevolent mission (cure cancer). This is a very academic institution (each lab is it's own entity), with the business/ shared IT resources being more like a traditional business. The academic flavor brings a fair amount of flexibility in terms of your work schedule/ arrangements (dependent on which PI you work for), and the benefits are great!","Because the institution is fairly academic, you can feel a little siloed from others (although that is changing with ""The Coop"" being a newly created entity to try to bring data scientists/ analysts from across the organization together).

Career Progression/ continuing education is pretty much something you have to figure out yourself (there is no clear guidance in this regard, unless you are in a tenure-track lab-PI position), and it is easy to end up ""stuck"" in the same position for decades even (your PI may never bring up conversations about what your 1 to 5-year plan/goals are). They have recently implemented scholarships for individuals to go to summer schools, etc, but this is something you have to compete to receive (as opposed to a guaranteed funding commitment to your career progression). Granted, this is a non-profit, so it is understandable that money can be tight.

The above observations are not criticisms of the Hutch, per se, but of academic/ research institutions in general. Also, this is spoken from someone who was attached to a lab (on the academic side of things), so if you're a part of Center IT or HDC (or other ""business-like"" groups, you may have a different experience).","Make it more clear how one might build a career from *every* position, and **train** managers/ PIs to provide mentorship/ career building guidance to their employees.",4.0,5.0,5.0,3.0,4.0,4.0
2019-03-28, Postdoctoral Fellow,"Seattle, WA",Current Employee ,Good place to do research,Good place to do research,0,"fairly equal place, collaborative environment, good benefit, brilliant scientists.","As non-profit, it cannot spend much on treating employees well",,4.0,3.0,4.0,3.0,4.0,3.0
2019-03-29,,,Current Employee ,Good Company,Good Company,0,Good 401k option and okay benefits.,Upper management doesn't really listen to your concerns.,,4.0,,,,,
2019-03-03,,,Current Employee ,Great place to work,Great place to work,0,"Great science, inspiring atmosphere, employee friendly","Less interaction between different divisions, limited scope for growth in some roles",,4.0,4.0,3.0,3.0,,
2019-02-11, Project Manager,,Former Employee ,Overall Great Place to Work,Overall Great Place to Work,0,"- Meaningful high impact projects
- Talented faculty, administration, grants and finance teams
- Professional atmosphere
- Excellent training resources
- Vertical advancement dependent on team
- Good benefits
- Great campus","- Employee equitably
- Traffic
- Caffeteria food cost",Keep internal promotions on par with external hires,4.0,1.0,5.0,5.0,5.0,4.0
2019-01-31,,,Current Employee ,A great place to work,A great place to work,0,"Wonderful benefits, passionate staff, great work-life balance",Little room for upward mobility in my department,,5.0,5.0,1.0,4.0,5.0,
2019-01-30, Quality Assurance Associate II,"Seattle, WA",Current Employee ,Loved My Time Here,Loved My Time Here,0,"Great culture, benefits, amazing people",Lack of career advancement opportunities,,4.0,4.0,5.0,1.0,4.0,3.0
2019-02-11,,"Seattle, WA",Current Employee ,"Good place to work, but low pay","Good place to work, but low pay",0,"-Awesome co-workers
-Great mission
-Helps the community
-Top of the line scientists","-AWFUL pay. A dollar over minimum wage when most of us have graduated college? Please.
-No one ever gets back to you when you apply on their website, even as a current employee.",,3.0,5.0,3.0,1.0,1.0,3.0
2019-01-29, Intern,"Seattle, WA",Former Employee ,"Great environment, great science, excellent food","Great environment, great science, excellent food",0,"Collaborative, communal, and friendly environment",Travel to and from can be difficult,,5.0,,,,,
2019-01-27, Data Coordinator II,"Seattle, WA",Current Employee ,Best environment to thrive and grow,Best environment to thrive and grow,0,"Amazing doctors
Ability to share ideas
Everyone is willing to help
Approachable staff","Traffic in seattle
Better approach to onboard training",,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-18, Lab Assistant,,Former Employee ,"Good Company, Great Mission","Good Company, Great Mission",0,"Free access to amazing seminars and training opportunities. Beautiful campus, great facility.","Not a lot of perks, not even coffee where my lab was located.",,4.0,,,,,
2019-01-30,,,Current Employee ,"Toxic culture, could care less about administrative/operational staff","Toxic culture, could care less about administrative/operational staff",0,"The organizations mission
Flexibility of hours","Faculty can do no wrong in the eyes of leadership (and they are wrong A LOT)
Treats administrative staff like they are replaceable and beneath the scientific staff
Faculty has no accountability for actions
Toxic Masculinity is EVERYWHERE
Hostile",,2.0,4.0,2.0,3.0,2.0,
2019-01-16, Researcher,,Former Employee ,"Great mission, but little chance for upward mobility","Great mission, but little chance for upward mobility",0,Contributing to the research to prevent and cure cancer was personally very fulfilling. Most of my team members were great to work with.,Tight deadlines which require over time. It is a very stressful work environment. Low chance for upward mobility.,,4.0,,,,,
2019-01-15,,,Current Employee ,Supportive of staff,Supportive of staff,0,"continued educational opportunities, parental leave","location, pay to park, busy",,4.0,,,,,
2019-01-07,,,Current Employee ,Statistical Research Associate,Statistical Research Associate,0,Work-life balance. Friendly working environment in small teams.,Limited career growth for staffs without a doctoral degree. Below average benefit package.,,4.0,5.0,5.0,3.0,2.0,1.0
2019-01-15, Research,,Former Employee ,Research,Research,0,Easy and good people to work with,Unorganized and hard to get end goal,Organize more,2.0,,,,,
