date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-05,,,Current Employee ,Marketing Specialist,Marketing Specialist,0,The digital marketing team is very forward-thinking. A great team to be a part of.,My focus is generally shifted to short-term thinking; probably because my role doesn't always require me to think longer term. This is a con for me because my strengths come in when I think about things more broadly.,Management is doing a great job in shifting the culture and moving forward.,5.0,5.0,4.0,5.0,4.0,5.0
2019-04-22, Sales,"Chicago, IL",Current Employee ,Undervalued,Undervalued,0,Great co-workers and free pop.,Some of the lowest pay in industry.,Value your better salespeople. At least pretend you care?,2.0,1.0,3.0,2.0,2.0,1.0
2019-04-07, Senior Account Executive,"Chicago, IL",Current Employee ,Benefits are amazing but upper management doesn’t want to pay their sales team,Benefits are amazing but upper management doesn’t want to pay their sales team,0,"Benefits
Work life balance
Great colleagues
Client relationships
With the right manager, you can be independent","Growth Targets are aggressive and unattainable
Comp plan is set up so that it’s best to be only at 100%
In 2019 you have contracts from 2017 in your base
Some managers micromanage
Lots of admin duties",Work with your sales team to make better targets. Restructure the commission plan so that you get paid a fair rate if you are under 100 percent. Pam is toxic for the team and will cause good people to leave just so they don’t have to work for her.,2.0,,,,,
2019-04-09, Product Manager,"Seattle, WA",Former Employee ,"Large personal investment, mediocre payoff.","Large personal investment, mediocre payoff.",0,"Global brand, good work/life balance, passionate people.","Top heavy management, not tech focused, new CEO is very political, too many management layers, mediocre talent.","Organizational restructuring (again), invest in a real tech stack, focus on career development and mentorship.",3.0,3.0,2.0,2.0,1.0,1.0
2019-02-24, Functional Analyst,,Former Employee ,Fun place to work,Fun place to work,0,Stimulating subject matter & industry.,Little opportunity for advancement. High turnover as a result. No training.,Invest more in employees.,4.0,4.0,5.0,3.0,4.0,3.0
2018-12-28,,,Former Employee ,Good environment for new joinees,Good environment for new joinees,0,"work culture,
flexibility,
dev stack,
management.
chance to work on new technologies.",they are slow in decision making.,,4.0,5.0,5.0,4.0,4.0,5.0
2018-12-20,,,Former Employee ,VP,VP,0,Great company to work for lots of opportunity to move up,Management is top heavy hard to get heard,More involved with employees with changes,4.0,,,,,
2018-12-04, Customer Success Manager,"McLean, VA",Current Employee ,Great place to work,Great place to work,0,"Amazing peers and middle management
Great product
Company is always trying to be better
Amazing Culture
You will make lifelong friends here
There is always something new to learn","As the industry leader our product should be a bit more evolved and flexible
Good amount of admin work is handled by sales.
Management lately with ownership changes.",Listen to your front line people more and include them prior to making changes to systems and/or procedures that directly affect their day to day activities.,4.0,4.0,5.0,3.0,4.0,3.0
2018-10-22,,,Former Employee ,HR,HR,0,"For most of my time there - innovation, creativity, lots of hard-working, smart people with passion for the business. Used to have great culture and people. Used to be the ""best place I had ever worked professionally, financially, and personally,"" which was their tagline. But dramatic changes in recent years have changed this.","The company has undergone dramatic changes since the changing of the CEO hired in late 2015. She was great, but all leadership changed, and the culture changed accordingly. It has significantly impacted the culture and the drive of the employees.",,4.0,2.0,3.0,4.0,3.0,
2018-10-25,,,Former Employee ,Great Company,Great Company,0,Great people and good work life balance,Some uncertainty in the future of the business,,5.0,,,,,
2018-10-09,,,Current Employee ,Great place to work,Great place to work,0,"Great people, great benefits, new office, amazing content.",Promotions are hard to come by in some groups.,,4.0,4.0,4.0,4.0,4.0,4.0
2018-10-16,,"Seattle, WA",Former Employee ,Sales manager,Sales manager,0,good people good atmosphere,low money not professional management,give weekly tasks,3.0,,,,,
2018-09-13,,,Former Employee ,Quality Workplace,Quality Workplace,0,Quality operations and appreciation for staff.,Training is low and could use some help,,4.0,,,,,
2018-08-16, Senior Account Executive,"Chicago, IL",Current Employee ,GOOD (not great) place to work,GOOD (not great) place to work,0,"product is great. people are great. PTO is great (27 PTO days per year), I mean common. maternity leave is good.",comp plan is over engineered and not fair. base pay is below the market standard.,fix our comp plan - increase our base. if you value 'top performers' - SHOW them,4.0,5.0,5.0,2.0,3.0,3.0
2018-06-22,,,Former Employee ,Sales,Sales,0,"great content, great people, nice perks","alot of change, instability, frequent turnover",trust more in employees,3.0,,,,,
2018-05-28,,"New York, NY",Former Employee ,Mid-level Management,Mid-level Management,0,Amazing Content and Photographers. Dedicated and loyal staff.,"Sr. Management is smart but clueless. Very out of touch with industry needs and trends and are often late to market with improvements or ""innovations"". They have completely lost their position as market leaders - they are definitely followers.",Get out of your offices and start getting in front of clients. Listen to them.,2.0,2.0,3.0,2.0,3.0,1.0
2018-05-15,,"Seattle, WA",Former Employee ,Independent Sales Executive,Independent Sales Executive,0,Flexibility of working from home.,The ICE position is commission only and many of the leads are recycled.,,2.0,,,,,
