date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-11, Senior Designer,"San Francisco, CA",Current Employee ,Very happy!,Very happy!,0,"- Great team: the team I work on is like a family in many respects - team members genuinely care about each other and look out for each other, and legitimately enjoy spending time together at the office and at team events
- Work/life balance: unlike some other places I've worked at, Glu does a good job of limiting overtime, getting people out of the office at a reasonable hour, and accommodating folks with families
- Generous benefits: from my own experience and from other coworkers I've spoken with, compensation is typically market-competitive to above-market, with a wide range of additional benefits like free lunches and snacks, 401(k) matching, and annual performance bonuses","- Office location: While the office space itself is nice, it's located in a neighborhood that can be a bit sketchy at times, particularly in the evening (not a huge con, but it's a factor to consider if you're taking mass transit)",,5.0,5.0,5.0,4.0,5.0,4.0
2019-04-14, Concept Artist,"Seattle, WA",Current Employee ,Run,Run,0,There were sometimes good snacks and some fun people to work with.,"Corporate greed runs deep. As an employee you will suffer the consequence of leadership actions and get laid off. Don't worry. When you are either shut down or laid off, leadership will say, ""we didn't get large bonuses this year."" Their words, not mine.",Focus on original content and not just a meat grinder or rehashing tired ideas.,2.0,3.0,1.0,1.0,2.0,1.0
2019-04-01, Senior UI/User Experience Designer,"Long Beach, CA",Former Employee ,"Poor Management, Failed Products, Unhappy Employees","Poor Management, Failed Products, Unhappy Employees",0,"Catered lunch, free snacks and drinks, company parties, decent corporate structure for benefits, PTO/vacation, etc.","Poor management that is disconnected from the development process and the consumer. It feels like a bunch of old men in a high tower deciding what they think mobile game users want (spoiler alert, they usually don't), deciding on unrealistic timeframes and expectations without consulting the devs and locking them into that deal by pitching it to shareholders so that there's nothing you can do but crunch to make it happen.","Hire someone who actually understands the market so you can make products that aren't automatically doomed to fail. You've had to shut down most of the studios (including mine) and projects you've had since I've been there due to poor business sense. Consult with developers before committing to a project and pitching it to shareholders. When you undercut development time to make a project seem more attractive, you're actually just dooming it to fail since the quality is going to be so lackluster and the employees are going to get burnt out.",3.0,3.0,3.0,2.0,3.0,1.0
2018-12-20,,"San Francisco, CA",Current Employee ,"Fun place to work, but lack of career opportunities","Fun place to work, but lack of career opportunities",0,"Catered lunch, cultural aspect has been improved tremendously over the past 2 years","Lack of upward mobility, compensation overall under market value",,3.0,4.0,3.0,3.0,2.0,3.0
2018-09-06,,"San Francisco, CA",Current Employee ,Glu is thriving,Glu is thriving,0,"Collaborative and fun work environment
Great co workers
Flexibility to work on cool projects",Pace can be a little bumpy but its always headed in the right direction,Keep up with the transparency,5.0,5.0,5.0,5.0,4.0,5.0
2018-09-05, Senior Software Engineer,"Burlingame, CA",Current Employee ,"Great team culture, brilliant co-workers, exciting work. Sky’s the limit","Great team culture, brilliant co-workers, exciting work. Sky’s the limit",0,"This company is flat out awesome. They provide you the tools you need to succeed in your job. I’m a Engineer and can equate the work here as challenging, fun, and motivating as any other tech company. It’s a great atmosphere to learn and apply that knowledge. This company values their employees and it shows.",Non hat I can think of yet,Keep up the great work,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-06,,,Current Employee ,Glu is the greatest!,Glu is the greatest!,0,"Glu has come a long way from the experience of previous employees! I can definitely say it is an brand new Glu! I see great things ahead in the upcoming years! It is an open and collaborative environment with lots of opportunity for growth. Upper management cares very much about keeping a positive culture.

Some perks include:

-Lunch catered 5 days a week
-Great work/life balance
-fun work events once a week","Gaming culture is not for everyone. If you don't like being a part of a close knit team and collaborating with your coworkers, then it may not be a fit.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-02-24,,"San Francisco, CA",Current Employee ,A Brand New Glu,A Brand New Glu,0,"New office, new CEO, new culture.. I read a lot of the older reviews and was initially concerned... but it appears the new management has learned from past mistakes and is keen on putting employees first. This means a beautiful new office, catered lunches (yum!) 4 days a week, lots of cool perks... It's an exciting time to be at Glu, and the feeling seems to be mutual across the office...","The previous model of acquiring studios would naturally have some issues, especially if the prior investors didn't take care of their employees during the transition. From what I've learned during my tenure, they're hoping to move away from that model and build studios internally in the new HQ... the partnership with Disney being an example. The company has been around for a while and surely has some baggage, but this recent shift seems like a fresh start... fingers crossed!","Keep up the good work, and please stay true to your pledged values and intentions. it will guarantee happy employees and a bright future for everyone!",5.0,5.0,5.0,5.0,4.0,5.0
2018-02-25,,,Former Employee ,Great Place with the Right Studio,Great Place with the Right Studio,0,The PlayFirst/GluPlay studio is the gem of the entire company.,Culture outside the PlayFirst/GluPlay studio was vastly different and more button-down.,Ensure Glu Mobile staff are readily available to assist the most successful studio under their umbrella at anytime for any needs.,4.0,4.0,4.0,4.0,4.0,3.0
2018-02-08, Lead UI/User Experience,"San Francisco, CA",Current Employee ,Keep at it!,Keep at it!,0,The current GLU leadership seems to legitimacy care about transparency and building a strong foundation based on trust and respect.,"GLU is a game company intent on making money more than making fun games. Though making money is understandable, even desirable - many goals place the bottom line over player satisfaction, game creativity.",Keep at it! Your open dialogue and transparency is vital for a healthy organization. We all want to make awesome products - let us do it and we will all win!,4.0,3.0,3.0,3.0,4.0,4.0
