date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-24,,,Current Employee ,Love this company,Love this company,0,"Love this company, they really care about their employees",Long hours but it’s worth it,,5.0,5.0,4.0,5.0,5.0,5.0
2019-04-15, Server,,Current Employee ,Good short term,Good short term,0,"quick easy money, higher tips than other","slow to promote, required to work 6 shifts, dry cleaning expensive",promote within,4.0,,,,,
2019-04-01, Tiger,"Sterling, VA",Former Employee ,Inflexible management,Inflexible management,0,A relatively high hourly rate for the position,Inflexible scheduling. Management needs to work with employees who have circumstances that warrant rescheduling,,2.0,2.0,5.0,5.0,4.0,5.0
2019-03-25, Hospitality Leader/Server,"Sterling, VA",Former Employee ,"Team Service - Great Theory, Horrific in Reality","Team Service - Great Theory, Horrific in Reality",0,"Made great friends, had fun.","GAR is a system built to support the profit of the company while treating individual employees as being completely replaceable clogs in a machine. They exploit their hard-working members and make them pay for things that legally should be included with employment - you know all those tables that love to steal pens? Well, GAR forces it's serving staff to pay $2 for every 5 pens with THEIR logos on them and you are not allowed to use any other type of pen or you will be 'in trouble' or scorned for not following the GAR standards of service. The teenage hostesses are paid upwards of $16/hr (a portion of which is paid via tip-out of servers who are making less than $3.00/hr), while the extremely hard-working dishwasher who slaves away in the nasty dishroom cleaning up for the entire restaurant, if offered barely over minimum wage. The entire GAR system was built to make sure guests remain happy, despite the inherent flaws in the system that leave hard-workers high and dry but are always reminded to put on a smile. There is so much potential for a team service method in the restaurant industry, and GAR is completely failing at it.","I tried to provide insightful advice to management for years and was turned away or told to 'stop whining' when all I wanted to do was make the work environment better and to try to make the floor stronger. Our sales weren't doing well but management would refuse to try to change their business model. Maybe take a look at why the only servers who stay at your restaurant are the ones who feel too comfortable to try to better their lives, and when people eventually do leave - a huge majority of serving staff have very little nice things to say about their experience. Shouldn't be a huge shock to hear this, but a lot of my industry friends don't frequently use GlassDoor, so their opinions aren't publicized.",2.0,3.0,2.0,1.0,2.0,2.0
2019-03-20,,,Former Employee ,Aviod if you like growth/opprotunity,Aviod if you like growth/opprotunity,0,"Really great staff, they become like your family.","No room for growth. They would rather hire someone fresh out of college than promote from within.
Upper management constantly hounding the staff, especially at corporate location.
Long hours, bosses would guilt you into working shifts.
Not much consistency with policies overall.
Promotions based off how much you're liked instead of how hard you work.
Hosts make more money than kitchen staff.
Company is sort of living in the past.",Don't overlook the people who work hard. A 15 cent raise is not a raise when you work as hard as they expect you too.,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11, Server,,Former Employee ,Awesome Company,Awesome Company,0,"Training and MGMT are second to none. High quality food, focus on hospitality.",Food Service in general is high stress.,,5.0,5.0,,,,
2018-11-29, Food Runner,,Former Employee ,Fabulous Place to Work,Fabulous Place to Work,0,"Extremely Organized and Professional.
Great Pay
Flexible
Understanding","Selective
Demanding (but you get paid well)
Fast Paced","This is specific to Mike's:
Jake Sisson is the best boss I've ever had. When I first started working, I did my best to avoid working on the same floor cause he's a tough and calls you out. But that's how you run a tight ship and I became a better worker because of it.",5.0,5.0,5.0,3.0,4.0,5.0
2018-09-28, Food Server,"Annandale, VA",Former Employee ,Emphasized Teamwork and Communication,Emphasized Teamwork and Communication,0,"Really great way to focus on time-management and communication with co workers. The ""team service"" environment called for a lot of communication especially during business hours. You were able to meet great people and you could make decent money within a shift. Coworkers were always very nice and welcoming.","Sometimes things could be a little unorganized when it came to seating and depending on what tables you had, you could be there an extra hour or two waiting to leave. Lots of extra side-work to do before you go.",Improve organization of side-work and making sure all employees check out before leaving.,4.0,3.0,5.0,4.0,3.0,4.0
2018-10-08,,"Falls Church, VA",Former Employee ,Overall fun place to work,Overall fun place to work,0,Good people and work culture,The structure might not be a good fit for everyone,,3.0,3.0,5.0,3.0,3.0,3.0
2018-09-05,,,Former Employee ,Server,Server,0,Everyone is fairly friendly and the restaurant is well organized.,"Expensive uniforms, small sections, and favoritism.",,2.0,5.0,5.0,2.0,2.0,5.0
