date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-28, Continuous Improvement Manager,"Auburn Hills, MI",Current Employee ,Great company with opportunity for advancement,Great company with opportunity for advancement,0,People we work with are greatest asset,Salary is not always most competitive with the market.,"If person earns a promotion which has a pay increase, do not exclude them from that years review salary comps",5.0,3.0,5.0,4.0,4.0,3.0
2019-04-03,,,Former Employee ,Odd Culture,Odd Culture,0,Excellent opportunity to be an individual and shine,Not a great deal of team work,,2.0,2.0,1.0,2.0,2.0,2.0
2019-03-20, Project Engineer,"Victor, NY",Former Employee ,amazing process - technically very interesting.,amazing process - technically very interesting.,0,Fast paced environment. Good people to work with.,Changing environment. Must accept change from all sides.,Value the best resource you have - your people.,3.0,2.0,3.0,3.0,3.0,3.0
2019-04-22, Machine Operator,"Geneva, NY",Current Employee ,Low Pay,Low Pay,0,only 14 shifts per month scheduled,"low starting pay, minimal raises, no training, high turnover causes mandated OT","raise starting pay, have a training process",1.0,2.0,1.0,2.0,1.0,1.0
2019-03-01, Maintenance Mechanic,"Richburg, SC",Current Employee ,It’s a decent place to work but don’t come to waste time.,It’s a decent place to work but don’t come to waste time.,0,"Good pay, benefits, and new management (for maintenance) at the Richburg plant.","Hot in the summer, cold in the winter. Maintenance you gotta call-in on your scheduled overtime day. Some shift supervisors like to put harder work orders on others. And very common for workers to tell you they aren’t doing something they have been giving to do because they don’t wanna get dirty.",Stop hiring just because you need bodies hire people for their willingness to work and actually put effort in to the job and make it a better place to work.,3.0,2.0,1.0,4.0,5.0,3.0
2019-03-03, Shift Manager,"DeWitt, IA",Former Employee ,From good to a nightmare a true living HELL!!!,From good to a nightmare a true living HELL!!!,0,Benefits and that is it,Toxic Culture Toxic Work Environment,"Dewitt, IA location was a great place before MBM and the Koch culture. The environment is so toxic that it will cause you health issues. Have clueless upper management that can’t manage there way out of the restroom. Have 27-28 year old engineers that have ZERO experience in management or supervision replace senior guys that do have experience in such roles. HINT: Your replacing experience with guys with guys that get the experience from managing for dummies books they buy at Barnes and Noble. Their turnover is over 100% and trust me we were reminded that daily with no control of the job market the starting wages or the culture they developed. A job THREATENING culture where you feel like your livelihood is always at risk. The hourly workers constant complained to us in management and supervision about the culture and the threats of there livelihood fear of losing there jobs always they are seeking other opportunities. There workforce is low half the time they are shutting down lines and the hourly guys OT is so crazy they are working 70-80 weeks. Please don’t waste your time, Value your health and well-being.",1.0,1.0,1.0,1.0,3.0,1.0
2019-02-15, Maintenance,"Geneva, NY",Former Employee ,Don't bother,Don't bother,0,The only pro is when you walk out the door and you never go back,"When you are hired you are promised many things such as bonus and training and this never happens. You work yourself to death and receive no praise or even thanks. You are told one thing and then another. I was written for being 13 seconds late yet the supervisor leaves early a lot and has many days off. My contract stated 7-7 but I had to be there by 645 and I get a write up for 13 seconds late? I took 2 days off due to health issues and I canceled 2 over time days and was written up for this too. I had been looking for work elsewhere when I was fired. I did double the work there 62.5 hours to 75 hours a week. I lost my home life and was getting sick when I have never been sick in my adult life. The condition's are horrible and you are breathing in crap daily. They threaten termination all the time and can't keep their word. I'm glad to be out of there and won't be looking back. If you plan on working here don't expect pay rises, bonus, training or a weekly salary that is high. The only way you will get a goof salary is if you work 80 hours a week and give up your health and family.",,1.0,1.0,1.0,1.0,2.0,2.0
2018-11-20, Engineer,,Former Employee ,Do not recommend,Do not recommend,0,Benefits are good and plenty of OT.,"Hot, dirty, dusty work environment. No work/life balance.",,1.0,1.0,3.0,1.0,2.0,1.0
2018-10-29,,"Auburn Hills, MI",Former Employee ,Management,Management,0,"Good 401k match, great health insurance, most people don't know what they are doing or needs to be done so you won't be the only one","The culture is not nearly what they make it out to be. Integration with Koch is going poorly, compensation may start good but raises are not good, very strict on compliance even above what actually matters",Stop working where you work,2.0,2.0,1.0,1.0,3.0,2.0
2018-08-29,,,Former Employee ,Supervisor,Supervisor,0,Good Benefits and co workers. Fair life / work balance,Some management its their way or the highway,,4.0,4.0,3.0,3.0,4.0,2.0
2018-08-01, CUTTING OPERATOR,"Monroe, MI",Current Employee ,Great Money at a great cost,Great Money at a great cost,0,"Excellent benefits
Decent pay that increases yearly
Half of each money scheduled off
Paid breaks
All the overtime you want","Swing shift(every other month)
12 hour shifts
Mandatory overtime that can be spontaneous
Work every other weekend and holidays",Higher up managers need to pay more attention to what is going on. Production managers do a great job,4.0,1.0,5.0,5.0,4.0,3.0
2018-07-31,,"Troy, MI",Current Employee ,Recommended,Recommended,0,"There is lots of room for growth within the company. One thing that attracted me to the company in the first place was the amount of people who had been working there 10+ years (and even more). Promotion from within is encouraged. Guardian takes the Koch MBM Guiding Principles seriously... instead of just having them posted on a bulletin board somewhere, they are used in business practices. There are many training opportunities for employees for career growth.","There have been recent shifts in the vision of the business. This can cause some rifts with employees who have been with the company for a long time and have a hard time adjusting to the change, making it difficult for those who are on board with change.",Continue to encourage career growth and be transparent.,5.0,4.0,5.0,5.0,5.0,5.0
2018-09-03,,,Former Employee ,Disloyal and will cut you in a heartbeat,Disloyal and will cut you in a heartbeat,0,"interesting work, good colleagues, decent pay",totally short-term finance-driven thinking with no loyalty,,1.0,3.0,1.0,1.0,4.0,1.0
2018-05-23, Reliability Engineer,"DeWitt, MI",Current Employee ,Reliability Engineer,Reliability Engineer,0,Guardian Industries has allowed me to advance my career by pursuing knowledge which will create value for the business. The Guiding Principles® and MBM® philosophy makes this company a great place to work. All employees are expected to work with integrity and keep us in compliance with all laws and regulations. We are focused on safety and want all employees to leave work feeling fulfilled in the work they perform.,Some rules are not written or communicated effectively. Communication from managers and supervisors is lacking at times. Decision rights are also not clearly defined to all parties.,Communicate more effectively. Grow the MBM® philosophy.,5.0,4.0,5.0,3.0,4.0,4.0
2018-05-31, Manager,"Auburn Hills, MI",Current Employee ,Great place to work!,Great place to work!,0,"Guardian's culture provides you the opportunity to grow, challenge yourself, and an environment in which your ideas will be heard. The long term local stability of the manufacturing locations and global footprint that is on a growth path allows everyone to consider how they would like to grow themselves and their careers.",Improve on aligning everyone to the vision behind change.,Continue to stay committed to your employees and adding talent that most importantly matches our desired company culture.,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-27, Operator,"Millbury, OH",Former Employee ,Former Employee,Former Employee,0,"Good benefits, 401k 7% match. Most people friendly in plant. Changing to MBM style of business. Lot of opportunities and money to make if you get chosen on new process machinery on VIG side.","Low performing and negative people run to HR every chance they get to try and get supervisor in trouble. Typical response if supervisor writes someone up or asks someone to do something they don’t like, I’m calling the HR lady or wait until she comes in, she’ll take care of it. Typically after speaking with her the supervisor has to change status, which hurts other people trying to do what’s right. Poor pay is why I left though. Last company called me back from layoff and I’m making $9.00 more an hour now, so low pay was my main problem.","Get full time HR in building so someone can actually see what’s real and what’s BS. Let supervisors and managers do job. If you want to keep good people, pay them. Treat all people the same. I think supervisors and managers are fed up with making old equipment work while VIG gets what they want. Lower and middle management is looking to get out. I heard PM left my new job location in a suit last week. There should be equal treatment between departments.",3.0,4.0,3.0,3.0,2.0,2.0
2018-05-21,,"Auburn Hills, MI",Current Employee ,Great place and people but...,Great place and people but...,0,"Corporate culture is amazing, people are respectful and team work is encouraged. Change and improvement is part of the company. Efficiency and Effectiveness are embraced and encouraged","Priorities change every second, lack of operational knowledge from middle leadership, old age mentality of flexible working place/hours and the benefits/pay are poor","If innovation is part of the company philosophy invest on upgrading the work places and machinery, it's hard to be innovative in offices that are 20 years old and outdated",4.0,3.0,5.0,4.0,1.0,3.0
2018-05-21,,,Current Employee ,Guardian Science and Technology Center,Guardian Science and Technology Center,0,The Science and Technology Center is an interesting place to work. Plenty of exposure to different products and technologies in the glass industry. The people are friendly and willing to engage in research pursuits.,"The supervisors are horrible. MBM training has been implemented and has been embraced by the STC President, however, the rest of the supervisors do not have a true grasp of the principles or how to apply them. Far too many supervisors who have come from academia and do not know how to apply Americas business principles or what is acceptable behavior for how to treat a direct report. Repeated attempts to implement the challenge process fall on deaf ears due to the elitist attitudes.

Pay for most jobs is far below industry standard and much time and energy is wasted attempting to recruit overqualified individuals for low pay. Even corporate HR has not gotten the hint yet.

360 reviews of supervisors are not read or acted upon. Employee morale is quite low and not likely to change any time soon.",Please read the 360 reviews and clean house. It is obvious who the problem supervisors are and action should be taken before you lose more people.,3.0,4.0,3.0,2.0,3.0,2.0
2018-05-30, Shipping and Receiving,"Richburg, SC",Former Employee ,Shipping and receiving and pattern line,Shipping and receiving and pattern line,0,The pay start off at 13.48 if you three years you'll make top pay as you kiss butt right they'll give you the big races,Management is on consistent with the way they manage hours they will make you work at least 60 to 70 hours a week also if you want to move up in this company you must learn to kiss butt and become a yes man there's no potential for you to grow here and don't ask for a transfer because you are not going to get one the only way you moving in this company is if they assign you to a different position and the only way that happens if somebody quits,Hire some people quit being cheap and looking at the bottom line that's all you do also get rid of your HR department it's a joke they're not there to help people there there to protect your butts and we all know it racial comments are well known around this place from African American saying ignorant things to white people and hire some supervisors quit putting it on other people quits putting it on other people,1.0,1.0,1.0,1.0,4.0,1.0
2018-05-18, Production Supervisor,"Davenport, IA",Current Employee ,Miserable. Dictatorship. Stay away.,Miserable. Dictatorship. Stay away.,0,Not many. Definitely not enough to make me continue my employment long term. Benefits are decent. That’s the only positive at this juncture.,"Management doesn’t care about its employees. Employee retention rate is abysmal. Zero organization. By working here you sacrifice quality of life. Recently got an email from the company asking employees to provide feedback on Glassdoor, so here it is. This company, or maybe it’s just the DeWitt, Iowa plant, is a train wreck. Look for employment elsewhere. Don’t even give this place a thought. Trust me.",Become human. Have the tiniest bit of compassion for people. Stop hiding behind,1.0,2.0,1.0,2.0,4.0,1.0
2018-04-05,,,Former Employee ,Good,Good,0,"Easy, hard to move up, many lateral moves.","Little no no bonus, hard to move up",Allow supervisors to make improvements,4.0,,,,,
2018-04-15,,,Former Employee ,Not a good place anymore.,Not a good place anymore.,0,Most of the employees are great people who are very competent and want to do a good job.,"Was a great place to work years ago, not anymore. New owner's policies have removed the heart and soul of the business.","Please, just listen to your employees and go back to treating them as valuable human beings instead of looking down on them.",2.0,2.0,1.0,2.0,2.0,1.0
2018-03-13,,,Current Employee ,Global HR,Global HR,0,Guardian is a company with a vision and a commitment to innovation. It also helps to drive a positive culture. It's leadership team is committed to the vision and genuinely wants to create value for its customers and society,"Transformation and change is part of the culture. It's not a con, but change and a different way of doing things isn't for everyone.",Keep doing what you are doing. Invest in great talent and keep challenging to innovate.,5.0,5.0,5.0,5.0,4.0,5.0
2018-04-15, Mechanical Engineer,"Geneva, NY",Former Employee ,It's OK,It's OK,0,"Great benefits -- 7% 401k match, decent health insurance, on site gym (if your schedule allows).

Good opportunity to make an impact if you're ambitious. There's never a shortage of projects to tackle & plenty of OT for the hourly folks.

There was a great push for SAFETY and continuous improvement but the buy-in from the production folks was lacking.","No work/life balance -- constant call-ins.

Low pay, scarce bonuses & raises, high turn over (70% when I left), fire people without warning or attempt to try to develop them, hot environment, low air quality (I seemed to get sick every other month), same thing day in & day out.","Get in touch with the pulse on the production floor, stop hiding in your offices and stand shoulder to shoulder with the people that really make it happen.",1.0,1.0,3.0,1.0,2.0,1.0
