date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-10-03,,,Former Employee ,Great people and great culture.,Great people and great culture.,0,"Insightly has great company culture. The people are all fantastic, from the CEO to senior management and individual contributors.",Normal start-up issues that are to be expected.,,5.0,5.0,5.0,4.0,4.0,4.0
2018-10-02,,"San Francisco, CA",Current Employee ,Love working at Insightly!,Love working at Insightly!,0,"I've been working at Insightly for a while on the sales team. It is a great place to progress your career, learn, have fun, and make some money while doing so. Management truly cares about each individuals' success and makes an effort to get to know everyone on a personal level. My team makes me excited to come to work every day. Promoting from within is a priority for management and the company as a whole.","We hired too fast for a bit and as a result, hired some people we probably shouldn't have that were not invested in their own success and not a culture fit. These people are no longer with the company but are probably the cause of some of the bad reviews.","Hire the right people, continue to focus on promoting people internally and not changing the culture",5.0,5.0,5.0,5.0,5.0,5.0
2018-08-20,,,Former Employee ,It's been fun and it's been real.,It's been fun and it's been real.,0,"The joy of working at Insightly stems from the people you meet. These relationships turn into friendship even after you leave their office for the day or move on to the next chapter of your career. It's a place where managers sit closely with their members and enable them to be successful. PeopleOperations (otherwise known as HR and Recruiting to the outside world) helped build Insightly, along with leadership's support and many team members' help, into a diverse, inclusive, fun, and engaging startup. It's one of a kind.

When you enter the office, you're greeted by the best Office Manager with her smile. You can grab a light breakfast, snacks, hot coffee/tea, drinks from the kitchen's pantry area. You will see each pod's unique style of decor like a hanging Lannister of Casterly Rock banner, a giant $1M sign, shady green leaves, a wall mounted bell that echoes loudly, and the quiet diligence of everyone striving to grow the business. Sometimes a furry Co-founder might say hi and search for food. Then lunch time hits and everyone is heading out to Barry's together, getting Lee's for the 3rd time in the same week, standing in line to warm up their food, and catching up on each other's lives. Afternoon rush ends and you return to work, 1:1, maybe a quick post-lunch ping pong game to stir up creativity, or your next meeting. It's closing time soon but some people are thinking of their evening plans to hang out after work.

It's a small 1 floor at Insightly and you're in for a treat if you aim to develop yourself, make an impact, and earn the respect of your peers. Come work at Insightly to learn a whole lot about CRM, the tech stack, a SaaS startup lifestyle, and build lifelong relationships (and friendships).","Granted that not all startups are perfect, they can come close. There is always room for growth. A while back, each department aimed to grow its size to scale operations so PeopleOps team staffed each department in a fast amount of time. Teamwork, camaraderie, and a dynamic strategy got us there. Suddenly, we hit a snag with what we aimed to do: scale.

When a startup expands, so should infrastructure, onboarding, ramp up time, and strategy. The people that have stuck around for the longest time can have insights, best practices, and experience so they can be the biggest resource. Uplevel the tenured people and show them how much you value their contribution to learning & development tools, new opportunities, and an exciting vision. New leadership needs to bring new energy to jumpstart the team rather than the feeling of shock. Then keep that energy going.

Nonetheless, Insightly shares the same growing pains as any other startup in a market that's saturated, competitive, and costly. After my initial months, I learned a lot through researching CRM, sharing knowledge, and asking questions about what I don't know in order to keep the edge at work. This is where a strong and continuous onboarding program comes in and needs the full support of leadership to execute. Here are some things we needed: an articulated company vision, domain expertise modules about SaaS CRM, catchy value propositions, and a robust mission statement are a few quintessential to show remind everyone why they come to work every day.","Keep sharpening Insightly's edge every day. It's a great company with a head-turning story that outsiders are willing to hear and get behind.

Leaders, always invest in your people because they are your biggest ROI. Show them how you wanted to be treated when you were in their position. Onboarding is such a crucial step in the new hire or current employee's life cycle. A best practice is to make things better than the way it was founded.",4.0,4.0,4.0,4.0,4.0,3.0
2018-08-14, Sales Development Representative,"San Francisco, CA",Current Employee ,Sales Development Rep,Sales Development Rep,0,Amazing culture and promising process,Start Up and general Growing Pains,Be more transparent,4.0,5.0,5.0,5.0,5.0,5.0
2018-08-07,,"San Francisco, CA",Former Employee ,Look at the reviews trend nosedive,Look at the reviews trend nosedive,0,Most of the people are nice. Massage biweekly. Lunch on Fridays. Individual contributors try to overcome the many obstacles. Lax work schedules. There is a potential to be a stellar product.,"Recent manager hires only have concern about themselves. Employees can't give 100% because management gets in the way. So why work hard? You DON'T want to work in CS- too much dishonesty, fakeness and rude treatment from the VP and her pets. Demeaning in every way.",Don't be evil. CEO needs to be reasonable and stop doing everything. He's so micromanaging that he probably writes some of these positive reviews too. :p Get your good leaders back!,2.0,5.0,2.0,2.0,4.0,1.0
2018-07-28,,,Former Employee ,Growing Pains,Growing Pains,0,"Overall, the company is profitable and the product is great for SMB. Nice office, good food, great work-life balance.","Growing pains of a new Sales team being brought on. Board probably dictated numbers that they had to back into which led to a ridiculous over hiring spree. Overall, it's a good job though from a Sales perspective and a place where you can learn and grow.",,3.0,5.0,4.0,3.0,5.0,3.0
2018-04-07,,,Former Employee ,Don’t waste your time!,Don’t waste your time!,0,"Smart coworkers, but rarely listened to. HQ located next to Mosconi. Massage Wednesday’s, soft drinks, snacks, and similar golden handcuff type perks.","It seemed like upper engineering management was fearful of losing their job therefor micromanaged (aka panic management by the staff) but didn’t know the subject matter.

Review process was prehistoric. It was said that you might get a raise every two years and it was CEO approved. Designation or spreading of power was virtually non existent, like almost everything had to go up the flag pole.","As former Apple CEO Steve Jobs famously said “it doesn't make sense to hire smart people and tell them what to do; we hire smart people so they can tell us what to do.” Especially in a growing market this mentality is more than a motivator for your employees, it's a key to success.",2.0,5.0,3.0,1.0,2.0,2.0
2018-02-05, Senior Software Engineer,"San Francisco, CA",Current Employee ,Great company with a good culture! Only takes a few bad apples to skew reviews!,Great company with a good culture! Only takes a few bad apples to skew reviews!,0,"In all transparency, I do not work on the sales team. I have been working at Insightly for a while, and I like my team and the culture in the company. I read a few of the last reviews and it made me think since we hired so quickly, some of the people that left were just not the right fit for the company. In my time here, I felt that we hired better people when HR was more involved in the process and had more say. … 



Show More","People leave, and write very negative reviews, especially if they are fired. Unfortunately, they can be misleading as you can say you are a ""current employee"" or anything you want. I don't want it to be hard to find good talent for my team because of a few bad apples. I think ""HR"" can only do so much. Seeing this in many companies prior, it is mostly the managers that need to be accountable.","If you come from a big company your values will be different. Help HR and the rest of the company show how Insightly actually shines. MOST OF ALL don't let rotten employees take away from the hard work that people do for the product that actually like their job, because I LOVE mine!",5.0,5.0,5.0,5.0,5.0,5.0
2018-01-20,,"San Francisco, CA",Former Employee ,Insightly in a Nutshell,Insightly in a Nutshell,0,"Insightly has one of the best cultures you could imagine. It seemed like the teams have morale from sales to CS to engineering. The perks side of things are great, anyperk, stocked kitchen, great PTO, etc which is something that people of course love. The product has made some major improvements over time but of course always room for more. There is some room for growth but it's only recently been a little more transparent.","The CS team has amazing feedback after talking to thousands of customers however this feedback is not really taken into consideration by the main product decision maker which happens to be the CEO. It feels like there isn't a sense for who the product is for so the company is pulling in multiple directions and not making substantial progress. Although it always seems like there is exciting features coming out, the launches are always lack luster and never as desirable. I saw some great plans by a former designer and those were easily dismissed unfortunately.","Your employees want to stick around and help make the product great but managers need to be role models/mentors, not micro managers and help the employee grow so they stay with the company.",4.0,5.0,5.0,4.0,4.0,4.0
2018-02-07, Account Executive,,Current Employee ,A Truthful and Accurate Account of Sales Team,A Truthful and Accurate Account of Sales Team,0,"WOW! There are some wildly varied reviews here. It is quite clear that some have been written by HR and others have been by scorned sales reps. I am in fine standing with the company and will give a fair assessment of my experience thus far. Pros- My colleagues are similar in that they are high quality, talented and compassionate individuals. It is a pleasure working alongside them from a personal standpoint. HR has and is doing a great job of finding that cultural match. We also have the standard SF start up perks you would expect.","The cons are pretty simple. The vast majority of the team are not even close to their quotas. This causes unrest on the sales floor, lowering the morale of the group. Mix in PIPs with no explanation to the team on how those are being decided and now we have any angry/confused team with low morale. Finally add in the fact that managers need to get to their team quotas, numbers are low, and so they are micromanaging EVERYTHING a rep does. So to recap, the sales floor currently is filled with angry/confused, micromanaged, low morale team members.","It is not too late. There are problems on every sales team. If you come up with reasonable and realistic solutions to get your teams to goal a vast majority of issues will go away. Be transparent. It doesn't help to just say ""we will get this right"", How? How are we going to right the ship? This is not the worst place in the Bay Area to work it is just currently in a very rough spot. It is fixable. Management is young in their careers and hopefully they can figure the problems out before another round of reps leave...not a ton of time left.",2.0,1.0,4.0,1.0,4.0,2.0
