date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-25, BSE,"Chicago, IL",Current Employee ,Great place to work,Great place to work,0,"Salary
People around you
Growth Opportunities",None at the present time,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-27, Fire Alarm Technician,"Whitehall, PA",Current Employee ,Great place to work,Great place to work,0,"Work life balance, Vacation, Pay, Training , Job opportunities","Culture , Medical benefits , Job security , Employee events, Safety policys",Need better employee culture,4.0,5.0,3.0,5.0,4.0,4.0
2019-04-22, Product Specialist,"New York, NY",Current Employee ,Good Rating,Good Rating,0,The upper level management talks about opportunities within the company to maintain employee retention.,Lower level management does not work with employees for opportunities to advance. Reviews and personal goal setting are just an exercise required by corporate that have no meaning or worth to most managers unless it effects there personal agenda.,Give subordinates an opportunity to be heard.,5.0,5.0,5.0,3.0,3.0,4.0
2019-04-20, HVAC Specialist IV,"Saint Louis, MO",Former Employee ,Good Place to Work,Good Place to Work,0,Good pay and good full benefits.,The safety policies are over the top.,,5.0,5.0,4.0,5.0,5.0,4.0
2019-04-18, Field Service Technician,"Dallas, TX",Current Employee ,Field service technician,Field service technician,0,"Great job, super flexible and",No cons that I can think of,,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-16, HVAC Service Technician,,Current Employee ,Best in the Industry,Best in the Industry,0,"Fast paced, top notch training, room for career growth.",None that I can think of.,,5.0,5.0,5.0,5.0,5.0,4.0
2019-04-15,,,Current Employee ,Not bad,Not bad,0,Lots of opportunities if you seek them and network,"Benefits continue to get worse, based out of Milwaukee",,4.0,4.0,4.0,5.0,3.0,4.0
2019-04-28, Service Coordinator,,Current Employee ,Great benefits,Great benefits,0,Great benefits and new training process,Clicky environment in call center,,3.0,3.0,2.0,3.0,3.0,3.0
2019-04-13, Senior Manager,,Former Employee ,One of the best in the industry to work for,One of the best in the industry to work for,0,"Great culture, innovative products and services",No downsides that I can think of,Identify and ensure talent is retained,5.0,5.0,5.0,4.0,5.0,4.0
2019-04-10,,,Former Employee ,Ok,Ok,0,"Work life balance, easy work","slow environment , low starting pay",,4.0,5.0,1.0,,,
2019-04-25, Fire Alarm Technician,"Atlanta, GA",Current Employee ,Okay... but not good or great.,Okay... but not good or great.,0,"Paycheck every week.
Decent 401k match (5%).
Nice vacation package (for now).
When you get NICET certification you get a raise.","Poor health insurance plans for a company this size.
Only deposits their matching 401k contribution once a year.
Out of touch upper management.
Low company moral.
Middle management seems to focus on annual bonuses/metrics so the local branch and hourly employees suffer.
Feels like the ""voice"" of the employee falls on deaf ears.
Seems like ever since the (TYCO/SimplexGrinnell) merger things continue to go downhill.","You seem to stress that you are interested in the opinions (annual OHI Survey) of lower level employees, yet nothing has been done or planned to ensure you take care of them. Put your actions where your mouth is.

I understand progress always means change. However, change doesn't always mean progress. Seems like the changes that have happened recently have been a setback.",2.0,3.0,2.0,4.0,1.0,2.0
2019-04-09, Project Manager,"So Plymouth, NY",Current Employee ,Company with great potential,Company with great potential,0,"promotes from within, tuition reimbursement, open door policy for employee engagement",rocky situation currently with new buy out,continue to coach with respect and loyalty and take advantage of STR (strategic talent review) meeting to promote and develop deserving associates,4.0,4.0,4.0,4.0,4.0,4.0
2019-04-09, Fire Alarm Technician,"Richmond, VA",Current Employee ,ok company,ok company,0,"salary, management is okay, and vehicle","long hours, a lot of paperwork to close a call",none,4.0,3.0,4.0,5.0,4.0,4.0
2019-04-08, Great Company,"New York, NY",Current Employee ,Will retire with this company,Will retire with this company,0,"Great Benefits, room to grow, Company Ethics are spot on.",Sharp learning curve for most positions.,Remember where the magic happens... In the Field!,5.0,4.0,5.0,5.0,4.0,5.0
2019-04-07, Principal Engineer,,Current Employee ,Comfortable job,Comfortable job,0,"Organized, job security, competitive salaries.",Hard to change things being such a big organization,,4.0,5.0,5.0,3.0,4.0,4.0
2019-04-22, Manufacturing Supervisor,"Florence, SC",Current Employee ,Good,Good,0,Good schedule for people on the floor and good pay,Tough labor to work in,None,3.0,4.0,3.0,3.0,4.0,3.0
2019-04-14, Senior Graphic Designer,"Boca Raton, FL",Current Employee ,Johnson Controls everything,Johnson Controls everything,0,"As a global company, there are many opportunities in many different offices around the world. if you are a successful executive coming from a big corporation, you will have great opportunities here.","They say they have a great employee culture, but the only priority they actually have is making their stakeholders happy while dismissing employee benefits. They also rather hire from outside instead of promoting from within.","Pay more attention to the needs of your most valuable employees. If not, your experienced and highly talented ones will leave and you will struggle to stay a contender in your industry.",2.0,3.0,2.0,2.0,2.0,2.0
2019-03-31, Welder,,Current Employee ,Friendly environment,Friendly environment,0,Competitive wage with annual increase,Can be stale at times,,4.0,3.0,4.0,5.0,4.0,3.0
2019-04-15, Business Development Manager,,Former Employee ,Room to Grow,Room to Grow,0,"Great benefits, opportunities for growth",Extensive travel is involved. Difficult to change minds and give different points of view.,,3.0,,,,,
2019-04-01, IT Service Desk Specialist,"Pennsauken, NJ",Current Employee ,Nice,Nice,0,"Very cool environment
Room to grow",Not any at the moment,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-01, National Account Manager,"Newark, NJ",Current Employee ,Sales,Sales,0,Working with large customers and having the backing of other technologies,You are just a number in a large company like JCI.,,4.0,2.0,3.0,4.0,4.0,3.0
2019-03-28, Strategic Account Manager,"Milwaukee, WI",Current Employee ,Strategic Account Manager,Strategic Account Manager,0,Strong reputation and broad capabilities,Go to market models not optimized and a bit outdated,Keep driving organizational health,4.0,3.0,3.0,3.0,3.0,3.0
2019-04-03, Account Representative,,Current Employee ,"A massive, over-bearing corporation if you're into that sort of thing","A massive, over-bearing corporation if you're into that sort of thing",0,"Pretty good benefits, and above average vacation policy. And if you have the time there are plenty of inter-company virtual training materials for you.","Large, over-bearing corporate structure making you feel like more of a number or a metric to be measured against. Also the lack of long term management and management development",,3.0,2.0,2.0,4.0,3.0,2.0
2019-03-29, Systems Designer,"Raleigh, NC",Current Employee ,"Helpful people, lots of things to learn about","Helpful people, lots of things to learn about",0,"Helpful people, you can learn lots of things.",Office should have more facilities.,,4.0,5.0,5.0,4.0,3.0,5.0
2019-03-26, Systems Applications Engineer,"New Cumberland, PA",Current Employee ,Great Place to work,Great Place to work,0,Management is very laid back and will back you up.,sometimes it takes a while to get a raise,,4.0,3.0,5.0,5.0,3.0,4.0
2019-04-06, Lead Business Process Analyst,"Glendale, WI",Former Employee ,Lack of IT Priorities,Lack of IT Priorities,0,Nice Lunch and nice campus,Corporate PMO lacks leadership and business prioritization.,,3.0,3.0,1.0,3.0,3.0,2.0
2019-04-04, Field Service Technician,"New York, NY",Current Employee ,Brick and Mortar Focused,Brick and Mortar Focused,0,"Products reliability, job security, realistic product life cycles. Standard field service benefits, tools, etc.",Industry is shrinking and the focus must remain forward looking. Brick and mortar security needs are able to be handled by cheaper equipment. Competition in retail industry is fierce. New positions come available due to attrition rather than need. No career paths available. Workload is sporadic.,"Diversify industries. Consider focusing more on security needs of industrial and commercial. Focus on new technology. Dump analog cameras, unintelligent EAS systems and focus on the future.",2.0,4.0,5.0,1.0,4.0,3.0
2019-03-20, Sales,,Current Employee ,Great company going through transformation,Great company going through transformation,0,"Strong legacy, large market share, good benefits","Culture is stale, conservative, and outdated.",Diversity and Inclusion,4.0,3.0,2.0,4.0,3.0,3.0
2019-04-04, Mechanical Engineer,"Waynesboro, PA",Current Employee ,OK,OK,0,"- immediate paid vacation, holidays, and sick time upon hire
- modern resources and up to date software/technology","- low compensation
- department vs department demeanor
- HR department hard to reach and get in contact with for important information","be more available for your staff, be helpful instead of negatively critical, provide support on handling matters",3.0,4.0,2.0,2.0,3.0,4.0
2019-03-20,,,Former Employee ,Fair Pay for Demanding Work,Fair Pay for Demanding Work,0,Excellent pay and strong union.,Long hours and high exposure to lead at battery plant.,,4.0,2.0,5.0,3.0,5.0,2.0
2019-04-02,,"Port Arthur, TX",Former Employee ,Port Arthur Facility is a Joke,Port Arthur Facility is a Joke,0,If you need a place to work and live in the middle of no-where have a big ego and do not like to work this is the place for you.,Management is spotty. Corporate Management will not clean house and remove the old guard . BIG egos with Good Ole Boy politics. This attitude contributes NOTHING to improving the plant or its processes. Lacks business systems.,Decide if you want a profitable business or a place for big egos to share stories and coffee.,2.0,3.0,1.0,1.0,3.0,1.0
2019-03-18,,,Former Employee ,Excellent Opportunities for the fresher,Excellent Opportunities for the fresher,0,As a fresher I had great opportunity learning more about the new product launches.,Too much politics at the higher level,,4.0,4.0,4.0,4.0,4.0,3.0
2019-03-29, Strategic Account Specialist,"Kansas City, MO",Current Employee ,Johnson Controls- Call Center,Johnson Controls- Call Center,0,Decent amount of vacation time.,The management here is unqualified to be in their positions. Most need to go back to school and learn how to manage people,Treat your subordinates with respect. They are real people too.,3.0,3.0,3.0,3.0,3.0,3.0
2019-04-22, Sales,,Former Employee ,NOTE THE 30 PLUS PAGES OF 1 STAR REVIEWS BEFORE SIGNING ON W/JCI,NOTE THE 30 PLUS PAGES OF 1 STAR REVIEWS BEFORE SIGNING ON W/JCI,0,May be a thing of the past as there are currently none.,"- toxic environment
- management is either ghost or micro
- don’t get too comfortable in your job — many have been phased out, moved or are being moved overseas
- horrible transition merger w/Tyco (WEEKS without everyday IT systems to do your job)
- when employees leave on their own or departments are downsized, no replacements
- HR?? Who are they and where are they located?
- if there are decent raises, they must be going to a favored few
- joke: 6 months into the fiscal year and there is still no sales budget
- health plans are awful and very expensive
- 401k match is now a punishment as you need to stay employed the entire calendar year to receive any of it",I was lucky enough to leave on my own terms. There is no joy in going to work every day where you are met by hurdle after hurdle to get your job done (and what you used to be able to do without thinking). Making excuses all day long for product unavailability and compromised quality takes a toll. Stop thinking about lining your pockets with bonuses and start listening to people who interact with customers—both of whom give the company any positivity it may still deserve.,1.0,2.0,1.0,1.0,2.0,1.0
2019-03-16, Mechanical Engineer,,Former Employee ,I worked in this company for 2 years.,I worked in this company for 2 years.,0,It is great company for sure,Some times can be boring,,4.0,3.0,4.0,4.0,,
2019-03-14, Research Director,"Plymouth, MI",Former Employee ,Challenging times,Challenging times,0,Flexibility for work-life balance.,Leadership is changing constantly making it difficult to understand priorities.,Focus on your employees,4.0,3.0,2.0,3.0,3.0,1.0
2019-02-25,,,Current Employee ,"Good benefits, poor direction management","Good benefits, poor direction management",0,"Vacation, 401 k match, culture",Executive management lacks clear direction and consistency. Recently they have been cutting back on benefits and postponing raises and promotions.,"Shareholders are not your best asset, your employees are. You should pay and reward them for their experience and work.",4.0,4.0,4.0,3.0,3.0,2.0
2019-03-15, Plant Manager,"Saint Joseph, MI",Current Employee ,"Complete plant management, cost, quality, safety and Financial results","Complete plant management, cost, quality, safety and Financial results",0,"Good Company, Good Benefits",Borucracy to solve problems and criativity by huge structure os report,,5.0,4.0,4.0,4.0,3.0,4.0
2019-03-28,,,Current Employee ,Company cares more about their customers than their employees,Company cares more about their customers than their employees,0,"-some ability to telecommute
-fast paced environment, no two days are the same
-decent 401k plan 100% up to 3% and then 50% up to 6%
-3 weeks of vacation starting and 3 elective holidays","-very little employee training, I had to figure out a lot of things on my own
-management is terrible, they can talk things through to make work more efficient
-very unprofessional atmosphere: sales people walk in or work from home whenever and cuss whenever
-operations team always gets the short end of the stick with little spending: we even had to carpool to a training in another state because management wouldn't reimburse mileage!
-long hours and little reward
-only 1 week of sick leave
-not a diverse workforce",-care more about your employees than just sales numbers,2.0,2.0,2.0,5.0,3.0,2.0
2019-04-18," Route Runner, Line Lead, Operator","Holland, MI",Former Employee ,Adient /jci,Adient /jci,0,"401k ,holiday,and vacation time,personal hours rarely weekends but occasionally weekends in lw2","Favortism, upper management is getting strict with any petty thing , were according to there hand book which was created last year. And accordingly to cooperate each plant and location has different handbooks based on what that create.",Be more forgiving for petty write ups. And listen to your operators POV. About work situations. Where most line supports or even other operators cant fill a spot because only select people are crossed trained.,1.0,4.0,1.0,3.0,4.0,1.0
2019-03-06," Inventory Control, Shipping & Receiving","Lubbock, TX",Current Employee ,Inventory control,Inventory control,0,"I get to deal with numbers and some degree of data entry and, get physical exercise.","Some long exhaustive hours, not enough coffee.",Always strive for continuous excellence.,5.0,3.0,5.0,5.0,5.0,5.0
2019-03-17, Core Commercial Sales Representative,"Omaha, NE",Current Employee ,"JCI or ""Die""?","JCI or ""Die""?",0,Ability to sell or 'cross-sell' numerous solutions under one company.,The inability to hire qualified leaders to support new staff. Terrible internal customer service support. There is very little follow through on problem solving and where to find answers.,Management must know the product and be able to train and support new hires in every aspect of their job. AND must have a billing specialist/admin in each office.,3.0,2.0,2.0,3.0,1.0,2.0
