date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-05,,,Current Employee ,Poised to lead the market again.,Poised to lead the market again.,0,"An exciting market with accelerating growth.
Strong technical heritage delivering process automation solutions.
Solid household name customer base doing interesting things with the product.
Great company culture with a mix of long-time and new employees.","In the middle of a transition to Cloud product offerings and subscription revenue model...directionally exciting, but it has its growing pains.",Many on the senior leadership team are relatively new. Keep the faith and accelerate the pace!,5.0,4.0,5.0,5.0,4.0,5.0
2019-02-01, Inside Sales Representative,"Bellevue, WA",Current Employee ,First 7 months,First 7 months,0,Culture is focused on the customer and improving operations. Management actively listens and engages on ideas/solutions.,Some information remains silo'd but it's improving.,401k match would be great.,4.0,5.0,5.0,5.0,4.0,5.0
2019-02-06,,,Former Employee ,Buyer Beware,Buyer Beware,0,"Some good people are still there, but for how much longer not sure.",Run by a venture capital firm now and you are nothing to them. HR doesn't follow through. Management isn't trannsparent and is always changing.,,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-19,,,Former Employee ,"Good people, idea of product great, execution not so much...","Good people, idea of product great, execution not so much...",0,"K2 was full of bright, friendly people to work with and an idea for a product to die for","The overall execution of the company was not good, and many of the decisions are made in the dark without the employees knowledge. Layoffs/people leaving became such an issue that we jokingly asked once “so i’ll See you tomorrow?” In that we just had no idea if that person would be around the next day or not","Get back to what made the company great - the people and the product, an awesome product sells itself and they have a more than competent workforce to do it as long as they are willing to realize that",3.0,3.0,4.0,2.0,3.0,2.0
2018-08-28,,"Bellevue, WA",Current Employee ,Great collaborative culture and energy,Great collaborative culture and energy,0,"K2 is a great place to work since they seem to be in the right place at the right time with their K2 Cloud product. They are positioned well to drive market adoption of low-code digital process automation solutions. Given their market position, you feel a good energy across the employees of the company during team meetings and department all-hands gatherings. Nice to see this energy and a fun collaborative culture.","After having joined K2 a few months ago, they do a decent job of onboarding new employees. But I feel their internal portals could be improved to help me and others with situations where we have questions that can be addressed through self-service.",Continue to foster a collaborative culture through regular team meetings and company gatherings. It's been fun to be part of the K2 experience so far!,5.0,5.0,5.0,4.0,5.0,5.0
2018-08-07,,,Former Employee ,On the verge,On the verge,0,"As always the product has potential. If it can sometime in the future live up to what it says in the PPT decks, it will be a fun ride.","very tough market spot, major turnover, questionable leadership.","Pick a strategy and goal, and mission. Manage to that mission like your life depended on it.",2.0,2.0,2.0,1.0,4.0,1.0
2018-05-25,,"Bellevue, WA",Former Employee ,Poor product not capable of handling real problems,Poor product not capable of handling real problems,0,"Was once a small, family-friendly environment. Good benefits. Decent pay.","Everyone here has said it. Visionless leadership sunk the company. I saw it coming back in 2012 when their forms product shipped without any mobile browser support.

Now I'll address the elephant in the room nobody here talks about. The software is of very poor quality. The deployment story and upgrade story is horrible. Their labs (their name for engineering) team is run by a petty guy who values people based on personal affinity, not merit. The regularly allow big defects to ship and they are in a constant cycle of scrambling to fix those issues.

Also, they sell it like it can do anything, but it really can't OOTB. Partner services companies that are good have to customize things left and right to make large solutions work. To be honest, you can build solid replacements for simple processes like Expense Reimbursments, Leave Requests, or anything that may have involved email Word documents or PDFs around. But that is about it.

I've heard a rumor the party is about to be over for real. Massive sales shortfall. Finally! I'm vindicated!","You are not up to the task. Find something else to do.

To the New CEO: It's too late, but you probably already knew that ;-). Have fun selling it.",1.0,3.0,1.0,1.0,3.0,1.0
2018-04-09,,"Bellevue, WA",Current Employee ,@ HQ,@ HQ,0,Some of the people you work with in the day to day tasks are some of the best people. Facilities is great.,"First off let me state that as soon as this message will post, you will see a post by Marketing giving it 5 stars to take away the meaning in this post.

K2 Upper Management - This is the land of misfit managers. People come to K2 so they can get a title and no nothing to provide success for K2. This company gives out Director titles like it's free bottle water. At any other company these people have nothing they bring to the table. All they can think of is bring expensive trainers to train lower staff to have them do their jobs better (Which is no the issues. its K2's lack of leadership). For once I would love to see them take a Leadership for Dummies course. Most of the company sits around and plan on how long until the next Leadership person hits the door or is fired. Trust me it's talked about a lot!!!!

The new CEO seems like a good guy and is trying to drive the boat, but the boat has a massive hole and is taking on water fast. Not sure how long until he taps out and moves on.

In all the years I have been there this is the worse it has been. No Leads, Marketing is out for their KPI's and not Sales. Product marketing, who tells company where and how to sell, and do not listen to the guys fighting the battles. Middle management are just report jockeys and just take off office space.

No career development at all. If you are not brought in as a Director, then there is no chance you will move up or side ways in the organization. The team I am on, no one has ever been promoted in the all the time I have been there. People leave but not promoted.

Would I recommend K2? If you care about the company you work at and want to make a difference then K2 is not the spot for you. Its High Tech Chop Shop. No passion, no drive, and this blotch on your resume will only make you suffer.","Not sure if it is too late for anything to be fixed. Again the CEO is trying but if he looks and see the people below him and what they do each day then he would see where the problems are. Listen to your people, they will tell you the truth, but not listening and assuming you know what is best without the feedback is just being CRAZY.",1.0,2.0,1.0,1.0,2.0,1.0
2018-02-07,,,Former Employee ,K2 - Wait a Year or so,K2 - Wait a Year or so,0,Really great Mid level and Jr level team members in all functions of company.,"Sr. leadership team was highly dysfunctional, not trustworthy, lacks the respect of most company employees, finance leadership in particular inept and operationally broken, sales leader lack experience to make real change and positive impact.","Replace finance and sales leadership w individuals that truly have the core skill sets, lack of selfish ego, collaborative work style and interpersonal skills necessary to drive company success and people will respect and trust.",2.0,3.0,2.0,2.0,3.0,1.0
2018-01-17,,,Current Employee ,K2 People,K2 People,0,"People & employees are the center of K2
Overall culture
Med-sized company that allows idea driven people",Many much needed changes have happened.,,5.0,5.0,5.0,5.0,5.0,5.0
