date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-08, Instructor,"New Brunswick, NJ",Former Employee ,Instructor,Instructor,0,Great people; flexible; merit based pay resulted in a 120% raise in one year.,Too much turnover; managers frequently come and go,,5.0,,,,,
2019-04-15, Senior Director,,Former Employee ,Great company,Great company,0,Very professional management team and training program,None. It's a good place to launch a career,Keep listening to the teams,4.0,5.0,,,,
2019-02-27, Student Brand Ambassador,"Newark, NJ",Former Employee ,Job,Job,0,"Awesome pay.
Remote/ Online
Good communication","Well, it was a really good opportunity, not much to complain about.",,4.0,4.0,4.0,4.0,4.0,4.0
2019-02-22,,"San Francisco, CA",Current Employee ,Flexible,Flexible,0,"No real hands-on interaction with superiors, so you have control over much of the work",A lack of guidance can be difficult if it's your first time teaching.,,5.0,5.0,5.0,,,
2019-02-21, Instructor,"White Plains, NY",Former Employee ,Pay was great,Pay was great,0,Enjoyed flexibility with hours and pay was good,No full time work,,4.0,4.0,5.0,4.0,4.0,4.0
2019-03-07, Analyst,"Dallas, TX",Former Employee ,Good company,Good company,0,Awesome company to work with,Compensation not good enough. not much benefits given,,3.0,3.0,3.0,3.0,1.0,3.0
2019-02-05, Marketing Manager,,Current Employee ,Fast-Paced Environment but Good Work/Life Balance,Fast-Paced Environment but Good Work/Life Balance,0,This company offers competitive salary and amazing benefits (5 weeks PTO for tenured employees) and some departments allow for work-from-home flexibility.,Internal staff is very small and the work load and turn around time on complex assignments can be unreasonable.,,4.0,4.0,3.0,2.0,5.0,2.0
2019-01-17, Admissions Counselor,"Fort Lauderdale, FL",Former Employee ,Kaplan University Admissions,Kaplan University Admissions,0,"Friendly environment
Great co-workers
Good management team",Sales goals must be met no matter how bad the leads,Continue the good work..,5.0,,,,,
2019-01-09,,"Fort Lauderdale, FL",Current Employee ,Client Success Manager,Client Success Manager,0,"can work remotely, often promote within company","If you are hired on to a specific book of business, don't expect to be treated the same as someone in your same role who has a bigger book of business. Your book is the luck of the draw but that doesn't matter.",,3.0,3.0,4.0,2.0,1.0,1.0
2018-12-24,,,Former Employee ,SLC,SLC,0,"Super nice people
Get to create and attend events","Not a lot of hours, but perfect for student",,5.0,,,,,
2018-12-19, MCAT Instructor,"New Orleans, LA",Current Employee ,Great company!,Great company!,0,"Pay, management, and training are all top notch! I've worked for other test prep companies and Kaplan is a better place to work by a long shot. Great opportunities for working remotely.","Difficult finding local work. There were opportunities that required traveling, but local classes were few and far between, sometimes getting cancelled days before the start date. Would be difficult as a full-time job or if you depend on regular pay checks.",Honestly none. All of my managers were great to work with. No doubt Kaplan has some of the most competent people around working for them.,5.0,5.0,5.0,4.0,5.0,5.0
2018-12-10,,,Current Employee ,SAT tutor,SAT tutor,0,"Very flexible hours, manager is super nice and helpful, you can make it what you want.",The training/onboarding process took a really long time.,,5.0,5.0,4.0,4.0,2.0,
2018-12-10,,,Former Employee ,Student brand ambassador,Student brand ambassador,0,"Make own hours, pay is good, management is fair, free test prep, meet new people","Not that much to do, some meetings are worthless",,4.0,5.0,3.0,3.0,4.0,4.0
2018-12-15,,,Former Employee ,They care about numbers more than people,They care about numbers more than people,0,"Kaplan Brand logo and original purpose, marketing.","Leadership completely out of touch with other levels. Motivated by margin not taking care of their people. Uncreative with how to make profit, resort to eliminating employees instead of finding the root problem with exec leadership. Lack of loyalty.",Go back to the basics and run a business well instead of bandaiding it through lay-offs continually.,1.0,,,,,
2018-10-30,,,Current Employee ,Career Specialist,Career Specialist,0,There is good work-life balance.,There are no real growth opportunities.,,4.0,3.0,4.0,3.0,3.0,3.0
2018-10-22,,"Fort Lauderdale, FL",Current Employee ,Program Manager,Program Manager,0,"I have wide spread of IT experience in playing various roles like Project Management,Account Management,Scrum Master, Service Delivery Management and Project Management Office",I need to improve public speaking capabilites,,4.0,4.0,4.0,4.0,4.0,4.0
2018-10-12,,,Current Employee ,Great Company,Great Company,0,"-Great people
-Very Supportive and can grow here","-Low pay
-Benefits are not too great",,5.0,4.0,5.0,3.0,1.0,1.0
2018-10-20, Business Developer/School Relationships Manager,,Former Employee ,School Relationships Manager,School Relationships Manager,0,"Kaplan definitely allows for a great deal of autonomy for employees who work remotely, which many of the sales/relationship management people do. Difference is seemingly affirmed at Kaplan, as well.","Very, very poor training. The training, even for entry-level employees, consists of a few online modules--that are essentially glorified powerpoint-like presentations. Then, employees are expected to understand everything. This is a falsity and a poor model. Kaplan is seemingly great for employees who to come to their respective roles with background experience relevant to their position. It is horrible if you do not!",,2.0,3.0,2.0,1.0,4.0,1.0
2018-10-16, Admissions Advisor,"Fort Lauderdale, FL",Current Employee ,The bones but no meat,The bones but no meat,0,"401k matching up to 2%, Pension, newly not-for-prfit representation of Purdue University Global, great people to work with","Inflexible with schedules unless you've earned the right with arbitrary scores. Limited job growth, very little opportunity for pay increases, no development of existing leaders to make them better.","Treat your front-line leaders like people too, smaller leader-to-team ratio will give better results, create a plan for career advancement, put effort into really building a winning culture not just putting it on the wall, putting people-first will lead to happier students, not the other way around.",3.0,3.0,3.0,2.0,3.0,3.0
2018-10-15,,,Current Employee ,Busy busy busy,Busy busy busy,0,"Good job for students, work on your own time and get what you put into it.",Work can sometimes pile up or feel like busy work.,,2.0,,,,,
