date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-23, Designer,"Southfield, MI",Current Employee ,Home,Home,0,"Understanding of personal life/workplace balance, flex time, casual dress code, healthy food, fun events, competitive compensation and benefits, team work, very approachable C-Suite, community supportive and great location.",None to share at this time,,5.0,5.0,5.0,4.0,5.0,5.0
2019-04-23, Assembly Line Worker,"Arlington, TX",Former Employee ,Assembler,Assembler,0,"Air conditioning,Diversity,Weekly pay,3 shifts,Promote within","Working 6 days a week,Senority,little chance of advancement, Management doesnt listen well,",Finish what u start,3.0,1.0,1.0,5.0,5.0,2.0
2019-04-16, Assembly Line Worker,"Columbia City, IN",Current Employee ,Inconsistent,Inconsistent,0,"Top tier manufacturer
Use to have a great management team","Low culture
Poor communication
No advancement opportunities",Talk to your workers. Follow through on your plans. Hold accountability. Allow your workers to advance and then train them to succeed.,3.0,1.0,1.0,1.0,3.0,2.0
2019-03-30,,"Southfield, MI",Current Employee ,Great company. Dominating in its industry,Great company. Dominating in its industry,0,Driven culture. Focused on winning in market and cares about balance and family,Great place but not for everyone,"Keep it up!,,",5.0,4.0,4.0,5.0,4.0,5.0
2019-03-26, Management,,Former Employee ,Is it blue collar or white?,Is it blue collar or white?,0,Great culture and people to work with. Everyone seems very open to help and now they have a Starbucks in the SF office.,"In an attempt to appeal to Millennials and others, the dress code has gone very casual. Most of the time people are in jeans or sun-dresses. This is fine if that is your flavor, but dressing in normal business casual cloths should be the norm not the exception. There is also a disconnect between the C-suite managers and the events happening on the front line. Middle management filters what the senior leaders are seeing which only adds to the confusion. In addition, swearing and rude jokes also seem to be the norm. It was the first time I have ever heard all parties in a large meeting dropping curse words like it was standard procedure.",,4.0,3.0,4.0,4.0,3.0,3.0
2019-03-20, Manager,"Southfield, MI",Current Employee ,"Invigorating, family-oriented place to work","Invigorating, family-oriented place to work",0,"Very disciplined fact-based decision making, will move quickly and productively.
Increasing focus on Diversity and Innovation
Family First is taken seriously, great assistance if there are family or health issues
Leadership team is focused on growth and profitability",Nothing of significance to report,,5.0,5.0,4.0,4.0,5.0,5.0
2019-03-20,,"Southfield, MI",Current Employee ,Lear is a great company,Lear is a great company,0,I have worked at Lear for several years and Lear is a wonderful company to work for. They truly care about their employees and give their employees great opportunities.,I don't have a con to add,,5.0,4.0,5.0,5.0,5.0,4.0
2019-03-24, Assembly Line Worker,"Hammond, IN",Current Employee ,Assembly line worker,Assembly line worker,0,Great place to work with great people,There is a Seniority systems,,4.0,3.0,,,,
2019-03-20, Program Management,,Current Employee ,"Great company, even greater people!","Great company, even greater people!",0,"For me it is all about the people you work for and work with. Lear has the greatest employee base I have worked with. Each day you get a chance to learn something new, laugh a little, have great conversation, and grow as an employee.","Fast paced, not a place to work if you expect to not be immediately involved in your job and responsibilities. (However, this is a pro for me. I enjoy the pressure and the confidence this company has in me)",The only advice I would give is to keep the lower tiered employees informed about what is going on more often.,5.0,5.0,5.0,4.0,5.0,4.0
2019-03-11, Engineer,,Current Employee ,Great place to work,Great place to work,0,It's a very fast-pace environment but extremely rewarding.,None to share at this time.,,5.0,5.0,5.0,5.0,5.0,5.0
