date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-19, Supply Chain Engineer,"Reston, VA",Current Employee ,Great Company and Flexible Working Hours,Great Company and Flexible Working Hours,0,"- I really like the flexible work schedule. There are times when you will have to work late to complete a proposal or other work, but the schedule allows you to work more one day and work less the next (makes it easy to leave work early on Fridays or for long weekends without taking PTO)
- I like the work environment. Everyone is kind and supportive
- Strong Employee Resource Groups (Women's Network, Young Professionals Group, etc.)
- Overall, great place to work!","- Not many PTO holidays given (must use PTO for Christmas Eve, NYE, etc), but fairly generous with PTO
- Late night and weekend work does happen, especially if you work on proposals
- Does not provide a large amount of tuition reimbursement (oly ~5,000/year)
- Awful paid maternity (only 2 weeks!!!!!!!!) - this is my biggest disappointment in Leidos!",,5.0,5.0,5.0,4.0,5.0,5.0
2019-04-26, QA Test Lead,,Current Employee ,Great place,Great place,0,"flexible schedule, work/life balance, nice co-workers","The retirement account match could be better, currently 5%.",improve the existing health insurance to be more competitive. And improve training internal employee opportunities,4.0,,,,,
2019-04-18, Consultant,"Aurora, IL",Former Employee ,Overall good place,Overall good place,0,"Good money, good support, great benefits","Slow to find contracts to move people onto sometimes, but also part of the nature of the business.",Be more aggressive about finding the next contract for employees before bench expires.,5.0,5.0,5.0,3.0,5.0,5.0
2019-04-12, Senior Project Manager,"Reston, VA",Former Employee ,Good company with great benefits,Good company with great benefits,0,"• Great benefits
• Excellent industry reputation
• Well published (internally) tracks for career advancement","• Too many managers are managing up instead of managing their teams
• Too much micro-management
• Too many silos
• Saw too much juvenile behavior among senior managers
• Inconsistent or selective application of corporate policies","• Be more transparent
• Shut up and listen – to employees, customers, communities",4.0,4.0,3.0,4.0,4.0,3.0
2019-04-23, Senior Principal SOA Engineer Architect,"Springfield, VA",Current Employee ,place to start,place to start,0,a lot of projects and divisions to choose from,Office politics and no clear route to advancement other then have friends in the right place,Be clear about an employees path forward in their career at Leidos. Remove favoritism from advancement and promotion process.,3.0,3.0,3.0,3.0,3.0,2.0
2019-04-18, Software Engineer,,Former Employee ,Ok at best,Ok at best,0,"Large company so there may be good teams to be found. I can only speak for my experience and other teams I interacted with.

Efforts have been made to be perceived as a ""tech company who happens to do government contracts"" though mostly insincere. It's definitely still very much a ""government contractor who happens to do software.""

Low technical bar for hiring so it could be a good stepping stone for early career folks or ""lifer"" types who just want to do the minimum and grind away until retirement.

Looks ok on the resume in the DC area.

You will relate to every Dilbert cartoon you come across.","Low technical bar, zero focus on culture -- Mostly mediocre unmotivated coworkers.

Culture of doing the bare minimum to ""meet requirements."" -- Mediocre results for clients.

Most teams are best described as boring people doing boring work in a boring place.

Strictly hierarchical decision making process where technology choices are made by non-technical upper management who don't understand the implications of their decisions.

Poor software development practices. Upper management talks about ""agile"" and ""devops"" but these are not done in practice.

Arbitrary deadlines. Management believes stressed out employees is the ultimate sign of productivity.

Management is considered a quasi-retired position which serves as a reward for loyalty/tenure. Most middle managers therefore lack management/leadership skills and simply serve as yes-men for their bosses.

""but we've always done it that way"" ""it's already been decided"" are unofficial company mottos.

Frustrating environment if you take pride in your work/craft due to above issues.

You will relate to every Dilbert cartoon you come across.

Poor tech resources. Tiny old monitors, mediocre computers, IT resources such as VPNs are slow and unreliable.",Invest in project management/leadership training for middle/upper management.,2.0,4.0,1.0,2.0,3.0,2.0
2019-04-19, Program Manager,"Austin, TX",Current Employee ,Very average work place.,Very average work place.,0,On a VA contract. Work hours are capped at 40. No weekend work or work during the holidays.,Govt site 10-15 years behind everyone else.,"Quite hiring VA retirees. They do not bring added value to the job, they just repeat the exact same thing over and over again and expect different results.",3.0,4.0,2.0,2.0,3.0,3.0
2019-04-19, Billing Analyst II,"Oak Ridge, TN",Former Employee ,"Was there for many years before the split, when it was still SAIC and an ""Employee Owned Company"".","Was there for many years before the split, when it was still SAIC and an ""Employee Owned Company"".",0,"When it was still SAIC, and still an ""employee owned company"", it was amazing. The benefits were great, the employees were more about being a ""team"". It taught me a lot, the corporate environment, professionalism, and what a work family was like.","When the company went public (before the split) the downward spiral started. Layoffs became a normal occurance. The split to two companies (SAIC and Leidos), only exasperated that. More focus on micromanagement, constant realignments. I get that organizations need this, but it became too frequent. When my department was laid off, I looked elsewhere for work. I was exhausted from the continuous change. Change is good, but not as often as it happened there.",Living in fear of a layoff can hurt the productivity of your employees. Constant changes cause stress.,3.0,2.0,3.0,1.0,4.0,1.0
2019-04-03, IT Executive Support,,Current Employee ,Decent Government Contractor,Decent Government Contractor,0,"Interesting projects to work on
Decent benefits","PTO is sick and vacation time combined
Pay is what contract says, no negotiation allowed",,4.0,5.0,4.0,3.0,3.0,4.0
2019-04-02, Flight Service Specialist,"Prescott, AZ",Current Employee ,Shrinking job,Shrinking job,0,Good pay for the area.,Short term career and constant consolidation.,,5.0,5.0,3.0,1.0,5.0,1.0
2019-03-27, Network Operations Engineer,"Tampa, FL",Current Employee ,Great company,Great company,0,"Good pay, training and benefits",I have not experienced any negative experience with this company.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-27,,"Annapolis Junction, MD",Former Employee ,Excellent company with great benefits,Excellent company with great benefits,0,"Flexible schedules, great trade off on PTO in lieu of not needing medical benefits.",Holidays and time off we’re not in line with the clients and usually that resulted in forced PTO.,Make sure to place people where they fit. There was a good chunk of time where I was underutilized and it took too long to find an office where my talent and expertise were needed and valued.,5.0,3.0,5.0,4.0,5.0,3.0
2019-03-27,,"Fairfax, VA",Former Employee ,Excellent place to work,Excellent place to work,0,"Salary, insurance, customers and colleagues",It is too long of a commute from Howard County in Maryland to Fairfax Countyin Virginia,,4.0,,,,,
2019-03-23, Lotus Notes Developer,"Mechanicsburg, PA",Current Employee ,"great company, great mission, great benefits","great company, great mission, great benefits",0,"The opportunity to work supporting causes you care about, but still get a corporate level wage and benefits. Working with awesome dedicated people around the world. Many telecommute possibilities, depending on the group you work with. Ability to assist other groups within the company and build connections.","Typical issues of a large company with smaller subsets - corporate level strategies don't always scale down to benefit smaller, globally distributed groups.",,5.0,5.0,5.0,4.0,4.0,4.0
