date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-19,,,Former Employee ,Amazing company,Amazing company,0,Great company to work for.,I was only hired for Superbowl,,5.0,,,,,
2019-04-21, Supervisor,"Charlotte, NC",Current Employee ,"Great Atmosphere, Chaotic Management","Great Atmosphere, Chaotic Management",0,Community of employees and overall experiences,Management's decisions and execution of events,,4.0,4.0,4.0,3.0,4.0,2.0
2019-04-16,,,Former Employee ,It was pleasant,It was pleasant,0,"Fun people, easy to commute to",Short hours and low pay,,4.0,,,,,
2019-04-13, Premium Supervisor,"College Station, TX",Current Employee ,Has its moments,Has its moments,0,"All about he customer, so usually have the power to to whatever it takes to make things a wonderful experience, within reason.","Setup is usually understaffed, so more work is needed from smaller setup crew.",,4.0,4.0,5.0,4.0,3.0,4.0
2019-04-12, Server/Waiter,"Miami, FL",Former Employee ,One of the best server jobs I've had,One of the best server jobs I've had,0,"The quick-paced setting makes the time fly, people were great to work with, energetic environment and good hourly/tips earnings compared to other server positions at other restaurants.",Management was a bit unorganized at times and understaffed at times.,Research events a bit more if you don't know much about it so you can plan accordingly with your staff. Communicate more with each other and more efficiently staff.,5.0,5.0,4.0,5.0,5.0,4.0
2019-04-04, Bartender,"Atlanta, GA",Current Employee ,Bartender with Levy Restaurants,Bartender with Levy Restaurants,0,Working with Levy you get to be involved in different events you’d never expect to be involved in. Like Super Bowl !,The hours are long,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-01, Steward,"College Station, TX",Current Employee ,Superior Treatment Compared to Most Food/Bev Companies,Superior Treatment Compared to Most Food/Bev Companies,0,"Transportation
Free Food
Hourly + Gratuity
Trained Management","Long Hours on feet
Hectic Events
supply varies by property/account",,4.0,,,,,
2019-04-14, Server Assistant,"Auburn Hills, MI",Former Employee ,Good,Good,0,"Reliable hours, same as game days","Poor management, not the best treatment.",,3.0,3.0,2.0,3.0,2.0,3.0
2019-03-26, Court Side Server,"Brooklyn, NY",Former Employee ,Server,Server,0,Tips / ambiance / high quality / high profile clientele,Organization . Defective devices . They just opened so there’s a few kinks to iron out,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26, Bartender,"Saint Petersburg, FL",Current Employee ,Levy at Tropicana,Levy at Tropicana,0,Perks like free family meals!,Management doesn’t really care if you make money in tips because they pay $8/hr base pay.,,4.0,3.0,3.0,3.0,3.0,3.0
2019-03-17, Concession Cashier,"Fresno, CA",Current Employee ,great job!,great job!,0,"- the environment is amazing. So many fun people.
- you get to watch baseball games , soccer games , and get to work concerts and raves!
- co workers are cool to work with.","-pay starts slowing down at the end because they don't have enough hours.
-no free lunch anymore
-seasonal work",keep it up.,5.0,3.0,5.0,4.0,3.0,3.0
2019-03-31, Accounting Manager,"Chicago, IL",Former Employee ,Accounting,Accounting,0,Free lunch and nice co-world night e,"Long hours, lack of opportunities for professional growth",Invest more time in day care,3.0,3.0,4.0,3.0,1.0,3.0
2019-03-12, Premium Services Representative,"Baltimore, MD",Current Employee ,"Great, fun, organized company","Great, fun, organized company",0,Flexible schedule for all employees,Only part time work available,Thanks,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-11,,,Former Employee ,Pantry Coordinator,Pantry Coordinator,0,"A lot of opportunity to learn and grow. This job is a blend of administrative work, food/hospitality, and supervising.",Multitasking under semi-random time pressures can induce stressful work environments for the particularly busy events such as widely anticipated concerts/sporting events. Not for someone who can’t continue to professionally manage under high stress.,Include tablet/electronics training before an event and perhaps even in a program form.,4.0,,,,,
2019-04-12, Management,"Los Angeles, CA",Current Employee ,Staples center,Staples center,0,the staff is hard working and dedicated,Senior leadership is an absolute joke. They do not put employees or managers first. They worry about the bottom line and personal gain/benefits. They're scum.,"Fire your leadership team, the culture is cancerous to your image and employees",1.0,1.0,4.0,1.0,5.0,1.0
2019-03-21, Supervisor,"Miami, FL",Current Employee ,This was a good experince to learn but it was unprofessional and the environment is to envy,This was a good experince to learn but it was unprofessional and the environment is to envy,0,Can eat anything from concession but they make you do so much you don't have time. The hours in your schedule is not really what your working you might leave an hour early or be 2 hours later and there are no excuses if you have to leave. They don't really train you and except for u to know everything,"They are very unprofessional, sometimes you have to work 18 hrs a day on big events. The people can be rude and nice but they all act like the job is a competition. if you are a student recommend this job for the experience but don't recommend this job if you want to go up its going to time.",,3.0,3.0,2.0,5.0,2.0,
2019-03-29, Server,"Columbus, OH",Current Employee ,Lie about tips,Lie about tips,0,Get to eat discarded food,"No tips, service charge is 18% and that goes to people other than the server. People assume they tip and therefore don’t leave any beyond the service charge.",,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28, Server/Waiter,"Saint Paul, MN",Current Employee ,Fun Place to work,Fun Place to work,0,I like working the different concerts and sporting events. My schedule is flexible and co-workers are nice.,The POS system we use (Bypass) is terrible.,,3.0,4.0,2.0,2.0,2.0,1.0
2019-02-25,,"Boston, MA",Former Employee ,They try...,They try...,0,"I think in general the culture at the corporate office in Chicago is great and they do attempt to create that sense throughout their locations across the company, but is challenging.","The union and employees in Boston are extremely difficult to work with and make management's lives miserable. There are long hours, little pay and the environment is hostile at times.",,3.0,2.0,2.0,2.0,2.0,2.0
2019-02-05, Server,"Oklahoma City, OK",Current Employee ,It's a great company to work for,It's a great company to work for,0,"The above average pay, great management",They dont pay credit card tips every night (which is kost of your money) they wait 2 weeks then put them on your check and tax them.,Pay servers their credit card tips every night,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-05, Portable Vendor,"Chicago, IL",Current Employee ,great place to work,great place to work,0,you meet some amazing people. The pay can also be very rewarding,the management can be spacey. Also the hours can be very long,take what the employers say seriously,5.0,5.0,5.0,4.0,4.0,3.0
2019-02-04, Lead Cook,"Los Angeles, CA",Current Employee ,Great job to learn and move up in,Great job to learn and move up in,0,"-Union protected which includes benefits and yearly raise (LA properties)
-Free meal (paid break)
-Automatic 8 hours after 6.5 hours worked","-Constant change in management which means constant issues that temporarily get fixed then undone when the new manager comes in
- Favoritism sometimes
- Some of the workers have a clique mentality",Keep good managers and listen to the GOOD workers when they cry for help!,5.0,5.0,4.0,5.0,5.0,3.0
2019-01-28, Server,"Chicago, IL",Former Employee ,Awesome Company That Treats You As Family,Awesome Company That Treats You As Family,0,"Very nice, friendly welcoming management and coworkers.
Good $$.
Fun environment.
Only working seasonally (baseball)
They take extra time and care to recognize the employee’s accomplishments and would always make our birthdays/anniversaries/even my baby shower special in some way.
I loved working for this company.","Only working seasonally.
No benefits.
Long hours in your feet.
It is a huge corporation so every little detail is picked out. Tattoos/piercings/correct shoes, etc.",You guys are great! Keep up all of your hard work. Your employees definitely notice and are appreciative.,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-12, Bartender,"Portland, OR",Current Employee ,"Mediocre work environment, obnoxiously corporate","Mediocre work environment, obnoxiously corporate",0,"Good bar manager, generally agreeable patrons.","Unreliable hours (based on events), lots of red tape blocking any sort of logistical progress, poor upper management.",Listen to your employees! We work on the front lines and have lots of good suggestions on how to make more money for everyone.,3.0,4.0,2.0,2.0,3.0,1.0
2019-01-29, Suite Attendant,"Washington, DC",Current Employee ,"Because growth and diversity is an integral part of Levy's business, I absolutely enjoy working for them.","Because growth and diversity is an integral part of Levy's business, I absolutely enjoy working for them.",0,They appreciate and don't mind rewarding you for your hard work.,"Long hours on your feet, maybe.",Look closer at current hard-working employees for promotion from with in.,5.0,4.0,5.0,5.0,5.0,5.0
2019-01-29,,"Milwaukee, WI",Current Employee ,Fast paced and fun,Fast paced and fun,0,Make great friends and meet awesome guests in the premium clubs,"Event based so
Don’t get that many hours",Keep up the great work!,4.0,3.0,5.0,4.0,5.0,5.0
2019-02-10, Commissary Runner,"Boston, MA",Current Employee ,Probably the best non-skilled labor,Probably the best non-skilled labor,0,"Job security: with the union behind you, You're pretty much protected from loosing your job unless you're just a terrible person with terrible attitude.",It's a Union job. The ones hired first gets scheduled before you. A lot of politics with managers and supervisors. People can gossip quite a lot.,Treat managers fairly and maybe you won't circle through them so much.,3.0,5.0,2.0,1.0,1.0,3.0
2019-02-12,,,Former Employee ,part time work,part time work,0,EASY JOB AND COWORKERS ARE REAALY NICE,not really a right place to know stuff,,3.0,,,,,
2019-02-02, Server/Waiter,"College Station, TX",Former Employee ,Was good at first but new management sucked,Was good at first but new management sucked,0,"Free food after clients leave
Work whenever you want","Long hours ( made me work a 12 hour shift with no lunch, then asked me to work longer after giving me lunch)
Bring in managers from around the globe to work. Never know what you are going to get. ( one lady told me i could not use my phone during my lunch break and yelled at me when i was calling my ride after my shift and said “i don’t care about your ride! You can walk home for all i care. No cell phones!”
Pay not worth the long hours and bad management","Allow legal breaks that you are entitled too
Allow actual lunch breaks. Not just sitting in the closet with a meal they found.
Better pay for that much labor.",2.0,3.0,2.0,1.0,3.0,2.0
2019-01-15, Server/Bartender and Banquets Server,"Louisville, KY",Current Employee ,I love Levy,I love Levy,0,There's nothing bad I can say about my company been there 4 years and I love it,There aren't any I love my company,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-29,,,Current Employee ,Terrible Employees,Terrible Employees,0,"great place, good hours, quality management",lots of bad employees working there,,3.0,3.0,3.0,4.0,4.0,5.0
2019-01-12,,,Former Employee ,Levy,Levy,0,"great company to work for, they do a lot for the city they are located on, managers are friendly and nice to work with.",The Bartender union got in and ruined the peace,,4.0,5.0,4.0,3.0,3.0,3.0
2019-01-14, Cashier,"Chicago, IL",Former Employee ,Take me out to the ballgame,Take me out to the ballgame,0,After 7th inning you can go watch the rest of the game if your work is completed. Worked with some amazing people.,We are nolonger allowed to have a tip box.,,4.0,2.0,3.0,2.0,2.0,3.0
2019-01-21, Premium Specialist,"San Antonio, TX",Former Employee ,Not Worth It,Not Worth It,0,working at high profile events,"disorganized
does not look out for employees
couldn't care less about you. You are just a number",Stop caring so much about your appearance and invest time and energy into your staff. But it won't happen because it starts with the top.,2.0,2.0,1.0,1.0,1.0,1.0
2019-02-08, Executive Sous Chef,"Portland, OR",Former Employee ,At your own risk,At your own risk,0,Wide range of job experience.,Awful company. Work you to death. Horrible job politics. Below average compensation. No work life balance. This company will treat you like a cogg in a machine then spit you out.,Respect how much men and women give up to work for you. Treat them like human beings. Embrace human resources. Get rid of sycophant needing regional executive chefs.,1.0,1.0,1.0,5.0,1.0,1.0
2019-01-16, Club,"Chicago, IL",Former Employee ,Too much family everywhere,Too much family everywhere,0,UNION UNION UNION PAY SCHEDULE SEASONAL union union union,"too much family,everybody in my local are family!!!","Be serious company,NO HIRING FAMILY.",2.0,3.0,3.0,1.0,4.0,4.0
2019-01-01,,,Former Employee ,Part time work,Part time work,0,You can get very basic expenses covered.,May involve physically strenuous work.,,4.0,4.0,2.0,,,
2019-01-09,,"Chicago, IL",Current Employee ,No work/life balance,No work/life balance,0,Pay is good. Thats it really.,"When you take into consideration the hours worked, the pay is not good.",Invest in better systems and better (any) system of training.,2.0,1.0,2.0,3.0,1.0,1.0
2018-12-25,,,Current Employee ,Outstanding,Outstanding,0,"Amazing company, with friendly co workers",Nothing comes to mind. Great place!,Keep up the good work,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-17, Director of Purchasing,,Former Employee ,Great Company with Lots of Growth Opportunity,Great Company with Lots of Growth Opportunity,0,"-Tremendous Growth Potential
-Existing Systems
-Transparent goals and direction","-Travel expectations can be heavy
-Salary negotiations are tough
-Budgets are tough to meet sometimes",-be more upfront about travel to other properties at hire date,4.0,3.0,4.0,5.0,4.0,4.0
2018-12-16,,,Former Employee ,Great energy,Great energy,0,"Customers were always kind with great energy. Easy work, in concession stands.","Moving through multiple stands, not having a solid stand for a while.",,4.0,,,,,
2018-12-05, Stand Lead,"Portland, OR",Current Employee ,Great place to work,Great place to work,0,"Friendly staff
 Treat staff like family
 Easy to get promoted","Pay is not the best
High turn over rate
Lack of communication",,5.0,4.0,5.0,4.0,3.0,3.0
2018-12-03,,,Current Employee ,Suites Guest Relations,Suites Guest Relations,0,Free parking and meals is a plus.,Work 24/7 is not a plus.,Work life balance is important.,4.0,3.0,2.0,5.0,5.0,2.0
2018-12-16, Cocktail Server,"Corvallis, OR",Current Employee ,Working here is working for free,Working here is working for free,0,It’s an easy environment to work in,"Hard to get paid, have to continually check my hours and tips on my checks to verify that I was paid as I should have been & resolve issues when I’m not",Managers are very interested in employee gossip and continually calling employees at home to discuss rumors that have been overheard. It’s very unprofessional,2.0,1.0,1.0,2.0,1.0,1.0
2018-11-30,,,Former Employee ,Tax Accountant,Tax Accountant,0,"....the BEST job, co workers and supervisors I've ever worked with. That company and management need to write a book on how to run and company. So many other companies would benefit.",Promote diversity at the corporate office.,Keep up the superior work.,5.0,5.0,3.0,3.0,5.0,5.0
2018-12-07,,,Current Employee ,Empty Promises,Empty Promises,0,Fun locations and ability to travel if able.,Nepotism and empty promises . Upper management promotes favorites not lost eligible,Don't make promises you can't keep.,3.0,3.0,4.0,5.0,4.0,3.0
2018-11-21, Kitchen Lead,"Memphis, TN",Former Employee ,Kitchen lead,Kitchen lead,0,Grill cook fry cook prep cook sweets and salad prep Baker keep kitchen clean at all times prepare recipes,Shortage of work no pay raise,,5.0,2.0,3.0,3.0,2.0,3.0
2018-12-26, Bartender,"Salt Lake City, UT",Current Employee ,"Margin obsessed, nano-mangers","Margin obsessed, nano-mangers",0,"Allow employees to get a gratis item on break.
Allow bartenders to accept tips.","-Margin obsessed business model: The company practices soft-core price gouging of their customers changing prices of item due to ""increased demand"" even though they have a monopoly on the product they sell within their sporting arenas.
-Not Customer Minded: they tie the hands of the customer-facing employees not allowing any room for customer service or innovation.
-Management is not interested in helping employees succeed: they tend to be condescending and automatically assume employees are doing their job incorrectly.
-This is redundant but the red tape around customer-facing employee's roles is very burdensome and is ever-mounting. You can hardly show up to work without there being a new arbitrary rule being implemented.
-Management lacks competence or knowledge of the roles they oversee.
-Turnover is VERY high due to all the aforesaid. Due to high turnover, they'll hire anyone with a heartbeat.","-Give employees room to provide customer service to the customers you've hired us to serve.
-Trust lower level employee judgement.
-Try doing business in a competitive environment where customer relations matter instead of inside of the monopolistic atmosphere of a stadium.
-Don't constantly suspect employees of being incompetent or up to no good.",1.0,3.0,1.0,1.0,2.0,1.0
2018-11-15,,,Current Employee ,Good Pay,Good Pay,0,The pay is good and union benefits,management seemed confused about how to do their job,,4.0,,,,,
2018-11-07,,,Current Employee ,Accounting Department,Accounting Department,0,"Company values your time, unlimited time off (has to be within reason)","expensive insurance premiums, for myself and kids its about $400 a paycheck",,4.0,5.0,3.0,2.0,2.0,2.0
2018-11-09,,,Former Employee ,Catering Server,Catering Server,0,"Fun work atmosphere, seasonal job",Management is to focused on being social with each other,Focus on your employees and less on socializing with each other.,4.0,4.0,5.0,4.0,3.0,4.0
2018-12-11, Stand Manager,"Chicago, IL",Former Employee ,Overstressed,Overstressed,0,The hourly pay is fine some communication is there,"You're overworked underpaid for the overtime they make you the babysitter of the thieves, falsely blamed for anything that gets mismanaged between Warehouse your stand in the office",Please oh please do a better THROUGH hiring. I believe in second chances for people are there BUT there are some that don't even qualify for this. And please make sure that we actually have some kind of open communication because there are some people in the office think there is favoritism between them and the other staffand that's why we feel like we are being intimidated and outkast for something that we qualify for that we got overlooked because of this favoritism,1.0,3.0,2.0,1.0,1.0,1.0
2018-11-05,,,Current Employee ,"Some long hours in stretches, but good overall","Some long hours in stretches, but good overall",0,"Some flexibility, opportunity to work in exciting venues, good people to work with",Needs more training - seriously lacks quality training and sometimes you feel thrown to the wolves,,4.0,2.0,4.0,5.0,3.0,5.0
2018-12-05,,,Former Employee ,Purgatory and Fake.,Purgatory and Fake.,0,"Corporate luncheon, New cubicles, gray walls and vending machines.","Micromanaging, salary discrimination, Over work staff, No bonuses, killers of morale daily and no advancement.",Management needs to change current management staff at Corporate office. They give a illustration they care about their staff. But they don't. I don't recommend this place.,1.0,2.0,2.0,2.0,2.0,1.0
2018-10-30,,,Current Employee ,Suite Attendant,Suite Attendant,0,"Good money, simple system, nice people","Management varies weekly as people fly in from other cities to fill-in so you are working with a different management every shift, training was not sufficient, learned how to be a bartender by myself",,4.0,,,,,
2018-11-05,,"Atlanta, GA",Former Employee ,Pastry Cook,Pastry Cook,0,"Good work environment, communication, team building","unpredictable work hours, unclear management",,3.0,,,,,
2018-10-24,,"Chicago, IL",Current Employee ,Bartender,Bartender,0,"Good money, good part time job","Very unorganized, no training at all",Train your people!!,3.0,4.0,3.0,3.0,4.0,2.0
2018-10-10,,"Chicago, IL",Former Employee ,interesting,interesting,0,it was fun to try some thing new,the days were very long,,4.0,3.0,3.0,4.0,4.0,3.0
2018-10-06, Food Server,"Chicago, IL",Former Employee ,Great Company that values Employees,Great Company that values Employees,0,"Great Training Programs
Great Management
Promoted from within
Truly felt as if you’re part of one big family",It’s a huge corporation so they are very detail oriented and have no room for slackers or someone not meeting standards.,I loved my time with Levy! You guys are all awesome. :),4.0,5.0,5.0,5.0,4.0,5.0
2018-10-04,,,Former Employee ,manager,manager,0,you will get experience whatever you do,be careful if work-life balance is really important to you,,2.0,2.0,,,,
2018-09-27,,,Current Employee ,Empty Promises,Empty Promises,0,"Flexible schedule
I get to do what I love","They don’t really care about their employees. It’s all about numbers to them. What awards they can get with having you on their team. They push their employees without giving anything back. They give out bonuses to some but not to all, and unfortunately the ones getting the bonuses are the ones who do the least amount of work. If you want a place to feel fairly treated, don’t come here. They’ll only be nice when they have no other choice. You’re just a number.",Learn how to treat the people below you. Don’t show up to 1 or 2 events a year and then think you can tell everyone who has been doing this way longer than you what to do. Learn the whole process and then criticize and change.,2.0,1.0,1.0,3.0,1.0,1.0
2018-09-17,,,Current Employee ,Concession Supervisor,Concession Supervisor,0,Everyone at this location is willing to help each other out and make sure the job gets done.,None that I can think of,,5.0,5.0,5.0,5.0,,
2018-09-08, Catering Sales Manager,"Salt Lake City, UT",Current Employee ,I’m excited to go into work everyday,I’m excited to go into work everyday,0,I love the people I work with,The hours can be challenging at times,Love the management team and would love to be a part of it,5.0,4.0,5.0,5.0,2.0,5.0
2018-09-18,,,Current Employee ,"It's not bad, just not enogh","It's not bad, just not enogh",0,"light work, basic tasks, easy flow on most days",no benefits. working 6 days will not get you 40 hours a week because the shifts are 5-6 hours long,,3.0,4.0,3.0,3.0,1.0,3.0
2018-08-30,,,Current Employee ,Supervisor,Supervisor,0,Good place to gain management experience.,There are no cons that I have encountered.,,5.0,,,,,
2018-08-22, Suite Runner,,Current Employee ,Suite Runner,Suite Runner,0,"Good pay, availability to see and experience events","Hours a little off, Sometimes too many days off",,5.0,5.0,,,,
2018-08-30,,"Houston, TX",Former Employee ,suite runner,suite runner,0,"get meet and connect with people, easy job, stability and low turnover rate","call times be at random
sometimes don't have necessary tools to carry out job
manger micro manage too much and relationship with co-workers are sometimes not as communicative",make sure supplies is ordered for staff there is no way thing should always be short,3.0,3.0,5.0,,,
2018-08-26, Dishwasher,"Milwaukee, WI",Current Employee ,Dishwasher,Dishwasher,0,They work with the bucks,Certain people you have to deal with but thats everywhere,No advice not sure,3.0,3.0,3.0,1.0,1.0,3.0
2018-08-17,,,Former Employee ,College /Retirement job,College /Retirement job,0,"Fun work environment, good perks",Management turnover is extremely high. I had 5 premium managers in 8 years. Pay was not all that exciting. No seniority privileges given.,"Figure out why your managers come and go frequently, raise their pay. Better training techniques/practices.",2.0,3.0,1.0,2.0,2.0,1.0
2018-08-01, Bartender,"Saint Louis, MO",Current Employee ,Not too shabby,Not too shabby,0,Best part-time gig I could ask for.,"Schedule is sporadic, usually in summer.",,4.0,4.0,4.0,2.0,4.0,4.0
2018-08-15,,,Former Employee ,Great F&B Company to work with,Great F&B Company to work with,0,Great training with the right managers,Unsteady hours but that is the nature of the business,,3.0,2.0,3.0,4.0,3.0,3.0
2018-08-12, Team Lead,"Columbus, OH",Current Employee ,Lead,Lead,0,Dedicated to customer experiences and needs making sure the customers visit is as memorable and pleasant as possible,"Its only seasonal wish it was full time, but they do have opportunities in other branches or buildings to continue work",,2.0,5.0,1.0,5.0,5.0,5.0
2018-08-11,,"Santa Ana, CA",Former Employee ,My Experience,My Experience,0,"If you love cooking and love sports, this for you",No real opportunity for African Americans to advance.,Hire better staff.,3.0,2.0,2.0,2.0,2.0,2.0
2018-07-27,,,Current Employee ,Retail Director,Retail Director,0,Great work life balance overall,More communication needed in the field,,5.0,,,,,
2018-07-23, Manager,"Oklahoma City, OK",Current Employee ,Really good second job,Really good second job,0,Flexible hours. Perfect for a second job or even a side job if your in school,Not enough hours. To many off days,Keep the good ones,5.0,5.0,1.0,5.0,1.0,1.0
2018-07-19, Service Coordinator,"Austin, TX",Current Employee ,Service Coordinator,Service Coordinator,0,"Great atmosphere, advancement opportunities,",hours vary by season and event,n/a,4.0,3.0,4.0,4.0,4.0,4.0
2018-07-18,,,Current Employee ,Good place to work,Good place to work,0,Days off get to eat while at work,No air no benefits work no real breaks,,5.0,,,,,
2018-07-15, Director of Operations,,Current Employee ,Great company!,Great company!,0,Offers great salaries and benefits!,Long hours in S&E division can be a grind.,,5.0,1.0,5.0,5.0,5.0,5.0
2018-07-28,,,Former Employee ,Accounting,Accounting,0,Good benefits and job flexibility,Limited Opportunities for professional growth,,3.0,4.0,3.0,3.0,2.0,2.0
2018-07-03, Cashier,,Former Employee ,Cashier,Cashier,0,Because I like working with money and the public,When coworkers don’t play as a team player,,5.0,5.0,5.0,5.0,5.0,5.0
2018-07-03, Cook,"Atlanta, GA",Current Employee ,Cook,Cook,0,"great pay
great environment
great co workers
pay lunch breaks",No cons to say about the job/company,,5.0,5.0,5.0,4.0,,
2018-07-02, Bartender,"Orlando, FL",Former Employee ,service bartender,service bartender,0,very easy set up and managers work well with schedule,could use a tip system,,5.0,5.0,5.0,4.0,4.0,4.0
2018-06-27, Suite Attendant,"Chicago, IL",Current Employee ,Work Culture,Work Culture,0,Great Costumer Service and delicious food,"They are very Perfectionist, which is good. But sometimes it creates pressure.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-07-23, Regional Director,"Chicago, IL",Former Employee ,Home Office: The Nicest Levy Experience is Not That Nice,Home Office: The Nicest Levy Experience is Not That Nice,0,"The ""cool job"" factor is hard to deny - sports, events, wining and dining. There's a lot of fun to be had, especially at first, and extra especially if you work in a corporate/Home Office role, where a lot of these perks are focused. Also, the hospitality industry tends to attract kind, down-to-earth, warmhearted people. I met a lot of them in my travels to the various locations in the field.","The basic corporate infrastructure (IT, finance, even HR) features a lot of legacy people and processes held over from at least a generation ago. There seems to be a widespread belief that operating a high-profile sector of a multinational corporation just like a paper-and-pencil family business is viable. The going mythology is that there's no budget to upgrade IT, finance, training, etc., but on the other hand, there does seem to be plenty of money for a lot of frivolous nice-to-haves (again, mostly for the corporate staff). The word ""nice"" is used heavily among upper management - along with ancillary concepts like ""fun"" and ""family"" - and the expectation is that everyone loudly participate in and propagate the message that it's a nice, fun family. That didn't square with my experience - this is actually the most stressed and hopeless I've ever felt in a job - and the cognitive dissonance ultimately took an unsustainable toll on me.","Define yourselves as an organization: Are you a warmhearted people-first mom and pop shop, or a chew-you-up-and-spit-you-out corporate overlord? Once you're clear on who you are, own it. Be transparent about what your actual priorities are and put your resources behind them.",1.0,1.0,1.0,3.0,3.0,1.0
2018-06-18,,,Current Employee ,Server,Server,0,Great atmosphere and people to work with. Treated as a family,Long hours and late nights,,5.0,3.0,5.0,4.0,5.0,5.0
