date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-02,,,Current Employee ,Desktop Support Technician,Desktop Support Technician,0,Great company to work for!,I do not have any issues with Liventus,Keep up the good work,5.0,,,,,
2018-04-08, Network Administrator,"Northbrook, IL",Former Employee ,intern,intern,0,Great company environment. Great support from peers. H1B sponsorship,Office location is far from Downtown Chicago.,Keep up the great work,5.0,5.0,4.0,5.0,5.0,5.0
2016-11-03, Marketing,"Northbrook, IL",Current Employee ,Good people,Good people,0,Have been working here for over 10 years. Nice and friendly co-workers with a great management team all striving for one goal. Definitely an environment for those who love challenges and the opportunity to learn.,Even if there are cons on any workplace I would rate this as a very good team to be part of.,,5.0,5.0,5.0,5.0,5.0,5.0
2016-11-06, Applications Developer,"Northbrook, IL",Current Employee ,Amazing mid-size development company!,Amazing mid-size development company!,0,"Liventus is a amazing place to work. The job is constantly challenging and the work environment is pretty friendly. If you aren't comfortable with the volatility, job security and salary a start up would provide but at the same time isn't sure if the aggressive and competitive enviroment a big company would have, Liventus has that good balance of a mid-size company with the pros of both worlds. Your input will be heard and many of the developers are always pushing to use new and exciting technologies.

They are very flexible when it comes to vacation days and sick leaves so that's a plus as well. The company culture is very friendly, I recommend checking the Facebook page to see a glimpse of the many events thrown by the company.",Workload can be a little too much sometimes but if you want to go up the career ladder that's kind of expected of you.,"Management is great, no concerns or complaints.",5.0,4.0,5.0,5.0,4.0,5.0
2016-11-02, IT,,Current Employee ,Great place to work for someone that is driven and likes Challenges,Great place to work for someone that is driven and likes Challenges,0,"Liventus is a great place to work if you are a real go-getter type of person. This is not a place for anyone that just wants do a regular 9-5 job. You will a have a job title, but the responsibilities will go above and beyond that. So people that like challenges will really enjoy working here. The company is always looking to grow and become better. Which is proven with how much the staff has grown and the addition of remote offices in the past few years.","Work load can sometimes be over bearing. No clear career paths are defined. It is more of if you are a great performer or can create your own opportunities, you will succeed. Some times work is created with unrealistic expectations. Which are some times seen as a failure instead of understanding why it is not possible.",Setting attainable goals and clear career paths would be a big benefit.,5.0,4.0,5.0,5.0,4.0,4.0
2016-10-17, Programmer,"Northbrook, IL",Current Employee ,Best Place To Work,Best Place To Work,0,"Liventus is a great company - They care about the employees, quality of work, and clients as any company should. They are more than fair to requests for leave, vacation, benefits, pay, extended learning, and more. There's a high retention rate of employees - the majority of employees have been here for 5+ years, and many since inception.

There's no shortage of work or being challenged. There's a ton of opportunity to learn new technologies and team knowledge sharing. Management are all understanding and hard working professionals who treat employees nicely.

Liventus continues to grow with both employees and clients.","Employees web traffic is monitored, but as long as they work and don't mess around it's forgettable.",Add more vacation.,5.0,5.0,5.0,5.0,5.0,5.0
2016-05-19, Applications Developer,"Northbrook, IL",Current Employee ,Application Developer,Application Developer,0,"Flexible environment, great people around, overall great experience","Training is not provided, not enough team leads to manage different products.","Overall satisfaction, very pleased with the management.",4.0,4.0,3.0,4.0,3.0,5.0
2016-02-17,,,Former Employee ,Management falls short,Management falls short,0,"Pay was okay, my direct supervisor was friendly and tried to make the best of it.","Upper management including CEO are slimy.
Company steals almost all the software it can get its hands on
Cheats employees out of overtime and benefit pay
No opportunity for advancement
Backstabbing and over the shoulder watching, including software on the computer to verify and take screenshots of everything you do, even though said software literally crippled computers and broke down almost daily.",Hire people you trust instead of crippling them with spyware. Be more honest.,1.0,2.0,1.0,1.0,3.0,1.0
2015-07-21,,"Northbrook, IL",Current Employee ,"Great Place to work for - Exciting, Challenging and full of Incredible People","Great Place to work for - Exciting, Challenging and full of Incredible People",0,"All people who work here are amazing. Everybody is helpful and take all efforts to make you feel comfortable in any way. The work here is challenging and exciting. You get lots and lots of chances to learn new things. Whenever you put a new idea your mentor always listen to it carefully and discuss the pros and cons of it with you. I have learned more than I could have ever imagined. I started here as an intern and from the first day till now I never feel anything bad about this company. There are lots of perks including the opportunity to bank overtime hours towards extra money or PTO's, Profit Sharing etc..","Liventus is a growing firm and the word ""Growing"" always comes with some problems which is expected. Time to time there are periods of workload but again your extra work is always rewarding. You're not duty bound to work that intensely its your choice.",Continue what you're doing.,5.0,3.0,5.0,5.0,4.0,4.0
2013-04-06, Lead Architect,"Northbrook, IL",Current Employee ,"Exhilarating, challenging and diverse, dynamic work place.","Exhilarating, challenging and diverse, dynamic work place.",0,"Very dynamic environment with flexible benefits and a great balance between work and fun. Once you prove to be valuable asset, the opportunities for growing both professionally and personal career are endless.",Cannot think of one. Probably smaller teams which is better for fresh opportunists.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-06, Software Developer,Bengaluru (India),Former Employee ,software developer,software developer,0,"good, one time food, work life balance, accepts ideas",documentations process work task delegation,nothing at the movement,4.0,4.0,5.0,4.0,4.0,4.0
2019-03-05, Associate Software Developer,Bengaluru (India),Former Employee ,Comfortable and Friendly Workspace,Comfortable and Friendly Workspace,0,"Work culture, Staff, Facilities, Salary, Employee Engagement","Timings are not too flexible
Probation policy is too stringent and unreasonable",,4.0,3.0,5.0,4.0,4.0,4.0
2019-02-13,,,Current Employee ,Software developer,Software developer,0,"* Good career growth
* Good hikes
* Onsite trips
* One time food at work
* Employee friendly management and HRs","* work delegation needs to be improved
* Less importance to documentation",,5.0,4.0,4.0,4.0,3.0,4.0
2019-02-05, Manager,Santiago (Chile),Former Employee ,technology,technology,0,new countries and technology services,management style and few strategic communication,,3.0,3.0,2.0,2.0,1.0,3.0
2018-02-19, Senior Software Developer,Bengaluru (India),Current Employee ,Good Company,Good Company,0,"Learn new technologies, Good Team, Good work environment","Not as of now, Just consider employee benefit policies.",,5.0,,,,,
2017-10-25, Software Developer,Bengaluru (India),Current Employee ,Whats its like to work at liventus,Whats its like to work at liventus,0,"Wonderful and talented people to work with.
Get to learn a lot.
Lots of opportunities to learn.
Many responsibilities at an initial level.
Flexibility at work.",Should be some facility for recreation.,,5.0,4.0,4.0,4.0,4.0,4.0
2017-10-25, Process Associate,Bengaluru (India),Current Employee ,Thoughtful and Progressive Run at Liventus!,Thoughtful and Progressive Run at Liventus!,0,"Worked with different set ups earlier, but what makes Liventus stand out is the zest for Employee satisfaction which is directly proportional to the performance and customer satisfaction. The work culture and transparency at various hierarchical levels ensures optimal utilization of available resources and brings out the best deliverables.",Even though they are seasoned players at few fields- streamlined process is not fully available.,Work load is not equally distributed which might get better if we are able to streamline things.,4.0,3.0,4.0,3.0,3.0,3.0
2017-10-25,,Bengaluru (India),Current Employee ,Work at Liventus,Work at Liventus,0,Culture at Liventus is awesome and company is very flexible,Collaboration with US staff could improve,,4.0,4.0,4.0,4.0,4.0,4.0
2016-11-07, Associate Software Developer,Bengaluru (India),Current Employee ,"Liventus"" is Awesome place to Learn and Grow","Liventus"" is Awesome place to Learn and Grow",0,"People- really great , hard working and Friendly.
A really fun company. Liventus offers up a lot of different and unique ways for employees to feel like a part of a team, and to have fun and really makes sure everyone is enjoying themselves. The superiors within the company are easily approachable, whether in person or via email/phone.
Best place to work, open culture, friendly people. Open platform to experiment and juggle between projects. The company really cares for its employees in every possible way, which makes it easy to extend working hours and contribute more.",Not any as such. One may find out while working.,Keep up doing this great work.,5.0,5.0,5.0,5.0,5.0,5.0
