date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-11-02,,,Current Employee ,Mission-driven Company,Mission-driven Company,0,It is so refreshing to work for a company with a mission and senior leadership who strengthens that mission. I feel supported by management and truly enjoy the work I’m doing and the work we’re doing as an organization.,"There will always be an adjustment period when you have new leadership, that's to be expected. However, it seems (based on some of the previous reviews) that new leadership was very much needed.","Continue leading the company with the mission in mind, relying on the talent of your team, and help us continue to flourish and succeed.",5.0,5.0,5.0,4.0,5.0,4.0
2019-03-16, Administrative Assistant,"Chicago, IL",Current Employee ,Pretty good company,Pretty good company,0,"It's possible that my perspective is skewed since I came to LP from a really horrible job, but I think for the most part that this is a great place to work.

The people are genuinely kind and want to see you succeed. The hours are fantastic and they are generous with PTO. There are a lot of meetings (sometimes a bit more than necessary) but they provide the space to trouble-shoot problems that arise.

I think the editorial department is really strong and people make an effort to talk to other departments and keep the lines of communication open.","I came to LP after a lot of management changes took place, so I can't speak to what it was like before, but you can definitely still feel some uncertainty around the office.

The new team of upper management is still learning how to work together and sometimes that stress can trickle down and affect employees, but it seems like they're aware of it and are trying to work through it.",Maybe have a suggestion box or a town hall so that grievances can be heard?,4.0,5.0,5.0,3.0,5.0,3.0
2017-05-19,,,Current Employee ,Breath of Fresh Air,Breath of Fresh Air,0,"New president and senior leadership has recently been put in place and it’s already making a big difference. Focused on the future, this new leadership genuinely cares for both employees and customers.",Many of the cons listed by other reviews were related to previous senior leadership.,,5.0,5.0,5.0,4.0,4.0,5.0
2016-11-30,,"Chicago, IL",Former Employee ,Run. :),Run. :),0,"I thought I'd check the reviews for my former company and it appears nothing has changed...maybe even gotten worse since I was there. For those considering positions at this company, please pay attention to the other reviews. Every single word people are saying is accurate (except for the one person that gave this company a decent rating).","Should you take a job here, do so because you need income and plan on immediately looking for something else. There's no shame in taking their money from them. Sometimes you have to do what you have to do.",Ha. Management needs a purge. That's all that needs to be said. Unfortunately I need a 20 word minimum to post so I'm still typing.,1.0,1.0,1.0,1.0,1.0,1.0
2016-10-03,,,Former Employee ,The definition of insanity is...,The definition of insanity is...,0,Sounds like the hours are still good.,"It's disappointing to read that this organization has not taken heed of valuable feedback from its employees. If the same issues persist year after year, why not take action and make it right? Have you not learned from the Church's errors?",Time for new management--what would Jesus do?,2.0,,,,,
2016-09-23,,,Former Employee ,The staff is so scared they'll be fired.,The staff is so scared they'll be fired.,0,"Hours. In the winter, around the holidays, you get about a week off, in addition to your own vacation time.","Lack of leadership (reactive instead of proactive; managers are not supportive of their staff, instead of helping, they will throw you under the bus to save themselves without any qualms, due to the palpable culture of fear).
I've worked at 2 international publishing companies, and I've never made books this way. Not collaborative in any way, staff barely spoke about the project to one another (met for 15 minutes once a week for status), and the content was determined by the manager and the managers manager, even though editors were held accountable for said content. Very backwards way of doing things and managing staff.
When you give no direction or training on how a company does things, I don't understand why you'd blame the employee for not knowing or asking.","Get additional managers in editorial - they've lost 3 very good, experienced editors in the last year, due to the manager. Since there is only one manager, editors feel there is no option but to leave.",1.0,3.0,1.0,1.0,4.0,2.0
2015-12-28,,,Former Employee ,Dismissed,Dismissed,0,Dedicated workers serving schools and parishes.,Management forgets the real meaning of who they are serving.,Open your horizons.,3.0,,,,,
2015-11-03,,"Oak Park, IL",Former Employee ,Pay Attention,Pay Attention,0,"Hard working, talented people and dedicated.",Management is too busy lining their own pockets they are forget to see the whole picture. There are many people that have been there for years that barely make enough money to survive.,Open your eyes and pay attention to the ones that are dead weight.,2.0,1.0,1.0,1.0,1.0,
2015-08-24,,,Current Employee ,Wonderful Work Culture,Wonderful Work Culture,0,"Great work/life balance. There is a focus on quality so you are provided with the resources and ample production schedule needed to accomplish your goals. Unlike the general trend in the publishing industry, most tasks are still in-house so editorial, production, marketing, sales can all easily communicate and problem solve. Opportunities for professional development. Strong, collaborative office culture; great coworkers.","While the environment is generally collaborative, once some members of upper management set a project's procedures/goals/policies they are set... until they are not. Management can at times keep making adjustments to details until the last minute and you are expected to just ""deal with it"", which can make like very stressful if you want to do quality work. However, if you see these problems coming ahead of time, they don't always want to hear it. Some there ""just know best"" even if they don't. Every place has such complaints and this isn't extreme... just annoying at times. Also, there is a yearly 3% cost of living increase, but few opportunities for real pay raises unless you get a promotion, which is rare.","Be more open to the suggestions/experience of those doing the actual work. Management has no problems making jarring decisions in the middle of productions, but are not as open to what non-management employees have to say. Some--not all--are micromanagers.",4.0,4.0,4.0,3.0,3.0,3.0
2015-09-08,,,Current Employee ,As corporate as it comes,As corporate as it comes,0,"The people you work with are nice and pleasant people, trying to do good work everyday. They make being at an oppressive work place manageable",The management and upper levels are far above the workers; we aren't treated like people but like dispensable revolving door replacements. It's not uncommon to say hello to someone in the morning and never see them again. people are secretly laid off and management says nothing. It's sneaky and creates an atmosphere of fear.,"You claim to live the mission, but clearly it's the margin...as long as it benefits the top tiers. Morale is at an all time low and you do nothing but stoke the fires. Shame on you.",1.0,3.0,1.0,1.0,2.0,1.0
