date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-15,,"New York, NY",Current Employee ,producer,producer,0,too many here as its great,zero cons in my view as a producer,keep it going,5.0,5.0,5.0,5.0,5.0,5.0
2018-07-05,,,Current Employee ,A Culture of Mediocrity,A Culture of Mediocrity,0,A great place for someone new to media and who wants to learn at an entry level,"Upper management is intimidated by anyone with actual experience outside of MNN, and will go to great lengths to protect their hierarchy. A very difficult place to get promoted, it's an unsatisfying experience if you have ambition and creativity really isn't rewarded. The people who work the hardest are wildly underpaid.",Stop looking down on your employees,2.0,4.0,3.0,2.0,2.0,2.0
2018-06-13, Educator,,Current Employee ,Good place for entry-level experience.,Good place for entry-level experience.,0,"Flexible, resourceful and well-equipped.","No room for growth, inexperienced management and poor media skills from upper management. Micromanaging",,3.0,4.0,1.0,1.0,2.0,1.0
2018-04-19,,,Former Employee ,"Run!!!!! Run, FAR AWAY IF YOU WANT A CAREER IN MEDIA!!!!","Run!!!!! Run, FAR AWAY IF YOU WANT A CAREER IN MEDIA!!!!",0,"-A good place to get your feet wet.
-Some coworkers are pretty great!","-HR policies are ridiculous and HR overall simply need to be fired.
-They do not promote professional development or promote within so be prepared to feel burnt out and over your position within the first year.
-Upper management are bullies.","Hire a new HR team. Create an atmosphere where all of your employees feel appreciated and feel like they have a chance to grow within the organization. Stop playing favoritism. Figure out if you're a media center, babysitting program or TV network.",1.0,2.0,1.0,1.0,2.0,1.0
2017-05-14,,,Current Employee ,Great place to get your feet wet,Great place to get your feet wet,0,"Great community
Freedom to develop new ideas
Access to top of the line equipment
Great workshops
many of the staff members are knowledgeable about the production world","upper management micro-manages
none of them have any experience with producing media
power hungry supervisors",,4.0,5.0,3.0,3.0,4.0,2.0
2016-10-21,,,Former Employee ,Good gig.,Good gig.,0,I like it because the pay was good. Like 25 or 20 and hour.,It would be good if the hours we consistent but it's on a as needed basis.,Keep doing what you do.,3.0,2.0,3.0,2.0,2.0,4.0
2016-03-08,,"Brooklyn, NY",Former Employee ,"Dead-end bureaucratic nightmare with awful ""clients","Dead-end bureaucratic nightmare with awful ""clients",0,"Stable, hard to get fired, good benefits","two-faced superiors, wretched abusive community users, incremental raises, usually don't promote from within.",Get over yourself.,2.0,3.0,1.0,2.0,3.0,2.0
2015-08-12, Administrative Assistant,"New York, NY",Current Employee ,El Barrio Firehouse,El Barrio Firehouse,0,"Awareness of social injustice and community involvement.
Provide basic and advanced classes in studio & field production.
Non-profit organization.",CEO needs to be more involved with daily operations.,Positive motives will result in more positive outcomes.,3.0,4.0,4.0,4.0,1.0,
2015-07-15,,,Former Employee ,Ineptitude,Ineptitude,0,Nice working space - both at 59th st and firehouse,"Terribly disorganized management

Frequent failure to get back to you

Incompetent HR",,1.0,1.0,2.0,1.0,1.0,
2015-02-26, Video Editor,"New York, NY",Former Employee ,"Very good people working, and supervising everything","Very good people working, and supervising everything",0,"You have the chance of being as creative as you want with your work, without having anyone breathing down your neck. Management does communicate well on what they expect of you",Not much opportunity for growth,,3.0,4.0,5.0,3.0,3.0,4.0
2014-02-16,,,Former Employee ,Ineffective experience at best,Ineffective experience at best,0,Learning opportunity in television program production,Poor management and poor morale,Hire management that has actual proven and effective television experience. Someone that knows how to create a creative environment.,2.0,3.0,1.0,1.0,3.0,1.0
