date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-12-17,,,Current Employee ,Behr Paint Rep,Behr Paint Rep,0,Great job and great team,Some management can be worked on,,5.0,5.0,5.0,5.0,5.0,3.0
2019-04-23, Customer Service Representative,,Former Employee ,Great company,Great company,0,Great benefits and a lot of room for self improvement.,There is no cons with this company.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-08, General Laborer,"Middlefield, OH",Current Employee ,Helpful and fast paced,Helpful and fast paced,0,"Good pay, lots of overtime",Not a lot of training time and must move quickly and adapt fast when first starting,Better training program,4.0,3.0,3.0,5.0,4.0,4.0
2019-03-21, Plan,"Smyrna, GA",Current Employee ,"Phenomenally supportive, though a touch light on adequate compensation.","Phenomenally supportive, though a touch light on adequate compensation.",0,"You couldn't ask for a better team
Great space to try ideas out
So much support from the team
Brilliant colleagues","Honestly? Traffic and compensation for equal value skills -- this specific team is bleeding talent because their corporate leaders continue to bind their hands, in terms of offering pay competitive to other opportunities in the market.","To the Corp team, unleash and empower your leaders in MRSS, MSS, and HDSS to compete with offers given to your employees.
You're losing out on fantastic talent by telling them they can't change pay.",4.0,5.0,5.0,3.0,2.0,5.0
2019-02-28, Operator,"Howell, ID",Current Employee ,Nice company,Nice company,0,"Nice management, good family style work environment","Long days, sometimes stressful, gets really busy at times",,3.0,,,,,
2019-02-14, Program Manager,"Mooresville, NC",Former Employee ,Great Company,Great Company,0,"Work Life Balance
Great environment
Upper management","Too many changes
Pay is not great",,4.0,4.0,4.0,4.0,4.0,4.0
2019-02-05, Analyst,"Ann Arbor, MI",Current Employee ,Great people,Great people,0,"Good salary and benefits, challenging work",Lack of accountability of supervisors,,4.0,,,,,
2018-12-04,,,Former Employee ,Tax Accounting Intern,Tax Accounting Intern,0,"The people are great, and the company is on the rise. Definitely have moved toward more sophisticated systems.","Repetitive work. Not much room for more opportunity, especially as an intern.",Involve lower level employees in more projects or opportunities,4.0,4.0,4.0,2.0,3.0,4.0
2018-09-03,,,Current Employee ,Labor,Labor,0,Company really cares about your health,Hours can go really long,,5.0,4.0,5.0,5.0,5.0,4.0
2018-08-19,,,Current Employee ,masiello associates,masiello associates,0,"i founded the company...so of course, i feel it is a great outfit.",company's niche in its industry does not have future.,,5.0,3.0,3.0,3.0,3.0,3.0
