date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-01, Project Manager,,Current Employee ,Inclusive & Fun Environment!,Inclusive & Fun Environment!,0,"Kind and knowledgeable co-workers, employee engagement events, free beer and snacks, fun games!",I cannot think of any cons.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-22,,"Chicago, IL",Former Employee ,"Great promise, the reality a letdown","Great promise, the reality a letdown",0,The concept of behavioral routing was very sexy and opened all sorts of doors at prospective companies. Great office location in Chicago. Lots of super smart people.,"The reality is that a very specific set of attributes is required for the solution to actually produce positive results, and most companies did not fit that profile. So we had lots of initial interest but very few conversions.",Now that Nice owns it: use the routing pitch to get in the door and then sell them your other products.,2.0,3.0,3.0,2.0,3.0,2.0
2019-02-19, Service Delivery Manager,"Chicago, IL",Former Employee ,Cool place to work after work is over,Cool place to work after work is over,0,"Intelligent peers, a lot of team building but navigating channels within company is difficult.",Lack of transparency with regards to company goals and product development,,3.0,4.0,3.0,3.0,4.0,2.0
2018-10-05,,"Austin, TX",Former Employee ,Great place to work,Great place to work,0,Opportunity to learn lots of new technologies,silos group in three locations,Goog luck,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-26,,,Current Employee ,Waiting for the Miracle,Waiting for the Miracle,0,"Smart, smart people
Beautiful office (Chicago)
Social culture
Lots of cool data","Lots of silos, many due to 3 geographically separated, functionally disparate offices
Lip service to being/trying to be a software product company while continuing to entertain high touch engagements that distract teams from organizing around products
Very few deals, low market power with customers","Now that the company has been acquired by Nice, I expect more resolute decisions to be taken. Where should investments go? If the deals don't start coming in, it won't matter too much. If they do, it could be a fun ride.",4.0,5.0,4.0,3.0,3.0,3.0
2018-09-30,,,Current Employee ,Software Engineer,Software Engineer,0,"Relaxed environment, no micro management, great coworkers","A lot of technical debt, slow adoption of new technologies, low end salary",,3.0,5.0,3.0,3.0,2.0,3.0
2018-10-19,,,Current Employee ,No Longer Good,No Longer Good,0,"Smart colleagues
Decent benefits
Flexible working hours/location","Pays well below market price - pay raises on promotions are also low
Poor office moral
Poor leadership - we never seem to hit company goals
Poor management - some teams are overstaffed while other essential teams are way understaffed
The last few months have been riddled by employee departures",,1.0,3.0,1.0,1.0,1.0,1.0
2018-09-26,,,Former Employee ,Good work... Here's a free soda!,Good work... Here's a free soda!,0,Relaxed office settings. Some departments flexibility to work remote a portion of the time.,They will do everything they can to make you feel like you are important while not really doing anything to compensate you for your achievements. Going above and beyond is rarely rewarded. If you are more interested in benefits via consumables such as occasional catered lunches and free snacks and soda instead of progressive raises and promotions based on your performance then its great. Select individuals in senior leadership are counterproductive to accomplishing anything.,,2.0,4.0,2.0,1.0,2.0,1.0
2018-08-22,,,Former Employee ,Full Time,Full Time,0,my team was great other than that nothing,"Not run well by management
No money",,2.0,2.0,1.0,1.0,1.0,1.0
2018-05-15,,,Current Employee ,"It is a good work environment with good people, upper management is out of touch","It is a good work environment with good people, upper management is out of touch",0,"People, You can really run with ideas. Snacks and beer are provided. Lunch provided twice a month. Good team bonding.",Management can seem out of touch. Salary is significantly lower than average. Company is still stuck in the dark ages with some deployment practices,,4.0,,,,,
2018-04-02, Project Manager,"Edina, MN",Former Employee ,Meh..,Meh..,0,Salary is good and competitive . *,"Company is split into three locations. Austin, Edina, Chicago. The distance seems to promote a silo environment. It makes it easy for some to be passive aggressive or rude.

I found that some in management were belittling and obnoxious. They also don't reach out to support during tough time/initiatives. Just the expectation that everything gets done with perfection.

A cardinal sin is not going to a team event. That'll cause problems FOR SURE.",Quit enabling rude behavior by praising those individuals. Consolidate your teams into one location because it's not working.,2.0,3.0,3.0,2.0,4.0,2.0
