date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-05,,,Current Employee ,Amazing Company,Amazing Company,0,"great people, great management, love what i do",you need to be reachable and there is some weekend work. diversity is non-existent. everyone here is male and either indian or white.,"we need help to do the work, not more upper management. how about spending some of that money on sales or help to get the work done.",5.0,3.0,3.0,4.0,4.0,3.0
2019-02-09, Senior Support Engineer,"Richardson, TX",Current Employee ,Startup mode work,Startup mode work,0,"Start up mode work, new technologies, lot of challenges","Lack of standard procedures and enforcement leads issues to re-occur.
Lack of defined ownerships leads to chaos sometime.",,3.0,1.0,2.0,4.0,4.0,3.0
2019-01-25, Senior Manager,"Richardson, TX",Current Employee ,Senior Manager at Mavenir,Senior Manager at Mavenir,0,"Flexible hours, work from home when needed","Little training, Long hours, little bonus/raise",Over worked and lack of communication,4.0,1.0,3.0,3.0,3.0,3.0
2018-10-07,,"Richardson, TX",Current Employee ,Manager,Manager,0,"Agile environment, learning culture, young teams","Hero culture, less of processes",Focus on improving process orientation,3.0,3.0,2.0,3.0,3.0,2.0
2018-07-28, Product Management,"Dallas, TX",Current Employee ,best people are leaving,best people are leaving,0,Mavenir makes good powerpoint slideware,"Best people are leaving. CEO is a bully and management teams are copying this behavior. Products are not existing. Indian development teams are not under control and delivering bad quality. IMS deployments are replaced by competition, Traditional MVAS business is neglected and put in maintenace mode and 5G and RCS are not delivering successes",go on retirement,1.0,1.0,1.0,1.0,3.0,1.0
2018-07-06,,"Richardson, TX",Current Employee ,Not organized company,Not organized company,0,"Flexible work time, good work life balance","Not organized company, no employee relation activities",,2.0,3.0,1.0,3.0,2.0,2.0
2018-06-21, Intern,"Richardson, TX",Current Employee ,Intern,Intern,0,Management is really nice as far as i have seen,None that I have known,,5.0,,,,,
2018-07-09,,,Current Employee ,Administrative Assistant,Administrative Assistant,0,"There are no ""Pro's"" working here","Company is fraudulent!There are no ""real"" Managers/Employees. Feels like a SCAM. Not a good or helpful company.","Hire competent people instead of being so ""Confused"" about the things that are going wrong in the company.",1.0,1.0,1.0,1.0,1.0,1.0
2018-03-06,,,Current Employee ,Changing Work Environment,Changing Work Environment,0,Involved in wide array of technologies,future uncertain for some groups,,4.0,4.0,4.0,4.0,4.0,4.0
2018-02-27,,"Richardson, TX",Former Employee ,Buy out blues,Buy out blues,0,Great people at the Richardson Tx location.,Buyer of Mavenir never seemed to be in touch with division.,,2.0,2.0,3.0,1.0,2.0,2.0
2017-12-20,,,Current Employee ,Lack of focus,Lack of focus,0,"Short term projects execution is somewhat ok. However, there are frequent changes in directions that creates organizational fatigue and employee burnout.",Long term strategy and execution lack focus and commitment. The detrimental effects of the lack of vision can significantly alter the trajectory of the company.,Be cognizant of the long term vision and commit appropriate resources,2.0,2.0,1.0,2.0,2.0,2.0
2017-10-13,,,Former Employee ,Senior Systems Engineer,Senior Systems Engineer,0,"Different product line, lots of opportunity.","Not the best paying company, I think.",Should look into the employees' compensation a little more.,3.0,,,,,
2017-10-02, Senior Director,"Boston, MA",Former Employee ,Service,Service,0,Fast paced always and challenging,None that i can think of ?,none,4.0,3.0,3.0,4.0,4.0,3.0
2017-09-27, Delivery Lead,"Seattle, WA",Current Employee ,Tech lead,Tech lead,0,opportunity to work on latest telecom technology,Random work and need to improve planning,,5.0,,,,,
2017-10-06,,,Former Employee ,No Strategy Poor Mgmt,No Strategy Poor Mgmt,0,has some skin in the game for 5G,Poor communication by executives. No clear product strategy. Keep changing their minds on products all the time. Banking too much on 5G which may not pan out since its not clear if they actually have the oomph to deliver,Value your employees. Communicate to them.,2.0,1.0,1.0,2.0,2.0,1.0
2017-09-20,,,Former Employee ,Director,Director,0,Aggressive and innovative. Focusing on network core for the next generation of the Mobile networks.,Terrible work life balance. Strategy changes often.,Focus on specific areas of strength.,2.0,1.0,2.0,2.0,2.0,3.0
2017-10-01, Manager ,"Dallas, TX",Current Employee ,Head of anything / if I say where I am from I will be fired,Head of anything / if I say where I am from I will be fired,0,Nothing but 1990s mgt. did anyone see the latest marketing or LinkedIn campaign. Amateur hour.. spelling mistakes .. totally useless. I can believe any reasonable company would spend money on these idiots.,"Useless , incompetent Management - even worst than tartavell. He was not good. I really hope we lose the contract with our Big US client. We are totally useless with only top mgt thinking they are brilliant",Give up you losers,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-20,,,Current Employee ,Support engineer,Support engineer,0,The people. It's a very pleasant and supportive work environment full of people more than happy to share their knowledge.,The hours. My position is 24/7 support over 3 shifts daily and can wear on you.,They seem detached from daily operation and have been letting people go over the last year due to mergers and the like. Including some experts of certain aspects of operation.,3.0,,,,,
2017-06-21, Team Leader,"Wakefield, MA",Current Employee ,Lack of direction,Lack of direction,0,Some of the newer products have potential. Recently acquired companies with experienced and knowledgeable employees. Employees who are laid off are given ample notice.,"Constant layoffs, no communicated direction, irrational demands from upper management, low morale. Upper management has created a toxic environment by having random layoffs and not communicating with the rank-and-file employees.","Communicate better with employees, provide direction and guidance, and help create pride in the brand. Start to undo the toxic environment you created.",2.0,2.0,2.0,1.0,2.0,1.0
2017-03-28,,,Current Employee ,Good fast paced work,Good fast paced work,0,"1) Pays well
2) Good performers are appreciated and taken care.","1) Work life balance is not great, depending on the project.
2) Still stuck in telecom vendor market","Change to newer things, explore to newer options other than telecom.",4.0,,,,,
2017-03-16, Operations,"Kansas City, KS",Current Employee ,Average,Average,0,"100% work from home
opportunities to learn and contribute","too many mergers and acquisitions
integrity issues with middle level management. actions does not reflect what is communicated",respect and value all your employees,3.0,2.0,2.0,1.0,2.0,2.0
2016-11-14,,"Richardson, TX",Former Employee ,Analyst,Analyst,0,"Start-up culture, minimal bureaucracy, lots of opportunities to work directly with upper management.","High value on engineering, less value on marketing. HR does not pay a fair wage, seeks to pay lowest on scale.",Regular town hall meetings with all employees would be helpful.,4.0,3.0,3.0,4.0,2.0,4.0
2016-04-01,,,Former Employee ,Operation Engineer,Operation Engineer,0,Chance of doing some real work.,Long hours. Hard demand. Harsh management.,,2.0,1.0,1.0,2.0,3.0,1.0
2016-03-17,,"Mesquite, TX",Former Employee ,Accounting,Accounting,0,"before it was Mitel, working there was wonderful, they provided free snacks, sodas and flexible work schedule. Now that it's Mitel, the accounting dept moved to AZ or India.",They were purchased by Mitel.,,4.0,5.0,3.0,3.0,5.0,3.0
2016-03-11,,,Former Employee ,Ok,Ok,0,Flexible schedules for some employees.,Management does not always seem to value their employees.,,2.0,2.0,3.0,2.0,3.0,2.0
2015-10-02, Software Engineer,"India, TX",Former Employee ,review,review,0,"Lots of learning opportunities, there is chance to work in different phases of software development life cycle. Salary is good","Lots of issues. Policy varies person to person, or can say no policy at all. In-efficient and in-experienced people sitting in project management.",TOP management should intervene and streamline the process,3.0,3.0,1.0,3.0,3.0,1.0
2015-10-19,,"Olympia, WA",Former Employee ,BEWARE,BEWARE,0,"Strategically positioned to be VERY competitive in their industry and be very disruptive to their major competitors (Ericsson, ALU, Nokia Siemens, etc).","Have serious issues with basic business ethics. They are grossly understaffed to deliver to their customer commitments and focus more on selling new business with little regard to delivering on business already under contract. They treat their employees as chattel. Project Managers in particular are used as ""expendable crewmen"" who are there only to take all of the incoming flack from the customer while management ducks behind them and acts surprised at the issues - even though they are repeated informed. PM's are routinely rotated in and out (as in laid off) as scape goats. Very Unprofessional organization. Expected the Mitel acquisition to help - but as of Fall 2015, it has not.",To Mitel management - you have serious issues in Richardson that need to be addressed. It is only a matter of time before the house of cards collapses.,1.0,1.0,1.0,1.0,3.0,1.0
2015-09-16,,"Dallas, TX",Former Employee ,Mitel shrinking Mavenir,Mitel shrinking Mavenir,0,"If you're on the product side (sales/service) and you keep your head down, you're probably ok.",Anyone else in business support or G&A will be redundant and jobs will move to Mitel corporate in Canada. It may take a long time for Mitel to understand the business and address customers making the road there very long and hard for those having to deal with the customers.,"Clean house at the top of sales and services, bring in real expertise with experience so you get the truth and can address it directly.",2.0,1.0,1.0,1.0,1.0,1.0
