date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-25, Human Resources Manager,"Troy, MI",Current Employee ,Fortunate to work here,Fortunate to work here,0,"The best Place to work! I really appreciate and thank you so much for all of the opportunities this company has provided to promote growth technically, professionally as well as personally. I have learned so much in these past 2 years (and still learning from this great place), and will never forget the kindness of management and all of my colleagues. Methodica is filled with lots of opportunities at every level of career. Awesome people to work with, always ready to help, encourage and support... be it technical or personal.","Nothing specific. If at all there are any, the organisation is always ready and willing to rectify any such flaws.",Keep encouraging the employees in the same way it's being done now. It will motivate them to give better results.,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-25, Business Development Manager,"Warrenville, IL",Current Employee ,Great Company and awesome place to work !!,Great Company and awesome place to work !!,0,"I have been associated with Methodica for more then 3 yrs. HR Dept is great . They responds quickly to new instructions, situations, methods, and procedures...Provides team with the resources needed to attain results. Maintains a work situation which stimulates the growth of individual employees. Overall a great place to work!!",There is nothing Neg about the Company!,Keep up the Good Work!!,5.0,5.0,5.0,5.0,5.0,5.0
2017-01-12, Senior Software Engineer,"Auburn Hills, MI",Current Employee ,Excellent company to work,Excellent company to work,0,"Very good career growth.
Excellent environment
Future Scope
Cool place to work
Excellent handling of Green card and immigration. This is beast part and they are very prompt and responsive.","Nothing much.
Medical insurance premium is little high, but the benefits are excellent and overweigh premium.","Excellent growth and very well fast growing company, keep up the good work.",5.0,5.0,4.0,4.0,4.0,4.0
2016-01-25,,,Former Employee ,Controls Engineer,Controls Engineer,0,Fast track interview and contract job placement,I did not find any cons.,None,4.0,4.0,4.0,4.0,3.0,5.0
2015-10-06, Software Engineer,"Troy, MI",Current Employee ,Good place to work for,Good place to work for,0,Working with Methodica from almost 1 year. Good Management. Decent salary,Sometimes work is too much and gets less time for yourself.,,4.0,3.0,3.0,3.0,3.0,4.0
2015-08-09, Senior Software Engineer,"Auburn Hills, MI",Current Employee ,Good Company,Good Company,0,"The management is really supportive to employee concerns and takes it to the next level to see that the concerns are addressed. You can never get this kind of support from any where else (at least on those companies I have worked with).

Lots of long term projects with the clients and internal core project.

The company has a a really strong vision in the future and a good environment for employees to grow with the company.

Company head count is small but each one over here is strong in his/her domain. Workforce is really skilled and strong.","Too early to comment on the cons. As of now nothing I can think of, and hope this would always be like that.",,4.0,4.0,4.0,4.0,3.0,4.0
2015-06-22, Embedded Software Engineer,"Detroit, MI",Current Employee ,working as embedded engineer,working as embedded engineer,0,"Methodica technologies is fast growing vibrant company which is at its best in converting Concepts to Incredible technology . A best place to get the Career , it has been an absolute pleasure to work here . my skills and communication improved .

Good at quality of service and Excellent attention employee, very aggressive to meet the dead line.

I would recommend anyone to work with this company for better work assignments .

I must say that this company has a Great future ahead with the pace of changing Technology .",i don't see any cons,Train beginners and fresh graduates .,5.0,5.0,5.0,5.0,5.0,5.0
2015-06-09, Controls Engineer,"Troy, MI",Former Employee ,Company handling,Company handling,0,"Methodica is young innovative company, every body is motivated to get things done. The strategy to have a embedded brand to convey a clear message to the customer was very smart. HR and Senior management is very professional, H1B, company business slides and all other related documentation is very good and clear. No smoke bombs they do what the say. Very motivated set of individuals.","Be the way you are, no cons from my point of you. I left due to personal medical reasons.","Get people who believe in the company philosophy and want to go the extra mile, paper pushers are not needed.",5.0,5.0,5.0,5.0,4.0,5.0
2015-06-19," Software Engineer, HIL and Test Automation Support","Troy, MI",Current Employee ,So far so good,So far so good,0,"A lot of new projects going on internally and with other big companies from different sectors.
A very flexible working scheme, depending on the project you could be working either from home or on-site as a contractor.
A lot of experience in the team from different backgrounds.","It's still a young company, so there are a few areas that are still weak.
Getting software licenses to work with and develop internal tools for our products sometimes might take longer than expected, but as the company grows this will become readily available.
The overall hiring process is really fast, but because of that it might not be as clearly explained as you would like.",,4.0,5.0,3.0,5.0,3.0,4.0
2015-06-18, Software Engineer,"Detroit, MI",Current Employee ,Program Analyst,Program Analyst,0,Open door policy. Strong support from the management for each and every employee needs. Enjoyed working on startup. Best Platform to showcase your talent and same time add new professional skill set.,Less footprint in the market but want to be the change I want to see in the future.,More employee benifits,4.0,4.0,5.0,5.0,3.0,5.0
2019-04-25, Human Resources Assistant,"Indi, Karnataka (India)",Current Employee ,Great experience for newcomers,Great experience for newcomers,0,"Work from home
Praiseworthy Immigration Procedures for employees
Creative candidate search",I have no cons for now,Great teamwork and professionalism. I would highly recommend seeking a job with this company.,5.0,5.0,4.0,5.0,4.0,5.0
2019-04-25,,,Current Employee ,Work at Methodica Technologies,Work at Methodica Technologies,0,I am working with Methodica from last 5 years. It is a good place to learn a lot about related technologies. Salary is not limited to experienced and hardworking candidates. Good and Healthy environment Can enjoy work without interruptions.,Some times feel more Workload,,4.0,5.0,3.0,5.0,4.0,4.0
