date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-12, Lead Engineer,"New York, NY",Current Employee ,Great company,Great company,0,Challenging work and predictable compensation.,I do not see any cons for this company,Keeping doing what you are doing...,5.0,5.0,5.0,4.0,5.0,4.0
2019-04-24,,,Former Employee ,Can be more exciting!,Can be more exciting!,0,Good teams and work flexibilities.,Limited opportunity for career advancements.,,3.0,,,,,
2019-03-18,,,Former Employee ,Limited Ceiling,Limited Ceiling,0,The benefits are really good.,There is limited upward potential.,,4.0,2.0,4.0,2.0,3.0,3.0
2019-04-12,,"New York, NY",Current Employee ,If you hate seeing you friends and family and enjoy working 25/8 - NASDAQ is for you!,If you hate seeing you friends and family and enjoy working 25/8 - NASDAQ is for you!,0,Nice coworkers // Company is moving to midtown,"1) If you work in the LEGAL/COMPLIANCE area - you will not see any monies because the mgmt there does not believe in hiring or paying...You will be working the jobs of 3 people because NASDAQ is painfully CHEAP in hiring enough workers.
2) Upper management are complete EMPTY suits - they have no understanding or appreciation for the level of detail and the amount or effort that is entailed in the daily duties - they only want the ""big picture"" or ""high level"" action items.","The CEO should give up half her comp for the lack of creativity she has brought to the table ... IF the only growth you can give is thru employee layoffs - then toss in the towel!
If you are not going to hire = then pay your people ...

If you are not going to pay your people - then why are you concerned about turnover ... Stop wasting employees' time with HR meetings about retention!",1.0,1.0,1.0,1.0,1.0,1.0
2019-03-04, Senior Application Support Engineer,,Former Employee ,Great place to work,Great place to work,0,Structured environment with boundless ooportunities,Lots of hours are expeted,,5.0,,,,,
2019-03-05,,,Former Employee ,Great resume builder. That’s it. sad to watch a few high performers stay stuck in their career,Great resume builder. That’s it. sad to watch a few high performers stay stuck in their career,0,Great on resume. Opportunities to work on great projects. Wonderful colleagues.,"Nasdaq won’t give you opportunities - you have to force them. I watched all of my peers exist everyday in a world of stress, unfulfilled, completely miserable in their jobs with no opportunity of upward mobility.

The culture that Nasdaq hopes to create and the culture they preach is not the culture that exists. Management does not have your back and they do NOT promote from within.",Practice what you preach.,3.0,1.0,2.0,1.0,3.0,3.0
2019-02-20, Executive Assistant,"Rockville, MD",Current Employee ,Great place to work,Great place to work,0,"Love the location, love the people, the company is very transparent with respects to relying information.","Not much of a con, but you definitely have to be a self-starter. Not much training or transition from one position to the next.",,5.0,5.0,4.0,4.0,5.0,5.0
2019-02-05,,,Current Employee ,Focused and Driven,Focused and Driven,0,"Nasdaq is focused in their Mission and Values
Driven in being the best in the marketplace
Excellent benefits and Employee Engagement","Need more structure in career developments
Perhaps implement a rotational program where employees can try different roles",,4.0,4.0,4.0,4.0,4.0,4.0
2019-02-09, Senior Analyst,"Chicago, IL",Current Employee ,Use this company to get the next job,Use this company to get the next job,0,Looks great on a resume,Promotions a few and far between due to HR rules,,3.0,3.0,3.0,4.0,2.0,1.0
2019-01-24, Client Service Analyst,"Philadelphia, PA",Current Employee ,Excellent place to work!,Excellent place to work!,0,"Great benefits! Cigna health and dental insurance, Employee Stock Purchase Plan, 6% 401k match, generous vacation and personal time, PTO for volunteer hours, tuition reimbursement",Some travel between offices required,,5.0,5.0,5.0,4.0,5.0,5.0
2019-01-12,,,Current Employee ,Intern,Intern,0,Nice people and very laid back,Not enough structure and ability for personal/professional growth,,4.0,,,,,
2019-01-05, Client Service Associate,,Former Employee ,Nasdaq is a great place to work,Nasdaq is a great place to work,0,"The people are fantastic, the culture is amazing!","None, absolutely. Not a single issue",,5.0,5.0,5.0,5.0,4.0,5.0
2018-12-13,,,Former Employee ,Better opportunities out there,Better opportunities out there,0,"Great visionary CEO, good people","Not enough headcount, ridiculous timelines on projects, laughable accounting. Forget being able to put quality work into anything, you won’t have time. Little thought put behind decisions. Managers are poorly trained and to overworked to actually run efficient teams. Compensation is not even close to worth it considering you are doing the job of 5. Office environment is overall sad and depressing.",Realize the people are what make Nasdaq great and invest in them. Consider investing more in technology to improve processes. Take a hard look at compensation considering the low headcount.,2.0,3.0,1.0,1.0,2.0,1.0
2018-12-07,,,Current Employee ,Unspecified,Unspecified,0,Great technology and CEO vision.,Intense politics. Maniacal focus on cost and margin mean strategic projects and operational readiness suffer to the point of failure.,Give up some margin to invest in plant.,3.0,2.0,3.0,3.0,5.0,4.0
2018-11-20,,,Current Employee ,Intern,Intern,0,Great work environment and people that are always willing to help.,No major cons I can think of,,5.0,,,,,
2018-11-16,,,Current Employee ,Working at Nasdaq,Working at Nasdaq,0,"Best benefits, Best work/life balance","Long commute, if you live in suburb",,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-24,,,Current Employee ,Good place to go but salary is low,Good place to go but salary is low,0,Good work balance and good team,"salary is low, management is bad",,3.0,4.0,2.0,1.0,1.0,2.0
2018-10-10, Senior Sales Executive,,Former Employee ,Sales Executive,Sales Executive,0,"Impressive brand to work for because there is a lot of recognition and respect. Fast paced environment keeps it exciting. Great benefits for working parents including paid maternity/paternity, generous time off and sick days. Pay is generally good depending on role. Business formal culture with a strong foundation in ethics. A formal suite and tie environment.","Career advancement is tough especially if you not in one of the larger offices (NYC) or are remote. Fast paced environment while exciting can also wear you down quickly. The business changes constantly with multiple re-orgs. It's a competitive environment, not very inclusive. In general, working from home is looked down upon unless you are in sales and don't live near a major office.",I'd like to see Nasdaq invest more in their employees through career advancement tracks and promoting from within. I observed many people promoted into management positions only to see them fired or demoted because they weren't given the proper resources to succeed. More work life flexibility with remote options would be great.,5.0,3.0,5.0,1.0,5.0,4.0
2018-08-16, Senior Software Engineer,"Rockville, MD",Current Employee ,Senior Software Engineer,Senior Software Engineer,0,"Great team environment, Great culture, Great career growth. Work with latest tech. Great benefits",Not much interaction with other departments or coworkers,Keep up the great work,5.0,5.0,5.0,4.0,4.0,5.0
2018-08-19,,,Former Employee ,"Great place to work, limited growth.","Great place to work, limited growth.",0,Some of the most talented and brilliant people in the industry.,Limited opportunities for upward mobility.,,5.0,1.0,3.0,1.0,3.0,5.0
2018-08-15,,,Current Employee ,Evp Global Transaction Services,Evp Global Transaction Services,0,Dynamic high tech company solving interesting problems around the world,So many opportunities - need to make sure we are focusing on the most important ones that matter to customers and shareholders -,,5.0,,,,,
2018-07-31, Summer Analyst,"New York, NY",Current Employee ,Amazing company to intern for.,Amazing company to intern for.,0,"The company really cares about what you want to do in your professional career. I'm a finance major that is not an intern in the finance department, but my manager has set up meetings for me with finance people and the amazing HR team set up a intern call with the CFO. The people are genuine in helping you advance in your career, even if its not Nasdaq. Honestly its a great place to work for and the HR team put together a great group of interns this summer and it'll be amazing to see Nasdaq grow as a company.","The limited resources that teams have, but they do try to put the best product out there given their resources.","Everyone was amazing and the HR team made sure to let interns know that full-time opportunities were there. I would say to give the HR team a bigger budget because they are the ones that will help guide and hire the next Nasdaq workforce and its something that's very important in today's market, that you have the best people working for you.",5.0,5.0,5.0,5.0,5.0,5.0
2018-07-24,,"Washington, DC",Current Employee ,Associate Director of Listings,Associate Director of Listings,0,"As the creator of the world's first electronic stock market, its technology powers more than 90 marketplaces in 50 countries, and 1 in 10 of the world's securities transactions.","Main competitor, NYSE, seems to be leading the charge in obtaining new, quality IPOs.",,4.0,5.0,4.0,2.0,4.0,4.0
2018-07-22,,,Former Employee ,Key Account Manager,Key Account Manager,0,Best benefits package I have ever had in my career. Had the pleasure of working along with some of the brightest individuals in this industry.,Many were impacted by the acquisition of West Corporation.,,4.0,4.0,4.0,,,
2018-07-20,,"San Francisco, CA",Current Employee ,Account Executive,Account Executive,0,"Good benefits, competitive compensation, international",Flat organization challenging to advance unless in NYC,,4.0,,,,,
2018-07-10, Software Engineer,"New York, NY",Current Employee ,Software Engineer,Software Engineer,0,"Employees can have a real impact on the business
Fast paced
Technology focused",The fast paced environment isn't for everyone.,,5.0,2.0,4.0,5.0,5.0,5.0
2018-06-09, Advisory,,Former Employee ,"Excessive turnover, constant meetings, poor work/life balance","Excessive turnover, constant meetings, poor work/life balance",0,"Great benefits - 6% 401k match, and they have nice elements like paid time for volunteering (2 days each year), preventative care day, Corporate Incentive Program annual bonuses, long-term stock options, etc...","Nasdaq is a meeting obsessed culture - many individuals spend their entire 9+ hours in the office bouncing from one meeting to another, only to do their real work after hours. It's not uncommon to see people online well past 10 or 11pm and back online at 6 or 7am before making it into the office.

Employees respond to emails on weekends, any hour of the night, on vacations, holidays, you name it. As a result, employees are getting burnt out but continue to force the pace because of recent lay-offs and restructurings.

Ever since the West Corporation deal announcement, things have taken a turn for the worse. Management claims that the organization is ""lean"" but the reality is, one person ends up doing the work of 3 people.","Actions speak louder than words - you need to care about your employee's mental, emotional, and physical healths. It's not sustainable for someone to work 24/7/365.",2.0,1.0,2.0,2.0,4.0,2.0
2018-06-04, Human Resources,"New York, NY",Current Employee ,Flexible and Energetic Place to Work,Flexible and Energetic Place to Work,0,"Transforming department
Benefits and Compensation are outstanding
Respected and expert Leadership team
Focus on new technology and creating new innovative programs and processes",HR transformation has created churn in the team but believe for the better,,5.0,4.0,5.0,4.0,5.0,5.0
2018-05-20,,,Current Employee ,Marketing Student Internship,Marketing Student Internship,0,Internship experience at a large and high profile company.,So much is going on that its easy to forget about your interns.,,4.0,3.0,5.0,3.0,5.0,5.0
2018-05-14, Account Manager,"Chicago, IL",Former Employee ,"Work hard, get sold","Work hard, get sold",0,"Health Benefits
401k
Stock (that gets taken away)","Sold division off without even a “thank you” or “good luck”
Was given stock options that were taken away when division was sold off.",Look for emerging talent internally. Don’t handout “rewrite tomorrow” gifts to employees that just got sold off.,2.0,1.0,,,,
2018-05-22, Manager,"Menlo Park, CA",Former Employee ,Program Manager,Program Manager,0,Benefits are okay and moderate health plan. Ability to become familiar with a lot of the startups.,"Terrible management. Management by fear. No respect for employees and always made to feel expendable. Very ""stab people in the back to get ahead culture""",Learn to listen to employees and foster an environment of trust.,1.0,1.0,1.0,1.0,3.0,1.0
2018-03-27, Executive Assistant,"New York, NY",Former Employee ,Executive Assistant,Executive Assistant,0,"Great people in company, nice salary and working environment is beautiful",long commute and long hours need more opportunities for support staff,more opportunities to work for home for all employees not just a select few,4.0,3.0,3.0,3.0,4.0,3.0
