date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-28,,,Current Employee ,awesome,awesome,0,work life balance and coworkers or coresearchers are awesome,expectations are a little too high for university,,5.0,,,,,
2019-03-08, Adjunct Professor,,Former Employee ,Very pleasent place to work,Very pleasent place to work,0,"Students are very polite and diligent, and colleagues are very friendly and willing to help.",The hardware may need some update,,4.0,4.0,4.0,3.0,3.0,3.0
2019-04-01, Admissions Evaluator,"Chicago, IL",Former Employee ,Unchallenging,Unchallenging,0,"It is conveniently located north of the city, and the employees and students were friendly.",Very little room to grow and/or be promoted. Few opportunities and resources for professional development. The job security of those who have worked there for awhile encourages employees to do as little as possible and to be ambivalent of opportunities for improvement.,"Encourage knowledge-sharing, professional development, and cross-training.",1.0,4.0,1.0,1.0,2.0,2.0
2019-02-15, Coordinator,"Chicago, IL",Current Employee ,Pay is LOW but work/personal life balance is GREAT!,Pay is LOW but work/personal life balance is GREAT!,0,Diverse and work-life balance is great,"Pay is very low, hard to live off salary",,4.0,5.0,5.0,4.0,2.0,4.0
2019-02-14,,,Current Employee ,"Good, easy work","Good, easy work",0,"Atmosphere, Fun, Free Education, Hours, Work/Life Balance","Pay
Not a lot of overtime",,5.0,5.0,5.0,3.0,3.0,4.0
2019-01-23,,,Current Employee ,"Don't join here, if you're a serious professional.","Don't join here, if you're a serious professional.",0,Location on the north side is great.,"This place has very limited opportunities for professional growth. Student Affairs especially. No spunk here. If you not in the multicultural center, you don't get resources. Overall, former governor/legislative stalemate destroyed State universities. This institution suffered heavily. The problems won't stop though. Terrible enrollment decreases and awful retention rate. Be careful about this University being merged.",I don't what to say. I shrug my shoulders and say why can't NEIU seem to get its act together?,2.0,4.0,1.0,2.0,2.0,1.0
2018-10-28,,"Chicago, IL",Former Employee ,BAA,BAA,0,"diverse, energetic campus, schedule of work time consistent","salary isn't the reason to work for a non-profit so won't be a millionaire, pension is ideal if it continues",,5.0,5.0,5.0,3.0,4.0,5.0
2018-10-25,,"Chicago, IL",Former Employee ,Peer leader,Peer leader,0,it is a good place for new graduates to gain experience. it is a diverse place which makes it unique.,"because the limited budget of the state, you can only work limited limited hours",,5.0,4.0,5.0,4.0,4.0,4.0
2018-10-22,,"Chicago, IL",Current Employee ,Professional Tutor,Professional Tutor,0,Love working at the writing center,I have none at this time,,5.0,,,,,
2018-10-04,,,Current Employee ,Clerk,Clerk,0,Good benefits for being a State job,No room for advancement; low paying than the rest of the universities in IL; moral is low; under-staffed and over-worked.,,2.0,2.0,1.0,1.0,3.0,1.0
2018-08-16, Coordinator,"Chicago, IL",Former Employee ,Coordinator of experiential programs,Coordinator of experiential programs,0,"Great working environment, good people, staff care about students",it is a state job so will have many people milking the system,Hire without nepotism,5.0,5.0,5.0,3.0,5.0,4.0
2018-08-22, Library Acquisitions,"Chicago, IL",Former Employee ,Library Acquisitions,Library Acquisitions,0,"Ez to commute, great public transportation, free parking, can go to school right there","I was fired on the last hour of my last day unexpectedly. Reason given was my typing , & the Director told me I did not fit in. He said I was a good employee, & I should resign, & find another job at NEIU. He would give me an outstanding recommendation. Never did, what a liar. Had his friend replace me. What was really disturbing & they never could explain was loaning me out to other library departments. He later lied to the University President when I protested what happened. Claimed I resigned under no pressure. There is an illegal gambling pool that I was told to join, goes by check numbers every 2 weeks & costs 10 bucks. Plus, being a new employee, was given a mop & a broom & told to clean the employee lounge. Plus, when they hit u up for charitable contributions to buy tickets, better buy one to keep your job.","They pretend everything is ok. I was hired to work, & did nothing wrong to be fired. No written evaluations.",1.0,1.0,1.0,1.0,1.0,1.0
2018-05-23, Receptionist,,Former Employee ,The best place,The best place,0,"Great place or students to work at, where they can work and attend classes at the same work.","the pay is too low, its even lower than the min. in the state.",,5.0,5.0,5.0,5.0,3.0,4.0
2018-05-04,,,Current Employee ,Assistant Director,Assistant Director,0,"Flexible, supportive, student centered environment","Minimal upward mobility, stringent hiring and promotion policy",,4.0,4.0,3.0,2.0,3.0,3.0
2018-04-11,,,Former Employee ,Great Place!,Great Place!,0,Excellent place to work a,No cons to working at neiu,,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-09,,,Current Employee ,work,work,0,environment and co workers was nice,pay kinda low but not there fault,,4.0,3.0,3.0,3.0,3.0,3.0
2018-03-28,,,Former Employee ,Building Supervisor,Building Supervisor,0,"Great Mentors, Dave, Martha, Christian and John are all incredible to work with. So many options to gain experience in a multitude of career paths. I started as a football referee then became a basketball ref and working general shifts around the building to being promoted to X Factor and then Building Supervisor all within about a year.","None that come to mind, It was the PERFECT job to have as a student.",More Teambuilding events through semester for staff,5.0,5.0,5.0,4.0,3.0,5.0
2018-03-16,,,Former Employee ,Student Intern,Student Intern,0,"Fun environment
Interesting Projects
Good Direction from higher ups","I paid to work at the university I was attending
Not very appreciative of work done",,4.0,5.0,5.0,4.0,1.0,
2018-02-27,,,Current Employee ,GA,GA,0,Tuition reimbursement for one 3 credit course and flexible schedule,Low hourly rate and no benefits (but that fits the nature of the job so I can't complain),,4.0,4.0,4.0,4.0,3.0,4.0
2018-03-01,,,Current Employee ,Starter job,Starter job,0,easy work and will give you an opportunity to work with a lot of interesting people,all the money at this university is spent on administration.... there is a huge staff turnover rate for a reason.,pay the employees a competitive wage and you may be able to hold on to the people that care about their work.,2.0,5.0,3.0,4.0,3.0,2.0
2018-01-28,,,Former Employee ,Was a good start for me,Was a good start for me,0,A great network of professionals,"Outdated work methods and tools (i.e. use of paper/carbon-copy forms instead of digital).
Lack of job security.",,5.0,,,,,
2018-01-01, Student Assistant,"Chicago, IL",Former Employee ,Nice place,Nice place,0,There is a if gym which is Open to everybody who works there. Flexible hours were the best benefit since schedule was emery Monday for the following week,There is no such things like health insurance. Employees need to hire their own insurance if they want to have one and there was no sick day,,4.0,5.0,4.0,3.0,2.0,3.0
2017-12-11, Graduate Teaching Assistant,"Chicago, IL",Current Employee ,Graduate Teaching Assistant,Graduate Teaching Assistant,0,"AACSB accredited business school, good and friendly environment, good location","wireless in the building is not working well, cell phones lose connection in some parts of the building",NA,4.0,5.0,5.0,4.0,4.0,4.0
2017-11-12,,,Current Employee ,A very diverse and welcoming community,A very diverse and welcoming community,0,"Diversity, great benefits, lots of time off, nice people","Pay isn't equitable for similar jobs, organization doesn't want to change with the times, budget impasse has hurt the institution and morale",Choose fewer initiatives and do those very well,4.0,4.0,3.0,3.0,3.0,3.0
2017-12-18,,,Former Employee ,Watch your back with this university...,Watch your back with this university...,0,Wonderful department that I worked in. Supportive and giving. Students are great.,This university will turn their back on your in a heart beat. They have no sense of loyalty whatsoever. So beware.,,1.0,5.0,2.0,2.0,1.0,
2017-09-22,,,Former Employee ,Assistant Director,Assistant Director,0,Good place to work for,I can think of anything.,,3.0,,,,,
2017-09-15,,,Current Employee ,Great atmosphere,Great atmosphere,0,You are surrounded by students and you get to be involved with the activities within the campus. It's great to be able to participate and get involved with the campus community. Days aren't ever the same working at the University,Not a lot of room for advancement and raises. You are stuck to what the state can offer.,,3.0,3.0,4.0,2.0,2.0,2.0
2017-07-06,,,Former Employee ,Forget it!,Forget it!,0,"Easy to commute, free parking","I worked in the library. Never trained me properly, lied I was doing my job properly, even loaned me out to other departments, but on the last day of my probation, unfairly fired me.",Don't loan probationary employees out to other departments,1.0,1.0,1.0,1.0,1.0,1.0
2017-04-27, Manager of Special Events & Conferences,"Chicago, IL",Current Employee ,Managerof Special Events & Conferences,Managerof Special Events & Conferences,0,"The University supports a diverse community of staff, students and faculty in a great environment. It's a great place to work.","Illinois has operated without a full budget since July 2015, leaving Northeastern and other public campuses without regular funding which effects employees.",,5.0,5.0,5.0,2.0,5.0,4.0
2017-04-20,,,Current Employee ,Lots of heart in this place,Lots of heart in this place,0,"Dedicated, passionate people. Diversity. Dedication to students.",Bureaucracy. The school is now at the mercy of idiots in Springfield.,Hang in there!,4.0,5.0,5.0,3.0,5.0,5.0
2017-04-12, Student Aide,"Chicago, IL",Former Employee ,Student Aide,Student Aide,0,"good networking, good learning experience, flexible hours for student aides, lots of networking and educational events","not a lot of hours given,",,4.0,5.0,5.0,4.0,2.0,5.0
2017-03-15, Writing Tutor,"Chicago, IL",Current Employee ,Center for Academic Writing Tutor,Center for Academic Writing Tutor,0,"Flexible hours, nice staff and convenient job if you are a full-time student.",State funded school means it's not a reliable job.,,5.0,5.0,5.0,4.0,4.0,5.0
2017-03-03, Student Manager,"Chicago, IL",Former Employee ,student manager,student manager,0,Best diversity platform to have open mind and prolific skills trained for future leadership positions,"as any state university, bureaucracy and long processing for some services .",hire more students in office,5.0,5.0,5.0,5.0,5.0,5.0
2017-03-01, Admissions Counselor,,Current Employee ,Fine Job,Fine Job,0,"nice people, great work experience",The pay is low overall and furlough problems.,,4.0,,,,,
