date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-24,,,Current Employee ,Great Company,Great Company,0,"Forward-thinking, Agile, Supportive, Astute Technologists",Highly touted benefits are just average,,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-01, Manager,"McLean, VA",Former Employee ,Lots of potential mixed with shooting itself in the foot.,Lots of potential mixed with shooting itself in the foot.,0,"Fun culture, I believe the CEO does care for the overall well-being of the employees. A lot of perks, food, fun, travel with lots of wins and potential for success.",A few bad apples spoil the bunch. Several in management with their own agendas purposely gave false/bad review of good team members ultimately affecting their bonuses and causing them to leave the company. Those members went on to be extremely successful elsewhere.,Weed out those who harm your company with politics and personal agendas that undermine Octo's success. Question why multiple employees get almost identical bad reviews from a team leader that conflict with their performance everywhere else. Hope to see you overcome those issues that caused the loss of good people and wish you success in the future.,2.0,1.0,2.0,2.0,3.0,1.0
2019-04-08,,,Current Employee ,Stepping stone,Stepping stone,0,Salary is good. Benefits are average.,"They have a culture of insiders and outsiders. If you're not an insider, they don't care about you as an employee and your only function there is to make them money. If they lose a contract they will find places for people based on personal relationships, not on skill level. It doesn't matter if you won contracts for them in the past and are highly skilled, if they want their friend on a contract, they will force you out by moving you off the contract and promising work on another project, which doesn't exist.",,1.0,1.0,1.0,1.0,3.0,1.0
2019-03-30, Senior Consultant,"Washington, DC",Former Employee ,Lots of wins,Lots of wins,0,"Decent benefits
Decent pay
Good at winning new work","Long hours, micro-management at all levels, acting too fast to win and doesn't care about burning out people, all profit driven, good old boys network at the top. There's def an in-circle and some execs will get rich when others won't get a whole lot for working so hard. The bonus plan is off balance and there's def inequalities all around.
They go after every single work but can't keep current customers happy. Kinda hard to do when customers see constant change in management and teams.
The work is interesting but it doesn't have to consume all the hours in the day, nights, weekends.
Some execs are approachable and very reasonable (like CTO and NS) but not so much with others who've been with company for over 10 years. Gossip and internal politics is constant and toxic at HQ. Ask yourself why they can't keep their people.","Don't mislead and put a ""for sale"" sign",1.0,1.0,1.0,1.0,1.0,1.0
2018-11-13,,"Reston, VA",Current Employee ,Enterprise Architect,Enterprise Architect,0,"Friendly environment, fast growing organization",may not be a good choice for a long term career move,,3.0,3.0,4.0,3.0,3.0,
2018-10-24, Senior Manager,"Reston, VA",Current Employee ,"Company is successfully growing, but internal improvements must be made","Company is successfully growing, but internal improvements must be made",0,"- Company is growing very quickly due to smart and aggressive business development strategies, and very ambitious teams doing great work on the ground.
- Entrance salary is competitive, and medical/health benefits are fine.","- Teams that are on client site 5 days/week feel isolated from the rest of the company, and there's little communication from senior/executive management to keep team members informed of business development or internal projects
- management has repeatedly promoted bonus opportunities available for exceptional work performance or business referrals and has either under-delivered on promises made or not at all.
- efforts to conduct 360 reviews or company wide surveys have produced little to no recognizable results to fix company problems.",Follow through on benefits promised to employees and start demonstrating change resulting from employee feedback.,3.0,4.0,4.0,3.0,3.0,3.0
2018-10-01, Cloud Engineer,"Arlington, VA",Current Employee ,Great company with awesome benefits,Great company with awesome benefits,0,You’re encouraged to learn. Constantly allowed to explore new things and adopt to new technologies. The company fosters a culture of learning and staying at the cutting edge of technology.,"Honestly there isn’t much. You work a lot but you get paid better than industry average.

It’s not a negative because they compensate you so well if you prove your work ethic.","Keep the culture of learning. Even though we grow and keep winning, keep our culture. Our culture is what makes Octo amazing. Our ability to keep learning is what seperates us from the rest.",5.0,5.0,5.0,5.0,5.0,5.0
2018-08-25,,,Current Employee ,Best company I've worked for,Best company I've worked for,0,"Octo values employees and rewards them. I love the tuition program!! It is superb and far above other companies and what they offer (if anything). The benefits are good and affordable for my family. There's a state of the art kitchen for employees with common/shared areas to eat, a nice office layout with lots of modern decor, really cool vending machines, free lunch provided often, and all kinds of team events sponsored by the company. My colleagues are friendly and team players. One of my coworkers had a personal issue and our manager went out of their way to help them. That meant a lot and it shows the type of people we work with because they care to make a difference and help.

The mindset is progressive at Octo and results matter. Sometimes we work longer hours. However, I don't mind because it's recognized when I do and I know anything in life that's worth having doesn't come easily. My coworkers are hard working people that will go the extra mile. Decide for yourself but most likely if you work here you'll see the same. When things are good people often don't take the time to share. That's because like me they are happy and busy working and not trolling the internet looking to complain. Some of these recent negative reviews on Glassdoor are unfounded. Are they Octo's competitors trying to steal our business? Maybe disgruntled employees terminated for bad behavior/performance? I don't know but some of the things they said are kind of laughable and it reflects more negatively on them and their lack of professionalism. Don't tarnish a good company's name! I'm proud to work at Octo. I had a few job offers when I joined Octo. I'm glad I chose to work here and I would make the same decision again. It is the best place I've worked.

Octo's leadership team is solid and I trust them. They try to help the employees. No place is perfect. However, I've seen them keep the employees' best interests at the forefront in their decision making. The Glassdoor comments posted about Bob the COO - those seem like they were made by someone with a personal agenda. I've worked with Bob for awhile and he is a good leader and person. He has a backbone. I'd rather have a leader with one than without. He has a vision and has implemented it. Mehul the CEO is awesome and down to earth. See for yourself.

It is what you make of it here. If you are a hard worker and apply yourself you will do well at Octo. There are lots of possibilities and opportunities. I wouldn't stay here if there weren't.

Just my two cents.",We are growing quickly and need more people. There is a good referral program.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-28, Senior Consultant,"Quantico, VA",Former Employee ,Great People Providing Great Opportunities and Room to Grow,Great People Providing Great Opportunities and Room to Grow,0,"- Extremely hard working and intelligent group overall
- I was allowed to do my job the way that I wanted to without a lot of micromanagement
- I felt supported by management during times of heavy stress
- I put my family before my job at all times and was never made to feel as though that was a detrimental decision
- I was compensated for the hard work that I provided
- My program and team in Quantico provided genuine support during my 3 year tenure and helped me grow on many levels
- Engaging work with the opportunity for additional advancement in other areas if you so choose",- Too many opportunities for under performing team members,- Go after more work in the Quantico area,5.0,5.0,5.0,4.0,5.0,5.0
2018-08-15, Program Manager,"Reston, VA",Current Employee ,Incredible culture lifts all boats,Incredible culture lifts all boats,0,"Silicon Valley culture in Washington, DC Region. Incredible energy with the smartest people in the room- in any room. Feels like I'm working at a start up, until you hear how wise management is about choosing opportunities so that it's low risk.","The work is hard. There are opportunities everywhere and proposals are being worked all the time, so if you want to be where the action is, you will get asked to work extra hours.",Keep hiring the most creative thinkers.,5.0,5.0,5.0,5.0,5.0,5.0
