date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-08, Compensation and Benefits,"Seattle, WA",Current Employee ,Impressive is an understatement,Impressive is an understatement,0,"- Honest and transparent
- Thorough and responsive
- Amalgamation of brilliant minds","-none so far, which is great!",,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-24, Outreacher,"Seattle, WA",Current Employee ,"Great talent, benefits and culture!","Great talent, benefits and culture!",0,"Been here for about two years now and I still enjoy what I do. I work with some of the most talented, down to earth, gritty and hungriest people. This is one of the things I really love about this company. Super flexible with working remote (could vary by team) which has helped me tremendously. Unlimited PTO (could vary by team) New office is a huge plus! Water views for days if you are on the right side of the office!
It's been such an amazing experience seeing this company scale so quickly. I feel fortunate to be a part of it all.",no 401k matching right now,Add 401k matching,4.0,4.0,4.0,4.0,4.0,4.0
2019-01-29, Software Engineer,"Seattle, WA",Current Employee ,Fast paced company with a great culture,Fast paced company with a great culture,0,"• Enthusiastic and smart coworkers who love sharing knowledge
• Opportunity to have impact across the company regardless of role
• Great benefits - PTO and work from home flexibility especially
• Focused mission from passionate C suite
• Super supportive of health and personal concerns
• Huge opportunity to learn and take on new projects","• Many folks work long hours to get their work done
• Sales is not everyone’s passion and the culture is strong here",,5.0,4.0,5.0,5.0,5.0,5.0
2018-11-27, Sales,"State College, PA",Current Employee ,Great place to work,Great place to work,0,Love what I do and love being a part of a terrific company.,I like what I do so much that I work long days. Not the greatest work-life balance.,,5.0,3.0,4.0,5.0,5.0,4.0
2018-11-12, Account Executive,"Seattle, WA",Current Employee ,Great place to work!,Great place to work!,0,"Great Team, Great Atmosphere, Competitive Compensation",I don't know that I would list any,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-05, SDR,"Tampa, FL",Former Employee ,You don't want to work here as an SDR.,You don't want to work here as an SDR.,0,"The product is great and I will continue to use it.

My manager was very caring and a straight shooter.

They send you to Seattle for training and you get to go to sales conferences if you're a good performer.

Unlimited PTO- * Advice* - hit your quota before taking time off.","Lack of promotions is a major problem. I watched the top reps in the company leave on their own because management did not promote them, after over exceeded quota for a year straight. Becoming a ' senior SDR' isn't a promotion, it's an ego boost. If you want to get promoted at Outreach, be a good rep rather than a top rep.
Outreach is not organized and everything is constantly changing. Quotas, compensation plans and more change on a monthly basis. If you are looking for consistency, stay away.

If you're an SDR find a company that has a clear path to promotions, rather than the one they have at Outreach.","Stop making top reps waste 1-3 hours of their week doing pointless training sessions. The top reps know how to cold call and shouldn't be required to waste their time doing it.
Weekly meetings are a big waste of time. Most things can be sent out in an email. Why waste time sitting in on an hour long meeting, then be required to view an hour long video and answer questions about the meeting we just had?
Don't let your top talent slip away. SDR's that were making well over 150K a year left on their own. Retain your top talent.",1.0,1.0,4.0,1.0,2.0,1.0
2018-09-13, SDR,"Seattle, WA",Current Employee ,AMAZING SO FAR,AMAZING SO FAR,0,I just started and I absolutely love Outreach. The culture is super positive and is spread throughout every leader and manager. During training they truly care about setting us up for success here. I am so happy I picked Outreach.,Nothing so far! Everything has been great.,Keep up the great work!! :),5.0,5.0,5.0,5.0,5.0,5.0
2018-08-24,,"Seattle, WA",Current Employee ,Great energy!,Great energy!,0,"Company does great job hiring bright, friendly, energetic people

Fun place to come to work everyday

Very useful product","Their seems to be a divide between sales and engineering...maybe due to layout of the office, but I feel like both sides don’t interact as much as they could",As the company grows don’t let focus on hiring talent slip away like so many other companies,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-12,,,Current Employee ,Amazing SDR Culture,Amazing SDR Culture,0,"Top performing SDRs here can earn double or better what many shops play their SDRs. Excellent tools, training and experience that will last a lifetime.",Still a young company so sorting out career advancement but it's getting better,Keep it up. So far so good.,5.0,4.0,5.0,4.0,5.0,5.0
2018-08-09,,,Former Employee ,Account executive,Account executive,0,Working with the best sales professionals in the industry. Exciting product that “wow’s” every prospect.,Company does not invest in their people. You perform in the first few months or you are out. The OTE is not real or obtainable and accepted position based on false statements and job description.,"One of the hardest interviews processes I have ever experienced. If someone gets approval from all leaders to be offered a job, they are top notch sales professionals. Invest in them and train them properly. We leave companies where we are performing to take a position to be thrown away in a few months.",2.0,1.0,1.0,4.0,1.0,3.0
