date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-20,,,Current Employee ,Great spot,Great spot,0,Enjoy the people and the problem solving.,None come to mind at the moment,,5.0,,,,,
2019-04-13,,,Current Employee ,Overly competitive with severe lack of leadership,Overly competitive with severe lack of leadership,0,"- Three meals provided each day, either catered or prepared on-site.
- Endless opportunities to travel on behalf of the business.","- No review system in place at all. This makes merit-based raises difficult to obtain for exceptional impact and allows a large number of coasters to thrive in the company. There is very little room for career growth for senior employees, and promotions are a mysteriously vague process.
- Overly competitive environment fostered by inexperienced leadership via aggressive behavior towards direct reports and members of cross-functional groups. Bullying and jockeying for power is a serious problem at Palantir.
- Below market compensation package. Palantir issues stock options that are illiquid and slowed growth over the years has limited their upside potential.
- History of cutting perks such as the housing subsidy which in many cases are pitched by recruiters as a significant component of the compensation package.",,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-17, Software Engineer II,"Palo Alto, CA",Former Employee ,"Great place to work, love the perks!","Great place to work, love the perks!",0,"I learned how to code on the internet about 2 weeks before they hired me, and was still able to have a great experience! I was surrounded by people of similar experience levels so we were all able to learn together.","The kitchen operations analysts didn't appropriately plan for my gluten sensitivity, and they offered genetically modified food! NOT acceptable.",,5.0,4.0,3.0,5.0,5.0,4.0
2018-12-21,,,Current Employee ,"Smart people, awesome mission, great workplace","Smart people, awesome mission, great workplace",0,"I love working here. You are surrounded by incredible, driven people who share your values and are working towards improving the world. I haven't been in an environment this exciting since I went to college. Benefits are amazing too.","Palantir is a truly flat structure, meaning you have to get used to finding your own path.",,5.0,4.0,5.0,5.0,5.0,4.0
2018-12-20, Product Manager,"Palo Alto, CA",Former Employee ,Meaningful impact; creative work; could do more to grow talent,Meaningful impact; creative work; could do more to grow talent,0,Smart people who care about the mission,execution-oriented to a fault; leads to management deprioritizing human capital development.,,5.0,4.0,5.0,4.0,5.0,5.0
2018-12-10,,,Former Employee ,difficult environment for women,difficult environment for women,0,many dynamic colleagues and great perks,"by default, women are not taken seriously here. it is possible to transcend this attitude by ignoring every interaction and demonstrating ""grit"", but it takes a toll.",,2.0,3.0,2.0,4.0,4.0,2.0
2018-11-05, Forward Deployed Engineer,"Washington, DC",Former Employee ,"Big mission impact, low pay","Big mission impact, low pay",0,"Great insurance benefits, free meals, a lot of collaboration overall with really smart people. Lots of travel opportunity if you want, both domestic and international. Robust software that is actually pretty amazing. Good company to pad your resume.","Although the user-facing software is great, almost every time the back end is completely held together with sticks and rope and bandaid fixes. Your quality of life can be completely different depending on which customer you are allocated to. Depending on where you get resourced, you can be solving cool problems or helping a mega-corp increase profits.

Don't join for the pay, they sell you on options as part of your total compensation, however it is illiquid and not as valuable as you think.","Your long time employees are jumping ship, start rewarding company loyalty because you need 3-5 new hires to make up for one leaver with built-up knowledge in his head.",3.0,1.0,3.0,5.0,2.0,4.0
2018-10-08, SRE,"New York, NY",Current Employee ,SRE Life at Palantir,SRE Life at Palantir,0,The team is amazingly tight knit and supportive. Extremely flexible with location choice (you can basically work all over the world if you want) and you get an incredible degree of autonomy to solve problems the way you see fit.,"If you have problems dealing with high levels of autonomy and delivering, Palantir isn't for you. It also can be very difficult dealing with working at customer locations, especially if the local organizational culture is overly process bound.",,5.0,3.0,4.0,5.0,5.0,4.0
2018-10-08,,,Former Employee ,great people,great people,0,"cool people, very comfortable workplace, everything provided for you",work was a bit mundane,,4.0,3.0,4.0,4.0,4.0,5.0
2018-09-19,,"McLean, VA",Former Employee ,Great company to work for but favoritism shown to certain people,Great company to work for but favoritism shown to certain people,0,"Insurance paid 100%, Catered breakfast, lunch and dinner. Pantry's always stocked. Free dry cleaning and haircuts - just pay taxes on it. Free masseuse and chiro on site. Dog lovers can take their pets to work.","No 401k match. Managers show favoritism and you can get fired if someone that is shown favoritism doesn't like you and requests it, they will.",Do a better job of having people lead that know what they are doing and not show favoritism.,4.0,4.0,4.0,2.0,3.0,1.0
