date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2014-08-09,,,Current Employee ,Respectable brand and history,Respectable brand and history,0,"Contribution leave, Work-Life balance, Location, Internal cafe, Corporate events, Study support, Mentoring","Management structure, Lack of opportunities,
Old clunky systems, Silo mentality",,4.0,4.0,5.0,3.0,5.0,3.0
2019-04-03, Settlement Clerk,Sydney (Australia),Former Employee ,Longest stint of any employer,Longest stint of any employer,0,Good work life balance and a good place to work with some very decent folks. Perpetual seems to attract some good quality people. Making a solid effort to keep up with the latest technologies to help people work more efficiently. Great work/building facilities.,Way too much office politics and us vs them mentality between teams. People often rewarded for poor behaviour (borderline bullying) with promotion. Management often treat teams as if they are students at school - immature mentality.,Pay closer attention to the needs of teams and give people freedom and independence to do their jobs.,4.0,5.0,3.0,4.0,3.0,4.0
2019-03-27, Data Entry,Sydney (Australia),Former Employee ,Great,Great,0,"Fantastic work environment, very supportive",older work systems need upgrading,,4.0,,,,,
2019-03-27, Analyst,,Former Employee ,Average employer,Average employer,0,Diverse work scope and boost up your CV,Should focus on strategy of business,,3.0,2.0,3.0,3.0,3.0,2.0
2019-03-03,,,Current Employee ,Internship - Accounting,Internship - Accounting,0,Good offices and team members,Terrible pay and very unstructured training,,4.0,,,,,
2019-02-12, Client Services,Sydney (Australia),Current Employee ,Great place to work,Great place to work,0,"Great people
Great work life balance","Old systems
Slow to get rid of deadwood",Make it easier to performance manage underperforming staff,4.0,4.0,4.0,3.0,4.0,4.0
2018-10-27,,,Current Employee ,Review,Review,0,Nice culture and good perks,Some old systems that need upgrading,,5.0,,,,,
2018-10-11, Information Technology,,Former Employee ,Nothing perfect,Nothing perfect,0,Great working environment. Professional training course were provided,Staff are paid below market rate,,4.0,3.0,3.0,4.0,3.0,3.0
2018-09-20,,,Former Employee ,Acountant,Acountant,0,"Fun team, friendly environment, plenty of social events",Limited staff so often long hours and lack of work life balance,,4.0,,,,,
2018-05-29,,,Current Employee ,Client Services Associate,Client Services Associate,0,"Good Culture, you can find nice people within the company, good stepping stone into the financial industry","obsolete technology, managers who don't want to develop you further in career, no career progression, petty bonus and pay rise",,3.0,5.0,4.0,2.0,4.0,2.0
2017-10-13, Field Safet Tech,"Viking, AB (Canada)",Former Employee ,Bad culture to safety,Bad culture to safety,0,Pay was good my former supervisor was excellent,Poorly run company culture was point finger blame. Also to many threats about losing your job if you did not follow managements visioj even though it was something you were not competent in doing,Listen to the workers be more open to all employees not so much focussed on one persons vision,1.0,3.0,1.0,3.0,2.0,1.0
2017-08-20,,,Current Employee ,Data entry,Data entry,0,"Good working environment, good salary",None shortcoming for the perpetual,None,5.0,5.0,5.0,5.0,5.0,5.0
