date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-09, Talent Acquisition Manager,"Radnor, PA",Current Employee ,Best Career Move I Ever Made!,Best Career Move I Ever Made!,0,The people of this organization are truly why I chose to work here and I have not been happier in my career... ever! This is truly an organization that allows everyone to impact the company... everyone has a voice... everyone has a say... everyone has a the ability to make a great income and find balance in their lives. The Teams are comprised of GREAT people doing GREAT things. I feel privileged to work with such a talented group of professionals! I always feel respected. I always feel heard. I enjoy the work I am doing and feel as though I have a purpose! The company allows for work-life balance which allows me the freedom to get the job done but still be present with my family. I hope to be part of this growing organization for a long time!,Cannot think of anything at the moment!,Keep doing what you are doing and we will continue to attract fantastic people as we grow!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-19, Talent Acquisition,"Tysons, VA",Current Employee ,Change your career at Piper!,Change your career at Piper!,0,"Work-Life Balance is great! There is a level of trust built in here that I have never felt in any other company I have worked for. If you have a legitimate reason to leave early or need to be somewhere you are more likely to get a good luck or a congrats then a where are you going from management.

Updated Technology and Facilities! Our employees are all given the latest technology to use and to help make them the best at their job that they can be. Also Piper Companies has new and modern facilities in all 4 markets that they occupy.

The people! Piper Companies and ZP Group as a whole just have knowledgeable, professional, and honest people working for them. They know how to work hard and how to reward their employees for a job well done.

Where the company is headed! Now is the perfect time to join as Piper and ZP Group are beginning to really see the fruits of their labor and solidify themselves as a market leader in IT Recruiting and Consulting Services.",Traffic from the Tysons Office can be tough. Luckily there is a free gym and a nice bar on the building's campus that you can utilize to kill time so traffic can die down.,"Keep doing what you are doing. You are attracting the right people to work here and you are doing it in the best way possible, by listening to your people and helping them achieve their career goals while helping Piper and ZP Group achieve their goals as well.",5.0,5.0,5.0,5.0,4.0,5.0
2019-02-04, Divisional Recruiter,,Current Employee ,Great Team & Leadership!`,Great Team & Leadership!`,0,"My experience with Piper thus far has been phenomenal to say the least. As one of the early members of the Baltimore office, I have had the privilege to watch us grow and expand substantially, both in revenue and headcount. Our office has done an incredible job of maintaining a great culture—a culture centered in a team mentality. Not only do we push each other each and every day, we hold each other accountable to be our best. Even more importantly, with the volatile nature of staffing, we help pick each other back up during the lows, scrape the dust off, and move on to the next position. I cannot imagine a better team to be a part of, and even during the worst of slumps, I genuinely look forward to heading to the office to work with my team.

-Compensation structure
- Team & culture
-Room for internal growth opportunities
-Access to best in market recruiting tools
-Work life balance/flexibility
-Management very receptive to feedback","While I don't have any specific cons, it is worth noting that the Baltimore office has very high expectations in regard to work ethic and mentality. This is one of the primary reasons for the Office's early success. If you are not prepared to work in a demanding environment, this is not the right position for you.",Thank you for being so receptive to feedback on a regular basis! Keep up the great work!,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-18, Divisional Recruiter,"Columbia, MD",Current Employee ,"Fantastic Culture and Upward Mobility, Compensation Packages, and Support Network","Fantastic Culture and Upward Mobility, Compensation Packages, and Support Network",0,"The culture in the Columbia, MD office is bar-none the best I've worked in throughout my career. You have the ability to set your own goals and are surrounded by a team which provides you with the support to actually achieve them. Everyone here is driven and it motivational!","There are no real negatives to working here at Piper. The amount of success you have is based on the amount of work you put in, which is easy when you're consistently motivated by your coworkers.",Keep up the good work. There's plenty of opportunity to take your career where you want!,5.0,4.0,5.0,5.0,5.0,5.0
2019-01-17, Senior IT Delivery Manager,"Columbia, MD",Current Employee ,FIRST CLASS ORGANIZATION,FIRST CLASS ORGANIZATION,0,"BEST Company Culture I have been a part of in over 10+ years of staffing
EXCELLENT colleagues and positive energy in the entire office
GREAT Leadership from our office leader
Awesome accounts to work on that will keep the money coming to your pocket
An overall AMAZING place to work & couldn't be happier!",I honestly can't think of any!,Keep doing what you're doing because the amazing talent/culture you've built here and I couldn't be more proud to work for an organization and specifically our office here in Columbia!,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-07, Account M,"Raleigh, NC",Current Employee ,Account Manager,Account Manager,0,"We are provided with all the tools and resources needed to be successful within this competitive industry. Staffing is not for everyone but the people that are willing to put in the time and effort will receive their ROI within a 12 month period. I have been fortunate enough to be surrounded by people that want me to succeed just as bad as I do and it is a great feeling to have that kind of support. The people and leadership is why I am still here and will continue to help grow this company in any way, shape, or form.","Competitive market and long hours for your first year. Nothing is entitled to anyone, therefore, we don't deserve anything unless we are willing to put in the work for it by earning it.",Stick to the vision and invest in the people that want to be here long term. Actions speak louder than words.,5.0,3.0,5.0,5.0,5.0,4.0
2018-11-07, Recruiter,"Raleigh, NC",Former Employee ,Still a great place to work,Still a great place to work,0,"Great team/colleagues (I've made a few life-long friends over the course of my 5+ years here)
Good recruiting tools are made available to you. More importantly, if you request new tools the leadership team, Directors/VPs/Managers of Delivery, actually listen and try to implement them. At a minimum, the tool will be evaluated against the current list of available tools.
The company cares about improving its culture and improving the working situation of the people that work here.
Once you prove your capability, you are allowed a high degree of autonomy, the company encourages empowerment and entrepreneurship in their employees.
 How you're treated is directly proportional to the amount of effort as well as how well you are doing against your goals. For me, this is meritocracy in pure form. There is always some degree of bias and subjectivity involved, but by and large if you put in the work, you are rewarded for that.","It is still staffing; so there is nothing you can really change about hiring managers/candidates being fickle or lying or changing their mind (or the other thousand ways a req can go South).
Again, it is still staffing, so there are ebbs and flows to the amount of time that you need to put into the job (i.e., work-life balance). So yes, work-life balance can be a challenge for those that are not able to create boundaries and set their own limits. The job requires as many hours as you allow it to. Meaning, this is largely based on the individual.","Keep doing great work and keep investing time in your people.
Continue to maintain awareness of shifting trends within the staffing industry and seek out innovative ways of differentiating yourselves from many of the heartless, vapid, staffing companies out there.
Keep hiring great people - this is the heart of the company and a really large part of what makes this as great place to work.",5.0,3.0,5.0,4.0,5.0,5.0
2018-10-03,,,Current Employee ,Associate,Associate,0,"There are a ton of staffing companies out there but Piper truly does stand out from all the rest. There is a reason folks are leaving some of the largest players in the staffing world to come to Piper. From the top of the leadership chain down, the whole team at Piper feels like a family. It is a true work hard, play hard environment where your efforts do not go unnoticed. As cliche as it may sound, the income potential is huge and will only get larger and larger as the company continues to scale over time. The leadership team and support staff at Piper is unmatched and your teammates will always have your back. Your coworkers will very quickly become some of your best friends.","The staffing industry is very tough no matter what company you are at. There will be really great days but there will also be really rough days, you can only control so much as we are in the business of working with people and at the end of the day life happens. Being a newer company in an industry saturated by billion dollar firms with thousands of employees, you will experience growing pains and sometimes feel like you are biting off more than you can chew but it will be worth it in the end. Long hours can come into play especially when you are tasked with huge projects and faced with deadlines that must be met but it WILL be worth your effort at the end of the day.",Continue putting your employees first and bringing in the best of the best. The team at Piper is one of a kind and is destined for BIG things.,4.0,4.0,5.0,4.0,4.0,5.0
2018-10-01," Recruiter, Account Manager","Raleigh, NC",Former Employee ,"Great earning potential & perks, but not somewhere to grow your career long-term","Great earning potential & perks, but not somewhere to grow your career long-term",0,"-Earning potential
-Opportunity to learn about different facets of business
-Good balance between working in an office setting, networking with candidates, client meetings over coffee, lunch and even in-office.
-Opportunity to help build and grow the business
-Builds a strong work-ethic and teaches repeatable, consistent recruiting processes that are applicable to future recruiting jobs","-Unrealistic sales and recruiting goals; the company is extremely eager to grow fast and sometimes I felt like this was at the expense of its dedicated employees
-Turnover is extremely high, so the people that are dedicated to the business and stick through tougher times, have to train and retrain employees, which takes away from their overall production
-There is a lack of empathy and willingness to work with employees through tough weeks, months and sometimes quarters if they are dedicated to the business and sometimes have already proven their work ethic; not everyone is perfect and when you turn your back on an employee that is truly invested in your company they will not want to stay; someone may lose a big client, or be going through something personal at home. These are just a few examples of tougher times employees may go through (especially with the volatility of the recruiting industry) and these times will test what the true values of your organization are: making money and fast growth OR truly investing in their employees long-term growth and success?
-Trying to fit individuals into a mold of what they think the ""ideal"" recruiter or salesperson versus focusing on each employee's strengths; each individual will bring different strengths to the table that Piper and its team can benefit from
-Hours and lack and work/life balance; the expectation cannot be that one works late nights or weekends every week, each person will get out what they put in and that should be their choice","-Celebrate more wins and work on finding solutions versus only caring about the numbers that the individual produces; ultimately someone will want to and need to hit their numbers to be happy here, so help to develop and mentor employees so they can be successful - if you invest in your employees they will invest in you
-Don't over commit promotional opportunities or growth projections of the organization; improve on managing your employees' expectations
-Be more humble and admit when you are wrong or made the wrong decision; this builds trust between you & your employees
-Be less focused on being the ""fastest growing company"" and more focused on finding committed employees and having their backs and they will work hard for you to achieve your growth goals
-Listen to your employees' feedback and actually implement and drive changes in response to their feedback
-Do not get personally offended or talk negatively about people do not think agency recruiting or Piper's environment is the right fit for them - let's be real it isn't for everyone",2.0,2.0,2.0,2.0,4.0,1.0
2018-08-15, IT Recruiter,"Raleigh, NC",Current Employee ,Piper review,Piper review,0,"Working at Piper has changed my mind about recruiting. I knew from an early age that I wanted to be in staffing. Shortly before graduating college I got an offer from a very small staffing agency and it was nice at first, but because the foundation was not formed by a recruiter but by a person that only cared about money it was not a great place to work. I wanted to stay in staffing and recruiting as it is a passion of mine. Piper found me as I was beginning my search for new positions. Through a few phone conversations I new it was the company for me as it has the backbones and values that I was looking for in a company.",We are in a temporary office space that makes it a little difficult to see everyone but it is just for a few more weeks.,,4.0,4.0,4.0,4.0,4.0,4.0
