date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-23,,"Seattle, WA",Former Employee ,Build your career here!,Build your career here!,0,"-Really smart people across the board.
-Cross team work environment.
-Get stuff done mentality.
-People actually care about their work and the success of the company.
-Team environment.
-Great leadership team.
-Super fun happy hours.","-As with any fast growing company, communication could be better across departments.
-There is a ceiling to your career growth.",Continue to invest in your people. They are the thing that makes Qumulo an attractive place to work.,5.0,5.0,5.0,4.0,3.0,5.0
2019-03-25,,"Seattle, WA",Current Employee ,"Great people, product, and company.","Great people, product, and company.",0,"Qumulo is a rapidly growing company with a great product that customers love.
Culture and team are a big part of why I joined. After 6+ months with Qumulo, the culture is everything I hoped for. People are collaborative, supportive, driven, smart and invested in building an incredible company.",We're growing fast and sometimes communication across the company isn't quick enough.,"Continue to focus on speed and scale, driving more alignment and communication across the company. And don't lose the great culture!",5.0,4.0,5.0,5.0,4.0,5.0
2019-03-20, Territory Account Manager,"New York, NY",Current Employee ,Run Fast to Qumulo!!!,Run Fast to Qumulo!!!,0,"I have worked for other startups where access to executive management was advertised but simply was not there. At Qumulo the CEO and VPs are interacting with employees and customers at all levels of the organization. It is simply fantastic.

I have worked for other large storage vendors. What Qumulo has to offer its customers and the marketplace is a truly unique offering that is unmatched in the industry. Qumulo's technology offering is built for the cloud era and is going to change.

New Hire Training is awesome, well organized, friendly people, great food and hotel. New employees receive an extremely warm and friendly welcome from both HR and IT. You are off to the races quickly with your laptop and equipment. The tech you get is the latest and greatest and the software tools used internally at the company are the ones you dream of. They aren't the clunky ones you are use to dealing with at your old job or current job. You can tell that the Qumulo team has picked out the absolute right tools for the job.

The working atmosphere is extremely team oriented and there is a ""Let's get it done together and everyone is learning from each other attitude"" WARNING: Egomaniacs need not apply. Team Builders please send you resume to Qumulo Recruiting straight away.

Competitive pay, great benefits. The very best new hire experience of your career is waiting for you around the corner.

Right People: ✔️
Right Job Opportunity: ✔️
Right Product: ✔️
Right Culture: ✔️

Run to this organization. WARING: Do not wear your slow shoes. Run VERY FAST to Qumulo!!!",No cons to report on.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-04, Vice President,"Seattle, WA",Current Employee ,"Outstanding company, innovative products, with an amazing customer-centric culture. Love every second.","Outstanding company, innovative products, with an amazing customer-centric culture. Love every second.",0,"1) This company is data driven, and relies heavily on its people to drive change and results.

2) Attitudes of gratitude. Success is celebrated, and recognized more frequently than i've seen at other companies. The CEO and executives routinely thank their teams and contributors. They recognize not just successful sales, but the ""what"" and ""how"" in how we work to drive results together.

3) This company has tons of energy and market momentum - perfect time to be at Qumulo!

4) The product team has a vision, and innovates at a perfect pace, with our customers in mind.

5) This company knows how to get s*** done. It's amazing.",Qumulo is quickly becoming a mainstream enterprise standard. Fast growth is exciting but it also creates the need to build a full stack of revenue performance indicators and metrics to enable scale.,"Continue driving shared objectives, and trust your leaders to align on the metrics and key initiatives. Invest early and often in scale, and continue to innovate.",5.0,5.0,5.0,5.0,5.0,5.0
2018-12-21, Sales,,Current Employee ,"Great people, great team, ever evolving and improving product","Great people, great team, ever evolving and improving product",0,"-Lots of talented, fun, hard-working people
-Awesome work environment with ping pong, pool, shuffle board, snacks, fresh fruit, sandwich accoutrements
-Unlimited PTO
-Good comp plan
-No micromanagement
-Lots of on-going trainings for sales and technical folks
-Great inside sales manager
-If you work hard you'll hit your quota","-Tough product to sell given the market
-Not much training provided for advancement opportunities, if you want to advance and improve, you need to start doing the job you want before they promote you
-Hard to move to different departments once you're in one
-Disconnect between finance and sales
-Marketing doesn't generate many quality leads",Focus on quality lead generation and don't drop the ball on sales SPIFFs,5.0,5.0,5.0,5.0,5.0,3.0
2018-12-28, Sales,,Former Employee ,Big deals,Big deals,0,"Scale-out offering means deals can get very large. Sales teams regularly take down multi-million $ deals, which makes 2 or 3 x'ing quota very real. The larger the environment, the more differentiated Qumulo's offering (back to scale-out).","Building territories, especially new ones takes time and needs a hunter mentality. Order taker guys won't do well here.",It's the product stupid. Don't ever turn away from rapid development like the big guys did.,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-29,,,Current Employee ,How many Qumulo engineers does it take to change a light bulb? Turns out its 6,How many Qumulo engineers does it take to change a light bulb? Turns out its 6,0,Product quality is top notch. It doesn't crash and is very reliable.,Product lacks to many features. Engineering team puts in half a shift while the rest of us slave it to find a way to sell the product. Apparently code in engineering has to be done by a team of at least 6 engineers. One Dir. Engineering sent a note saying that engineering will drop by one feature team because teams need to be 6 or more engineers. Go figure.,"It's a startup, so engineering please hustle and get more productive. Why is that every time I visit Seattle the office never gets filled up before 11 and is empty by 5?!

We got a good product, needs to be killer for us to sell sell sell.",1.0,1.0,1.0,1.0,1.0,1.0
2018-11-26, Senior Director,"Seattle, WA",Current Employee ,Little things matter,Little things matter,0,"Qumulo has some of the nicest, smartest people I've had the pleasure of working with in my career. I love the ""share by default"" philosophy. People treat each other with kindness and respect. There is no silo building. Drama and politics are kept to a minimum and the focus is on the customer.",Qumulo runs lean and you must pull your weight and roll up your sleeves.,"Keep doing the little things you do: the daily fresh fruit, weekly all hands, and all that you do to make it a fun work environment.",5.0,4.0,5.0,5.0,4.0,5.0
2018-11-10,,,Current Employee ,New Qumulo,New Qumulo,0,"Great leadership, great product and a space that's growing. It's a great time to be at Qumulo - wind in the sails.",Not enough awareness for such a great company and space.,More social awareness.,5.0,5.0,5.0,5.0,4.0,5.0
2018-12-22,,,Former Employee ,Half pregnant for too long!,Half pregnant for too long!,0,I can’t think of positive things to say here.,"Exec team is a joke. no vision, no clear direction, and product management is run by unqualified people.",Too little too late.,1.0,3.0,1.0,1.0,3.0,1.0
