date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-21, Marketing Specialist,"Tampa, FL",Current Employee ,Absolutely love this company!,Absolutely love this company!,0,"This company makes you feel at home in the office and they want you to excel in what you do/reach your goals. They also provide you with the tools and training to learn other aspects of the company in case you have other interests or would like to add more skills to your repertoire.

They have some of the best benefits and perks I’ve ever seen! The health insurance is awesome and very affordable. They also give out bonuses for referrals and for going above and beyond. It’s awesome!

Such a great environment/culture and great place to move up the chain. They also love when you have new ideas and all the managers are open to hearing them. I highly recommend!",None at all - you’re great!,Keep it up!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-05, Accountant,"Herndon, VA",Former Employee ,Needs management maturity - all levels,Needs management maturity - all levels,0,"Benefits are great, great commute","poor communication, no business guidelines",Top management must exercise independence in decision making.,2.0,1.0,2.0,2.0,3.0,1.0
2019-01-23, Senior Geospatial Analyst,"Charlottesville, VA",Current Employee ,Better than the rest,Better than the rest,0,"Radiant Solutions has brought together what used to be a group of competing companies like MDA IS, Digital Globe | Radiant, HumanGEO, GeoEye Analytics, and SPADAC to form one amazingly diverse and exciting company. There is a lot going on and so much innovative thought that it is hard to keep up with it all. This company is going places.",Having gone through the recent round of mergers the HR department and over all business practices still have a lot of kinks that need to be ironed out. It seems like no one knows what the right process to get approvals is and things take longer than they should.,Get all the kinks ironed out with our inter-company processes so that we can focus on supporting the customers.,5.0,5.0,5.0,5.0,4.0,5.0
2018-11-20, Senior Director,"Herndon, VA",Current Employee ,Senior Director,Senior Director,0,"the leadership team here is authentic, humble, and extremely competent technically. The President is amazingly transparent, personable, and has seemingly infinite patience. The projects and products that Radiant works on and creates are cutting edge so it's great to be a part of that. Most work is done unclassified and on Radiant sites and this is a great place to work to get exposure to a broad set of things : imagery, big data, software engineering, data science, deep learning etc even NLP.
Radiant Solutions is not just a government contracting company, it is also a product company. The developers and data scientists are really great people to work with and learn from.",There are no significant cons that I can think of,"Keep doing what you are doing, keep pushing on the product development front with a focus on AI/ML",5.0,5.0,4.0,5.0,5.0,5.0
2018-11-01, 3D Geospatial Analyst,"Gaithersburg, MD",Former Employee ,3D Geospatial Analyst,3D Geospatial Analyst,0,Great atmosphere and coworkers. They seem to care about their employees.,Lack of work leads to a reduction in force. Better planning would help them retain more talent.,,5.0,,,,,
2018-11-08,,,Current Employee ,Not Bad,Not Bad,0,Relaxed work environment at the Arlington office.,"Contracting gets stale, work isnt very engaging",,3.0,,,,,
2018-10-04, Technologist,"Arlington, VA",Current Employee ,Technoogist,Technoogist,0,Great teams and supportive environment,open desk plan which I did not like,,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-21, Meteorologist,"Gaithersburg, MD",Former Employee ,Operational Meteorologist review,Operational Meteorologist review,0,"The people specifically in the commercial side and in the Meteorology room were amazing. It was a very close group which made it particularly hard to leave. In addition, my manager and director were always extremely supportive of career growth which was very important to me and I appreciate everything they did for me. As an operational meteorologist, I learned an immense amount from the more experienced meteorologists. It was a supportive group which I believe allowed us all to succeed and I know that they will continue to succeed.

Outside of my direct group, I was an avid supporter of the Snack Wednesdays, the company holiday parties, the chili cookoff, along with other events. Dogfish Alehouse is across the street from the Gaithersburg office too which always makes for a good meeting spot.","This is more to do with the requirement of my role but the non-standard hours were difficult along with working holidays and weekends at times. This comes with the job though. I also felt that the upper level management was disconnected at times from our group. There also tended to be some communication issues from upper level management at times, but this improved a lot from when I first started to when I was leaving.",Continue to allow people to grow. I think this was the best quality I saw with my direct management that I don't think a lot of other places offer.,4.0,2.0,4.0,5.0,3.0,3.0
2018-08-31,,"Tampa, FL",Current Employee ,"Not just a job, a career","Not just a job, a career",0,"Excellent Benefits, Care about employees, Invests in employees","My issues have been addressed (without even having to voice them) in the last few years, so there are none remaining!","When each manager looks after their team like they are a small company of their own within the larger corporation, good things happen. We still maintain that ""smaller company"" feel even though we have grown so much in the last several years. It is important to empower mid-level managers to help the people under them and make sure the right people are chosen for such positions. Just because someone has been a great analyst or programmer for years doesn't mean they will be a good manager. It is also important to train and give resources to the managers who want to improve and get better for the sake of their team and the company. For the most part, I believe this is happening and it benefits everyone in the long run. It is easy to let a job fall into just punching a time clock and showing up (especially after several years), but I don't believe in that and I don't think that is what we do in this company, in my experience. Keep up the good work!",5.0,5.0,5.0,5.0,5.0,4.0
2018-08-28, Software Engineer,"Ypsilanti, MI",Current Employee ,"Meaningful, challenging work despite growing pains and legacy projects","Meaningful, challenging work despite growing pains and legacy projects",0,"Great, supportive work environment
Flexible work hours
Education expense reimbursement (including tuition, conferences, textbooks...)

You get to do real development from the start, and the small project/team structure means you have independence to work at your own pace/strengths but you always have others to support you.","Benefits in Ypsilanti haven't caught up to those at other branches.

Communication is difficult at times due to security logistics and largeness of office space. On the company wide scale, all of the mergers transitions make communication from upper management hard to follow at times.

There is some exciting tech, but there is also a lot of legacy tech and legacy projects and IT/security concerns make updates slow.",Keep up the good work trying to organize and consolidate processes and making logistics and resources a lot simpler.,5.0,5.0,5.0,5.0,4.0,4.0
