date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2015-03-05, Associate,"New York, NY",Current Employee ,RJ all the way!,RJ all the way!,0,"Amazing office, great management, perfect place to learn",I never feel like leaving the office ever,keep on keeping on baby,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-15, Compliance Associate,,Current Employee ,Great place to work,Great place to work,0,"Good environment to work in
Plenty of opportunities
Good management",1) None as of yet,,5.0,5.0,5.0,5.0,3.0,5.0
2019-01-15, N/A,"London, England (UK)",Current Employee ,Exciting place to work!,Exciting place to work!,0,"Good team of people
Great atmosphere
Exciting future ahead as there is a lot of opportunities/room for growth",Haven't been here long enough to comment.,To have monthly/quarterly 1-1 meetings on personal performance/improvements that could be made.,5.0,5.0,5.0,5.0,3.0,5.0
2019-01-15, Consultant,"London, England (UK)",Current Employee ,Consultant,Consultant,0,Great environment to express myself,There are not any cons to working for this company,Keep up the great leadership,5.0,5.0,5.0,5.0,5.0,5.0
2017-01-05,,"London, England (UK)",Current Employee ,Great Opportunities at Radley James,Great Opportunities at Radley James,0,"1) Lovely work environment
2) Great Colleagues
3) Great opportunities","1) Could do more social events
2) Long hours but you get rewarded for the hours you put in","Nothing to say, Keep doing what you are doing",5.0,5.0,5.0,5.0,5.0,5.0
2017-01-05, Compliance,,Current Employee ,Fantastic environment with great opportunities!,Fantastic environment with great opportunities!,0,"Rewarding
Fantastic opportunities available
Fun and comfortable environment","More social events would be beneficial for team building
Long hours, however you get what you put in!",,5.0,5.0,5.0,5.0,5.0,5.0
2016-10-20, Consultant,"London, England (UK)",Current Employee ,"Work hard, play hard and get rewarded","Work hard, play hard and get rewarded",0,"Best commission scheme in London
Good salary that will increase and increase the better you perform
Good career progression
Great team, close nit and make you feel very welcome - lots of banter
Great environment",Expected to work a lot of hours but at the end of the day that's what recruitment is about and that is how you make CASH,Keep doing what your doing,5.0,4.0,5.0,5.0,5.0,5.0
2016-10-20, Consultant,"London, England (UK)",Current Employee ,"Great culture, that promotes success and progression!","Great culture, that promotes success and progression!",0,"- Your hard work really pays off... the commission scheme is certainly the best I have seen in London!!
- Everybody gets on and work well together which is unusual in any firm.
- Regular social events ranging from activity days to nights out to top restaurant/club
- Given a lot of responsibility and freedom with NO KPI's!",Need to put in the hours and a lot hard work to reap the rewards.. success doesn't come easy!,Keep it up..,5.0,4.0,4.0,4.0,5.0,4.0
2016-08-30,,"London, England (UK)",Current Employee ,Good ethics,Good ethics,0,"Great ethics to grow the business, everyone shares the same goal, very exciting times for RJ.","I would like to see more team building events
Long hours but it's expected in this industry","Continue to provide support to the teams, allowing them to grow and thrive, making it a great place to be.",5.0,3.0,4.0,5.0,4.0,5.0
2016-08-23, Recruitment Consultant,"London, England (UK)",Current Employee ,Great Environment,Great Environment,0,"- Nice friendly atmosphere.
- Lots of opportunity to carve your own niche in the market.
- Hands on training from senior consultants.
- Clear company direction and expansion plans.","- Expect to work long hour if you want to succeed.
- Not the most structured training programme - be prepared to be given a lot of responsibility over your own work and development.
- Not enough toilets",Add more toilets.,5.0,,,,,
2016-08-23, Recruitment Consultant,"London, England (UK)",Current Employee ,Success for hard work,Success for hard work,0,"- Provided all the tools necessary to assist you in starting a successful career in recruitment
- Detailed training videos for all new-starters
- Great working environment
- Good scope for progression, provided you continue to perform","- Often it can be hard to find the right market for you to work (although this is more a reflection of recruitment on the whole)
- If you're looking for an easy job, this is not a position for slackers, or those who are not team-players",- Make sure no-one is getting micro-managed,5.0,4.0,5.0,5.0,5.0,5.0
2016-08-23,,"London, England (UK)",Current Employee ,Flexible and fun working environment,Flexible and fun working environment,0,Flexible working environment. Fun place to work with a great atmosphere. Innovative. Managed to diversify to stay ahead of competitors. Senior management are willing to give up time to help train and motivate staff.,There are no obvious cons at present. This is the best company I have worked for so far in my career.,"Keep it up, and remain accessible to more junior staff. It helps keep the sales floor motivated and ensures great performance.",5.0,5.0,5.0,5.0,5.0,5.0
2016-08-15, Recruitment Consultant,"London, England (UK)",Current Employee ,Great career progression,Great career progression,0,"Great training videos and on the desk learning for new recruiters
Fantastic career development opportunities - I have been here less than a year and already had my first promotion and pay rise
Fun environment
Real opportunities to make money",No cons at the moment - maybe more social events,Arrange more social events so that new people can get to know each other,5.0,5.0,5.0,5.0,5.0,5.0
2016-07-22, Trainee Recruitment COnsultant,"London, England (UK)",Current Employee ,Leave your morals at the doorstep,Leave your morals at the doorstep,0,Good starting job out of university if you want experience. Just don't expect clear management and for the company to have integrity,"Do anything to make a sale
Fake job adverts
Calling candidates looking for a job to find out the companies that have interviewed them, in order to find potential clients
Quantity over quality
Large staff turnover
Long hours",Quit writing fake reviews,1.0,1.0,,,,
2016-05-10,,,Current Employee ,Really care about doing a good job,Really care about doing a good job,0,"Hands on MD that cares about every individual doing well in the firm
Plenty of tools and resources
Realistic targets and goals","Tough industry to recruit in
Not enough collaboration between consultants",,5.0,,,,,
2016-05-06, Recruitment Consultant,"London, England (UK)",Current Employee ,Enjoying it,Enjoying it,0,Strong client base. Given tools to recruit. Commission scheme is very good.,I can't think of anything at present.,n/a,5.0,5.0,5.0,5.0,5.0,3.0
2016-04-17, Recruitment Consultant,"London, England (UK)",Current Employee ,Amazing Graduate Job,Amazing Graduate Job,0,"- Radley James immediately stood out to me as being a niche size firm with a hardworking ethic and rewards.
- I started at Radley James straight out of University with no experience in recruitment at all
- From day one I was made to feel welcome as part of the RJ community and received first class training and mentoring.
- Quick career progression, as I turned to a full Consultant in just over 6 months.
- Even in my first few months I was pivotal to adding new clients.
- The friendly sales floor environment and helpful onsite compliance, operations and finance teams makes working at Radley James effortless and highly enjoyable.",Long working hours which can be expected,,5.0,,,,,
2016-04-11, Recruitment Consultant,"London, England (UK)",Current Employee ,Great Environment,Great Environment,0,"Collaborative environment!
Fun and Fast Paced!","None, as long as you are prepared to work very hard!","Keep listening to your employees, they are on the front line!",5.0,2.0,4.0,5.0,4.0,4.0
2016-04-14,,,Current Employee ,Senior Consultant,Senior Consultant,0,"I started work at Radley James 4 years ago after graduating from University and it has been the best experience of my life. I have been promoted 4 times since working here, with dramatic basic salary increase. On top of that, this company has one of the best commission structures in the industry, (no desk fee's!!!) which has meant that yearly earnings have exceeded £70,000 for the last two years (not bad for someone that only graduated four years ago). The environment is fun and everyone is made to feel welcome, working as a team is something we excel at!",Office shuts at 10pm so I cant work later,,5.0,,,,,
2016-04-13,,"Edinburgh, Scotland (UK)",Current Employee ,Excellent Company to work for.,Excellent Company to work for.,0,"The business has grown at a remarkable and impressive rate since inception in 2009, this is down to the experience and ability of the team and the excellent management who are supportive, hands on recruitment professionals. The company offer:
Excellent earning potential.
Delivery focused.
Promote diversity.
Ethical ""Best Practice"" recruitment processes.
Provide the tools required to support the impressive client list.
Not a KPI environment.",I don't have any cons to mention.,,5.0,5.0,5.0,5.0,5.0,5.0
2016-04-13,,,Current Employee ,senior consultant,senior consultant,0,"Great coaching
Great commission structure
Good work ethic
Fun environment - people open to having a laugh","Not many incentives apart from good commission structure
Not many female employees",Make sure to not hire average people - in terms of wanting to work hard and achieve,5.0,3.0,5.0,5.0,4.0,5.0
2016-04-11, Cyber Security Consultant,"London, England (UK)",Current Employee ,"Work Hard, Play Hard","Work Hard, Play Hard",0,"Best commission structure on the market.
Great work/social life balance
Fully Stocked Bar
Brand New Office","Long hours, that''s just recruitment!
Bar sometimes runs out on a Friday
Sometimes it can be LOUD, but its a sales floor","Keep the work hard, play hard approach. Incentives are great but keep the commission structure as it is.",5.0,5.0,5.0,5.0,5.0,5.0
2016-04-11,,"London, England (UK)",Current Employee ,Great place to work.,Great place to work.,0,"• Vibrant office atmosphere. Hard working, but fun.
• Good access to Senior Management. Really feel they listen to views and opinions and act on them.
• Great office environment and location in the centre of London.
• Encouraged to learn, and take on new responsibilities.",• No obvious cons at present. More regular meetings to keep employees abreast on how the company as a whole is performing would be great.,,5.0,4.0,5.0,4.0,4.0,5.0
2016-04-12, Director,"London, England (UK)",Current Employee ,Incredible Fast Track Career Opportunities,Incredible Fast Track Career Opportunities,0,"+ hands-on management culture & training
+ world-class client base
+ excellent opportunities to develop very quickly",+ very fast paced & competitive industry & sector - so not for everyone!,,5.0,4.0,5.0,5.0,5.0,5.0
2016-04-12, Recruitment Consultant,,Current Employee ,Great place to work!,Great place to work!,0,"Radley James is a brilliant place to work for a number of reasons. Some of which include:

You feel like you are important as an individual to the success of the organisation.
Senior staff are always there to help you and provide guidance/support when necessary.
You are given the opportunity to grow and succeed as a consultant without unnecessary KPI targets.
 You feel motivated to do well - rewarded well and valued as an employee.
International opportunities.
If you are prepared to work hard you will do well.

I actually left RJ due to geographical reasons but when found out they were opening up in Scotland, well lets just say it was an easy decision to come back.",Nothing I can think of ...,Keep doing what you are doing!,5.0,5.0,5.0,5.0,5.0,5.0
2016-04-07, Marketing and Digital Media Manager,"London, England (UK)",Current Employee ,Radley James is the best recruitment firm that I have ever worked for...,Radley James is the best recruitment firm that I have ever worked for...,0,"1. Senior management are always accessible and willing to help
2. Creativity and 'thinking outside the box' is actively encouraged
3. Great office location in heart of London
4. Diverse team and staff
5. Regular interaction with international offices",There are none for me at present.,,5.0,5.0,5.0,5.0,5.0,5.0
2015-09-16, Manager,"London, England (UK)",Current Employee ,Going places,Going places,0,"No KPI's, Adult environment, Superb culture, good direction and superb opportunity to genuinely progress your career","None to be honest, unlike a lot of agencies",Keep doing what is being done!,5.0,3.0,5.0,5.0,4.0,5.0
2015-04-23, Recruitment Consultant,"London, England (UK)",Current Employee ,Spiffing,Spiffing,0,"Money Motivated Sales environment, good for making Cash.","Not enough women.
Wont get rid of dead wood","Employ more women,",5.0,5.0,5.0,5.0,5.0,5.0
