date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-05, Executive Assistant,"San Francisco, CA",Current Employee ,Amazing place to work,Amazing place to work,0,Work environment is incredible. Everyone is super helpful and friendly. Management is so awesome. Rally's HR and on boarding process should be the standard for all companies. Great pay. They really take care of their employees here.,"Seriously, none. I love this company.",Keep up the awesome care and work.,5.0,5.0,5.0,4.0,5.0,5.0
2019-04-21,,,Current Employee ,No clarity on growth path,No clarity on growth path,0,"Flexibility
Company mission
Free lunch
Variety of work opportunities","Below market pay, especially stock
Average benefits
No clear career growth path, highly political, less about what you do - more about how you sell it
Low quality/quantity food","Set clear career growth paths and process
Stick to company goals for longer",3.0,4.0,4.0,1.0,3.0,2.0
2019-04-02, Coach,"Minneapolis, MN",Current Employee ,rewarding,rewarding,0,self directed awesome training team,"slow at times, sometimes feel micromanaged",,4.0,3.0,3.0,3.0,3.0,3.0
2019-03-17, Software Engineer,"San Francisco, CA",Current Employee ,Amazing Place with Meaningful Work and Mission but Compensation Very Lacking,Amazing Place with Meaningful Work and Mission but Compensation Very Lacking,0,"Amazing company and the work is very meaningful and satisfying with a great mission.

Culture is great. Can't really go wrong with whoever you meet, especially with the open lunch tables or even all the Rallyers you see on your daily commute.

Very flexible work. You may still end up doing more or less than the typical 40 hour work week, but the ability to freely work from home or take time off for appointments, family, or personal matters really makes all the difference.

Modern tech stack. May not be the absolute latest and greatest, but it's definitely up there when it comes to pace and the technologies adapted/going to be adapted.","Compensation. Not much else to say - this is the biggest complaint. You're practically screwed with whatever you come in as. Do your best to fight for what's right when you get an offer (don't settle for over 10% under fair market value like my mistake). Also, do your best to communicate with your manager as much as possible about your career goals. The shadow of the big company (UnitedHealthcare) will probably still prevent you from really achieving it, but you can at least say you tried and can really see if your managers value and vouch for you. This is not to say that your work itself won't be rewarding - there are many opportunities to accept more responsibilities, take ownership of features, learn from a lot of the really smart people around you, etc., but be prepared for minimal compensation for those efforts. Even the engineers that I know have been there longer than me are not content with their compensation, and I'm sure most everyone around them would agree that they definitely deserve more for their efforts. You probably have a higher chance of getting a promotion/raise by applying to an internal job posting that usually lists a significantly higher compensation than to actually get promoted from your current role.

Seems like hit-or-miss with management. Thanks to the culture pro mentioned above, I've got to meet so many people with different experiences: you seem to either get an amazing manager that makes you never want to leave or one that has opportunities to improve.

Totally first-world tech problem, but the snacks could be better or at least restocked more. The snacks haven't changed much for as long as I've been here and even then, they are not keeping up with how quickly the San Francisco office is growing - fruit is only restocked every other day and they are all usually gone by 11am the same day of being restocked.","You're in such a great position with so many great people who really want to stick around and see things through with a great company and mission. We're all in this together and have ambitious career goals - please continue looking out for yourselves, but please also keep looking out for those of us right there with you.",4.0,4.0,5.0,4.0,2.0,4.0
2019-03-15, Senior Software Engineer,,Current Employee ,A good company with a few serious flaws they need to address,A good company with a few serious flaws they need to address,0,"The culture is very respectful of employee time. We have unlimited PTO, and mostly mean it. If you are sick, need a day off for family, have a vacation, it's no big deal as long as you give reasonable notice and get your work done.

Workload varies by team, but increasingly teams are committed to maintaining a respectful work life balance. Most of management, at least on the engineering side, gets that you can't just 'program harder' and get better results.

The engineering leadership takes investing in tech debt seriously. That is a newer shift, and is taking time to trickle down to every team, but Rally really does seem committed to being a serious, high quality engineering org.","Rally has basically one huge cons: they are extremely reluctant to promote people (and somewhat reluctant to give them market-adjustment raises).

Rally has a very clearly defined engineering career ladder. All of the responsibilities for a given role are clearly outlined. If you meet a certain percentage of the requirements for the next role up, you are supposed to get promoted. But it just doesn't work that way. In practice, privately, engineers are told that they have to meet all the requirements for the job title they want for a full year before they are eligible for promotion. Even then, it's a fight. We've seen team leads stuck at Software Engineer II for years while new hires on their teams are three or four career levels above them , people with 8 direct reports never given a management promotion, and numerous top performers who've left saying 'the reason I left is you didn't promote me to a role matching my responsibility.'

For employees with long tenure, this is particularly frustrating because new hires are held to a much lower standard than tenured employees. For new hires, we basically level you based on what you made at your last job, for existing employees, you need to be a hero to get a promotion.

Pay for new hires is very competitive, so you have to stick around a few years for this to be a problem. If you come in at senior level, you might not even notice it, because it's not that odd for a senior or principal engineer to take some time to move up if they do at all. But for midlevel engineers, it's kind of a trap.","You need a total overhaul of the promotion decision making process. From the outside, it looks like its being driven more by finance and execs than by engineering managers. It almost feels like there's a quota of the number of promotions that can be handed out. It doesn't take a genius to tell you that's a bad idea in a competitive market. You're trying to hire hundreds of new engineers - you can't afford to lose all your existing ones because you lied to them about their career prospects.

The overhaul isn't even that hard. Just use the rubric/career expectation framework you have, stick to it, and apply it universally to all engineers. Either suck up the fact that this means promoting a ton of people, or adjust the framework to be harder. Just actually do what you say you're going to, and you'll be fine.

Oh, also, anyone with de facto or actual direct reports should have more compensation regardless of their title. This should be a no-brainer. You can't keep stealth making people managers and not compensating them for the extra responsibility.

It also would pay to be more honest about the career ladder. If you want higher standards for promotion, that's fine - just be honest with your employees about what those standards are. Discrepancies between stated policy and reality destroy trust.",3.0,4.0,5.0,1.0,3.0,3.0
2019-03-27,,,Current Employee ,Used to be much better,Used to be much better,0,"- The company's mission is something you can truly get behind.

- Most of the people you work with are truly exceptional at what they do.

- Most of the exception people ^ genuinely care about the mission. It drives us.

- Opportunities for career growth still exist, but you really have to play politics to get them.

- Unlimited/flexible PTO is a great perk, but you really have to make yourself take it

- Free lunch (varying quality each day)

- Benefits are solid, but used to be MUCH better","- Starting to lose a lot of the great things about our culture. Infinitely more corporate since the UHG acquisition, and some of the cool perks like paid vacations for hitting certain tenures and quarterly Rally Awards with company-wide recognition have been replaced by a ""black box"" quarterly check-in cycle that no one seems to understand or benefit from a year after it was implemented.

- Compensation is mediocre at best unless you are an engineer in San Francisco. HR will say ""we benchmark against the best"", but when you see this same feedback consistently across the company it is clear that what they are saying simply isn't true.

- Inconsistent management at lower and middle levels. Managers are generally poorly trained and do not seem to be held accountable for high turnover.

- All of our products are built in silos and almost nothing was built for scalability. This makes integrating our products into a single ""platform"" nearly impossible.","Never lose sight of the company's mission. That's the one truly positive thing left, and it is why most of us stay. Keep that mission at the center of what you do.

Value your people. Pay your people. And I don't mean just the engineers. You can build the greatest product in the world, but without support from the rest of the company no one could ever use it.

Hold managers accountable to your retention goals. Fire bad managers. Address toxic teams. Listen to your front lines and actually respond to their concerns.",3.0,4.0,4.0,4.0,3.0,2.0
2019-04-17, Senior Engineer Interview,"Washington, DC",Former Employee ,Terrible internal and hiring process,Terrible internal and hiring process,0,The company was acquired by United Health. New perks for that.,The hiring process is broken. The recruitment team and hiring managers do not know what/who they are hiring for. They open invalid/fake job requirements on website and fish for candidates on linkedin/elsewhere and waste everyone's time.,Fix the company processes before trying to build big software dreams. H,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-05,,,Current Employee ,Declining,Declining,0,"- Lots of potential to change the industry for the better, tons of innovation opportunity
- Less openly toxic environment --> some of the managers who were the worst offenders of this are no longer at Rally
- There are several rock stars who have been with the company for 3+ years and are some of the most talented people I've ever worked with. Unfortunately, many are leaving out of frustration.","- Decisions are made by leadership with little involvement or input from internal experts at the company. It's not only a process problem but also an attitude problem.
- The performance review process sucks. There is no channel for upward feedback, no calibration of reviews across managers, and no insurance that top performers will be recognized when their manager is not a good advocate.
- Career opportunities are more correlated to one's self promotion and personal relationships with execs than competence. While this is true elsewhere, usually the performance review process sheds light on who the top performers are, even if they're not good self promoters or buddies with an exec. That's not the case here, and it makes Rally a challenging and demoralizing environment to grow a career.","- Revamp the performance review process
- Exec team needs to involve the people doing all the work in the decision making process",1.0,5.0,5.0,1.0,2.0,1.0
2019-03-03, Senior Software Engineer,"San Francisco, CA",Former Employee ,"Company OK, but avoid Data","Company OK, but avoid Data",0,"Rally isn't a bad company to work for overall. While pay is below what you'll be able to find elsewhere in SF, there are solid benefits (catered lunches, very flexible schedule) that make up for it. A small 401k match. Other benefits are decent, but not what they used to be. As the company has grown teams have become far less nimble, but there are still pockets of strong passion and talent.","The data pillar is a disaster. With experienced data engineers being a hot commodity, we were unable to bring in new members for some time. If you were good enough to pass the interview we were giving, you were good enough to be hired for more elsewhere. New leadership responded to this by removing the team's ownership of the interview process . We began hiring individuals at very senior levels with no related experience, and often limited ability of any sort.

If you have no experience I would avoid this team because it is a toxic environment with few to learn from. If you have experience I would avoid this team because the team itself would drive you crazy and you'll be working for the worst management chain of your career. The on-call rotation also tends to be brutal/sleep-depriving.",Clean house if you want things to get better. Much smaller data teams are doing a whole lot more with a whole lot less. There is a reason for this.,2.0,4.0,2.0,2.0,2.0,1.0
2019-02-06, Project Manager,,Current Employee ,Great Company,Great Company,0,Strong culture even amidst rapid growth,Some challenges with volume of new implementations,,5.0,4.0,5.0,5.0,4.0,4.0
2019-02-04, Engineer,"San Francisco, CA",Current Employee ,"Nice work from home policy, compensation could be better","Nice work from home policy, compensation could be better",0,"Flexible work from home policy.
Good benefits.
Company and the stock is doing well.
Huge stable healthcare company.",Salary is below average but is made up by stock options.,,4.0,5.0,4.0,3.0,3.0,4.0
2019-02-06,,,Current Employee ,Amazing people to work with,Amazing people to work with,0,"The people, the product, competitive benefits and salary",Not all positions offered remote but there is flexibility for office-based employees to work from home once per week.,Would love to see more about the people at Rally on social media. Digging more into our company culture.,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-22, Senior Software Engineer,"San Francisco, CA",Current Employee ,"Rally Health and mediocrity: mediocre pay, mediocre benefits, and mediocre management.","Rally Health and mediocrity: mediocre pay, mediocre benefits, and mediocre management.",0,"- Mediocre Benefits: 401K Matching, Health Insurance (used to be better than it is now), flexible PTO, and ESPP
- Work from home policy is also flexible
- Technical stack is okay; mediocre really
- If you are willing to set strict boundaries with your managers/teams you can have very good work life balance here.
- If you get lucky you can have good managers who care about your growth within the company. You could however get unlucky and get the opposite
- If you want a job where you can cruise and are okay with your current base salary and minimal raises this place can be amazing","- Compensation is below market rate, especially if you have been with the company for a number of years. For this reason alone I'd recommend all candidates to negotiate the highest possible base salary during the interview process.
- Compensation adjustment even for top performers are not able to keep up with market rates; I believe this is due to the company's internal process for how funds are allocated towards bonuses and raises. I would recommend new or mid-level engineers to leave after 2 years as your market value will far outpace any compensation adjustments you will receive here.
- There are free lunches but the quality of the food is very poor. Mostly staples such as rice, potatoes/starchy food, ""salads"", and bland mystery meats that sometimes require you to identify them by reading the tray labels. Many employees actually prefer Taco Bell down the street over the free lunch. The lunches used to be much more palatable in the past.
- The ""free beer on tap"" is also always out. The tap will stay empty for weeks. (The only reason this made it into the review is because almost every recruit is told of the free beer and daily lunches; I feel it is only fair they know the truth)
- Holiday season is the busiest at this company. Many of the business deliverables have deadlines around the new year and unfortunately many are not defined well enough for development until 4 months before the deadline. Meaning development really starts around Fall, starts to ramp up in November and by Thanksgiving the stress levels are astronomic. They typically remain high up until Christmas and around NYE as well.","First and foremost keep it professional and respectful. I have witnessed some questionable behavior from upper management directed at others in the management nexus. This sort of behavior appears to have been on the decline for over a year now, so kudos to you guys there.

Secondly the rise of large organizational bureaucracy has turned rally from an agile company into a slow sluggish behemoth. This used to be a fun tech company to work at. Now there is so much red-tape I often find myself wasting countless days or hours just navigating the bureaucracy instead of actually doing my job (this is more relevant to the engineering organization than the the company).

Third and one of the most important would be to set realistic business expectations as to what is achievable in a reasonable timeline. Every year new business initiatives are created with end of year deadlines yet they are not finalized until at least mid-year or Fall leaving the entire company scrambling under intense pressure through the holiday season. This is a change that needs to come from the very top.",2.0,2.0,3.0,3.0,2.0,2.0
