date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-25, Software Engineer,"North Andover, MA",Former Employee ,Raytheon is not too bad company to work,Raytheon is not too bad company to work,0,require 40 hours a week. good benefit packages,not much communication with your manager,,5.0,5.0,5.0,5.0,4.0,4.0
2019-04-26, Software Engineer I,"Tucson, AZ",Current Employee ,"Overall Positive, but can get you very pigeonholed","Overall Positive, but can get you very pigeonholed",0,"Job Security, Good pay for Tucson location",Work can feel a little less appealing due to workflow/processes. Most of your time is spent on PowerPoint Engineering versus your field of engineering.,"Allow for more innovation and creativity. We're very risk advertent which has its positives, but sometimes it does feel like it impedes room for growth",4.0,4.0,5.0,4.0,4.0,4.0
2019-04-25,,,Current Employee ,Great Company,Great Company,0,"-Large company with lots of opportunities
-Exciting products to work on",-Raises can be extremely competitive,,5.0,,,,,
2019-04-22, Engineer,,Former Employee ,Great first Job,Great first Job,0,"Great first job out of college
Taught me the basics.",Have to move on to further career,,5.0,,,,,
2019-04-17, General Accountant,"Richardson, TX",Current Employee ,General Accountant,General Accountant,0,"New Richardson Building, Flex Hours, Remote work options, advancement opportunities","Government/DoD Regulations, Limited Office Space",,4.0,4.0,4.0,3.0,3.0,1.0
2019-04-19, Systems Administrator,"Tucson, AZ",Current Employee ,System Administrator,System Administrator,0,"Good pay and work life balance. 9/80 schedule is nice. Team morale is good most of the time and everyone is helpful. Decent career growth as long as you can differentiate yourself to move up along your career path, or push to move up diagonally. However this takes a lot of extra effort as spare time is limited (and so are other people’s)","The location (airport) is inconvenient for most, at best. More PTO is needed to stay competitive. Lack of consistency between IA and IT.",Listen to those on the front lines working every day when it comes to actually implementing the plans and executing them. So much confusion happens because of inconsistent leadership direction that gets passed down and interpreted six different ways every time.,4.0,4.0,4.0,4.0,4.0,3.0
2019-04-09, Senior Engineer,"Tucson, AZ",Current Employee ,Large Defense Contractor But More Agile Than Others This Size,Large Defense Contractor But More Agile Than Others This Size,0,"Raytheon really focuses on retaining talent and utilizing on the job training. Advancement opportunities are good but sometimes lateral moves are the only way to advance. I've enjoyed my time at Raytheon, but the 2-3% raises, standard in this industry, won't retain talent.","2-4% raises every year
Lots of oversight but standard for defense industry
Upward mobility for a few chosen but if you're not chosen, do your two-three years and leave
You'll know if you're a ""chosen"" one or not","While Raytheon walks the walk when it comes to career development and training, understand that 2-4% raises won't retain talent. Young folks (less than 40/50) who don't have pensions have ZERO reason to stay with you. Retain people or fall behind.

Raytheon is focusing on the business side of things for the next few years. Should see growth on that side but don't forget about the engineers.",4.0,5.0,5.0,4.0,3.0,4.0
2019-04-17, Electrical Engineer,"Tucson, AZ",Current Employee ,Decent place to work at,Decent place to work at,0,There is a flexibile work life balance,Things move kind of slowly,,4.0,5.0,4.0,4.0,4.0,4.0
2019-04-15, Technical Support Engineer,,Former Employee ,Raytheon,Raytheon,0,Good Pay for the amount of time I spent there,Working on the same project over long periods of time,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-27, Principal Software Engineer,"Plano, TX",Current Employee ,Principal Software Developer,Principal Software Developer,0,"Great benefits, compny shuts down around late December for time off. Good for career start.","Slow to adopt new technologies, silo'd teams. Low pay and barely cost of living raises. Extremely political with infighting. Management sometimes denigrates and blacklists employees. Constant re-orgs and occasional layoffs. Slow career growth. Training is non-existent. Not very good for long term career.",More investment in employee growth. Bring back real technical training for employees. Annual ethics courses don't count!,2.0,3.0,2.0,2.0,3.0,2.0
