date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-11,,,Current Employee ,Great company,Great company,0,"Values, compensation, meaningful work, leadership team",None that I have experienced yet,,5.0,,,,,
2019-04-23, Sales Professional,"Indian Land, SC",Former Employee ,Not a permanent job,Not a permanent job,0,"RV is beautiful, the amenities are great, everyone who works there is super cool and you will learn a lot of great skills for sales. Money can be decent if you get good.","The sales professional job is draining, boring, stressful, repetitive and probably headed towards automation.",Management is great.,3.0,1.0,3.0,4.0,4.0,5.0
2019-04-20, Performance Manager,"Fort Mill, SC",Current Employee ,It ain’t what it used to be,It ain’t what it used to be,0,"Nice campus and amenities.
Great guest speakers and free food from time to time.

 Leadership and development initiatives that are starting to take place look good so far.","Good old boy network when it comes to being on the inside track of promotions.

Some of it looks to be nepotism.
Some of it looks to be favoritism.
Some of it looks to agreeing to craft beer preference or what microbrewery they may be visiting this weekend.

All of it is bad for the future though.

 Not quite a purposely a racist, sexist, judge mental environment but, damn near close.

Logistical placement of where sales is and where everyone else is makes it pretty obvious.","The CEO is a good guy And always comes across as a straight shooter but probably has no real idea as to what’s going on at the street level. That’s normal of most growing companies.

Vet out your decision makers because qualifications on paper don’t always match up to making it happen.

 On the sales side; Consider doing an inventory of women and minorities in management and leadership roles.

 On the Operations side; Yeah, let’s just not go there. But if we must, can anyone grasp the concept of Beverly Hills on one side and Skid Row on the other? It’s so obvious.

 But both sides of the fence there would be decimated if “random” drug testing was introduced! Instead of picking through favorites, maybe it should be considered the next time you guys decide to clear house.",3.0,3.0,1.0,3.0,3.0,1.0
2019-04-20, Hughes Net Sales,"Fort Mill, SC",Former Employee ,RUN AWAY,RUN AWAY,0,"subsidized food, cool co workers","they will place impossible metrics for you to complete, and when you are at the bottom of the center you get the worst possible calls.. nearly impossible place to be successful..",act more professional and not sneaky and actually do more than just sit around and listen to phone calls...,2.0,3.0,3.0,1.0,3.0,1.0
2019-04-04, Sales Professional,"Charlotte, NC",Former Employee ,Need to value the sales agents more.,Need to value the sales agents more.,0,The commission is great for those who are willing to work for it,Commission plans change month to month,When you reduce the amount you expect people to make from your commission plans it doesn't leave a good image.,3.0,2.0,4.0,4.0,3.0,2.0
2019-04-02, Coordinator,,Current Employee ,"New tricks, same ol' dog","New tricks, same ol' dog",0,"-Benefits
-Internal growth (if you know the right people)
-Subsidized food (really delicious)
-Special discounts with certain companies","This is a place that preaches ""innovative"" approaches to corporate culture but in the end, it's still the same old story just in a glossy hardback cover as supposed to paper-back (excuse the analogies)

-High stress and demand, variable return
-Lack of Structure",,3.0,2.0,3.0,4.0,5.0,3.0
2019-03-27, Senior Associate,"Charlotte, NC",Current Employee ,Great Place to Grow,Great Place to Grow,0,"Strong sense of ownership and autonomy.
Flexible schedule.
Onsite facilites means saving money on gym/groceries.",Growth may be greater than their ability to scale.,,5.0,3.0,5.0,4.0,4.0,5.0
2019-03-25, Digital Designer,,Former Employee ,"Boring work, Poor leadership","Boring work, Poor leadership",0,"Cool campus, gym and basketball court","Poor leadership, no real coaching. senior designers and directors just take work they dont like and finish it themselves, no real teaching younger designers. Most of the work is production, very few real design opportunities.",,3.0,,,,,
2019-03-12, Front End Developer,"Charlotte, NC",Former Employee ,I honestly loved it here,I honestly loved it here,0,"This place is great. I applied a few years ago and the glassdoor reviews made me super nervous but when I started I quickly realized I had nothing to worry about. Seriously, if you're a front-end developer you'll definitely enjoy this place if you can get an offer.

The people are wonderful and I found it to be a very low stress environment. I didn't want to leave but I had to move out of state :(",There are no yearly bonuses but if you don't expect one that's not a big deal. I personally didn't care.,,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-12, Marketing,"Charlotte, NC",Former Employee ,Fun Atmosphere,Fun Atmosphere,0,"The people, work flow, job",I didnt really find any while was there.,,5.0,5.0,5.0,5.0,5.0,5.0
